twitter_id,date,tweet
1542770993634033664,2022-07-01 07:24:02+00:00,"b""[\xf0\x9f\x93\xa2][#LEEMINHO]\n\xf0\x9d\x90\x86\xf0\x9d\x90\x8b\xf0\x9d\x90\x8e\xf0\x9d\x90\x81\xf0\x9d\x90\x80\xf0\x9d\x90\x8b \xf0\x9d\x90\x8e\xf0\x9d\x90\x85\xf0\x9d\x90\x85\xf0\x9d\x90\x88\xf0\x9d\x90\x82\xf0\x9d\x90\x88\xf0\x9d\x90\x80\xf0\x9d\x90\x8b \xf0\x9d\x90\x85\xf0\x9d\x90\x80\xf0\x9d\x90\x8d \xf0\x9d\x90\x82\xf0\x9d\x90\x8b\xf0\x9d\x90\x94\xf0\x9d\x90\x81 '\xf0\x9d\x90\x8c\xf0\x9d\x90\x88\xf0\x9d\x90\x8d\xf0\x9d\x90\x8e\xf0\x9d\x90\x99'\n13TH MEMBERSHIP RECRUITMENT\n\n\xf0\x9f\x9a\xa8\n\xf0\x9d\x90\x8d\xf0\x9d\x90\x8e\xf0\x9d\x90\x93\xf0\x9d\x90\x88\xf0\x9d\x90\x82\xf0\x9d\x90\x84 \xf0\x9d\x90\xa8\xf0\x9d\x90\x9f \xf0\x9d\x90\xa0\xf0\x9d\x90\xa5\xf0\x9d\x90\xa8\xf0\x9d\x90\x9b\xf0\x9d\x90\x9a\xf0\x9d\x90\xa5 \xf0\x9d\x90\x9d\xf0\x9d\x90\x9e\xf0\x9d\x90\xa5\xf0\x9d\x90\xa2\xf0\x9d\x90\xaf\xf0\x9d\x90\x9e\xf0\x9d\x90\xab\xf0\x9d\x90\xb2\n\xf0\x9f\x96\x87 https://t.co/D8v8TdHHMf\n\n#\xec\x9d\xb4\xeb\xaf\xbc\xed\x98\xb8 #\xeb\xaf\xb8\xeb\x85\xb8\xec\xa6\x88 #minoz #mym #mymentertainment https://t.co/8CiuEX0FVK"""
1541736984514768896,2022-06-28 10:55:15+00:00,b'[#\xec\x9d\xb4\xeb\xaf\xbc\xed\x98\xb8]\n\xec\x9d\xb4 \xec\x8b\x9c\xea\xb0\x84\xeb\xb6\x80\xeb\xa1\x9c \xec\x97\x90\xec\x96\xb4\xec\xbb\xa8\xec\x9d\x80 \xeb\x81\x95\xeb\x8b\x88\xeb\x8b\xa4.\n\n(\xec\x84\xa0)(\xec\x84\x9c)\n\xf0\x9f\x99\x8b\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xed\x8c\x8c\xeb\x9e\x80\xec\x88\x98\xed\x8a\xb8 \xec\x9d\xb4\xeb\xaf\xbc\xed\x98\xb8 \xeb\xb0\xb0\xec\x9a\xb0\xeb\xa7\x8c \xeb\xb3\xb4\xea\xb3\xa0\n\xec\x97\x90\xec\x96\xb4\xec\xbb\xa8\xec\x9d\x80 \xec\xa0\x88\xeb\x8c\x80 \xea\xb1\xb0\xeb\x93\xa4\xeb\x96\xa0 \xeb\xb3\xb4\xec\xa7\x80 \xec\x95\x8a\xea\xb2\xa0\xec\x8a\xb5\xeb\x8b\x88\xeb\x8b\xa4\n\n\xea\xb4\x91\xea\xb3\xa0 \xec\xb4\xac\xec\x98\x81 \xed\x98\x84\xec\x9e\xa5\xec\x9d\x98 \xec\xb2\xad\xeb\x9f\x89\xec\xa7\x80\xec\x88\x98\xeb\xa5\xbc \xeb\x86\x92\xec\x9d\xb4\xeb\x8a\x94\n\xec\x9d\xb4\xeb\xaf\xbc\xed\x98\xb8 \xeb\xb0\xb0\xec\x9a\xb0\xec\x9d\x98 \xed\x8f\xac\xec\x8a\xa4\xed\x8a\xb8 \xeb\xb3\xb4\xeb\x9f\xac\xec\x98\xa4\xec\x84\xb8\xec\x9a\x94\xf0\x9f\xa7\x8a\n\n\xf0\x9f\x94\x97 https://t.co/g6FbGWNZLj\n\n#LEEMINHO #minoz #\xeb\xaf\xb8\xeb\x85\xb8\xec\xa6\x88\n#\xec\x97\xa0\xec\x99\x80\xec\x9d\xb4\xec\x97\xa0 #\xec\x97\xa0\xec\x99\x80\xec\x9d\xb4\xec\x97\xa0\xec\x97\x94\xed\x84\xb0\xed\x85\x8c\xec\x9d\xb8\xeb\xa8\xbc\xed\x8a\xb8'
1540214166484418560,2022-06-24 06:04:07+00:00,"b""\xf0\x9d\x90\x86\xf0\x9d\x90\x8b\xf0\x9d\x90\x8e\xf0\x9d\x90\x81\xf0\x9d\x90\x80\xf0\x9d\x90\x8b \xf0\x9d\x90\x8e\xf0\x9d\x90\x85\xf0\x9d\x90\x85\xf0\x9d\x90\x88\xf0\x9d\x90\x82\xf0\x9d\x90\x88\xf0\x9d\x90\x80\xf0\x9d\x90\x8b \xf0\x9d\x90\x85\xf0\x9d\x90\x80\xf0\x9d\x90\x8d \xf0\x9d\x90\x82\xf0\x9d\x90\x8b\xf0\x9d\x90\x94\xf0\x9d\x90\x81 '\xf0\x9d\x90\x8c\xf0\x9d\x90\x88\xf0\x9d\x90\x8d\xf0\x9d\x90\x8e\xf0\x9d\x90\x99'\n13TH MEMBERSHIP RECRUITMENT\n\xf0\x9f\x93\x852022. 6. 2 ~ 2022. 7. 22\n\n#\xec\x9d\xb4\xeb\xaf\xbc\xed\x98\xb8 #\xeb\xaf\xb8\xeb\x85\xb8\xec\xa6\x88 #minoz #mym #mymentertainment"""
1540214161799467008,2022-06-24 06:04:06+00:00,b'[#LEEMINHO]\n\xf0\x9d\x9a\x83\xf0\x9d\x99\xbe. \xf0\x9d\x99\xbc\xf0\x9d\x99\xb8\xf0\x9d\x99\xbd\xf0\x9d\x99\xbe\xf0\x9d\x9a\x89\n\xf0\x9d\x99\xb5\xf0\x9d\x9a\x81\xf0\x9d\x99\xbe\xf0\x9d\x99\xbc. \xf0\x9d\x99\xbb\xf0\x9d\x99\xb4\xf0\x9d\x99\xb4 \xf0\x9d\x99\xbc\xf0\x9d\x99\xb8\xf0\x9d\x99\xbd\xf0\x9d\x99\xb7\xf0\x9d\x99\xbe\n\n\xec\x9d\xb4\xeb\xaf\xbc\xed\x98\xb8 \xeb\xb0\xb0\xec\x9a\xb0\xeb\x8a\x94 \xec\x9d\xb4\xeb\xa0\x87\xea\xb2\x8c \xec\x88\x98\xeb\xa0\xa4\xed\x95\x9c \xeb\xaa\xa8\xec\x8a\xb5\xec\x9c\xbc\xeb\xa1\x9c\n\xeb\xaf\xb8\xeb\x85\xb8\xec\xa6\x88\xec\x97\x90\xea\xb2\x8c \xeb\xac\xb4\xec\x8a\xa8 \xeb\xa7\x90\xec\x9d\x84 \xec\xa0\x84\xed\x95\x98\xeb\xa0\xa4 \xed\x96\x88\xec\x9d\x84\xea\xb9\x8c\xec\x9a\x94?\n\n\xec\x9d\xb4\xeb\xaf\xbc\xed\x98\xb8 \xeb\xb0\xb0\xec\x9a\xb0\xec\x9d\x98 \xed\x8e\xb8\xec\xa7\x80\xeb\x8a\x94 8\xec\x9b\x94 1\xec\x9d\xbc\n&lt;Welcome 13th Global Minoz&gt; \n\xec\x98\x81\xec\x83\x81\xec\x97\x90\xec\x84\x9c \xed\x99\x95\xec\x9d\xb8\xed\x95\xb4\xec\xa3\xbc\xec\x84\xb8\xec\x9a\x94 :)\n*\xea\xb3\xb5\xec\x8b\x9d \xed\x8c\xac\xed\x81\xb4\xeb\x9f\xbd \xed\x9a\x8c\xec\x9b\x90 \xea\xb2\x8c\xec\x8b\x9c\xed\x8c\x90 MINOZ ZONE\xec\x97\x90\xec\x84\x9c \xea\xb3\xb5\xea\xb0\x9c\xeb\x90\xa9\xeb\x8b\x88\xeb\x8b\xa4. https://t.co/qzkri0hO00'
1539434291188228096,2022-06-22 02:25:10+00:00,"b'\xe2\x9c\x8d\xef\xb8\x8f\n""\xeb\xa7\xa4\xeb\x85\x84 \xec\x83\x9d\xec\x9d\xbc\xec\x9d\x84 \xed\x8a\xb9\xeb\xb3\x84\xed\x95\x9c \xeb\x82\xa0\xeb\xa1\x9c \n\xeb\xa7\x8c\xeb\x93\xa4\xec\x96\xb4\xec\xa3\xbc\xeb\x8a\x94 \xeb\xaf\xb8\xeb\x85\xb8\xec\xa6\x88! \xea\xb3\xa0\xeb\xa7\x88\xec\x9b\x8c\xec\x9a\x94""\n\n#Happyminhoday #\xec\x9d\xb4\xeb\xaf\xbc\xed\x98\xb8\xec\x83\x9d\xec\x9d\xbc\xec\xb6\x95\xed\x95\x98\xed\x95\xb4\n#\xec\x9d\xb4\xeb\xaf\xbc\xed\x98\xb8 #\xeb\xaf\xb8\xeb\x85\xb8\xec\xa6\x88 #leeminho #minoz\n#mym #mymentertainment'"
1539434286092152833,2022-06-22 02:25:09+00:00,b'\xf0\x9f\x8e\x82 \xf0\x9d\x9f\x9a\xf0\x9d\x9f\x98\xf0\x9d\x9f\x9a\xf0\x9d\x9f\x9a. \xf0\x9d\x9f\x98\xf0\x9d\x9f\x9e. \xf0\x9d\x9f\x9a\xf0\x9d\x9f\x9a \xf0\x9f\x8e\x82\n\n\xca\x9c\xe1\xb4\x80\xe1\xb4\x98\xe1\xb4\x98\xca\x8f \xca\x99\xc9\xaa\xca\x80\xe1\xb4\x9b\xca\x9c\xe1\xb4\x85\xe1\xb4\x80\xca\x8f \xca\x9f\xe1\xb4\x87\xe1\xb4\x87 \xe1\xb4\x8d\xc9\xaa\xc9\xb4\xca\x9c\xe1\xb4\x8f\n\xec\x9d\xb4\xeb\xaf\xbc\xed\x98\xb8 \xeb\xb0\xb0\xec\x9a\xb0\xec\x9d\x98 \xec\x83\x9d\xec\x9d\xbc\xec\x9d\x84 \xec\xb6\x95\xed\x95\x98\xed\x95\xa9\xeb\x8b\x88\xeb\x8b\xa4! \n\xec\x98\xa4\xeb\x8a\x98 \xec\x84\xb8\xec\x83\x81\xec\x97\x90\xec\x84\x9c \xea\xb0\x80\xec\x9e\xa5 \xed\x96\x89\xeb\xb3\xb5\xed\x95\x9c \xec\x82\xac\xeb\x9e\x8c\xec\x9d\x80 \n\xec\x9d\xb4\xeb\xaf\xbc\xed\x98\xb8 \xeb\xb0\xb0\xec\x9a\xb0\xec\x98\x80\xec\x9c\xbc\xeb\xa9\xb4 \xec\xa2\x8b\xea\xb2\xa0\xec\x8a\xb5\xeb\x8b\x88\xeb\x8b\xa4\xf0\x9f\x92\x9c\n\n\xed\x95\xa8\xea\xbb\x98 \xec\xb6\x95\xed\x95\x98\xed\x95\xb4\xec\xa3\xbc\xec\x8b\xa0 \xec\xa0\x84\xec\x84\xb8\xea\xb3\x84 \xeb\xaf\xb8\xeb\x85\xb8\xec\xa6\x88\xec\x97\x90\xea\xb2\x8c\xeb\x8f\x84\n\xec\xa6\x90\xea\xb1\xb0\xec\x9a\xb4 \xec\x9d\xbc\xeb\xa7\x8c \xea\xb0\x80\xeb\x93\x9d\xed\x96\x88\xec\x9c\xbc\xeb\xa9\xb4 \xec\xa2\x8b\xea\xb2\xa0\xec\x8a\xb5\xeb\x8b\x88\xeb\x8b\xa4! https://t.co/9pyZSY1eAJ'
1539191134013952005,2022-06-21 10:18:57+00:00,b'\xeb\x8d\x94\xec\x9a\xb1 \xec\x9e\x90\xec\x84\xb8\xed\x95\x9c \xeb\x82\xb4\xec\x9a\xa9\xec\x9d\x80 \xea\xb3\xb5\xec\x8b\x9d \xed\x99\x88\xed\x8e\x98\xec\x9d\xb4\xec\xa7\x80\xec\x9d\x98\n\xea\xb3\xb5\xec\xa7\x80\xeb\xa5\xbc \xed\x86\xb5\xed\x95\xb4 \xed\x99\x95\xec\x9d\xb8\xed\x95\x98\xec\x8b\xa4 \xec\x88\x98 \xec\x9e\x88\xec\x8a\xb5\xeb\x8b\x88\xeb\x8b\xa4\xf0\x9f\x92\x81\n\xf0\x9f\x94\x97Koreans: https://t.co/P4oMJFj7HH\n\xf0\x9f\x94\x97Foreigners: https://t.co/D8v8TdHHMf\n\n#\xec\x9d\xb4\xeb\xaf\xbc\xed\x98\xb8 #\xeb\xaf\xb8\xeb\x85\xb8\xec\xa6\x88 #minoz #mym #mymentertainment'
1539191130201264128,2022-06-21 10:18:56+00:00,"b""[#LEEMINHO]\n\xf0\x9d\x90\x86\xf0\x9d\x90\x8b\xf0\x9d\x90\x8e\xf0\x9d\x90\x81\xf0\x9d\x90\x80\xf0\x9d\x90\x8b \xf0\x9d\x90\x8e\xf0\x9d\x90\x85\xf0\x9d\x90\x85\xf0\x9d\x90\x88\xf0\x9d\x90\x82\xf0\x9d\x90\x88\xf0\x9d\x90\x80\xf0\x9d\x90\x8b \xf0\x9d\x90\x85\xf0\x9d\x90\x80\xf0\x9d\x90\x8d \xf0\x9d\x90\x82\xf0\x9d\x90\x8b\xf0\x9d\x90\x94\xf0\x9d\x90\x81 '\xf0\x9d\x90\x8c\xf0\x9d\x90\x88\xf0\x9d\x90\x8d\xf0\x9d\x90\x8e\xf0\x9d\x90\x99'\n13TH MEMBERSHIP RECRUITMENT\n\n\xea\xb8\x80\xeb\xa1\x9c\xeb\xb2\x8c \xea\xb3\xb5\xec\x8b\x9d \xed\x8c\xac\xed\x81\xb4\xeb\x9f\xbd '\xeb\xaf\xb8\xeb\x85\xb8\xec\xa6\x88 13\xea\xb8\xb0' \xeb\xaa\xa8\xec\xa7\x91\xec\xa4\x91!\n\xf0\x9f\x93\x852022. 6. 2 ~ 2022. 7. 22 https://t.co/RotOrUERTK"""
1537618451942223873,2022-06-17 02:09:41+00:00,"b""[\xf0\x9f\x93\xa2]\n\xed\x8c\xac\xed\x81\xb4\xeb\x9f\xbd \xed\x9a\x8c\xec\x9b\x90\xea\xb2\x8c\xec\x8b\x9c\xed\x8c\x90 \xec\x97\x85\xeb\x8d\xb0\xec\x9d\xb4\xed\x8a\xb8\n'MINOZ ZONE - Mlog' \xea\xb2\x8c\xec\x8b\x9c\xed\x8c\x90\xec\x9d\x84 \xed\x86\xb5\xed\x95\xb4 \xed\x99\x95\xec\x9d\xb8 \xeb\xb6\x80\xed\x83\x81\xeb\x93\x9c\xeb\xa6\xbd\xeb\x8b\x88\xeb\x8b\xa4.\n\n\xf0\x9f\x94\x97Koreans: https://t.co/813POBKT4D\n\xf0\x9f\x94\x97Foreigners: https://t.co/NonYDwVopx\n\n#\xec\x9d\xb4\xeb\xaf\xbc\xed\x98\xb8 #\xeb\xaf\xb8\xeb\x85\xb8\xec\xa6\x88 #\xec\x97\xa0\xec\x99\x80\xec\x9d\xb4\xec\x97\xa0\n#LEEMINHO #minoz #mym\n#mymentertainment"""
1536646362154287105,2022-06-14 09:46:56+00:00,"b""[\xf0\x9f\x93\xbd][#LEEMINHO]\n\n\xec\x9d\xb4\xeb\xb2\x88 \xed\x99\x94\xeb\xb3\xb4 \xec\xa7\x84\xec\xa7\x9c \xea\xb7\xb9\xea\xb3\xbc \xea\xb7\xb9...\n\xec\x84\xb1\xec\x9d\x80\xec\x9d\xb4 \xeb\xa7\x9d'\xea\xb7\xb9', \xeb\xaf\xb8\xec\x9d\x98 \xea\xb6\x81'\xea\xb7\xb9'!!!\n\n\xec\x9d\xb4\xeb\xaf\xbc\xed\x98\xb8 \xeb\xb0\xb0\xec\x9a\xb0\xec\x9d\x98 W\xec\xbd\x94\xeb\xa6\xac\xec\x95\x84 \xed\x99\x94\xeb\xb3\xb4 \n\xeb\xa9\x94\xec\x9d\xb4\xed\x82\xb9\xec\x9d\xb4 \xea\xb3\xb5\xea\xb0\x9c\xeb\x90\x98\xec\x97\x88\xec\x8a\xb5\xeb\x8b\x88\xeb\x8b\xa4! \n\xeb\xb0\x98\xeb\xb3\xb5\xec\x9e\xac\xec\x83\x9d \xec\x9c\xa0\xeb\xb0\x9c\xed\x95\x98\xeb\x8a\x94 \xeb\xb9\x84\xec\xa3\xbc\xec\x96\xbc\xec\x97\x90 \n\xec\xa3\xbc\xec\x9d\x98\xed\x95\x98\xec\x97\xac \xec\x8b\x9c\xec\xb2\xad\xed\x95\x98\xec\x84\xb8\xec\x9a\x94\xf0\x9f\x99\x8c\n\n\xf0\x9f\x91\x89 https://t.co/rSL9W3Jrji\n\n#\xec\x9d\xb4\xeb\xaf\xbc\xed\x98\xb8 #minoz #\xeb\xaf\xb8\xeb\x85\xb8\xec\xa6\x88\n#\xec\x97\xa0\xec\x99\x80\xec\x9d\xb4\xec\x97\xa0 #\xec\x97\xa0\xec\x99\x80\xec\x9d\xb4\xec\x97\xa0\xec\x97\x94\xed\x84\xb0\xed\x85\x8c\xec\x9d\xb8\xeb\xa8\xbc\xed\x8a\xb8 https://t.co/OuK38ukCBn"""
