twitter_id,date,tweet
1543973875687596033,2022-07-04 15:03:52+00:00,"b'Thank you to my band and my crew for two seamless shows. And a huge thank you to everyone from BST, an absolutely impeccably run event, you looked after the crowds so well and I\xe2\x80\x99m so honored to have been asked to perform this year  so thank you! See you really soon \xe2\x99\xa5\xef\xb8\x8f https://t.co/v3d36k0rbi'"
1543973499508752386,2022-07-04 15:02:22+00:00,"b'Hyde Park Night 2! My heart is absolutely full! I\xe2\x80\x99ll never forget these shows with you, slap bang in the middle of London, outdoors, during Pride weekend! You brought everything and more! Thank you so so much for having me. Thank you to the entire line up you were all incredible. https://t.co/1j8Kib05My'"
1543254652807954439,2022-07-02 15:25:56+00:00,"b'Thank you my loves, I can\xe2\x80\x99t wait to do it all again tonight \xe2\x99\xa5\xef\xb8\x8f https://t.co/tTPniZptfh'"
1543254498247835648,2022-07-02 15:25:19+00:00,b'Hyde Park Night 1! What a crowd!! https://t.co/t3DBH8z5fb'
1542530240060194816,2022-06-30 15:27:22+00:00,b'Who\xe2\x80\x99s ready for tomorrow!? https://t.co/gMU7m1fh4g'
1540050262659923968,2022-06-23 19:12:50+00:00,"b'It\xe2\x80\x99s going to be incredible, there\xe2\x80\x99s a whole host of us performing all day, I can\xe2\x80\x99t wait to share the main stage with you ladies \xe2\x99\xa5\xef\xb8\x8f'"
1540050200240218113,2022-06-23 19:12:35+00:00,"b""The line up for my Hyde Park shows next week is going to blow your socks off!! An all female bill, from new artists that I'm obsessed with to the heavenly @KaceyMusgraves to one of my favorite artists of all time @GabrielleUk who I\xe2\x80\x99ve loved since I was 4!! https://t.co/0Xh6pFjMgv"""
1536808141580406784,2022-06-14 20:29:48+00:00,"b'I stand with the Grenfell families. Follow @GrenfellUnited and join their campaign for truth, justice and change \xf0\x9f\x92\x9a https://t.co/RZb3aiQfq4'"
1522416605954670593,2022-05-06 03:22:58+00:00,"b'What a difference a year makes! If time keeps healing &amp; smoothing out all the creases in my life like it does as the years fly by, then I can\xe2\x80\x99t wait to be 60! I\xe2\x80\x99ve never been happier! So many lessons, so many blessings to be grateful for. This is 34, &amp; I love it here!Thank you x https://t.co/fxD57Mjn9F'"
1505295609204510720,2022-03-19 21:30:14+00:00,"b'It was so much fun, people were wild, I was reunited with my favourite teacher from school when I was a teenager, Scary Spice was there, my fans were there and it was just the best, knees up of a night \xf0\x9f\x87\xac\xf0\x9f\x87\xa7'"
1505295521673588747,2022-03-19 21:29:54+00:00,b'I did a show at home in London last year that is going to be on NBC tomorrow night!! It was a show I used to watch growing up called \xe2\x80\x98An Audience With\xe2\x80\x99. https://t.co/kFMmvw8ysF'
1491507862807449610,2022-02-09 20:22:40+00:00,"b'What a night! Thank you @BRITs, thank you Sally and Tom for being so accommodating. Thank you to everyone who was there in the crowd, you were so loud and loving! Congratulations to all the other winners and nominees, keep on smashing it! \xf0\x9f\x87\xac\xf0\x9f\x87\xa7 \xe2\x9c\xa8 https://t.co/8jDoF0DJ6E'"
1488585221066928139,2022-02-01 18:49:07+00:00,"b'Hiya, so I\xe2\x80\x99m really happy to say that I am performing at the Brits next week!! Anddddd I\xe2\x80\x99ll also be popping in to see Graham for a chat on the couch while I\xe2\x80\x99m in town too! I\xe2\x80\x99m looking forward to it! Oh, and Rich sends his love \xe2\x99\xa5\xef\xb8\x8f https://t.co/8DsDPcH8ph'"
1484737570332315648,2022-01-22 03:59:56+00:00,b'@_adxleeditss_ I appreciate your edits! Now go carry on living your life out loud in full color x'
1484728575513165824,2022-01-22 03:24:11+00:00,b'I have the best fans in the world! Your graciousness and love tonight is overwhelming! Thank you \xe2\x99\xa5\xef\xb8\x8f'
1484717693605277696,2022-01-22 02:40:57+00:00,"b'@Dominic_Criso Your mum did such a good job on your nails!! Keep that tux steamed and crisp my love for when I come back! I appreciate you so much, I\xe2\x80\x99m so sorry \xe2\x99\xa5\xef\xb8\x8f'"
1484296618191069186,2022-01-20 22:47:45+00:00,b'All dates will be rescheduled\nMore info coming soon\n\xf0\x9f\x92\x94 https://t.co/k0A4lXhW5l'
1482175368433790977,2022-01-15 02:18:39+00:00,b'@DayTitsDreamers I love this idea \xe2\x99\xa5\xef\xb8\x8f https://t.co/usTvi4mH3l'
1481315517218664451,2022-01-12 17:21:55+00:00,"b'Big thank you to Harris Reed, Louis Vuitton and The Queens Haus - Vivienne Westwood for the most stunning clothes for me to sing  my \xe2\x80\x9cI\xe2\x80\x99m a hot mess\xe2\x80\x9d song in! \xe2\x99\xa5\xef\xb8\x8f https://t.co/lnMaSHyJBZ'"
