twitter_id,date,tweet
1369744020763774979,2021-03-10 20:16:37+00:00,b'https://t.co/kpKzPzfODn'
1369712119277522944,2021-03-10 18:09:51+00:00,b'https://t.co/fKXu8Lp7KX'
1369712089556680709,2021-03-10 18:09:44+00:00,b'https://t.co/BFZn4zUqPb'
1369712056933347329,2021-03-10 18:09:37+00:00,b'https://t.co/Es72bTgYwb'
1369712022150025216,2021-03-10 18:09:28+00:00,b'https://t.co/uVNIwe7zCG'
1369711973592526853,2021-03-10 18:09:17+00:00,b'https://t.co/VyyCuVS5pq'
1369247344093462531,2021-03-09 11:23:00+00:00,b'https://t.co/lgeoi7eWbK'
1369247257321701377,2021-03-09 11:22:40+00:00,b'https://t.co/QoGsSnurFB'
1369247231551934468,2021-03-09 11:22:34+00:00,b'https://t.co/wgXlgW4bEk'
1369247204968456192,2021-03-09 11:22:27+00:00,b'https://t.co/oYKh0e3L0a'
1369247179592916993,2021-03-09 11:22:21+00:00,b'https://t.co/zXEChzOGX0'
1369247153835675650,2021-03-09 11:22:15+00:00,b'https://t.co/vCs8teqAyu'
1369247128485265408,2021-03-09 11:22:09+00:00,b'https://t.co/k1neE0wCyA'
1369247105294929923,2021-03-09 11:22:03+00:00,b'https://t.co/YtH5NFLFdb'
1369247079084736520,2021-03-09 11:21:57+00:00,b'https://t.co/gYmWlq8VRo'
1369247054170628104,2021-03-09 11:21:51+00:00,b'https://t.co/K9a1Hm1LbV'
1369247035312967684,2021-03-09 11:21:47+00:00,b'https://t.co/rP35X5S5wf'
1369012377111429122,2021-03-08 19:49:20+00:00,b'https://t.co/aCL2sardhu'
1368989132261834757,2021-03-08 18:16:58+00:00,"b'Lamento profundamente el fallecimiento de mi querido amigo @cepillintv icono de la Televisi\xc3\xb3n Mexicana. Mis condolencias para Ricardo, Franky y toda su familia y amigos. Te vamos a extra\xc3\xb1ar mucho. Descanse en paz. https://t.co/0OmWeIVDkz'"
1368966632958201861,2021-03-08 16:47:34+00:00,b'https://t.co/rM1t3ESYIA'
1368966579338248194,2021-03-08 16:47:21+00:00,b'EXATL\xc3\x93N: el Fen\xc3\xb3meno de la Televisi\xc3\xb3n Mexicana @AztecaUNO https://t.co/rUDlJAMWb1'
1368868698312806401,2021-03-08 10:18:24+00:00,b'https://t.co/ouF0M4bLDh'
1368868673738448896,2021-03-08 10:18:18+00:00,b'https://t.co/01RvniFUjg'
1368868651802259456,2021-03-08 10:18:13+00:00,b'https://t.co/vwCaNUVzPO'
1368868626296627200,2021-03-08 10:18:07+00:00,b'https://t.co/ysLHCMoG0f'
1368868607095111685,2021-03-08 10:18:02+00:00,b'https://t.co/T45iEGxlCj'
1368868585813245955,2021-03-08 10:17:57+00:00,b'https://t.co/NPjSMKWfwU'
1368868570059468801,2021-03-08 10:17:54+00:00,b'https://t.co/77qFOJ6Ttq'
1368680980547043332,2021-03-07 21:52:29+00:00,b'https://t.co/kGJMHshvBB'
1368680954550759427,2021-03-07 21:52:23+00:00,b'https://t.co/MoHjK6c7zw'
1368680937567948804,2021-03-07 21:52:19+00:00,b'https://t.co/lYbZetlcvQ'
1368575874086342657,2021-03-07 14:54:49+00:00,b'Ciudad de M\xc3\xa9xico \xf0\x9f\x87\xb2\xf0\x9f\x87\xbd les deseo estupendo Domingo y que Dios les bendiga... y saluden que no dormimos juntos \xf0\x9f\x98\x83 https://t.co/wXINnpdY0G'
1368550533372477446,2021-03-07 13:14:08+00:00,b'https://t.co/MJCL5oKUbU'
1368550509175521280,2021-03-07 13:14:02+00:00,b'https://t.co/bz1owzbEfR'
1368550478942978050,2021-03-07 13:13:55+00:00,b'https://t.co/tpIPSGTo6m'
1368550443081728000,2021-03-07 13:13:46+00:00,b'https://t.co/9ppR9aNFBz'
1368550417186107397,2021-03-07 13:13:40+00:00,b'https://t.co/aG3neinRpe'
1368550390992695303,2021-03-07 13:13:34+00:00,b'https://t.co/SKpf45Rpty'
1368550365742915584,2021-03-07 13:13:28+00:00,b'https://t.co/XUOLXmkNzm'
1368550340732272647,2021-03-07 13:13:22+00:00,b'https://t.co/QxQwNfRA15'
1368550316686405637,2021-03-07 13:13:16+00:00,b'https://t.co/kQ6BpSogtj'
1368550297149267973,2021-03-07 13:13:11+00:00,b'https://t.co/XeGDWitZTj'
1368339594450763784,2021-03-06 23:15:56+00:00,b'EXATL\xc3\x93N: el Fen\xc3\xb3meno de la Televisi\xc3\xb3n Mexicana @AztecaUNO https://t.co/YUvKCnXTiH'
1368339428071124992,2021-03-06 23:15:16+00:00,b'https://t.co/1WCouJvkHq'
1368339409603604483,2021-03-06 23:15:12+00:00,b'https://t.co/DqZOVgoRdK'
1368339392302096386,2021-03-06 23:15:08+00:00,b'https://t.co/Krpn6iSmLn'
1368259360447725568,2021-03-06 17:57:07+00:00,b'Sabadeando https://t.co/nPb0Gz15kQ'
1368224724241809408,2021-03-06 15:39:29+00:00,b'https://t.co/Yw4wSINqgY'
1368224699419885575,2021-03-06 15:39:23+00:00,b'https://t.co/8Urqpfl6EW'
1368224679106904065,2021-03-06 15:39:18+00:00,b'https://t.co/PR62boMXAo'
1368176192600350727,2021-03-06 12:26:38+00:00,b'https://t.co/LDGr64OuiM'
1368176165463207944,2021-03-06 12:26:31+00:00,b'https://t.co/YofvOXANZE'
1368176135775879169,2021-03-06 12:26:24+00:00,b'https://t.co/qysnark34V'
1368176114800136201,2021-03-06 12:26:19+00:00,b'https://t.co/GXE0lYHKIu'
1368176094373965841,2021-03-06 12:26:15+00:00,b'https://t.co/jLsk5zHq2d'
1368176075004592132,2021-03-06 12:26:10+00:00,b'https://t.co/EFac7KGWjv'
1368166837385633797,2021-03-06 11:49:28+00:00,b'Les deseo estupendo S\xc3\xa1bado y que Dios les bendiga... y saluden que no dormimos juntos \xf0\x9f\x98\x80 https://t.co/pVKStjZxC1'
1368004368361000962,2021-03-06 01:03:52+00:00,b'Y juntos somos m\xc3\xa1s fuertes y podemos ayudar. https://t.co/nHQJJamloW'
1367994832019423232,2021-03-06 00:25:58+00:00,b'https://t.co/nJuuylTbvL'
1367994809668034566,2021-03-06 00:25:53+00:00,b'https://t.co/VC5e9Qkzca'
1367994788209963009,2021-03-06 00:25:48+00:00,b'https://t.co/5ijGeaj0Mr'
1367994757268574208,2021-03-06 00:25:40+00:00,b'Los juguetes... #Hobbie #Biker https://t.co/gLoIZESGBU'
1367994659360882689,2021-03-06 00:25:17+00:00,b'Cerrando la semana. Miami \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 https://t.co/ouMkKOFWQO'
1367920824116797441,2021-03-05 19:31:53+00:00,b'https://t.co/gTwgVlMSd5'
1367920802130169858,2021-03-05 19:31:48+00:00,b'https://t.co/v6hAIfrOFW'
1367920779787186179,2021-03-05 19:31:43+00:00,b'https://t.co/xGusuS6Ui7'
1367917944194408453,2021-03-05 19:20:27+00:00,b'EXATL\xc3\x93N: el Fen\xc3\xb3meno de la Televisi\xc3\xb3n Mexicana @AztecaUNO @azteca https://t.co/8HHNSVT8Ry'
1367916924106141699,2021-03-05 19:16:24+00:00,b'\xc2\xa1 Gracias a la audiencia ! @VengaLaAlegria @AztecaUNO https://t.co/HraDH271yb'
1367909312820092929,2021-03-05 18:46:09+00:00,b'EXATL\xc3\x93N: el Fen\xc3\xb3meno de la Televisi\xc3\xb3n Mexicana @AztecaUNO https://t.co/7TPRdEsxC2'
1367863174964346880,2021-03-05 15:42:49+00:00,b'\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb https://t.co/DSuGuTIHIW'
1367859353802440709,2021-03-05 15:27:38+00:00,b'https://t.co/ooSPcHlT9j'
1367785584278855681,2021-03-05 10:34:30+00:00,b'Hoy a las 7:30 de la noche: Gran Final @MasterChefMx @AztecaUNO https://t.co/2Vp30Ovuhz'
1367784300154941441,2021-03-05 10:29:24+00:00,b'Hola querido \xf0\x9f\x8c\x8e les deseo estupendo Viernes y que Dios les bendiga... y saluden que no dormimos juntos \xf0\x9f\x98\x80 https://t.co/Nka2FXp9Lv'
1367780499016548353,2021-03-05 10:14:17+00:00,b'https://t.co/UuVw89JF1F'
1367780465076273152,2021-03-05 10:14:09+00:00,b'https://t.co/PfOJtPJgGi'
1367780425154899970,2021-03-05 10:14:00+00:00,b'https://t.co/dwRnB5gvak'
1367780397216579584,2021-03-05 10:13:53+00:00,b'https://t.co/aeogJmRfqu'
1367780367198023683,2021-03-05 10:13:46+00:00,b'https://t.co/FQTIx425MQ'
1367780344804556802,2021-03-05 10:13:40+00:00,b'https://t.co/7CVt89b2Rp'
1367780317759762435,2021-03-05 10:13:34+00:00,b'https://t.co/7aeWTz4y3h'
1367780295005601794,2021-03-05 10:13:29+00:00,b'https://t.co/elCaJzTRRM'
1367780273962778625,2021-03-05 10:13:24+00:00,b'https://t.co/dAaJkgYfU6'
1367628701924491264,2021-03-05 00:11:06+00:00,b'Felicidades a todo el equipo de @VengaLaAlegria el mejor matutino de la Televisi\xc3\xb3n Mexicana @AztecaUNO https://t.co/um1MaEPQH0'
