twitter_id,date,tweet
1496589144025354254,2022-02-23 20:53:51+00:00,b'What an amazing show in Las Vegas @AGT https://t.co/4ag9fxElds'
1451246103530254348,2021-10-21 17:56:48+00:00,b'The last few months I been working on a special project and today I can finally announce that my new company @VaderaCapital is open for business!If you need a debit card with no overdraft fees or monthly fees sign up! Find out more https://t.co/HOGEqECGqY https://t.co/8WACGh6orv'
1449621052183638017,2021-10-17 06:19:26+00:00,"b'@Kenricward @Ryanexpress77 I understand, I\xe2\x80\x99m just visiting I reside in the beautiful FLORIDA \xe2\x98\x80\xef\xb8\x8f'"
1449620220813873154,2021-10-17 06:16:07+00:00,b'@PipesYour Heard about this place will check it out. Thanks!'
1449450336037441536,2021-10-16 19:01:04+00:00,b'@christyluvsla I don\xe2\x80\x99t but that\xe2\x80\x99s awesome he is super funny!'
1449406973913415688,2021-10-16 16:08:45+00:00,"b'@christyluvsla Thank you, it\xe2\x80\x99s beautiful.'"
1449404083509420037,2021-10-16 15:57:16+00:00,b'I\xe2\x80\x99m loving Idaho! Will be here a few more days. Any good places I should visit?'
1441217756553175041,2021-09-24 01:47:44+00:00,b'@iamcarlenes DM me your email. Let\xe2\x80\x99s work!'
1441216981261172742,2021-09-24 01:44:39+00:00,b'@tarashanele @TheProgCentre Ok great let\xe2\x80\x99s get you some business in the US! DM me your email'
1441216760271695876,2021-09-24 01:43:46+00:00,"b'@iamcarlenes I will definitely look into it, I don\xe2\x80\x99t have any business ventures in the beautiful Jamaica \xf0\x9f\x87\xaf\xf0\x9f\x87\xb2 let\xe2\x80\x99s change that!'"
1441216375779848194,2021-09-24 01:42:15+00:00,b'@tarashanele @TheProgCentre Where are you based out of?'
1441216112906047493,2021-09-24 01:41:12+00:00,b'@tarashanele @AspireCpa Might be looking for one soon will follow!'
1441215175005073412,2021-09-24 01:37:28+00:00,b'@iamcarlenes Awesome!'
1441214923414007808,2021-09-24 01:36:28+00:00,b'@iamcarlenes Where are you located?'
1441214064424796160,2021-09-24 01:33:04+00:00,"b'If my friend has a tax business, that\xe2\x80\x99s who I\xe2\x80\x99m filling my taxes with.\n\nIf my friend has a barbershop, that\xe2\x80\x99s where I\xe2\x80\x99m getting a cut.\n\nIf my friend sells cars, that\xe2\x80\x99s where I am buying my car from.\n\nWhat is your business? Let\xe2\x80\x99s support each other #business #support'"
1440715138777038858,2021-09-22 16:30:30+00:00,"b'To get something you\xe2\x80\x99ve never had, you have to do something you\xe2\x80\x99ve never done.'"
1436391013275275264,2021-09-10 18:07:59+00:00,"b'At the bottom, you can see Ladder 118 crossing over the Brooklyn Bridge on their way to the World Trade Center. This is their last known photo. Every single firefighter on that truck died just a few minutes later. NEVER FORGET #911Anniversary #September11 https://t.co/wuL3DHgLkQ'"
1432315033501982725,2021-08-30 12:11:29+00:00,"b""Meet Landon....\n\nHis father, Marine LCPL Carpenter, gave his life defending our country in Afghanistan, a month before his son was born. \n\nBaby Landon's Mom wants his story to be known. \n\nPlease help me in honoring Marine LCPL Carpenter, so that he is not forgotten. \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 https://t.co/p0rALa8nkk"""
1431994987642773508,2021-08-29 14:59:44+00:00,b'We will never forget your sacrifice. Thank you \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 https://t.co/KfCSaaP8Dk'
1423819447572238342,2021-08-07 01:33:04+00:00,b'@obryanblack Read it again'
1423797330587922441,2021-08-07 00:05:11+00:00,b'@austintalleytx Thank you for playing your part.'
1423796412500881409,2021-08-07 00:01:32+00:00,b'@pretty7159 A lot! How are you?'
1423796337624195076,2021-08-07 00:01:14+00:00,b'@jerichojames777 @re_treasured Thank you'
1423795819703160832,2021-08-06 23:59:10+00:00,b'@Jules35260162 Read it'
1423793723025076227,2021-08-06 23:50:51+00:00,b'I don\xe2\x80\x99t care who is offended by this. It\xe2\x80\x99s been long enough and the science is clear. I support mandatory vacations for everyone!'
1278781078099165186,2020-07-02 20:02:22+00:00,"b""If you're looking to learn SEO these days, @Charles_SEO is the best kid on the block. His new ebook can teach anyone and their grandma how to do SEO and make money with it: https://t.co/2WwWmwubTL"""
1265832945023156224,2020-05-28 02:31:06+00:00,b'#JusticeForGeorgeFloyd'
1230985659378212864,2020-02-21 22:40:26+00:00,b'@loveshark I think the oscars is a scam anyway.'
1230979869271560193,2020-02-21 22:17:25+00:00,b'@JohnVanderlin12 Yeah I\xe2\x80\x99m getting mixed reviews. Either way thanks for your input!'
1230979689759506432,2020-02-21 22:16:43+00:00,b'@ProudGrandma72 That\xe2\x80\x99s one way to look at it.'
1230979557093715968,2020-02-21 22:16:11+00:00,b'@AmplusRick I like your answer!'
1230525487904149504,2020-02-20 16:11:53+00:00,b'@contodonetflix @SheIsDash I love this! I don\xe2\x80\x99t understand why people always have to find something wrong with everything.'
1224140428510887936,2020-02-03 01:19:56+00:00,b'Miami!!! @JLo &amp; @shakira #HalftimeShow #SuperBowl'
1221602258682630144,2020-01-27 01:14:09+00:00,b'Words can\xe2\x80\x99t describe the sadness in my heart today. Koby was a great player but more importantly a wonderful father. His daughter reminds me of mine I couldn\xe2\x80\x99t imagine how his family must feel. My prayers are with the them.'
1199747098205413376,2019-11-27 17:49:33+00:00,b'What I\xe2\x80\x99m reading this week! #DitchTheAct Thanks @MrLeonardKim https://t.co/QuUMCqVXK4'
1194252123405467648,2019-11-12 13:54:29+00:00,b'Could AI allow you to live forever? \n Superhuman performance in drug discovery explained in this paper. Read &amp; Retweet! #pharmaAI  https://t.co/9TxeMBBNVD'
1174283862408597504,2019-09-18 11:27:44+00:00,b'I know people! https://t.co/t0DndH08rr'
1174283721391968256,2019-09-18 11:27:10+00:00,b'Hi thanks appreciate that and I currently have the iPhone XS Max but pre ordered the iPhone 11 Pro Max. What kind do you have? Are you getting the iPhone 11? https://t.co/eshQ9qwSLn'
1172599698559053824,2019-09-13 19:55:28+00:00,b'@EveryApplePro https://t.co/pdpagOrPYN'
1166844314984599555,2019-08-28 22:45:38+00:00,b'Love you Puerto Rico we are with you and ready to help in anyway we can.'
