twitter_id,date,tweet
1540405270265835520,2022-06-24 18:43:30+00:00,"b""RT @MichelleObama: My thoughts on the Supreme Court's decision to overturn Roe v. Wade. https://t.co/9ALSbapHDY"""
1540405234085769216,2022-06-24 18:43:21+00:00,"b'RT @imarleneking: Our young people should not have to wake up to devastating, unprecedented times every damn day. #VoteThemOut'"
1529680733999992834,2022-05-26 04:28:01+00:00,b'RT @imarleneking: #Benzmar first photo try More to come. https://t.co/eaqhTyk17y'
1526316063322828800,2022-05-16 21:38:01+00:00,"b'RT @justjaredjr: Hero Fiennes Tiffin and Ashley Benson have joined the cast of the upcoming zombie fairytale movie ""The Loneliest Boy in th\xe2\x80\xa6'"
1526303854672850944,2022-05-16 20:49:30+00:00,b'RT @DEADLINE: Voltage Pictures\xe2\x80\x99 Love Affair With YA Genre: Sets \xe2\x80\x98Game Of Love\xe2\x80\x99 With Bella Thorne &amp; \xe2\x80\x98Loneliest Boy In The World\xe2\x80\x99 With Ashley\xe2\x80\xa6'
1521232040934268928,2022-05-02 20:55:56+00:00,"b""RT @chaddwithtwoDs: I'm excited to share the official trailer for the new film that I wrote and directed: PRIVATE PROPERTY. Starring @AshBe\xe2\x80\xa6"""
1521232017043513345,2022-05-02 20:55:50+00:00,"b""RT @rosariodawson: Snaps! \xf0\x9f\xab\xb0 Entering into the crafted cocktail world with @TAshbourne @VanessaHudgens @AshBenzo  The best things come in 3'\xe2\x80\xa6"""
1521231921916694530,2022-05-02 20:55:27+00:00,"b""RT @etnow: Ashley Benson plays a lonely housewife opposite Shiloh Fernandez's handsome in the thriller #PrivateProperty.\n\nhttps://t.co/p4YK\xe2\x80\xa6"""
1500220620369391618,2022-03-05 21:24:03+00:00,b'@PSchwarzenegger Are you okay'
1493033619878658048,2022-02-14 01:25:28+00:00,b'10000 https://t.co/WzBPLeN5jK'
1493033554346790913,2022-02-14 01:25:13+00:00,b'That halftime show was INSANE'
1466169590329724930,2021-12-01 22:17:25+00:00,b'RT @joshgad: We have failed. Failed our children. Failed ourselves. Failed our victims. We have prioritized guns at all costs no matter the\xe2\x80\xa6'
1458168077904846848,2021-11-09 20:22:15+00:00,b'@imarleneking Love this mar'
