twitter_id,date,tweet
1546574473431658497,2022-07-11 19:17:43+00:00,b'@joeee1993 LOVE \xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5'
1546574344121241600,2022-07-11 19:17:12+00:00,"b'RT @joeee1993: this whole album was pop perfection, please put respect on @AustinMahone and his entire career \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbe https://t.co/5ZcLA4KemA'"
1545197134093225985,2022-07-08 00:04:39+00:00,"b'@wendy1234001 Ok keep that same energy, keep me in check'"
1545195117098676230,2022-07-07 23:56:38+00:00,b'@wendy1234001 \xf0\x9f\x98\x82 stop yelling at me!'
1544567592228073472,2022-07-06 06:23:05+00:00,b'I\xe2\x80\x99ve been going to sleep early lately'
1544371021200773121,2022-07-05 17:21:59+00:00,b'@PJahnigen See you soon bruv!!'
1543996226772750336,2022-07-04 16:32:41+00:00,"b'RT @GHOSTosaka: Our friend from MIAMI @djchizzle, well known as @austinmahone official DJ, will be here at GHOST this Friday.\nSave the date\xe2\x80\xa6'"
1543702887271784448,2022-07-03 21:07:03+00:00,b'RT @sdgeez: me when I listen to The Secret @AustinMahone https://t.co/Z3m9d2Jeg1'
1541929648522530816,2022-06-28 23:40:50+00:00,b'RT @AustinMahone: 7\xe6\x9c\x889\xe6\x97\xa5\xe3\x81\xab\xe6\x9d\xb1\xe4\xba\xac\xe3\x81\xae1\xe3\x82\xaa\xe3\x83\xbc\xe3\x82\xaf\xe3\x81\xa7\xe6\xbc\x94\xe5\xa5\x8f\xe3\x81\x97\xe3\x81\xbe\xe3\x81\x99\xef\xbc\x81\xe6\x97\xa5\xe4\xb8\xad\xe3\x81\xaf\xe3\x82\xa2\xe3\x82\xb3\xe3\x83\xbc\xe3\x82\xb9\xe3\x83\x86\xe3\x82\xa3\xe3\x83\x83\xe3\x82\xaf\xe3\x82\xb7\xe3\x83\xa7\xe3\x83\xbc\xe3\x80\x81\xe5\xa4\x9c\xe3\x81\xaf\xe3\x83\x91\xe3\x83\xbc\xe3\x83\x86\xe3\x82\xa3\xe3\x83\xbc \xf0\x9f\x94\xa5 \xe7\xa7\x81\xe3\x81\xaf\xe3\x81\x84\xe3\x81\x8f\xe3\x81\xa4\xe3\x81\x8b\xe3\x81\xae\xe9\xa9\x9a\xe3\x81\x8d\xe3\x81\x8c\xe3\x81\x82\xe3\x82\x8a\xe3\x81\xbe\xe3\x81\x99\xe3\x80\x82\xe3\x81\xbe\xe3\x81\x9f\xe3\x81\xad ! \xf0\x9f\x87\xaf\xf0\x9f\x87\xb5 \xe3\x81\x93\xe3\x81\x93\xe3\x81\xa7\xe3\x83\x81\xe3\x82\xb1\xe3\x83\x83\xe3\x83\x88\xe3\x82\x92\xe5\x85\xa5\xe6\x89\x8b\xe3\x81\x97\xe3\x81\xa6\xe3\x81\x8f\xe3\x81\xa0\xe3\x81\x95\xe3\x81\x84 \n\nhttps://t.co/DXswaagrVX'
1541848788444164096,2022-06-28 18:19:31+00:00,b'7\xe6\x9c\x889\xe6\x97\xa5\xe3\x81\xab\xe6\x9d\xb1\xe4\xba\xac\xe3\x81\xae1\xe3\x82\xaa\xe3\x83\xbc\xe3\x82\xaf\xe3\x81\xa7\xe6\xbc\x94\xe5\xa5\x8f\xe3\x81\x97\xe3\x81\xbe\xe3\x81\x99\xef\xbc\x81\xe6\x97\xa5\xe4\xb8\xad\xe3\x81\xaf\xe3\x82\xa2\xe3\x82\xb3\xe3\x83\xbc\xe3\x82\xb9\xe3\x83\x86\xe3\x82\xa3\xe3\x83\x83\xe3\x82\xaf\xe3\x82\xb7\xe3\x83\xa7\xe3\x83\xbc\xe3\x80\x81\xe5\xa4\x9c\xe3\x81\xaf\xe3\x83\x91\xe3\x83\xbc\xe3\x83\x86\xe3\x82\xa3\xe3\x83\xbc \xf0\x9f\x94\xa5 \xe7\xa7\x81\xe3\x81\xaf\xe3\x81\x84\xe3\x81\x8f\xe3\x81\xa4\xe3\x81\x8b\xe3\x81\xae\xe9\xa9\x9a\xe3\x81\x8d\xe3\x81\x8c\xe3\x81\x82\xe3\x82\x8a\xe3\x81\xbe\xe3\x81\x99\xe3\x80\x82\xe3\x81\xbe\xe3\x81\x9f\xe3\x81\xad ! \xf0\x9f\x87\xaf\xf0\x9f\x87\xb5 \xe3\x81\x93\xe3\x81\x93\xe3\x81\xa7\xe3\x83\x81\xe3\x82\xb1\xe3\x83\x83\xe3\x83\x88\xe3\x82\x92\xe5\x85\xa5\xe6\x89\x8b\xe3\x81\x97\xe3\x81\xa6\xe3\x81\x8f\xe3\x81\xa0\xe3\x81\x95\xe3\x81\x84 \n\nhttps://t.co/DXswaagrVX'
