twitter_id,date,tweet
1491065901889822721,2022-02-08 15:06:28+00:00,b'@EncantoMovie Congrats!'
1476530668100276228,2021-12-30 12:28:38+00:00,b'BRUNO IERULLO #FASHION LABEL @BRUNOIERULLO #BI #RUNWAY #MILANO #NYC #LONDON #PARIS https://t.co/VapOKvTys9'
1279672316042100736,2020-07-05 07:03:49+00:00,b'BRUNO IERULLO - BI #fashion https://t.co/DOy3Hvk920'
1191045134424662016,2019-11-03 17:31:03+00:00,"b'#FASHION #DESIGNER BRUNO IERULLO (far right) ""hey guys ,dont forget put your clocks back"" me back stage with some of my crew-my friends!  #newyork #milano #london #paris #fashionshow https://t.co/Wu2yLXgzvd'"
1169611564145664000,2019-09-05 14:01:41+00:00,b'BI Fashion Label #fashion #milano #NY #london #paris https://t.co/m7yWZgAEKU'
1169605720096088069,2019-09-05 13:38:28+00:00,b'BI Fall-Winter #fashion #milano #New York #london #paris https://t.co/pAps2Q8nX5'
1151891046361718784,2019-07-18 16:26:41+00:00,b'See this Instagram photo by @ianj_mckenzie https://t.co/oY6vq2ZYlr'
1097339459228655627,2019-02-18 03:38:09+00:00,"b'Next up, something a little different.  #fashion https://t.co/1wI8tox1tB'"
1070065145131532289,2018-12-04 21:19:46+00:00,b'RT @yodaveholstein: Congrats @shokidding on making the Top Ten shows 2018!!! https://t.co/NYeQTM7fnP'
1068866570275958785,2018-12-01 13:57:03+00:00,b'RT @mister_CMS: #WorldAIDSDay is Dececember 1st \xe2\x9d\xa4\xef\xb8\x8f\n#1985thefilm will be observing this day by screening our film in various cities. Thank y\xe2\x80\xa6'
1068280800410517509,2018-11-29 23:09:25+00:00,b'RT @yodaveholstein: @BRUNOIERULLO @Showtime @SHOKidding @JimCarrey Thanks Bruno!!'
1067187060430245888,2018-11-26 22:43:17+00:00,b'Holidays are coming!! https://t.co/Xa6XRzFtIo'
1067181968234827776,2018-11-26 22:23:03+00:00,"b'1st season of Kidding #kidding @Showtime @SHOKidding probably @JimCarrey best role ever,  Loved it Mr Pickles!'"
1040068081878552577,2018-09-13 02:42:08+00:00,"b""My BI FIGHTER robes, fight for what's right! https://t.co/VeCKquxfuk"""
989162904736985089,2018-04-25 15:23:08+00:00,b'#journalist SAMUEL BERGER @UnfilteredSB #fashionarticle about #fashion #designer BRUNO IERULLO #couture #style #runway #ITALY #NY #LONDON #PARIS #MILANO @VanityFairIt @voguemagazine @GQStyle @AP_Fashion @TimesFashion @voguerunway @LDNfashion https://t.co/yFVnZHg1xO'
977281380957802496,2018-03-23 20:30:12+00:00,"b'#MILAN, #ITALY - DG GLAMOUR MAGAZINE ARTICLE FEATURING BRUNO IERULLO  #FASHION #DESIGNER #BRUNOIERULLO \n\n""An article dedicated to the great Canadian fashion designer Bruno Ierullo - an important name in international high fashion""-DG Magazine\n\nFULL ARTICLE\nhttps://t.co/wmHDvflME1 https://t.co/ofLwRdFCSA'"
971819656070692870,2018-03-08 18:47:16+00:00,b'Bruno Ierullo is now available on Amazon!  \nSelected items for exclusive price - use code 15BISALE for extra 15% off!\nLimited time offer\n\nhttps://t.co/gp2mhiVjoZ\n\n#discount #amazon #fashion #sales #brunoierullo #Exclusive #couture #runway https://t.co/R7OkUEvH3m'
950062798637330432,2018-01-07 17:53:17+00:00,b'RT @FCBalletTheatre: I wish you all a wonderful and fruitful year ahead. \n\xe2\x98\x85#GuillaumeCote\xe2\x98\x85 @guillaume__cote \nThanks to all the #dancers fri\xe2\x80\xa6'
935343851803471873,2017-11-28 03:05:26+00:00,"b'A NEW ERA A NEW DAY ,LET #FASHION BEGIN https://t.co/OXC8zqP8Xr https://t.co/An87WpBAMc'"
935338390861631488,2017-11-28 02:43:44+00:00,b'#fashion #designer BRUNO IERULLO #runway #NY #LONDON #MILANO #ITALY #CANADA #TORONTO @VogueRunway @LDNfashion @glamourmag @VanityFairIt @VanityFair @VogueRunway @BritishVogue  massive BI runway @AP_Fashion https://t.co/OXC8zqP8Xr https://t.co/HqTRb2UBcd'
935334208477810695,2017-11-28 02:27:07+00:00,b'#designer BRUNO IERULLO #fashion #runway @voguemagazine @LDNfashion @LDNFashionNews @VanityFairIt @VogueRunway BI #mens #underwear #NY #LONDON #ITALY #CANADA #TORONTO @GQMagazine https://t.co/OXC8zqP8Xr https://t.co/U1iprcMIDO'
935327702080540672,2017-11-28 02:01:16+00:00,b'#fashion #runway #designer BRUNO IERULLO #NY #MILAN #ITALY #LONDON #CANADA @LDNfashion @LDNFashionNews @VogueRunway more excitement on the massive BI runway https://t.co/RuA41OndWq https://t.co/TAEQ7SH0tB'
935322702382067712,2017-11-28 01:41:24+00:00,b'#fashion #designer BRUNO IERULLO #runway #NY #LONDON #MILANO #ITALIA @LDNfashion @VanityFairIt @VogueItaly @glamouritalia @menstylefashion @VogueRunway excitement on the huge BI runway https://t.co/RuA41OndWq https://t.co/uzHFPqrJSs'
