twitter_id,date,tweet
1546554749700509697,2022-07-11 17:59:20+00:00,"b'RT @luizguiprado: M\xc3\xaas passado a pol\xc3\xadcia matou Genivaldo asfixiado na viatura por ele n\xc3\xa3o ouvir um comando\n\nHoje, pra prender um m\xc3\xa9dico que\xe2\x80\xa6'"
1546550075618369538,2022-07-11 17:40:46+00:00,"b'RT @eulaisgomes: Uma gr\xc3\xa1vida.\nEstuprada por um m\xc3\xa9dico.\nAntes de parir.\nNo hospital da mulher. \n\nBrasil, 2022.'"
1546301670635802625,2022-07-11 01:13:41+00:00,"b'RT @marquezinecom: ""\xc3\x89 um meio muito competitivo que envolve muito ego. Se n\xc3\xa3o fosse pela minha f\xc3\xa9, eu poderia ter muitas vezes me deixado l\xe2\x80\xa6'"
1545896503641866242,2022-07-09 22:23:42+00:00,b'RT @fabioaugussto1: Acabei de assistir Maldivas pqp o final me surpreendeu .@BruMarquezine  Macetou muito!!'
1545896010081341447,2022-07-09 22:21:44+00:00,"b'RT @GEEKFLIXOFICIAL: QUEEN \xf0\x9f\x91\x91\n\nBruna Marquezine nos bastidores da s\xc3\xa9rie #Maldivas, obra exclusiva da Netflix.\n\nEi @BruMarquezine, pode conta\xe2\x80\xa6'"
1545895639048929281,2022-07-09 22:20:16+00:00,"b'RT @eulaisgomes: A s\xc3\xa9rie foi gravada ha sei la qto tempo, lan\xc3\xa7ada ha mais de um m\xc3\xaas e JUSTO essa semana sai nota de bastidor pra tentar que\xe2\x80\xa6'"
1545326154323820550,2022-07-08 08:37:20+00:00,b'RT @PremioiBest: \xe2\x9c\xa8\xf0\x9f\x8f\x86\xe2\x9c\xa8  Parab\xc3\xa9ns aos 10 maiores do Brasil em 2022 como Instagrammer do Ano.\n\n\xf0\x9f\x91\x87\xf0\x9f\x98\x83 Marque para quem vai a sua torcida!\n\n#anitta\xe2\x80\xa6'
1545294509910724608,2022-07-08 06:31:36+00:00,"b'RT @eulaisgomes: C\xc3\xaa \xc3\xa9 loko, n\xc3\xa3o tem um defeitinho \xf0\x9f\xa5\xb9\xf0\x9f\xa4\x8f\xf0\x9f\x8f\xbe'"
1544794907352698881,2022-07-06 21:26:21+00:00,b'RT @NetflixPT: Happy Hour nas Maldivas. \xf0\x9f\x8c\xb4 https://t.co/lP8N5aS4k9'
1544063941168582656,2022-07-04 21:01:45+00:00,"b'RT @Splash_UOL: \xf0\x9f\x8c\x9fO colunista do UOL, @gravache contou por que aposta na @BruMarquezine: \n\n\xf0\x9f\x97\xa3\xef\xb8\x8f""Acreditou que era a hora de al\xc3\xa7ar voos mais am\xe2\x80\xa6'"
