twitter_id,date,tweet
1538422015849164800,2022-06-19 07:22:45+00:00,b'Bloody oath'
1525278801822744576,2022-05-14 00:56:19+00:00,b'Hope y\xe2\x80\x99all are enjoying this one \xf0\x9f\x92\x9e https://t.co/CLCzG90hqh'
1525211676580016128,2022-05-13 20:29:35+00:00,b'@5SOS \xf0\x9f\x98\x8d'
1524527544426323968,2022-05-11 23:11:05+00:00,b'RT @5SOS: https://t.co/WJRrvqG25P https://t.co/jdxTq2m5TC'
1524525045560725504,2022-05-11 23:01:09+00:00,"b'RT @5SOS: Me, Myself &amp; I is here \xf0\x9f\x8c\xbc The fifth album #5SOS5 is coming to you September 23rd \xf0\x9f\x96\xa4 \n\nListen and preorder now at https://t.co/WJRrv\xe2\x80\xa6'"
1524330289346011137,2022-05-11 10:07:16+00:00,b'RT @5SOS: 1. COMPLETE MESS https://t.co/TT69Gb9zbv'
1524188390069088257,2022-05-11 00:43:24+00:00,b'Can someone drop me location of a McDonald\xe2\x80\x99s that is open in Paris. Asking for a friend'
1522862019086413825,2022-05-07 08:52:53+00:00,"b'RT @5SOS: Me, Myself &amp; I. Out everywhere May 11th 9am PT \xf0\x9f\x8c\xbc \n\nhttps://t.co/QUMQJOEVmi https://t.co/EO7vaecuSY'"
1520506958482010112,2022-04-30 20:54:43+00:00,b'RT @Ashton5SOS: You said you wanted a drumstick!?'
1520360429347917825,2022-04-30 11:12:27+00:00,b'Used all my data streaming Shrek Forever After'
1520359391375110144,2022-04-30 11:08:20+00:00,b'@JagwarTwin I wish'
1520356633741869057,2022-04-30 10:57:23+00:00,b'RT @overnovercal: petition for 5sos to bring back the slsp jump pls im beginning'
1520156830479048706,2022-04-29 21:43:26+00:00,b'I like milk in my peppermint tea'
1520068048929136641,2022-04-29 15:50:39+00:00,b'RT @5SOS: experiencing new places together feels like blasting off on a life changing energy ride that feels like nothing else. We played t\xe2\x80\xa6'
1518025423644364801,2022-04-24 00:33:59+00:00,b'RT @raccoonhourly: https://t.co/3L8BVihr4F'
