twitter_id,date,tweet
1544941008634499080,2022-07-07 07:06:54+00:00,b'RT @CalvinHarris: STAY WITH ME w/ @jtimberlake @halsey @Pharrell next Friday https://t.co/1ZkSawCEZl'
1544728640918896642,2022-07-06 17:03:02+00:00,b'STAY WITH ME w/ @jtimberlake @halsey @Pharrell next Friday https://t.co/1ZkSawCEZl'
1543529608083120128,2022-07-03 09:38:30+00:00,b'Last night \xf0\x9f\x8f\xb4\xf3\xa0\x81\xa7\xf3\xa0\x81\xa2\xf3\xa0\x81\xb3\xf3\xa0\x81\xa3\xf3\xa0\x81\xb4\xf3\xa0\x81\xbf https://t.co/jNqg00f4S2'
1542770266589335552,2022-07-01 07:21:09+00:00,b'https://t.co/O5lAH8nf7z'
1542555217899692032,2022-06-30 17:06:37+00:00,b'21 Savage X Calvin Harris tonight \n\nFunk Wav Bounces Vol.2 https://t.co/MPA2Kce5pv'
1542546408179466241,2022-06-30 16:31:37+00:00,b'https://t.co/zVw7p8G0LB'
1542544484210298882,2022-06-30 16:23:58+00:00,b'RT @CalvinHarris: https://t.co/oPdDW7cXlg'
1542195246007730178,2022-06-29 17:16:13+00:00,b'https://t.co/lsLZjPtcZ5'
1542195163996487682,2022-06-29 17:15:54+00:00,b'https://t.co/oPdDW7cXlg'
1539373858993713157,2022-06-21 22:25:02+00:00,b'\xf0\x9f\x8c\x9e https://t.co/4USdNWW7kI'
1537833695092084736,2022-06-17 16:24:59+00:00,b'\xf0\x9f\x8c\x9e'
1534170814127407106,2022-06-07 13:50:00+00:00,"b'RT @lvnarboy1: \xe2\x80\x9cslide\xe2\x80\x9d by calvin harris, frank ocean and migos is THE summer song'"
1533476388342210560,2022-06-05 15:50:36+00:00,b'Funk Wav Bounces Vol.2 when?'
1531717867707715585,2022-05-31 19:22:52+00:00,b'Funk Wav Vol. 2 coming soon https://t.co/87op4gOYcy'
1531242800083353601,2022-05-30 11:55:07+00:00,b'\xf0\x9f\xa7\xaa\xf0\x9f\xaa\x90\xf0\x9f\x9b\xb8 https://t.co/Zg1RtXYqWe'
1531066902226915330,2022-05-30 00:16:09+00:00,b'Funk Wav Bounces Vol.2 season   \n\nhttps://t.co/kbsKnhKu8D'
1530192299895947265,2022-05-27 14:20:48+00:00,b'Potion with @DUALIPA and @youngthug is out now!\n\nFunk Wav Bounces Vol.2 coming soon\xe2\x80\xa6\n\nhttps://t.co/NjAFv5vTpP'
1530128122036768768,2022-05-27 10:05:47+00:00,b'RT @Spotify: .@CalvinHarris teamed up with @DUALIPA and @youngthug to create the perfect #Potion just in time for summer \xf0\x9f\xa7\xaa\xe2\x98\x80\xef\xb8\x8f https://t.co/P\xe2\x80\xa6'
1529505657568772096,2022-05-25 16:52:20+00:00,b'RT @CalvinHarris: Friday\nFunk Wav Bounces \nThe Journey Continues https://t.co/4KG8eRFz0n'
1529452891886395392,2022-05-25 13:22:39+00:00,b'Friday\nFunk Wav Bounces \nThe Journey Continues https://t.co/4KG8eRFz0n'
1529056840692248576,2022-05-24 11:08:53+00:00,b'RT @raptalksk: calvin harris is about to make this summer 10x better with funk wav vol. 2'
1528817751137058816,2022-05-23 19:18:50+00:00,b'Friday \xf0\x9f\x91\x80 https://t.co/9Pp2MXfW20'
1528725929287204865,2022-05-23 13:13:58+00:00,"b'RT @wowthatshiphop: this the type of weather you gotta play slide by frank ocean, migos &amp; calvin harris every single time you step out'"
1526939073847431169,2022-05-18 14:53:39+00:00,b'RT @CalvinHarris: Summer \xe2\x80\x9822 https://t.co/ojGsbIarsH'
1526327041423036418,2022-05-16 22:21:39+00:00,b'Almost summer'
1525592055174643713,2022-05-14 21:41:04+00:00,b'Yes https://t.co/byfDLekmgk'
1522715032026591232,2022-05-06 23:08:48+00:00,b'Alright who do you want to hear on Funk Wav Bounces Vol.2 \xf0\x9f\x91\x80'
1522537677454774273,2022-05-06 11:24:04+00:00,b'Get ready!!! It\xe2\x80\x99s the maddest album I\xe2\x80\x99ve ever put together by a lonnnggg way https://t.co/DTRrKBtnKz'
1520803482579656704,2022-05-01 16:33:00+00:00,b'\xf0\x9f\x91\x80 https://t.co/XTg6nflFG0'
1516815410724839427,2022-04-20 16:25:49+00:00,b'@TheTomWebster The export lol'
1516802692970131462,2022-04-20 15:35:17+00:00,b'Summer \xe2\x80\x9822 https://t.co/ojGsbIarsH'
1516145145728614404,2022-04-18 20:02:26+00:00,b'Funk Wav Bounces Vol.2 ?'
1515400179268132868,2022-04-16 18:42:12+00:00,b'Closer than it was last week #FWBV2 https://t.co/RS68yV1HFK'
1514657911653515275,2022-04-14 17:32:41+00:00,b'5 YEARS it better be good eh https://t.co/ExmbSovbcI'
1514026130394828808,2022-04-12 23:42:13+00:00,b'Vol.2 \xf0\x9f\xa4\xaf\xf0\x9f\x98\xa9\xf0\x9f\xa5\xb0'
1511422113579769862,2022-04-05 19:14:47+00:00,"b'Appreciate you asking, and yes absolutely https://t.co/u8ATdzxTWC'"
1510412382253686784,2022-04-03 00:22:28+00:00,b'MAD https://t.co/ZGRTbUdJjL'
1510412276737617921,2022-04-03 00:22:03+00:00,"b'It\xe2\x80\x99s been 5 years, what\xe2\x80\x99s a couple more months ?? https://t.co/E6nXClyQ8o'"
1508902232221093891,2022-03-29 20:21:40+00:00,b'Don\xe2\x80\x99t you worry https://t.co/q9DOHbOiC3'
1507593217285394432,2022-03-26 05:40:07+00:00,b'I am literally listening to it rn https://t.co/5lfIPpAidS'
1499493582759251969,2022-03-03 21:15:04+00:00,b'Vol 2 is gonna be mad'
1498296549708910598,2022-02-28 13:58:29+00:00,b'RT @LFC: One kiss is all it takes \xf0\x9f\x98\x98\xf0\x9f\x8f\x86 https://t.co/hPRAvP8OZJ'
1491583423923699713,2022-02-10 01:22:55+00:00,b'I\xe2\x80\x99m just getting started https://t.co/nDSOWtGBqK'
1479498371123589120,2022-01-07 17:01:14+00:00,"b""Unreal album grateful to be a part of it! \n\xe2\x80\x98I Heard You're Married\xe2\x80\x99 produced by me! https://t.co/A1L6kjiDrB"""
1465427535169163267,2021-11-29 21:08:45+00:00,b'RT @Creamfields: Finales with @CalvinHarris \xf0\x9f\x8e\x86 @CreamfieldSouth  Saturday 04 June \n\nSignup for tickets now and secure your ticket for \xc2\xa320 de\xe2\x80\xa6'
1436374876252565505,2021-09-10 17:03:51+00:00,b'RT @solardomusic: ROLLERCOASTER EP - 17TH SEPT\xf0\x9f\x8e\xa2 \n\nThis ones been doing the rounds for a minute now \xf0\x9f\x98\x85 but we\xe2\x80\x99re so excited to finally get it\xe2\x80\xa6'
1425480761109528578,2021-08-11 15:34:32+00:00,b'https://t.co/BGrQ3OCyxq'
1424734183138762756,2021-08-09 14:07:54+00:00,b'Can\xe2\x80\x99t wait for this one on Friday new Love Regenrator x @Elibrownbeats https://t.co/yAZaFT5ybK'
1421150096989765634,2021-07-30 16:46:01+00:00,b'RT @Tom_Grennan: Sing along to BY YOUR SIDE on @AppleMusic \xf0\x9f\x91\x8a https://t.co/KBEklnQhr5 https://t.co/sr2cIm2LiP'
1413605008961007617,2021-07-09 21:04:32+00:00,b'Absolute banger this one https://t.co/Q3Gz5k5KeF'
1410296778444840963,2021-06-30 17:58:48+00:00,"b'Wow 4 years of Funk Wav today, it was an unreal experience to work with all these amazing artists on one album https://t.co/EyKxk4fCAO'"
1408832800887767042,2021-06-26 17:01:29+00:00,b'https://t.co/iVVNkvAJ2d'
1406711723101462535,2021-06-20 20:33:04+00:00,b'Amazing!!! https://t.co/T2ELOCtBg4'
1404840588873134094,2021-06-15 16:37:51+00:00,b'\xe2\x98\x80\xef\xb8\x8f\xe2\x98\x80\xef\xb8\x8f\xe2\x98\x80\xef\xb8\x8f https://t.co/Qhg5v2dxwd'
1404314254333804549,2021-06-14 05:46:23+00:00,b'RT @MrMatthewHolton: 6:30AM on a Monday. New @CalvinHarris and @Tom_Grennan  makes me happy \xf0\x9f\xa4\x99\xf0\x9f\x8f\xbb absolute tune https://t.co/5pns1bS4M8'
1404150716155846657,2021-06-13 18:56:33+00:00,b'\xe2\x98\x80\xef\xb8\x8f\xe2\x98\x80\xef\xb8\x8f\xe2\x98\x80\xef\xb8\x8f https://t.co/j219KtFH4w'
1403371905264939017,2021-06-11 15:21:50+00:00,b'By Your Side video is out now!!! @Tom_Grennan \n\nhttps://t.co/iVVNkvAJ2d'
1402743820387708932,2021-06-09 21:46:03+00:00,b'It\xe2\x80\x99s sonically designed to make you feel good \xe2\x84\xa2\xef\xb8\x8f https://t.co/pj070X8Xhz'
1401275074728972290,2021-06-05 20:29:46+00:00,b'https://t.co/ofSdkelXBg https://t.co/LMKGQPTyYf'
1401274617252118529,2021-06-05 20:27:57+00:00,b'RT @CalvinHarris: By Your Side is out now!\n\nhttps://t.co/ofSdkelXBg'
1400852043342827524,2021-06-04 16:28:48+00:00,b'Listen to By Your Side with @tomgrennan on Today\xe2\x80\x99s Hits @applemusic \n\nhttps://t.co/ZSupeUuXnj'
1400668525199429636,2021-06-04 04:19:34+00:00,b'By Your Side is out now!\n\nhttps://t.co/ofSdkelXBg'
1400529911459110914,2021-06-03 19:08:46+00:00,b'Let\xe2\x80\x99s gooooooo \xf0\x9f\x8c\xbc\xf0\x9f\x8c\xbc\xf0\x9f\x8c\xbc https://t.co/wUsSKGvbLc'
1399783800519892992,2021-06-01 17:43:59+00:00,b'RT @ColumbiaUK: CALVIN HARRIS X TOM GRENNAN // BY YOUR SIDE // JUNE 4\n\nhttps://t.co/Z2T90PaYC2 \n@calvinharris @tom_grennan https://t.co/NrC\xe2\x80\xa6'
1396170800642859010,2021-05-22 18:27:13+00:00,"b""RT @capitaldance: this summer is gonna be \xf0\x9d\x95\xa6\xf0\x9d\x95\x9f\xf0\x9d\x95\x9e\xf0\x9d\x95\x92\xf0\x9d\x95\xa5\xf0\x9d\x95\x94\xf0\x9d\x95\x99\xf0\x9d\x95\x96\xf0\x9d\x95\x95 \xf0\x9f\x91\x80\xe2\x98\x80\xef\xb8\x8f \n\n@CalvinHarris is BACK &amp; has teamed up with @Tom_Grennan on upcoming 'By Your Side\xe2\x80\xa6"""
1317513142847483904,2020-10-17 17:09:46+00:00,b'https://t.co/NoEoQQ6Nj6'
982856278484574208,2018-04-08 05:42:52+00:00,b'RT @vicctorlcc: I CAN\xe2\x80\x99T STOP LISTENING ONE KISS @CalvinHarris and @DUALIPA \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5'
