twitter_id,date,tweet
1544000698018324485,2022-07-04 16:50:27+00:00,b'Tweetless'
1542627467667570695,2022-06-30 21:53:43+00:00,b'RT @michsu81: Shame @celebjuice is ending soon \xf0\x9f\x98\xa3 this is still one of my favourite clips \xf0\x9f\x98\x82 @lemontwittor @Charlottegshore @Rickontour'
1542627338109730818,2022-06-30 21:53:12+00:00,b'RT @_deeptruthh: The right person will always give you peace and assurance.'
1542153189574713344,2022-06-29 14:29:06+00:00,b'RT @WChildCancer: Will you join @wchildcancer to give children with cancer in Ghana the best possible chance of survival?\n\n\xc2\xa330 could pay fo\xe2\x80\xa6'
1541316895525294080,2022-06-27 07:05:58+00:00,b'@604chrisdeal @bbcpress @bbcthree Sunderland is actually where I reside. I\xe2\x80\x99ve actually been know where else in order to \xe2\x80\x9cf***k off back here\xe2\x80\x9d it\xe2\x80\x99s my permanent place of residence. I\xe2\x80\x99m here right now. Just woke up here. Will go back to bed here tonight. Maybe this will give you some peace of mind Chris \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc'
1541315755853189121,2022-06-27 07:01:27+00:00,b'@Ankers25 \xf0\x9f\x91\x80\xf0\x9f\x91\x80\xf0\x9f\x91\x80\xf0\x9f\x91\x80\xf0\x9f\x91\x80\xf0\x9f\x91\x80'
1540760141837901825,2022-06-25 18:13:38+00:00,b'https://t.co/il5RI3J7SK'
1540345958030008322,2022-06-24 14:47:49+00:00,"b'RT @headlinepg: Coming March 2023, #MEMYSELFANDMINIME. The new pregnancy and motherhood memoir from @Charlottegshore\n\nFind out more here \xf0\x9f\x91\x89\xe2\x80\xa6'"
1538873396150280192,2022-06-20 13:16:23+00:00,b'RT @bbcpress: \xf0\x9f\x93\xa2 A new behind-the-scenes series following Charlotte Crosby in Sunderland is coming! She pursues her personal and professiona\xe2\x80\xa6'
1538800499293569024,2022-06-20 08:26:43+00:00,b'RT @TheDiddyman1: What an amazing night @Charlottegshore @Ankers25 \xf0\x9f\x98\x8d\xf0\x9f\xa5\xb0 https://t.co/xUSyIrPKe7'
1538690588203270145,2022-06-20 01:09:58+00:00,b'RT @beckypickle: Managed to catch a glimpse of @Charlottegshore\xe2\x80\x99s baby shower heart in the sky above @eltonofficial\xe2\x80\x99s fantastic show at @St\xe2\x80\xa6'
1538586839086424065,2022-06-19 18:17:42+00:00,b'45 mins until I go live on insta and find out the gender of my baby !!!!!'
1536106739967438854,2022-06-12 22:02:40+00:00,b'@Ankers25 \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f'
1535548528289886208,2022-06-11 09:04:32+00:00,b'RT @cjhellawell1: When you meet @Charlottegshore at Ed concert and she\xe2\x80\x99s every bit as nice as you wanted her to be and it makes working a b\xe2\x80\xa6'
1534921564759769088,2022-06-09 15:33:13+00:00,b'LOL https://t.co/PWrM4MNujh'
1530996321695539202,2022-05-29 19:35:42+00:00,b'RT @TheDiddyman1: #TopGun #TopGunMarverick family movie night #family @Charlottegshore @Ankers25 @TheMimmyWoman1 https://t.co/AXX8CmvBAv'
1530994793899245573,2022-05-29 19:29:38+00:00,b'The new Top gun maverick film is one of the best films I\xe2\x80\x99ve watched in LIFE \xf0\x9f\x92\xaf'
1527550606730317825,2022-05-20 07:23:39+00:00,b'@Ankers25 BAHAHAHAHHAHAHA'
1527339078454489088,2022-05-19 17:23:07+00:00,b'I\xe2\x80\x99m a 32 year old now \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc https://t.co/lGP8Hp97Z9'
