twitter_id,date,tweet
1545441101754126337,2022-07-08 16:14:06+00:00,b'RT @RadioX: Can somebody please check on Producer James\xe2\x80\xa6 https://t.co/KJRiRk4U5M'
1544743828707491844,2022-07-06 18:03:23+00:00,"b""He'll be having a pie next! https://t.co/MaarcN0wux"""
1544592390941544449,2022-07-06 08:01:37+00:00,b'This  Was  Absolutely Fantastic.... https://t.co/KJKxAKsbcV'
1544235080796733450,2022-07-05 08:21:48+00:00,b'@mrjamesob @ProfBrianCox https://t.co/8EUnr4jVfk'
1541334900015505410,2022-06-27 08:17:31+00:00,b'@moily @domisatwit @Pipskin https://t.co/BMYiDWYkBj'
1541322055412551681,2022-06-27 07:26:29+00:00,"b""You've been amazing Rosie! https://t.co/rxbJpxid7v"""
1541132287059927044,2022-06-26 18:52:24+00:00,b'RT @natalie68267198: @RadioX #helpimstuck #radioxflags behind @jowhiley announcing Sir Paul McCartney #brilliant! https://t.co/09bhXFqEuM'
1540978327657365507,2022-06-26 08:40:37+00:00,b'RT @elli923: Being a @RadioX @ChrisMoyles flag bearer was mega fun! Such a great bunch of people @JamesRobinson @HollyLeighB same time next\xe2\x80\xa6'
1540978260884000768,2022-06-26 08:40:22+00:00,b'RT @shazzapowell34: Love it!!! \xe2\x81\xa6@JamesRobinson\xe2\x81\xa9 \xe2\x81\xa6@RadioX\xe2\x81\xa9 \xe2\x81\xa6@ChrisMoyles\xe2\x81\xa9 \xe2\x81\xa6@Pipskin\xe2\x81\xa9 #RadioXflags https://t.co/0umotbZvoU'
1540795926226296833,2022-06-25 20:35:50+00:00,b'\xf0\x9f\x98\x82 \xf0\x9f\x98\x82 \xf0\x9f\x98\x82 \xf0\x9f\x98\x9c https://t.co/JJQ392sj9a'
1540795512680370176,2022-06-25 20:34:11+00:00,b'#glastonburyfestival2022 \n#radioxflags https://t.co/GlNZJr3XQo'
1540661639825002496,2022-06-25 11:42:13+00:00,b'Can you spot Dominic...\n#radioxflags https://t.co/YeCSxKaFpW'
1540661284773203969,2022-06-25 11:40:49+00:00,b'RT @CherylDonnor: @ChrisMoyles @RadioX @Pipskin @JamesRobinson #radioxflags My daughter in law is at glasto and i asked her to get a pictur\xe2\x80\xa6'
1540660607271276545,2022-06-25 11:38:07+00:00,b'#radioxflags https://t.co/uixte82NfK'
1538989732398604291,2022-06-20 20:58:39+00:00,b'RT @HollyLeighB: Cannot wait to carry and wave this bad boy around! Bottle of Prosecco is for scale \xf0\x9f\x98\x82\xf0\x9f\x98\x82 @ChrisMoyles @Pipskin @JamesRobinson\xe2\x80\xa6'
1538213312302817285,2022-06-18 17:33:26+00:00,b'@nickyMrsT Lovely meeting you too. Hope you had a great night'
1537712910620835840,2022-06-17 08:25:01+00:00,b'@G1J9_C7 @MazzaSeg @HannahVanCook Be nice'
1536628255071031297,2022-06-14 08:34:59+00:00,b'RT @RobDJofficial: Just been pranked by my daughter @JessDeej and @sandeep_lali went shopping bought beer \xf0\x9f\x8d\xba and as I was unloading I though\xe2\x80\xa6'
1535891039453696000,2022-06-12 07:45:33+00:00,b'This is real people... https://t.co/lFGm1YN3s7'
1535538828068413440,2022-06-11 08:26:00+00:00,b'Manchester....\nhttps://t.co/0o1WVn9cc8'
1535309389892136963,2022-06-10 17:14:17+00:00,"b""Dom's PowerPoint presentation prank! https://t.co/nuHZomOJSs"""
1532972518226677761,2022-06-04 06:28:24+00:00,"b'Knebworth. \n4 hours sleep.\nRadio X Live at 8am... \nSure, great idea!! \xf0\x9f\x98\xac'"
1531713103427166208,2022-05-31 19:03:56+00:00,b'@theburrowfield @airchecks @simonmayo @BBCR1 What?'
1531640115348525057,2022-05-31 14:13:54+00:00,b'I\xe2\x80\x99m taking over Worcester County Cricket Club for a night of 90s music in August. Click here to get a ticket https://t.co/rrt2jeRJlG https://t.co/n9Hu8ZEdTi'
1530098205492449282,2022-05-27 08:06:54+00:00,b'Manchester in September.. grab your tickets now!\nhttps://t.co/0o1WVn9cc8'
1529574214478479361,2022-05-25 21:24:45+00:00,"b'RT @RadioX: We call this work of art ""Stefanos Tits"" - Dominic Byrne 2022 https://t.co/1PCmMCbJu5'"
1529453256262537216,2022-05-25 13:24:06+00:00,"b""MANCHESTER.. I\xe2\x80\x99m so excited to announce my brand new '90s Hangover show is coming to Academy 1 on Saturday 10th September.\nTickets go sale THIS FRIDAY morning at 9am but make sure you sign-up so you don't miss out here: https://t.co/0o1WVn9cc8 https://t.co/Yn5iG44djA"""
1528783416140898306,2022-05-23 17:02:24+00:00,b'Manchester\xe2\x80\xa6 We\xe2\x80\x99re coming for ya\xe2\x80\xa6 https://t.co/uFwEV7byC7'
1528482233694265349,2022-05-22 21:05:36+00:00,"b'. @LUFC are staying up!!Well done to all the lads and the support staff for keeping the fight going till the final whistle. \nI am exhausted after watching the game!\nIt\xe2\x80\x99s bedtime now, I got a radio show to do in the morning!\n#alaw #mot'"
1526108529882542081,2022-05-16 07:53:21+00:00,b'Watch and RETWEET if it makes you laugh\xe2\x80\xa6 (you childish people! \xf0\x9f\x98\x89) https://t.co/93bPNd5ozI'
1525092962480291841,2022-05-13 12:37:51+00:00,b'Come see me LIVE for a fun Friday night in August. 90\xe2\x80\x99s tunes and maybe a few drinks\xe2\x80\xa6 click the link and get a ticket!\nhttps://t.co/rrt2jeRJlG'
1523561197488177153,2022-05-09 07:11:10+00:00,b'Hello everyone.\n#happybirthdaymatt #turtlekiller'
1522831501867560961,2022-05-07 06:51:37+00:00,b'Stick @RadioX on cos I\xe2\x80\x99m on till 11!\nHere\xe2\x80\x99s a photo of James looking out the window to entice you to tune in\xe2\x80\xa6!! https://t.co/squ8HkoWJL'
1522072605959802881,2022-05-05 04:36:02+00:00,"b'@EricIdle Since watching that very same show, I\xe2\x80\x99ve never been able to listen to \xe2\x80\x98My Sweet Lord\xe2\x80\x99 in the same way..'"
1521732887342686210,2022-05-04 06:06:07+00:00,b'May the 4th be with you \xe2\x80\xa6\n\xe2\x81\xa6@MarkHamill\xe2\x81\xa9 https://t.co/ziTjGTP9MK'
1520291794008875008,2022-04-30 06:39:44+00:00,"b'Maybe you\xe2\x80\x99re up early with the kids doing activities. Maybe you\xe2\x80\x99re up early to do shopping or house chores. Maybe you\xe2\x80\x99re just gonna stay in bed cos you don\xe2\x80\x99t have kids\xe2\x80\xa6 either way\xe2\x80\xa6 @RadioX from 8am till 11am is our contractually obliged 6th show of the week, tune in!!'"
1519932545764413440,2022-04-29 06:52:12+00:00,b'@petercrouch @alanshearer Who\xe2\x80\x99s Chris Stark??'
1519544409758605312,2022-04-28 05:09:53+00:00,b'So @domisatwit and myself went to the House of Commons yesterday and we were very well behaved. We had a great view of all the MP\xe2\x80\x99s\xe2\x80\xa6. I\xe2\x80\x99m sure we will talk about it on @RadioX this morning! \xf0\x9f\x98\x89'
1516046923060367370,2022-04-18 13:32:07+00:00,b'Before his rapping days.. I played Fifa on XBox with him! https://t.co/lcoZIa2Eld'
1514213075452375050,2022-04-13 12:05:04+00:00,b'I\xe2\x80\x99m doing a massive DJ set\xe2\x80\xa6 and you can be there!!\nFriday 5th August\xe2\x80\xa6 click below and get your tickets! https://t.co/vXIh8Y9mcM'
1513247847751335947,2022-04-10 20:09:36+00:00,b'I\xe2\x80\x99m back on @RadioX in the morning. You\xe2\x80\x99re welcome! https://t.co/hOSlwr0R6r'
1509767064675921934,2022-04-01 05:38:12+00:00,"b'Do me a favour and buy this track from @maxtofficial. Or stream it. Either way, search Max Tyler and listen to his new track \xe2\x80\x98Highs + Lows\xe2\x80\x99 https://t.co/KiIN3HTuZt'"
1507058754101125120,2022-03-24 18:16:21+00:00,b'MUST WATCH\xe2\x80\xa6\nMatt Parkes-Smith vs fermented fish. Childish and very very funny!! \nhttps://t.co/7GGrPOpTd2'
1503981343981678592,2022-03-16 06:27:49+00:00,b'Another radio show from home today\xe2\x80\xa6I had to move my @RadioX green lights!'
1500166581099376640,2022-03-05 17:49:19+00:00,b'RT @RobDJofficial: Great afternoon watching @LUFC with @ChrisMoyles and @JessDeej @sandeep_lali shame about the result but we played well\xe2\x80\xa6'
1499409139604275208,2022-03-03 15:39:31+00:00,b'Great idea by @maxtofficial He\xe2\x80\x99s making a track completely from scratch and then releasing it at the end of the month!  https://t.co/rHvq6Mlhyy'
1498945399138226176,2022-03-02 08:56:46+00:00,b'RT @BoyGeorge: Mint day is finally here! @thecryptoqueenz by @boygeorge is now LIVE. GO QUEENZ \xf0\x9f\x91\x91\xe2\x9d\xa4\xef\xb8\x8f https://t.co/iwKhdiblTV'
1498250051323408389,2022-02-28 10:53:43+00:00,b'RT @BoyGeorge: In light of global affairs @BoyGeorge is offering you the chance to own a 1-1 ultra rare @thecryptoqueenz with all proceeds\xe2\x80\xa6'
1498164334874312704,2022-02-28 05:13:06+00:00,b'@ianjames78oram Yes it\xe2\x80\x99s a scam.'
1497491691489697795,2022-02-26 08:40:15+00:00,b'@greenall_craig It\xe2\x80\x99s fake. It\xe2\x80\x99s not me.'
