twitter_id,date,tweet
1544871175221719040,2022-07-07 02:29:25+00:00,b'@DougStanhope Okay for summer reading - book \xe2\x80\x9cDigging Up Mother\xe2\x80\x9d by @DougStanhope \xe2\x9c\x85'
1544865622684626944,2022-07-07 02:07:21+00:00,b'Help! I need 3 suggestions fast! #TikTok https://t.co/Cj103rhhmR'
1544759986034601984,2022-07-06 19:07:35+00:00,b'hey team... fire up the propeller &amp; squeegee my eyes... D-Crop is back!!!!! #LFG https://t.co/xMIAJtBu8O'
1544746549544071168,2022-07-06 18:14:12+00:00,b'RT @connieperolike: 3 hour Road-trip = @DaneCook \xf0\x9f\x98\x82\xe2\x9d\xa4\xef\xb8\x8f https://t.co/3mt6J2Fo8Z'
1542255023807025153,2022-06-29 21:13:46+00:00,b'This lineup is stacking up. Link is in my bio so go check the avails for our Nov festival while tickets are still in play. @justforlaughs https://t.co/PHPNwhQC8b'
1541138068920446981,2022-06-26 19:15:23+00:00,b'Man @TomCruise is the 1 billion dollar man w/ @TopGunMovie #Maverick // it\xe2\x80\x99s the reason you wanna see a movie on the big screen. #congrats'
1540069719184592896,2022-06-23 20:30:08+00:00,b'This SATURDAY NIGHT! 2 shows at @LaughFactoryHW \nTIX go FAST so get\xe2\x80\x99em now. https://t.co/i2q8barmDG'
1539302728366559232,2022-06-21 17:42:23+00:00,"b""The goal in life is two fold, to help and to be helped. Seeking out others who could greatly rely on your knowledge &amp; support, accepting wisdom &amp; data from those who have previously taken flight. These participates factor into our own evolution. Don't be closed off, stay curious."""
1538623030418546689,2022-06-19 20:41:31+00:00,b'Happy Fathers Day father. https://t.co/tCiG1EgOpp'
1538211328921243649,2022-06-18 17:25:34+00:00,b'Sometimes my girlfriend just makes all the bacon. Like we are a hotel buffet.'
1537858135968190464,2022-06-17 18:02:06+00:00,b'My weekly #Fryday acknowledgment of several things / places and of course people I dig! Gotta send this one out to my friend \xe2\x81\xa6@TheRichardLewis\xe2\x81\xa9 !! https://t.co/81ngYUvL0A'
