twitter_id,date,tweet
1540088321996558336,2022-06-23 21:44:04+00:00,"b'RT @OVOSound: HONESTLY, NEVERMIND \nOut Now @Drake \n\nhttps://t.co/tJpfjUsMJr https://t.co/QDhy2fZWE7'"
1537647198359494657,2022-06-17 04:03:54+00:00,"b'Honestly, Nevermind https://t.co/DI3SW6eOI7'"
1537616906475212802,2022-06-17 02:03:32+00:00,"b'RT @OVOSound: Honestly, Nevermind @Drake https://t.co/zKpPdIL4bT'"
1537558599802703872,2022-06-16 22:11:51+00:00,"b'RT @OVOSound: HONESTLY, NEVERMIND \n(The Album) Tonight at midnight @Drake https://t.co/nlo8ypAf1W'"
1537552141807755266,2022-06-16 21:46:11+00:00,"b'RT @OVOSound: TABLE FOR ONE @Drake Premiering Tonight at 11pm ET On Sound 42, SiriusXM\n\nhttps://t.co/M5SMcGTaTO https://t.co/T0s9RKR3ZI'"
1525593417740210176,2022-05-14 21:46:29+00:00,b'RT @OVOSound: The latest playlists from us for your listening pleasure\xf0\x9f\x94\x8a\xf0\x9f\x94\x8a\xf0\x9f\x94\x8a\n\nFeaturing: \nRoy Woods - \xe2\x80\x9cInsecure\xe2\x80\x9d \nFuture - \xe2\x80\x9cWait For U\xe2\x80\x9d ft Dra\xe2\x80\xa6'
1522595871073968131,2022-05-06 15:15:18+00:00,b'RT @OVOSound: Official video &amp; single for \xe2\x80\x9cInsecure\xe2\x80\x9d Out Now @RoyWoods \xe2\x9e\xa1\xef\xb8\x8f From the Album MIXED EMOTIONS on the way\n\n https://t.co/uBH8BMg7o\xe2\x80\xa6'
1504874418874593282,2022-03-18 17:36:35+00:00,b'RT @OVOSound: Listen to the official Top Boy Season 2 Playlist now @topboynetflix\xc2\xa0\nhttps://t.co/7ndCg8iEjs https://t.co/mmw8Qu6P16'
1499836331433730049,2022-03-04 19:57:01+00:00,b'Drake x @Stake https://t.co/vdkGDnp1wt'
1499791933643755520,2022-03-04 17:00:36+00:00,b'RT @OVOSound: \xe2\x80\x9cSkeleton Cartier\xe2\x80\x9d Out Everywhere Now #GreatIsHe \xf0\x9f\x94\x9c @PopcaanMusic  \nhttps://t.co/tH3yoT1nu4 https://t.co/AiX8EeQPeN'
1499618108708847616,2022-03-04 05:29:53+00:00,b'RT @PopcaanMusic: \xe2\x80\x9cSkeleton Cartier\xe2\x80\x9d \xe2\x98\xa0\xef\xb8\x8f out at midnight UK \xe2\x8c\x9a\xef\xb8\x8f #officialnocta @Nike @OVOSound #Greatishe https://t.co/S7Y7d1nRoz'
1493719644380696577,2022-02-15 22:51:29+00:00,b'HOT STEP \xf0\x9f\x98\xae\xe2\x80\x8d\xf0\x9f\x92\xa8\xe2\x98\x80\xef\xb8\x8f\xf0\x9f\x91\xa3 https://t.co/RKxkHgKTXl'
1493026382527361026,2022-02-14 00:56:43+00:00,b'\xe2\x80\x98Game Day\xe2\x80\x99 but always keep it \n@euphoriaHBO https://t.co/4ugv09bqo1'
1493019245579440130,2022-02-14 00:28:21+00:00,b'RT @gopuff: THE #QuartertimeShow is LIVE! WATCH NOW! \n\nhttps://t.co/9QHWN5bC3Z'
1491640874064769025,2022-02-10 05:11:12+00:00,b'RT @drakerelated: OVOSOUND collection available now on Drake Related.\n\nhttps://t.co/c5QOU70fqV\n\n@OVOSound https://t.co/Z2xtVXcBlt'
1477001809428242434,2021-12-31 19:40:47+00:00,b'RT @OVOSound: Grateful for our artists &amp; another year full of music. \n@dvsn @partynextdoor @drake @majidjordan @smiley61st \n\nhttps://t.co/K\xe2\x80\xa6'
1462875627376111618,2021-11-22 20:08:23+00:00,"b""RT @majidjordan: Our official lyric video for 'Stars Align' with @Drake is out now. \nhttps://t.co/0gtYKVPAul https://t.co/09vDzm09mk"""
1461172397143253001,2021-11-18 03:20:21+00:00,b'RT @OVOSound: BUY OR BYE loading \xe2\x80\xa6 @smiley61st \nOut Now https://t.co/sYeHb3b4mB https://t.co/PuG91eBxqH'
1456432596791877636,2021-11-05 01:26:04+00:00,b'RT @OVOSound: KNIFE TALK (Video) @drake ft. @21savage &amp; @ProjectPatHcp \nhttps://t.co/52A3nknYmO https://t.co/NZ9ciDvxzn'
1451577452346572800,2021-10-22 15:53:28+00:00,b'RT @OVOSound: Majid Jordan \xe2\x80\x9cWILDEST DREAMS\xe2\x80\x9d The Album available Worldwide Now \n\nhttps://t.co/BCMvLuUNqJ\n@majidjordan https://t.co/sYHFrP6plX'
1451575139171065861,2021-10-22 15:44:16+00:00,"b""RT @majidjordan: Our third studio album 'WILDEST DREAMS' is out now. Thank you for your love, your patience and for joining us on this jour\xe2\x80\xa6"""
1434033659821101058,2021-09-04 06:00:42+00:00,b'night owl sound fry yiy fridays CERTIFIED edition right now on @Sound42 2AM EST tune in \xf0\x9f\x99\x83 guest mix by me \xf0\x9f\x98\x88 https://t.co/aGnkqpVSW6 https://t.co/2vrwWAm2Oo'
1433999474624434179,2021-09-04 03:44:51+00:00,"b'RT @AppleMusic: .@Drake topped his own record. \xf0\x9f\x8f\x86\n\n#CertifiedLoverBoy is now the biggest album debut EVER on Apple Music, surpassing the rec\xe2\x80\xa6'"
1433975660524052481,2021-09-04 02:10:14+00:00,b'#CLB https://t.co/oYlRnSvNRT'
1433936389930995715,2021-09-03 23:34:11+00:00,"b'RT @AppleMusic: Breaking single day records. \xf0\x9f\xa6\x89\n\n@Drake is now the most streamed artist, and #CertifiedLoverBoy is the most streamed album,\xe2\x80\xa6'"
1433823689955581956,2021-09-03 16:06:21+00:00,b'WAY 2 SXY VIDEO OUT NOW https://t.co/Dvcp9UIyqp'
1433810513675407361,2021-09-03 15:14:00+00:00,b'RT @SIRIUSXM: Anyone else have #CLB on repeat all night? Hear songs from the album all weekend free on @Drake\xe2\x80\x99s @Sound42: https://t.co/eNps\xe2\x80\xa6'
1433670484760178731,2021-09-03 05:57:34+00:00,b'RT @OVOSound: CERTIFIED LOVER BOY \nAVAILABLE WORLDWIDE @Drake  \nhttps://t.co/NJZeRt5SUX https://t.co/4Xqru5aKkk'
1433665732605358084,2021-09-03 05:38:41+00:00,"b'RT @Spotify: Let\xe2\x80\x99s go @Drake! Certified Lover Boy just dropped and for the first week, your fans around the world can listen on-demand for\xe2\x80\xa6'"
1433657740765896704,2021-09-03 05:06:56+00:00,b'CERTIFIED LOVER BOY \nAVAILABLE WORLDWIDE https://t.co/4nRngO8hDT'
1433637125669404672,2021-09-03 03:45:01+00:00,b'RT @OVOSound: CLB FOR YOUR LISTENING PLEASURE EVERYWHERE @ 2AM EST @Drake https://t.co/HkHUQrHlBX'
1432412815386562560,2021-08-30 18:40:02+00:00,"b'RT @OVOSound: CERTIFIED LOVER BOY THIS FRIDAY, SEPTEMBER 3RD #CLB https://t.co/P4mEdF23bT'"
1428762420424503296,2021-08-20 16:54:40+00:00,b'RT @OVOSound: Cheers To The Best Memories by @dvsn x @tydollasign is Now Available Everywhere https://t.co/Z5vdVVcCGO https://t.co/B9YeQ0aa\xe2\x80\xa6'
1428571293964591106,2021-08-20 04:15:12+00:00,b'RT @dvsn: Cheers To The Best Memories Out Now \xf0\x9f\x92\xb2\xe2\x9e\x97\xf0\x9f\xa5\x82\xe2\x80\x9d\n\nhttps://t.co/umtJseW32m https://t.co/vy8TKsogkk'
1418778622949691396,2021-07-24 03:42:38+00:00,b'RT @OVOSound: \xe2\x80\x9cOVER THE TOP\xe2\x80\x9d @smiley61st ft. @Drake Out Now \n\n\xe2\x80\x9cYou Know How October Get Hot\xe2\x80\xa6\xe2\x80\x9d\nhttps://t.co/HzFjpALfoR https://t.co/6X0FDgB3\xe2\x80\xa6'
1418422609088184321,2021-07-23 04:07:57+00:00,"b'RT @smiley61st: Got a verse from the boy &amp; it leaked, he sent me a new one said use this instead .. OVER THE TOP ft. @Drake out now - https\xe2\x80\xa6'"
1411033143641997312,2021-07-02 18:44:51+00:00,b'RT @OVOSound: Grateful for @tydollasign &amp; @dvsn bringing Mac Miller together for this moment \xe2\x9e\x97\xf0\x9f\x92\xb2\nhttps://t.co/jwtdUIpIVh https://t.co/KPx17D\xe2\x80\xa6'
1410735867346309123,2021-07-01 23:03:35+00:00,b'Looking forward to working with @aspiration and encouraging everyone to offset their carbon footprint. https://t.co/AqV7oGc5VM'
1406625565113602050,2021-06-20 14:50:43+00:00,b'RT @OVOSound: Happy Father\xe2\x80\x99s Day !\n\xe2\x80\x9cFathers &amp; Son\xe2\x80\x9d by Dennis Graham\nhttps://t.co/4aTDUHieBD https://t.co/QE7CFmyo6O'
