twitter_id,date,tweet
1546275404545228800,2022-07-10 23:29:19+00:00,b'All\xc3\xa1 los espero!!!! https://t.co/yn40G7tdD4'
1546217000891973632,2022-07-10 19:37:14+00:00,b'Los espero!!!!! https://t.co/yn40G7tdD4'
1545584516873568256,2022-07-09 01:43:59+00:00,"b'Viene, viene!!!! Luceritos al cuadrado!!!! Las amo!!! Graciassss! @LuceroMexico @LuceroMijaresOf https://t.co/qxtphUy2G0'"
1545581687744221184,2022-07-09 01:32:44+00:00,b'Gracias amigos de @RedMasNoticias @PaolaLopezTv @GiovanniCelisS \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f https://t.co/kDbSJMDesC'
1545506734151720966,2022-07-08 20:34:54+00:00,b'Hola!!!! Quieres ir conmigo a los @2000sPopTour esta noche en #Monterrey ????? Sube un video cantando mi canci\xc3\xb3n #L\xc3\xa1grimasDeAmor y etiqu\xc3\xa9tame para verte!!! Tengo solo dos entradas!!!! Vamos!!!!! https://t.co/A4ikkNIBoF'
1545506117517819909,2022-07-08 20:32:27+00:00,b'@RamiiroCantu @2000sPopTour Gracias a ustedes!!!!!'
1545387021811826690,2022-07-08 12:39:12+00:00,"b'RT @FamousNewspop: .@FannyLu incursiona en el g\xc3\xa9nero popular con #LagrimasDeAmor, mira su nuevo video aqu\xc3\xad \xf0\x9f\x91\x89 https://t.co/kGifbMgRm5 https:\xe2\x80\xa6'"
1545386990492942338,2022-07-08 12:39:05+00:00,b'@FamousNewspop Muchas gracias!!!!!'
1545386823119167500,2022-07-08 12:38:25+00:00,"b'Los amo chicos!!!!!! \nMonterrey, es Hoy, es Hoy!!!!!!! @2000sPopTour @BOBOProduccion https://t.co/cAmwCJKZBg'"
1544824306500345857,2022-07-06 23:23:10+00:00,b'#NuevaFotoDePerfil https://t.co/XpPrIFyyWw'
1544653086618255362,2022-07-06 12:02:48+00:00,b'Ya pronto nos vemos Monterrey!!!! https://t.co/5NifMPF5Ng'
1544434692253949952,2022-07-05 21:34:59+00:00,b'Muchas gracias! https://t.co/J1MjXFb8Lm'
1543230812656750592,2022-07-02 13:51:12+00:00,b'Esoooooo!!! Qu\xc3\xa9 flowww! Gracias Aryyyyy!!!! https://t.co/5f3hcwDQN5'
1542539269130141698,2022-06-30 16:03:15+00:00,b'Gracias por esa invitaci\xc3\xb3n tan bella!!!! \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f https://t.co/EohEAbWUjK'
1540403628669812741,2022-06-24 18:36:59+00:00,b'@rodro_cabrera Jjajajajjq siiiii'
1540111303531978753,2022-06-23 23:15:23+00:00,"b'Gracias por la recomendaci\xc3\xb3n, Donald!!!!!!!!!!! https://t.co/IrtfTQ52a2'"
1540110958621851651,2022-06-23 23:14:01+00:00,b'Esooooooo https://t.co/y7Ly1VKXHt'
1539229509441961988,2022-06-21 12:51:27+00:00,b'@mildreeeet Buuuuuuu!!! Me hubieras dicho!!!'
1539229265404772357,2022-06-21 12:50:29+00:00,b'@Mateo080890 @2000sPopTour Te quiero! Gracias!'
1539228072121180160,2022-06-21 12:45:44+00:00,b'@_rulix95 Muchas graciassssdd!!!!'
1539227027265536000,2022-06-21 12:41:35+00:00,b'RT @VeroMerol: \xc2\xa1Resolvimos el misterio! Ent\xc3\xa9rate si @FannyLu prefiere que le lleven flores o que le den bombones en nuestra entrevista excl\xe2\x80\xa6'
1539226778962649090,2022-06-21 12:40:36+00:00,b'@AlexCarrilloCas Te quiero!!!!!!! \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x98\x98'
1539226064316248065,2022-06-21 12:37:45+00:00,b'Tan bella!!!! Ah\xc3\xad vamos a estar! https://t.co/SuLNCjWecl'
1539225432289157120,2022-06-21 12:35:15+00:00,b'RT @AlPuntoNoticias: #Conciertos\xf0\x9f\x98\xb1 | #Fanfarr\xc3\xb3n es uno de los grandes \xc3\xa9xitos de @FannyLu  y en los @2000sPopTour  lo revive de manera imperd\xe2\x80\xa6'
1537457171180535809,2022-06-16 15:28:48+00:00,b'@douglasjavier_ Hola Douglas!!! T\xc3\xba mensaje s\xc3\xad me lleg\xc3\xb3.'
1534850281216909313,2022-06-09 10:49:57+00:00,b'RT @programa_hoy: \xc2\xa1Este jueves tendremos muchos invitados de lujo! No te lo pierdas. \xf0\x9f\x94\xa5 https://t.co/lNB7EGFNCO'
1534309052355948545,2022-06-07 22:59:18+00:00,b'Estamos listos!!!!! Y ustedes??????? https://t.co/nhMlm8dRUo'
1533955209751576576,2022-06-06 23:33:16+00:00,b'Graciasssss mis amores!!!!! https://t.co/spjSHD3wNy'
1531640004400783362,2022-05-31 14:13:28+00:00,b'RT @2000sPopTour: \xe2\x9a\xa1\xef\xb8\x8f FALTAN 10 D\xc3\x8dAS \xe2\x9a\xa1\xef\xb8\x8f para cantar juntos en el #2000sPopTour: \xe2\x80\x9cNo te pido flores\xe2\x80\x9d de @fannylu. \xf0\x9f\xa4\xaf\xf0\x9f\x92\x90\n\n\xe2\x9c\x85 Segunda CANCI\xc3\x93N CONFI\xe2\x80\xa6'
1530531246140424192,2022-05-28 12:47:39+00:00,"b'RT @2000sPopTour: \xc2\xa1#Dosmileando un rato con @PatyCantu, @FannyLu y @PeeWeeMusic! \xf0\x9f\xa4\x98\xf0\x9f\x8f\xbc\xf0\x9f\xa5\xb9\n\n#2000sPopTour prime shots \xf0\x9f\x93\xb8! \xf0\x9f\x98\xa8 https://t.co/cpF2KUkcgz'"
1529876481484152834,2022-05-26 17:25:51+00:00,b'@tuaminomehundes @CamposAlex Todos somos hermanos en Cristo.'
1529876120027398145,2022-05-26 17:24:25+00:00,b'@DiegoSi39340968 @ARIBOROVOY @2000sPopTour @ArenaCdMexico Necesito sus coordenadas!!!!'
1529875738836586498,2022-05-26 17:22:54+00:00,b'@NoticiasMundoP1 @yahirmusic @programa_hoy @2000sPopTour @ARIBOROVOY @BOBOProduccion Gracias!!!!!'
1529875586138755073,2022-05-26 17:22:18+00:00,b'Ya empezamossss!!!!!! https://t.co/1CMimppqSb'
1528733548617818113,2022-05-23 13:44:15+00:00,b'Les dejo el link de Youtube para que vayan a escuchar #Ah\xc3\xadEstabaCristo junto a mi querido @CamposAlex \n\nhttps://t.co/zUGyGBhIQ2 \xf0\x9f\x99\x8f'
1528733123277627392,2022-05-23 13:42:33+00:00,b'@paulinaosvi @CamposAlex Yo m\xc3\xa1s!!!! Muackkkk'
1528732434992447489,2022-05-23 13:39:49+00:00,"b'\xc2\xa1#GraciasDios por darme la oportunidad de cantarte! #Ah\xc3\xadEstabaCristo, junto a mi querido @CamposAlex, es un gran regalo a mi vida y a mi carrera. Espero que tambi\xc3\xa9n se convierta en un himno de amor, restauraci\xc3\xb3n de la fe y la confianza en sus vidas. \xc2\xa1Los quiero! https://t.co/osFVBMmA8d'"
1528696484346179585,2022-05-23 11:16:58+00:00,b'Muchas gracias! Qued\xc3\xa9 enamorada de esos bellos paisajes. https://t.co/4PrxDT1NeI'
1527149740428873728,2022-05-19 04:50:45+00:00,b'@lccmarioalberto @PatyCantu @2000sPopTour Prontooooo!!!!'
1526267771092455424,2022-05-16 18:26:07+00:00,b'RT @AlPuntoNoticias: #Exclusiva\xf0\x9f\x91\x8c\xf0\x9f\x8f\xbb | Platicamos con @FannyLu quien nos dio detalle sobre... \xc2\xa1El amor de su vida!\n\nEnt\xc3\xa9rate\xf0\x9f\x98\xb1:\n\xf0\x9f\x91\x89\xf0\x9f\x8f\xbbhttps://t.co/\xe2\x80\xa6'
1522307227335499777,2022-05-05 20:08:20+00:00,b'RT @wwmusichome: .@FannyLu regresa por todo lo alto. Despu\xc3\xa9s del gran \xc3\xa9xito de su canci\xc3\xb3n #Vali\xc3\xb3LaPena que se aproxima a 400 mil reproducci\xe2\x80\xa6'
1521697046196940800,2022-05-04 03:43:42+00:00,"b'Ella es el resultado de esa linda ecograf\xc3\xada. Mi ni\xc3\xb1a, Mi Vale, el #AmorDeMiVida, a quien le dedico esta bella canci\xc3\xb3n \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x8e\xb6\n05-05-22 \nPre-Save en la Bio de mi Instagram. https://t.co/JiYi2DIgVC'"
1519841327093100545,2022-04-29 00:49:44+00:00,"b'\xc2\xbfHasta d\xc3\xb3nde vamos a llegar? NO es natural salir a la calle con zozobra, NO es justo perder a los integrantes de nuestras familias por la inseguridad de nuestro pa\xc3\xads, NO es justo ver el sufrimiento de nuestros ni\xc3\xb1os. NO es justo nada de lo que est\xc3\xa1 pasando. #DENUNCIA #diadelni\xc3\xb1o https://t.co/PrxkToCkCW'"
