twitter_id,date,tweet
1546522616885743616,2022-07-11 15:51:39+00:00,b'@L__Herdiansyah Kepencet tadi'
1546521210715926529,2022-07-11 15:46:04+00:00,b'Aaaahk sayang bgt sm foya gaming'
1545122229964324865,2022-07-07 19:07:01+00:00,b'Kepala berisikkk jam segini'
1543224496194465793,2022-07-02 13:26:06+00:00,b'@padillarikz_ Apa yang harus ak jual'
1543224096313393152,2022-07-02 13:24:30+00:00,b'KLEE RERUN HIIIII BABYGIRL \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x94\xa5\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x94\xa5'
1536395822333538304,2022-06-13 17:11:23+00:00,b'@tanyakanrl Ak inget'
1532735283283623936,2022-06-03 14:45:43+00:00,b'@isa_bot_ JADI TAKUT'
1532731816712769536,2022-06-03 14:31:56+00:00,"b'Lagi nonton anime 86 kok ya suara snow witch mirip bgt Ayaka...\n\nTernyata pas cari tau, bener!!\n\nAdem bgt'"
1529896128979738624,2022-05-26 18:43:55+00:00,b'Bentar bebersih dl'
1529894696335470592,2022-05-26 18:38:14+00:00,b'Valo gaksiii'
1527720771174338560,2022-05-20 18:39:50+00:00,"b'Alhamdulillah, udah dapet pendonor kucing.\n\nTerima kasih temen-temen yang udah doain dan bantu sebar info, semoga kebaikan temen-temen terbalas, aamiin. \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x98\x8a'"
1527203108601724930,2022-05-19 08:22:49+00:00,b'@Dave3_ HEH AOWKAOWKA KABUURD'
1527202013448065024,2022-05-19 08:18:28+00:00,b'Wkwkwkw buka twitter ngakak bgt sorry \xf0\x9f\x98\xad\xf0\x9f\xa4\x9a\xf0\x9f\x8f\xbc'
1525525304554315776,2022-05-14 17:15:50+00:00,b'@oorheo \xf0\x9f\xab\xa3\xf0\x9f\xa4\xad'
1521149327283871744,2022-05-02 15:27:15+00:00,b'Kangeeennn genshin sambil mesen nasgor \xf0\x9f\xa5\xb2\xf0\x9f\x91\x8c\xf0\x9f\x8f\xbc'
1521149151638999040,2022-05-02 15:26:33+00:00,b'@oorheo AWOAKAOWKAK yang bener aj'
