twitter_id,date,tweet
1516104001523171329,2022-04-18 17:18:56+00:00,b'Quem vai ser o campe\xc3\xa3o??? #bbb22'
1516103784010821641,2022-04-18 17:18:04+00:00,b'Falta mto pouco pra acabar o BBB!! Como o tempo voa af'
1516103630490935297,2022-04-18 17:17:28+00:00,"b'Puts, nem por milagre de Deus kkk'"
1505697093540847618,2022-03-21 00:05:36+00:00,b'@luanismylight to indoooo'
1505696614224121856,2022-03-21 00:03:41+00:00,b'@felipeulmaia Hahahhhaha'
1505696587418329088,2022-03-21 00:03:35+00:00,b'@lapetra_b Hahahhahhahaha'
1505696506229231626,2022-03-21 00:03:16+00:00,b'@t3ddykissme t\xc3\xb4 na estradaaa'
1505696467981381637,2022-03-21 00:03:07+00:00,b'@minharazaoFKAG hahhahah t\xc3\xb4 na estrada'
1505695970830561280,2022-03-21 00:01:08+00:00,b'meu 4g t\xc3\xa1 um coco'
1505693549160976387,2022-03-20 23:51:31+00:00,b'kd minhas vidinha tudo??'
1505044261464645634,2022-03-19 04:51:28+00:00,b'Junte-se a mim no meu Espa\xc3\xa7o! https://t.co/sLuUJAcHhU'
1505043886456152065,2022-03-19 04:49:59+00:00,b'@rwelacion eu te amo obg hahahahahahha'
1505043322288672769,2022-03-19 04:47:45+00:00,b'\xf0\x9f\x8c\x9d https://t.co/xABUsZZfDi'
1505039101728378888,2022-03-19 04:30:58+00:00,b'@UniversoDoFiuk HAHAHHAHA t\xc3\xb4 aquiiii ok'
1505039012192571393,2022-03-19 04:30:37+00:00,b'cad\xc3\xaa a turma da madruga pro nosso space? \xf0\x9f\x8c\x9d'
1505018710695813122,2022-03-19 03:09:57+00:00,b'@amoordefiuk t\xc3\xb4 aqui vida'
1505018639107473408,2022-03-19 03:09:40+00:00,b'@eitafiuk oi minha vidinhaaaa'
1505015480033103873,2022-03-19 02:57:06+00:00,"b'@treasurefiuk calma, vidinha\xe2\x80\xa6 \xc3\xa9 pq eu vou fazer space'"
1505007998602727429,2022-03-19 02:27:23+00:00,b'@suyravenclaw me esperemmmm!!'
1505007805308321794,2022-03-19 02:26:37+00:00,b'@lucysiq gratid\xc3\xa3o vida \xf0\x9f\x99\x8f\xf0\x9f\x92\x99'
1504994464913362952,2022-03-19 01:33:36+00:00,"b'Al\xc3\xb4, RJ! \xf0\x9f\x91\x80 https://t.co/7XKhtFoP8L'"
1504994238693617667,2022-03-19 01:32:42+00:00,b'@xnegola sou novato nisso de space!! Hahaha mas vou aprender e quero conversar com vcs heim'
1504993968383307777,2022-03-19 01:31:38+00:00,b'@jsdakay \xf0\x9f\x92\x99\xf0\x9f\x92\x99\xf0\x9f\x92\x99\xf0\x9f\x92\x99'
1504993702594416642,2022-03-19 01:30:34+00:00,b'@JessicaThays16 tem muita coisa boa vindo a\xc3\xad \xf0\x9f\x99\x8f prometo que vcs v\xc3\xa3o entender essas sumidinhas ok \xf0\x9f\x92\x99'
1504993536609071104,2022-03-19 01:29:55+00:00,b'@kakadofilipe vidaaaaaa \xf0\x9f\x92\x99'
1504993503226564611,2022-03-19 01:29:47+00:00,b'@PitukasDoFiuk gratid\xc3\xa3o \xc3\xa9 minha \xf0\x9f\x92\x99'
1504993273395433476,2022-03-19 01:28:52+00:00,b't\xc3\xb4 pensando aqui\xe2\x80\xa6 ser\xc3\xa1 que minhas vidinhas topam um space na madruga hoje pra gente comemorar o dia do f\xc3\xa3? \xf0\x9f\x8c\x9d me falem aqui que eu vou at\xc3\xa9 separar um vinho pra beber com vcs ok'
1504992691804848131,2022-03-19 01:26:33+00:00,b'ontem foi o dia do f\xc3\xa3 e eu s\xc3\xb3 tenho a agradecer por vcs existirem na minha vida e por estarem sempre comigo \xf0\x9f\x92\x99 vcs s\xc3\xa3o tudo na minha vida ok'
1504992116358979585,2022-03-19 01:24:16+00:00,b'moresssss'
1496241072669966338,2022-02-22 21:50:45+00:00,b'O tempo n\xc3\xa3o passa n\xc3\xa3o\xe2\x80\xa6 ele voa https://t.co/auqMqdbGAJ'
1496240213500350464,2022-02-22 21:47:20+00:00,b'@GilDoVigor @_IPrix hahhahahah boraaa! sdds Gilzinho'
