twitter_id,date,tweet
1545121165374619650,2022-07-07 19:02:47+00:00,b'Throwback Thursday!! This is one of my favorites ! Take Care of This House by Leonard Bernstein and Alan Jay Lerner. @SmithCenterLV https://t.co/S9E2QHIG33'
1544775871566954496,2022-07-06 20:10:42+00:00,"b'Shooting in the summer !  Even I gotta admit , It\xe2\x80\x99s a hot one Yal! #breathe https://t.co/lwWIMQuUHw'"
1543330274271977472,2022-07-02 20:26:25+00:00,"b""RT @princessofsoul_: The first image of @IAMJHUD in Iervolino Entertainment's anthology film, \xe2\x80\x9cTell It Like a Woman.\xe2\x80\x9d Hudson will star in t\xe2\x80\xa6"""
1542128493076643841,2022-06-29 12:50:58+00:00,"b'\xe2\x9c\xa8 @HerveLeger @jdfrierson @VernecciaE @Kimora_Mulan @kindastylized On to the next stop ,\nBosslady got more work to do! https://t.co/xzx7qdGsYC'"
1541901093080285186,2022-06-28 21:47:22+00:00,b'This was on my spirit! U will always see me try. #Aaliyah #TheOneIGaveMyHeartTo @Diane_Warren https://t.co/uCXmJHhxEv'
1540002432695926784,2022-06-23 16:02:46+00:00,"b'Check it out !! My new show is going to be full of heart, honesty, and a whole lot of fun ! Mark your calendars for September 12. See yal then ! https://t.co/5TBlxte0YD'"
1539800198830071808,2022-06-23 02:39:10+00:00,b'Vegas Baby ! \xe2\x9c\xa8 So happy \xe2\x80\x9cThe Jennifer Hudson Show\xe2\x80\x9d was part of the Promax Station Summit @MaryConnelly @andylassner https://t.co/K30IQ1EqMM'
1539290028345634823,2022-06-21 16:51:56+00:00,b'Happy 1st day of summer ! Yal know I love the heat ! Yesssssssss!!!!!! I\xe2\x80\x99m so ready ! Come on 100 !!! #firstdayofsummer https://t.co/5TlLPnxq5o'
1537889835913912326,2022-06-17 20:08:04+00:00,b'I will forever be humbled to not only carry her middle name but inherit her gift of singing and her beauty heart ! U will forever live on ! Love u Julia K. Hudson . Jenny Kate https://t.co/t9Wuvss0SU'
1537889039889575939,2022-06-17 20:04:54+00:00,b'Happy heavenly birthday to my grandmother ! I\xe2\x80\x99m sure she\xe2\x80\x99s still singing the clouds out of heaven ! The greatest gift her and my mother gave to us was introducing us to Christ and it is a blessing to be living truly off of my grandmother\xe2\x80\x99s prayers. https://t.co/rtYEhscnX7'
1537840462144348161,2022-06-17 16:51:52+00:00,b'And here\xe2\x80\x99s the song @Syleena_Johnson wrote for me back in the day ! Woo!!! Takin me back! https://t.co/VIOWqni7AG'
1537839490626199552,2022-06-17 16:48:00+00:00,b'Thank you @foxsoultv Queens for the acknowledgment ! It means more than u know ! And special shout-out to @Syleena_Johnson my Chicago sister ! https://t.co/Jrmg1jneCS'
1537498041862836226,2022-06-16 18:11:13+00:00,b'RT @RollingStone: Newfound EGOT winner @IAMJHUD has revealed the premiere date for her upcoming daytime talk show. https://t.co/I2ZJIt7YST'
1537468033962283010,2022-06-16 16:11:58+00:00,"b'I can\xe2\x80\x99t believe I get to say this, but welcome to my show !!! \xe2\x9c\xa8 Let\xe2\x80\x99s light up daytime beginning September 12th ! Wait a minute that\xe2\x80\x99s my birthday !!! https://t.co/YzIrUgmCp4'"
1537413406147452928,2022-06-16 12:34:54+00:00,"b'Wow, I am in awe of God ! Look where He has brought me ! https://t.co/Buim8kd59x'"
1537300932022743040,2022-06-16 05:07:58+00:00,b'RT @TheJimmyWilson: Cannot handle these two beautiful humans in this beautiful photo. So much love. #EGOT #Friends @TheTonyAwards\n@IAMJHUD\xe2\x80\xa6'
1536838633994321920,2022-06-14 22:30:58+00:00,"b'I am overwhelmed by the outpouring of love &amp; support that I\xe2\x80\x99m Still receiving &amp; I\xe2\x80\x99m still processing this new ground. Thank u all for being with me on this journey. I could not live this life without u. Like I said when I won my Oscar, look what God can do. Well He did it again ! https://t.co/2H18RU7Rqc'"
1536775517436882947,2022-06-14 18:20:09+00:00,b'https://t.co/b1xdwxSgBt'
1536775508066717696,2022-06-14 18:20:07+00:00,b'What a night ! Filled with so many memorable moments ! I am so inspired by people who are passionate about their craft ! Congratulations to everyone on their well-deserved awards and their beautiful performances ! @TheTonyAwards \n\nPhotos: Getty Images https://t.co/PeQtWbleZe'
1536429295467384833,2022-06-13 19:24:24+00:00,b'Congratulations to the brilliant @TheLivingMJ on your incredible achievement with @StrangeLoopBway. It was such a joy to celebrate u and your beautiful art last night at @TheTonyAwards. Soo proud of u !!!\n\n(Photo by Charles Sykes/Invision/AP) https://t.co/1jrdTljzaB'
1535627391724400640,2022-06-11 14:17:55+00:00,b'Team Jhud help me wish one of my favorites @GTGYK a happy belated birthday !!! https://t.co/JbSgETnzkQ'
1535277919429328902,2022-06-10 15:09:14+00:00,b'Go get it !!! https://t.co/QsWTkAMIYk'
1535064519898443778,2022-06-10 01:01:16+00:00,b'RT @StrangeLoopBway: ORIGINAL BROADWAY CAST ALBUM AT MIDNIGHT TONIGHT \n\nYOU READY?!'
1534671606710251520,2022-06-08 22:59:58+00:00,b'Happy belated bday to one of my favorite duet partners @RealSirTomJones ! Love you Tom! Hey I never knew u and Prince had the same bday ! https://t.co/rn8M00Wn1F'
1534288451075440640,2022-06-07 21:37:27+00:00,"b'It was during this special moment that Prince told me to take it to church. At the time I didn\xe2\x80\x99t hear what he said ! So now whenever I sing a Prince song, I hear him in my head telling me to take it to church  so that\xe2\x80\x99s what I do ! Happy heavenly birthday to my friend Prince ! https://t.co/40Dzl8Jseg'"
1533260834666856449,2022-06-05 01:34:04+00:00,"b'And now the woman of the hour, @tashacobbs !!! I\xe2\x80\x99m so happy we finally got to do this together ! What an amazing night ! https://t.co/i4IxsMZyEC'"
1533216747205148672,2022-06-04 22:38:52+00:00,b'RT @princessofsoul_: .@IAMJHUD with @RealMichelleW and @ImEricaCampbell backstage last night at Tasha Cobbs\xe2\x80\x99 live album recording in Chicag\xe2\x80\xa6'
1533189007395500036,2022-06-04 20:48:39+00:00,b'\xe2\x9c\xa8 https://t.co/K9L2dQcDYb'
1529154171445837832,2022-05-24 17:35:39+00:00,b'I love u Mama Patti ! We celebrate u today and every day! Team Jhud help me wish @MsPattiPatti a happy birthday ! https://t.co/DUsfJ7632l'
