twitter_id,date,tweet
1543903313724379137,2022-07-04 10:23:28+00:00,b'Bulletproof mind https://t.co/MxN1M4mEup'
1542453176204419072,2022-06-30 10:21:09+00:00,"b'@paolomanazza #Ibranftcollection \n#NFT\n\n\xe2\x80\x9cLe grida assordanti e le urla dagli spalti sono la mia adrenalina, la motivazione per continuare a fare ci\xc3\xb2 che amo\xe2\x80\x9d\n https://t.co/VHBgkBYxey https://t.co/zjGON3cKs4'"
1542451829858045953,2022-06-30 10:15:48+00:00,b'#Ibranftcollection #Federico Guida\n\nhttps://t.co/VHBgkBYxey\n\nLions Gate https://t.co/xXpSd5yiju'
1542194771908780034,2022-06-29 17:14:20+00:00,b'@Corriere #Pao \n https://t.co/VHBgkBYxey\n\nIbra - The look https://t.co/0u13wbXEKc'
1542119719603503104,2022-06-29 12:16:07+00:00,b'#NFT #NFTArtist \n\n@venezianogiusep\n\nhttps://t.co/VHBgkBYxey\n\nZlatan Mundi https://t.co/d6fMGPfIs6'
1542058495847108608,2022-06-29 08:12:50+00:00,b'@Corriere #GiovanniFrangi\n\nhttps://t.co/VHBgkBYxey\n\nLa vida es sue\xc3\xb1o https://t.co/AcSDislndJ'
1541714235343966215,2022-06-28 09:24:52+00:00,b'@Corriere @wrongtheorynft @Artslifetweet\n\nhttps://t.co/VHBgkBYxey\n\nThe Laws of Adrenaline III https://t.co/K5gpsTZ0G9'
1540012466071130112,2022-06-23 16:42:38+00:00,b'Time is on my side https://t.co/kjjWw7rDZa'
1535551994772987904,2022-06-11 09:18:19+00:00,b'Casa Ibra https://t.co/iDVHNKDQHM'
1534882452598140928,2022-06-09 12:57:48+00:00,"b'RT @acmilan: Eternal Zlatan: all of his 2021/22 league goals, from start to finish \xf0\x9f\xa4\xa9\xe2\x9a\xbd\n\nEterno @Ibra_official: gustiamoci tutti i suoi gol i\xe2\x80\xa6'"
1532016625540644865,2022-06-01 15:10:01+00:00,"b'I talk, I walk https://t.co/j94mApdf6d'"
1530949419360784385,2022-05-29 16:29:19+00:00,b'Emptied the knee once a week for six months https://t.co/ewLbIizL2P'
1530482823924273154,2022-05-28 09:35:14+00:00,b'Milano is not @acmilan \nItaly is Milan https://t.co/Tg0FFJu95K'
1529765264572796929,2022-05-26 10:03:55+00:00,b'https://t.co/GTEZwMaJyg'
1529644698763202563,2022-05-26 02:04:50+00:00,b'\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f https://t.co/IzZRDAdFJ1'
1529016877170688000,2022-05-24 08:30:05+00:00,b'#NewProfilePic https://t.co/Sn439qcMgr'
1528852633997520897,2022-05-23 21:37:27+00:00,b'RT @acmilan: AlwayZ believe in @Ibra_official \xf0\x9f\x92\xaa\n\n#AlwaysWithYou #SempreMilan https://t.co/jZVY3OqwBI'
1528749601779490824,2022-05-23 14:48:02+00:00,b'Nr 34 https://t.co/4cWI2HHhKN'
1528749530577088513,2022-05-23 14:47:45+00:00,b'I said I did https://t.co/elMymh4ELb'
