twitter_id,date,tweet
1521377744424431616,2022-05-03 06:34:54+00:00,b'Eid Mubarak to you all !!'
1511668604550651905,2022-04-06 11:34:15+00:00,"b""#SSGPremierLeague is finally here! Pick from one of the 10 teams, Walk and Win amazing rewards.\nJoin India's biggest walking league TODAY! Download the app now - https://t.co/hrPybtjAtk\n\n#Collaboration #SSGPremierLeague #SSG #StepSetGo #WalkingLeague #Fitness https://t.co/sbYI2fiSJ2"""
1496823789379751936,2022-02-24 12:26:15+00:00,b'Going live #CricbuzzLive #INDvsSL \xf0\x9f\x91\x8d https://t.co/pbdwIImvt9'
1495032246503620608,2022-02-19 13:47:18+00:00,b'History at #Tokyo2020 and now history in Mumbai as it is set to host the #IOCSessionMumbai2023. It makes me proud as a sportsperson and as an Indian. My heartiest congratulations to IOC member Nita Ambani. @WeAreTeamIndia.\n#StrongerTogether'
1480118546571022336,2022-01-09 10:05:35+00:00,b'Worried you\xe2\x80\x99ll give up on your new year resolution yet again? Join me on the Mission 2022 fitness challenge on @stepsetgo to be #BetterThanYesterday. Get an exclusive medal for finishing the challenge! Register now! https://t.co/KdGoFr33BI'
1470646061630836736,2021-12-14 06:45:19+00:00,b'Excited to announce that my first ever NFT will be launched in the current pack drop of https://t.co/C9fSA7TQMh . Reserve your packs now and start buying them at 8 PM.\n\n#RarioPackDrop @rariohq'
1464238421883461638,2021-11-26 14:23:38+00:00,b'Congratulations Rudra . Look forward to visit the store soon \xf0\x9f\x91\x8d #Obeeteeinmumbai @obeeteecarpets https://t.co/ZmInNsWVXO'
1463805591021891585,2021-11-25 09:43:43+00:00,"b'Great entries guys! But the moment that stands out for me is a maiden super over. It\xe2\x80\x99s not just an interesting moment, but a rarest of rare moments.\n\n#RarioCricketNFT https://t.co/1Mx0JqZWnv https://t.co/OVJP5qws2g'"
1463507907727831043,2021-11-24 14:00:50+00:00,b'Equally rare is Zaheer Khan outscoring @WasimJaffer14 in not one but both innings of a test match! \xf0\x9f\x98\x82\n\n#Rario https://t.co/stBqkk5uf5 https://t.co/zcjnevnHHv'
1463438429052493831,2021-11-24 09:24:45+00:00,"b""Still can't believe India won three out of three tosses in the recent series. Did the coins have a secret chip, just like the currency notes? \xf0\x9f\x98\x89\n\nJust kidding, can you recall more such rare moments?\n\nPS: Only Cricketers can reply \xf0\x9f\x98\x9c\n\n#Rario"""
1457865577947672577,2021-11-09 00:20:14+00:00,b'My turn to face the inswingers! Catch me today at 7.30pm in conversation with Gaurav Kalra discussing what I know best! Only on #R1SETalks . Listen in. https://t.co/8u4rREpF28'
1451510177790889987,2021-10-22 11:26:08+00:00,b'Look forward to a very competitive #T20WorldCup and what better way than being back with my fellow #CricbuzzLive panelists on @cricbuzz . Join us for all the fun https://t.co/ySH6Q2LCCo'
1450749278683533314,2021-10-20 09:02:36+00:00,b'Nothing beats a good match day and what better match to enjoy than #INDvsAUS.\n \nWatch all the action from the second warm up game live at 3:30PM only on @DisneyPlusHS \n\n #Collab #WarmUpMatches #T20WorldCup'
1446401784084303874,2021-10-08 09:07:12+00:00,b'Cheers \xf0\x9f\x91\x8d https://t.co/OVAKQp25NJ'
1446401476146913302,2021-10-08 09:05:59+00:00,b'Thank you https://t.co/9hMmg10ZBj'
1446401397851820032,2021-10-08 09:05:40+00:00,b'Thank you \xf0\x9f\x91\x8d https://t.co/ciNKZtWpqK'
1446400677895356416,2021-10-08 09:02:49+00:00,b'\xf0\x9f\x91\x8d https://t.co/Nn0ZcJ7okN'
1446400319836020767,2021-10-08 09:01:23+00:00,b'Cheers Joyda \xf0\x9f\x91\x8d https://t.co/I0yjpEh0jt'
1446399903421325339,2021-10-08 08:59:44+00:00,b'\xf0\x9f\x91\x8d https://t.co/GwguUVe4ud'
1446399624747573260,2021-10-08 08:58:38+00:00,b'Cheers \xf0\x9f\x91\x8d https://t.co/CBnBqYVeED'
1446396945136771095,2021-10-08 08:47:59+00:00,b'Thank you guys for the wishes  \xf0\x9f\x99\x8f https://t.co/ioEck8OoCc'
1443105350639624199,2021-09-29 06:48:21+00:00,b'Reminds me of my fast bowling days. @sliceit_ https://t.co/thTec0KRbl'
1439890395945598978,2021-09-20 09:53:16+00:00,"b""15 days, 5 fitness challenges &amp; over 1.2 lakh participants! I'm overjoyed by the level of dedication you showed towards getting healthier with @stepsetgo. Looking forward to meeting you #superfans on Zoom later today!\n@anuragsinha1992 @itsalokranjan @prash_smo @tushnemma @vppati"""
1433410071774601224,2021-09-02 12:42:47+00:00,"b'Winning isn\xe2\x80\x99t everything, but wanting it is \xf0\x9f\x92\x99 https://t.co/xLzMbjX5CH'"
1430855826487533568,2021-08-26 11:33:07+00:00,"b""RT @cricbuzz: Lessons from #SachinTendulkar's handbook \xf0\x9f\x93\x96\n\nWhat can #ViratKohli learn from Master Blaster's ability to bounce back from a le\xe2\x80\xa6"""
1430203000748867587,2021-08-24 16:19:01+00:00,"b'My thoughts on the upcoming #ENGvIND Test. Let us know what you think. Also, join me and @Tanay_Tiwari on #CricbuzzChatter at every session break. https://t.co/nYXF0rxsuN'"
1428036115177431046,2021-08-18 16:48:36+00:00,b'Pumped to be part of something new and exciting in the world of cricket! \xf0\x9f\x91\x8d https://t.co/oedyWrjAPq'
1427340532569751559,2021-08-16 18:44:36+00:00,b'Simply amazing! Incredible zeal and resilience shown by the team to Win the test match at Lords  #INDvENG . Treat to watch the impact and dominance of Indian pacers.'
1422912923551162369,2021-08-04 13:30:52+00:00,"b""Join me on #CricbuzzChatter for the #ENGvIND Test series after every session every match day with @Tanay_Tiwari. Send me your questions too and I'll answer them on the show. Look forward! https://t.co/tudfuUlbSM"""
1400389345316532229,2021-06-03 09:50:12+00:00,b'@YUVSTRONG12 doing great work as always!! Guys please support the cause \xf0\x9f\x91\x8d https://t.co/0pIrtsfg0a'
1393103401710354434,2021-05-14 07:18:28+00:00,b'Eid Mubarak!!'
1377992490913984513,2021-04-02 14:33:06+00:00,b'Ever so Grateful. #10years #WorldCup2011 Thank you for the love and support \xf0\x9f\x99\x8f\xf0\x9f\x92\x99 https://t.co/AyapW6iATO'
1377900816288215045,2021-04-02 08:28:49+00:00,"b'So !! It\xe2\x80\x99s been 10years .... Time flies, memories remain ... What a day it was!!! #Worldcup2011 https://t.co/J1urcLAMho'"
1376421771096727556,2021-03-29 06:31:37+00:00,"b""I'm hosting a @TwitterSpaces event and it's LIVE! \xf0\x9f\x94\x8a\n\nSend in your questions using #TwitterSpaceWithZak and join the conversation!\n\n https://t.co/YaNZALMDGO"""
1375772048182685696,2021-03-27 11:29:51+00:00,"b'Go IGL!!\xf0\x9f\x8e\xae\xf0\x9f\x92\xa5\nCongratulations Ash, and the team for the launch of this fantastic platform. Gonna be fun!\n\nhttps://t.co/7tNn8bb83j\n@IGLeSports @YashPariani\n@Hungama_com @neerajroy\n@h_talkies #HindustanTalkies \n@deepapardasany @AshishChowdhry\n#indiangamingleague #IGL https://t.co/5yd1ojrdfp'"
1370377609310138369,2021-03-12 14:14:17+00:00,"b""Join me in the #SSGGandhiMarch challenge on the StepSetGo app by clicking on https://t.co/9pJ38GMJpz &amp; contribute towards the goal of 20 Billion steps! Let's walk for our health. Let's walk for a fitter India.\n#stepsetgo #WalkForIndia https://t.co/N1OFK6lTZr"""
1298295185428959232,2020-08-25 16:24:28+00:00,"b'@Mitch_Savage Looks like you have misplaced the quarantine rule book, @Mitch_Savage... I am sending you a fresh one \xf0\x9f\x98\x82'"
1298217853544472579,2020-08-25 11:17:10+00:00,b'Going through all your questions. Some really interesting ones. Keep sending them with #AskZakOnMI and I will answer them soon. #OneFamily https://t.co/prATC9C7J0'
1294668452536258560,2020-08-15 16:13:07+00:00,b'The captain who always utilised his resources to the fullest. Really enjoyed the freedom of bowling with you . Wish you all the luck with your second innings. @msdhoni https://t.co/5fC9LJMa5A'
1289101404125057025,2020-07-31 07:31:39+00:00,b'Eid al-Adha Mubarak to all!! Stay safe and Healthy \xf0\x9f\x91\x8d\xf0\x9f\x91\x8d'
1289078726076952576,2020-07-31 06:01:32+00:00,b'Always fun chatting cricket with you @mrcricketuae \xf0\x9f\x91\x8d https://t.co/pw3RHFHJ73'
1264845832714629121,2020-05-25 09:08:40+00:00,b'Wishing everyone a very Happy Eid #eidmubarak2020'
1259443521104338944,2020-05-10 11:21:49+00:00,"b""Maharashtra Police has stood by citizens through calamities, attacks &amp; disasters. Today as they lead the war on Corona on the streets, I've decided to celebrate them by changing my DP on Twitter to the Maharashtra Police logo.  Join me in this endeavour \xf0\x9f\x99\x8f"""
1259442335877746688,2020-05-10 11:17:06+00:00,b'#NewProfilePic https://t.co/rYynV1257e'
1257303446719541250,2020-05-04 13:37:55+00:00,b'I urge you all to thank and support our frontline and healthcare workers. They are the real heroes in the #COVID\xe3\x83\xbc19 fight. #jeetegaindiajeetengehum https://t.co/JD6O7ChYzC'
1252935981138956288,2020-04-22 12:23:10+00:00,b'Appreciate the work of #MissionAnnaSeva initiative as it pledges to distribute over 3 crore meals along with other essentials to marginalised communities and frontline workers across India \xf0\x9f\x87\xae\xf0\x9f\x87\xb3\n.\n@mumbaiindians @reliancefoundation #OneFamily https://t.co/LADvmaII1e'
1221367197206892547,2020-01-26 09:40:06+00:00,b'\xf0\x9f\x99\x8f #PadmaAwards2020 @PadmaAwards https://t.co/1obGo2ESuw'
1211281729022877696,2019-12-29 13:44:03+00:00,"b'Looking forward to share my thoughts, journey and insights with some young bright minds @Techfest_IITB on the 5th of Jan. #Techfest2020'"
1205097148276039681,2019-12-12 12:08:44+00:00,b'Happy Birthday fella !! @YUVSTRONG12 have a rocking year ahead \xe2\x9c\xa8\xe2\x9c\xa8 https://t.co/wxp7qKCUHI'
1202129797977014272,2019-12-04 07:37:32+00:00,b'Happy birthday AJ!! Cheers to a great year ahead \xf0\x9f\x91\x8d\xf0\x9f\x8e\x89\xf0\x9f\x8e\x89 @imAagarkar https://t.co/tbPj2BptlZ'
1201862688017485825,2019-12-03 13:56:09+00:00,b'All the very best buddy \xf0\x9f\x91\x8d https://t.co/BWbhdzzuUv'
