twitter_id,date,tweet
1546228269548290050,2022-07-10 20:22:01+00:00,b'RT @CarmellaWWE: Hey @JENNIWOWW / @snooki come get your girl. https://t.co/PNDNB1s9CR'
1546228217157193731,2022-07-10 20:21:49+00:00,b'@CarmellaWWE @snooki \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\xab\xa0\xf0\x9f\xab\xa0\xf0\x9f\xab\xa0'
1545601054401773570,2022-07-09 02:49:41+00:00,b'@giovancreano11 I\xe2\x80\x99m sobbing'
1545550311548395520,2022-07-08 23:28:03+00:00,"b'In an alternate universe, Eddie Munson graduated \xf0\x9f\x98\xa2'"
1545550026428059653,2022-07-08 23:26:55+00:00,b'@Its_TShirt_Tom \xf0\x9f\x98\xab\xf0\x9f\x98\xab\xf0\x9f\x98\xab\xf0\x9f\x98\xab I wish he graduated'
1545547550983393281,2022-07-08 23:17:05+00:00,b'RT @ItsTheSituation: Ratings are in \xf0\x9f\x92\xa5 grateful to be at the top of the charts #JSFamilyVacation https://t.co/AVJmirvjMM'
1545547531282702339,2022-07-08 23:17:00+00:00,b'\xf0\x9f\x98\xab\xf0\x9f\x98\xab\xf0\x9f\x98\xab\xf0\x9f\x98\xab https://t.co/ioGheYeUP3'
1545211280029622272,2022-07-08 01:00:52+00:00,b'See you all next week! #JSFamilyVacation https://t.co/WjVjZds2Fz'
1545207488194166784,2022-07-08 00:45:48+00:00,b'RT @ItsTheSituation: This family vacation should be interesting \xf0\x9f\x91\x80 #JSFamilyVacation'
1545207455893884928,2022-07-08 00:45:40+00:00,b'The boys love getting the tea just as much as we do #JSFamilyVacation'
1545204620930293762,2022-07-08 00:34:24+00:00,b'RT @lauren_pesce: That family chat always has a lot going on \xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f #JSFamilyVacation'
1545201159689871362,2022-07-08 00:20:39+00:00,b'It always does \xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f #JSFamilyVacation https://t.co/AjMzk9DECE'
1545200781623758849,2022-07-08 00:19:09+00:00,b'This story is taking turns I didn\xe2\x80\x99t expect \xf0\x9f\xa4\xa8\xf0\x9f\x98\x82 #JSFamilyVacation'
1545199613296230404,2022-07-08 00:14:30+00:00,b'Facts \xf0\x9f\x98\x82\xf0\x9f\x98\x82 #JSFamilyVacation https://t.co/LMa1hSLfTZ'
1545199242523942912,2022-07-08 00:13:02+00:00,b'RT @nicolehare93: @JENNIWOWW aww Greyson cheering on @zackclayton is too freaking adorable. #JSFamilyVacation'
1545198361648791552,2022-07-08 00:09:32+00:00,b'We were so ready for the tea \xf0\x9f\x91\x80\xf0\x9f\x8d\xb5 #JSFamilyVacation'
1545197884211138560,2022-07-08 00:07:38+00:00,b'\xf0\x9f\xa4\x94\xf0\x9f\xa4\x94 #JSFamilyVacation https://t.co/fbVCodqdOY'
1545197745572560898,2022-07-08 00:07:05+00:00,b'So proud of @zackclayton \xf0\x9f\xa5\xb0 #JSFamilyVacation'
1545197253970870273,2022-07-08 00:05:08+00:00,b'Best time!! \xf0\x9f\x92\x99 #JSFamilyVacation https://t.co/EXH66uFat5'
1545196838139174912,2022-07-08 00:03:29+00:00,b'Loved having the fam come to Zack\xe2\x80\x99s match with me #JSFamilyVacation'
1545196523021127680,2022-07-08 00:02:14+00:00,b'Who\xe2\x80\x99s watching &amp; tweeting along with me? #JSFamilyVacation'
1545196277570453505,2022-07-08 00:01:15+00:00,b'\xf0\x9f\x91\x80\xf0\x9f\x91\x80 #JSFamilyVacation https://t.co/Lg99uhvnTR'
1545196202056097793,2022-07-08 00:00:57+00:00,b'RT @495Prods: It sure is \xf0\x9f\x8d\xb7... ALL_NEW @JerseyShore STARTS NOW on @MTV #JSFamilyVacation \xf0\x9f\x8f\x9d\xef\xb8\x8f\n\n@ItsTheSituation @lauren_pesce @DJPaulyD @Nikki\xe2\x80\xa6'
1545196156514361346,2022-07-08 00:00:46+00:00,"b""RT @JerseyShore: Mood because tonight's #JSFamilyVacation is a GOOD one. \xf0\x9f\xa4\xad\nWho is watching + tweeting along with me? \xf0\x9f\x93\xb2 https://t.co/16Kh3bE\xe2\x80\xa6"""
1545196085039304704,2022-07-08 00:00:29+00:00,b'It\xe2\x80\x99s time!! \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc tune in to @mtv NOW for the new episode of #JSFamilyVacation'
1545183551913590784,2022-07-07 23:10:41+00:00,b'Less than 1 hour until a brand new episode of #JSFamilyVacation ! Tune in at 8pm on @mtv'
1545145275290877953,2022-07-07 20:38:35+00:00,b'Who\xe2\x80\x99s excited for the new episode of #JSFamilyVacation tonight? Live tweet with me at 8pm!'
1545121247549431814,2022-07-07 19:03:07+00:00,b'I\xe2\x80\x99m opening a bottle of wine for this one.\xc2\xa0\xf0\x9f\x99\x88\xc2\xa0A crazy new episode of #JSFamilyVacation airs tonight at 8/7c on @mtv! https://t.co/QVGfp0e6eL'
1543563786229108738,2022-07-03 11:54:19+00:00,b'RT @zackclayton: Back tonight with an action packed #JSFamilyVacation  8/7C @MTV https://t.co/1zGtjoDmAb'
1543563546876944384,2022-07-03 11:53:22+00:00,"b'RT @JerseyShore: 4 tickets to Barbie, please. https://t.co/08oqZ1xVzY'"
1542674335034478593,2022-07-01 00:59:57+00:00,b'BDS with the advice \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbc #JSFamilyVacation @ItsTheSituation'
1542671759328935936,2022-07-01 00:49:43+00:00,b'Boys will be boys \xf0\x9f\x92\x99#JSFamilyVacation https://t.co/brYA45K3cM'
1542670877887709185,2022-07-01 00:46:13+00:00,b'The Investigation is on it \xf0\x9f\x95\xb5\xef\xb8\x8f\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\x98\x82 #JSFamilyVacation https://t.co/Y07W8Su7ZK'
1542668915549036546,2022-07-01 00:38:25+00:00,b'We love you @ItsTheSituation @lauren_pesce and Mosey \xe2\x9d\xa4\xef\xb8\x8f We\xe2\x80\x99re always there for our fam #JSFamilyVacation'
1542666046963961856,2022-07-01 00:27:01+00:00,b'Me! \xf0\x9f\x99\x8b\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\x99\x8b\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f I would never miss an episode #JSFamilyVacation https://t.co/3UMZp4pLW1'
1542664730522910720,2022-07-01 00:21:47+00:00,"b'RT @495Prods: Perhaps, THIS will refresh your memory... \xf0\x9f\xa4\xa3#JSFamilyVacation \n\n@ItsTheSituation @lauren_pesce @DJPaulyD @NikkiHallTM @JENNIWO\xe2\x80\xa6'"
1542664573362249728,2022-07-01 00:21:10+00:00,b'We all love Mosey \xe2\x9d\xa4\xef\xb8\x8f #JSFamilyVacation https://t.co/USk96o0mSe'
1542664449986908160,2022-07-01 00:20:40+00:00,b'We brought food and wine.. what more do you need @DeenaNicoleMTV https://t.co/8C1gkzuMQG'
1542663754466398213,2022-07-01 00:17:55+00:00,b'I stand corrected.. it\xe2\x80\x99s called \xe2\x80\x9cmaking love\xe2\x80\x9d \xf0\x9f\x91\x80 #JSFamilyVacation https://t.co/0b4WQlCrrV'
1542663150297911296,2022-07-01 00:15:30+00:00,b'We had to bring reinforcements (wine) to get the tea out of @DeenaNicoleMTV \xf0\x9f\x98\x82 #JSFamilyVacation'
1542661245656072193,2022-07-01 00:07:56+00:00,b'Mood #JSFamilyVacation https://t.co/CDnEAYkBnS'
1542661188416315397,2022-07-01 00:07:43+00:00,b'Things are escalating quickly \xf0\x9f\x91\x80 #JSFamilyVacation'
1542660610776768513,2022-07-01 00:05:25+00:00,b'Vinny and Pauly were living their best lives at MSG #JSFamilyVacation'
