twitter_id,date,tweet
1546239923383963648,2022-07-10 21:08:20+00:00,b'Can\xe2\x80\x99t touch this \xe2\x80\xa6 #WeekendShoots https://t.co/PIn3eSZhzb'
1545201689098981376,2022-07-08 00:22:45+00:00,b'RT @FrencHMonTanA: go grab my sis @JLo new single for her documentary halftime.  Feat. Me \xf0\x9f\x8c\x8a  JENNY FROM THE BLOCK  B\xe2\x9d\x8c https://t.co/S4QcSCdB\xe2\x80\xa6'
1544468006452862977,2022-07-05 23:47:22+00:00,b'One year of #CambiaElPaso https://t.co/I8Bz2CNdWQ \xf0\x9f\x93\xb8 @AnaCarba15 https://t.co/zpRJ33FeUk'
1544421394422718464,2022-07-05 20:42:09+00:00,b'#SummerOfBooty @JLoBeauty #SomethingIsComing https://t.co/3L9BZROXI3'
1543775097369939968,2022-07-04 01:53:59+00:00,b'\xc2\xa1VAMOS! #Halftime @Netflix https://t.co/hXeEGwlrW3 https://t.co/LQE7U9PKOf'
1543691100145127424,2022-07-03 20:20:13+00:00,b'RT @contodonetflix: HALFTIME gave me a new appreciation for the @JLo glam squad \xf0\x9f\x92\x85\xf0\x9f\x8f\xbd https://t.co/VLZJc97dpo'
1542600914854236160,2022-06-30 20:08:12+00:00,b'RT @jlobeauty: @JLo is in founder mode today \xf0\x9f\x92\xaa Hustling behind the scenes to develop the next limitless #JLoBeauty essentials\xe2\x80\xa6 what are you\xe2\x80\xa6'
1542205750700691456,2022-06-29 17:57:58+00:00,b'Happy hump day https://t.co/Ksww2Kec3H'
1541971948598546433,2022-06-29 02:28:55+00:00,b'RT @contodonetflix: my heart every time I see @JLo with the little girls who danced in her Halftime show \xf0\x9f\xa5\xba https://t.co/os0ZQFf6uz'
1541676739067117569,2022-06-28 06:55:52+00:00,b'HALFTIME #LetsGetLoud @Netflix https://t.co/E2aCCkA3tb'
1541560694872543233,2022-06-27 23:14:45+00:00,"b""RT @VirginVoyages: We've still got cabins on cabins to give away courtesy of our Chief Entertainment &amp; Lifestyle Officer @JLo \xf0\x9f\x8e\x81\n\nEnter for\xe2\x80\xa6"""
1539302338476683265,2022-06-21 17:40:51+00:00,b'How ironic \xf0\x9f\x98\x82 https://t.co/cw2ubU18fJ'
1539302221157806082,2022-06-21 17:40:23+00:00,b'Yesss!!!! https://t.co/iVlFUmmqOl'
1539064581112205312,2022-06-21 01:56:05+00:00,b'It\xe2\x80\x99s givin\xe2\x80\x99 https://t.co/jHU6SlC8b3'
1538982529687965696,2022-06-20 20:30:02+00:00,b'Your summer playlist \xe2\x9e\xa1\xef\xb8\x8f #Halftime @Netflix @Spotify https://t.co/W3hvjxFcHF'
1538934234265444352,2022-06-20 17:18:08+00:00,b'Travels https://t.co/s8E0HuV9MG'
1538699871196065792,2022-06-20 01:46:51+00:00,"b'Happy Father\xe2\x80\x99s Day to the most caring, loving, affectionate, consistent and selfless Daddy ever. #HappyFathersDay my love. For my full Father\xe2\x80\x99s Day post go to https://t.co/G5oGxtX0z5 https://t.co/oDqAn1OQaV'"
1538677879445196801,2022-06-20 00:19:28+00:00,b'#HappyFathersDay to the best daddy ever! For my full Father\xe2\x80\x99s Day post go to https://t.co/G5oGxtX0z5 \xf0\x9f\xa4\x8d\xf0\x9f\x92\x9a https://t.co/iFsvWbdSqo'
1538175354380005376,2022-06-18 15:02:37+00:00,b'Lol https://t.co/edGM39Zev9'
1537959238147772417,2022-06-18 00:43:50+00:00,b'Last night \xe2\x80\xa6 @Dodgers #LADFGala \n\xf0\x9f\x93\xb8 @notchrisvilla https://t.co/r9RpLZaFMD'
1537402956126924800,2022-06-16 11:53:22+00:00,"b'RT @NetflixNaija: The world is listening, what am I gonna say? HALFTIME, the @JLo documentary is now streaming \xf0\x9f\x92\x95 https://t.co/ZfirjAYgKx'"
1537330766677282816,2022-06-16 07:06:31+00:00,"b'RT @Tiffany_Smith: Just finished watching @JLo #Halftime on @netflix\xe2\x80\xa6 just wow\xe2\x80\xa6 I laughed, smiled, cried, danced and just felt so inspired\xe2\x80\xa6'"
1537217670415675392,2022-06-15 23:37:07+00:00,b'Thank you for all the love for #Halftime'
1537217380719284225,2022-06-15 23:35:58+00:00,b'RT @DivoAndTheCity: The documentary #Halftime has already reached the number two spot on Netflix after just one day of its release. @JLo @n\xe2\x80\xa6'
1537217241036431362,2022-06-15 23:35:25+00:00,b'RT @JloRoom: Halftime is so good. Jennifer is so inspiring. I loved the fact that she shared her wins and her loose. Jennifer Lopez is an a\xe2\x80\xa6'
1537217115094011905,2022-06-15 23:34:55+00:00,"b'RT @JackSlaterrrr: Jlo is quite literally praising Shakira in her #Halftime doc, saying they both deserved 12/13 minutes and not to have to\xe2\x80\xa6'"
1537217021137473537,2022-06-15 23:34:32+00:00,b'RT @wenzdaithegoat: JLO. HALFTIME. THATS IT. THATS THE TWEET. #Halftime'
1537216960416468993,2022-06-15 23:34:18+00:00,b'RT @thejeffmiaral: My respect for @JLo went up to 100+ after watching the #Halftime documentary. All the hard work and dedication has paid\xe2\x80\xa6'
1537216893097938944,2022-06-15 23:34:02+00:00,"b'RT @ChrisSapphire: Halftime by Jennifer Lopez on Netflix is soooo good! Girrrl, my eyes were all tearing up many times throughout the whole\xe2\x80\xa6'"
1537216749921177601,2022-06-15 23:33:27+00:00,"b'RT @BiaAylesworth: Jlo is a souce of inspiration, mainly for those who feel the outsiders.Only god knows how I needed this. I had the worst\xe2\x80\xa6'"
1537216569570230277,2022-06-15 23:32:44+00:00,"b'RT @Inclusionists: Next time I teach, @jlo\xe2\x80\x99s #halftime @netflix will be on the syllabus, watched in class and discussed. It is so compellin\xe2\x80\xa6'"
1537216562028892160,2022-06-15 23:32:43+00:00,"b'RT @Inclusionists: Watching @jlo in #halftime @netflix makes you want to be more, do more and give more. It takes you on a spiritual journe\xe2\x80\xa6'"
1537216497344385031,2022-06-15 23:32:27+00:00,"b'RT @PhoebiArum: I just saw and enjoyed the Jennifer Lopez Halftime documentary.\nWhat a woman, what an unbelievable woman!'"
1537216398153244672,2022-06-15 23:32:04+00:00,b'RT @WannaBLikeJLo: Jennifer Lopez has always been a person with a \xe2\x99\xa5\xef\xb8\x8f of gold. \n\n#Halftime shows that &amp; more without trying to gloss over th\xe2\x80\xa6'
1537215940684681217,2022-06-15 23:30:15+00:00,"b'RT @Natemom: I just watched @jlo #Halftime! It\xe2\x80\x99s very inspiring, touched my heart in many ways. @jlo is one of the greatest performers in t\xe2\x80\xa6'"
1537215889644236800,2022-06-15 23:30:02+00:00,"b'RT @hefferguson: I cried, I laughed, I smiled till my face hurt, I got mad with industry and this unfair world, I felt SO PROUD... And most\xe2\x80\xa6'"
1537215714829869057,2022-06-15 23:29:21+00:00,b'RT @SAPPHICVINCENT: i just finished halftime and YOU GUYS. I AM. CRYING. i\xe2\x80\x99m so incredibly proud of how far jennifer has come in her career\xe2\x80\xa6'
1537215483757223936,2022-06-15 23:28:26+00:00,"b'RT @Wardah_Hartley: I will never understand why successful, hardworking, brown/black women are such an afront to media and society.'"
1537215380640235520,2022-06-15 23:28:01+00:00,"b'RT @urbnpoett: Just watched #Halftime @JLo documentary. What an eye opener. What a woman, what a human being, what a soul. Truly amazing, &amp;\xe2\x80\xa6'"
1537215128151552001,2022-06-15 23:27:01+00:00,"b""RT @MichaelKayePR: Loving the #Halftime documentary about @JLo on @Netflix. She's one of the most inspiring, talented artists of my lifetim\xe2\x80\xa6"""
1537214865689006080,2022-06-15 23:25:58+00:00,"b'RT @selenaxkarol: Just watched Halftime and it\xe2\x80\x99s so fucking good @JLo !!!! You\xe2\x80\x99re so amazing and talented, you deserve the whole world \xf0\x9f\x92\x95\xf0\x9f\x92\xab'"
1537214622964428800,2022-06-15 23:25:00+00:00,"b'RT @dsolis_11: Omg @JLo Halftime on Netflix was so good. She is so empowering and to see that with every move she makes has love, thought,\xe2\x80\xa6'"
1537214548356128768,2022-06-15 23:24:43+00:00,b'RT @Alyssa_Milano: Can we just stop trying to pull women down during the apex of their success?\n\nI\xe2\x80\x99ve seen so many inaccurate reports about\xe2\x80\xa6'
1536814860641521664,2022-06-14 20:56:30+00:00,b'@leanneaguilera @enews @netflix @Daniellerobay @EWagmeister Thank you baby \xf0\x9f\x92\x8b'
1536790190403878912,2022-06-14 19:18:28+00:00,"b""RT @netflix: \xe2\x80\x9cMy whole life i've been battling and battling to be heard\xe2\x80\xa6 to be seen\xe2\x80\xa6 to be taken seriously.\xe2\x80\x9d\n\nJennifer Lopez\xe2\x80\x99s Halftime is\xe2\x80\xa6"""
1536720220106018819,2022-06-14 14:40:26+00:00,b'RT @contodonetflix: Happy #Halftime Day to those who celebrate! \xf0\x9f\x91\xaf\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\xaa\xa9 \xf0\x9f\x8e\xa4 \xf0\x9f\x91\xa0\xf0\x9f\xa5\xa4\xf0\x9f\x8f\x88\xf0\x9f\x8e\xb6\xf0\x9f\x87\xb5\xf0\x9f\x87\xb7'
1536720138203869185,2022-06-14 14:40:06+00:00,b'RT @NetflixFilm: Get a look behind the curtain and see the grit and determination that makes @Jlo. See from her perspective her evolution a\xe2\x80\xa6'
