twitter_id,date,tweet
1369508015112478724,2021-03-10 04:38:49+00:00,"b'Diego, Max, Jesus, Jaime/Blue Beetle, Angel, Bruce, Fernando: Ive performed as many different characters and allow me to introduce you to Lars. My new movie, Adverse, is available today on @appletv. Thanks @lionsgate @lionsgateathome. Comment and let me know what you think. https://t.co/LLnKK64XhZ'"
1362882226497589251,2021-02-19 21:50:18+00:00,"b'\xe2\x80\x9cA Jake of All Trades\xe2\x80\x9d, my latest at this link @HNMagazine \n\nhttps://t.co/k4Z8AWKiip https://t.co/hOPhHo3prp'"
1342990090742636544,2020-12-27 00:26:03+00:00,"b'Finally getting out for a low-key celebration \xf0\x9f\x8e\x822\xef\xb8\x8f\xe2\x83\xa36\xef\xb8\x8f\xe2\x83\xa3. Thank you for the comments &amp; likes throughout the year, with everything going on, it\xe2\x80\x99s great to stay connected. Each of you are important &amp; valued \xf0\x9f\x91\x8d. #hbdJTA #betterlatethannever \xf0\x9f\x93\xb2\xe2\x9c\xa8 https://t.co/IbAXSc5m06'"
1336086255436611584,2020-12-07 23:12:41+00:00,"b'@vanessasr Hi Vanessa, can you follow/dm me? I have a business issue. Thanks. #inbox'"
1309246567031828480,2020-09-24 21:41:20+00:00,b'Happy Thursday Twitter! @D_DELUISE (my \xe2\x80\x9cWizardly\xe2\x80\x9d dad \xf0\x9f\x92\xab) created a show \xe2\x80\x9cGrandma For President\xe2\x80\x9d: Its about an 11-year old boy that unexpectedly gets his grandma on the ballot \xf0\x9f\x97\xb3. New Episodes every #Tuesday and #Thursday on #audible \xf0\x9f\x93\xb2 . Check it out \xe2\x9c\x85\nhttps://t.co/32PHn1P7KJ'
1257812342030528512,2020-05-05 23:20:06+00:00,"b'Working in over 12 countries around the world, @EGPAF is dedicated to preventing pediatric HIV infection and eliminating AIDS \xf0\x9f\x8f\xa8. They are #EverydayHeroes \xe2\x9d\xa4\xef\xb8\x8f and I\xe2\x80\x99m proud to support them #GivingTuesday \xf0\x9f\x93\x86 https://t.co/Lb47ELhLjV'"
1237818469929717766,2020-03-11 19:11:35+00:00,b'RT @SonyPictures: At the #Bloodshot Premiere with @JakeTAustin! \xf0\x9f\x94\xb4 https://t.co/7RkVxJQ2Sd'
1195448164322611206,2019-11-15 21:07:07+00:00,b'RT @INDOCHINO: .@JakeTAustin looking particularly dapper in a burgundy Indochino overcoat at the premier of @CharliesAngels! #Indochino #Ou\xe2\x80\xa6'
1194438378520903680,2019-11-13 02:14:35+00:00,b'RT @CharliesAngels: At the #CharliesAngels World Premiere with @JakeTAustin! \xf0\x9f\x98\x87\xe2\x9c\xa8 https://t.co/e2ohwf1cAl'
1192946536495243264,2019-11-08 23:26:32+00:00,"b'RT @MakeAWish: This #WishWednesday, @JakeTAustin spent the day w/ wish kids @Macys helping make wishes come true thru #MacysBelieve! Each l\xe2\x80\xa6'"
1143209351835840512,2019-06-24 17:28:43+00:00,"b'RT @INDOCHINO: Looking sharp, Jake. @JakeTAustin wears @INDOCHINO for @theHauteLiving. Catch more here: https://t.co/ST9c6FROrn #SummerSols\xe2\x80\xa6'"
1141853105077665794,2019-06-20 23:39:29+00:00,b'RT @theHauteLiving: Summer Solstice: Actor Jake T. Austin Talks Living In The City Of Angels https://t.co/U0LS9PwpFA'
1119971223167877121,2019-04-21 14:28:42+00:00,b'I want it that way.\n@backstreetboys #BSBVegas #backstreetboys @ZapposTheater @PHVegas #PHabulous \nMy Gear: @OriginalPenguin clothing https://t.co/2CjK5X5qGI'
1119363496112558080,2019-04-19 22:13:48+00:00,"b'From ""Hollywood"" to ""Planet Hollywood""; weekend in Vegas @phvegas #PHabulous \nGear: @luckybrand \nGlasses: @persol \nKicks: @puma https://t.co/UM2ySvHyDn'"
1098708487616385026,2019-02-21 22:18:11+00:00,b'RT @kwilli1046: This kid is incredibly talented... \nLets help this little man go viral! https://t.co/4tbGpGlgda'
1096259347003322370,2019-02-15 04:06:10+00:00,"b'Sat down with @flauntmagazine. Checkout the link (https://t.co/pHXCEathGG) to see the pics and read about my past, the present and our future. Thanks to all of you for supporting me throughout the years, and looking forward to more to come.'"
1054391220959494144,2018-10-22 15:17:11+00:00,b'@bcofbeckerbmoc @bradytutton Facts.'
1053784692812472320,2018-10-20 23:07:03+00:00,"b""RT @etnow: Selena Gomez's TV brother has her back. https://t.co/H545s4sXBE"""
1050892136550301696,2018-10-12 23:33:04+00:00,b'RT @Playworks: @JakeTAustin We loved having you at Play Day with the Stars today! Thanks for jumping right into the games and helping us sh\xe2\x80\xa6'
1039568463252082692,2018-09-11 17:36:50+00:00,b'God Bless the first responders and families of those who made the ultimate sacrifice seventeen years ago today. They will always be remembered. #NeverForget911'
1035298492514619392,2018-08-30 22:49:30+00:00,b'@itsniallsmjle_ @danielle_sayz I love it! \xf0\x9f\x91\x8c\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f'
1033765159276240897,2018-08-26 17:16:35+00:00,b'Pasadena https://t.co/FWWFqXfcEg'
1028666699308916737,2018-08-12 15:37:07+00:00,b'RT @CBSNews: Food donated to Puerto Rico after Hurricane Maria was found rotting in the parking lot of a government facility. Containers fi\xe2\x80\xa6'
1027732515786612736,2018-08-10 01:45:00+00:00,b'@vgraceactress It was great meeting you too! Look forward to all the amazing work you have coming up in the future \xf0\x9f\x98\x89\xf0\x9f\x99\x8f'
1027269974635819008,2018-08-08 19:07:02+00:00,b'Help make #AIDS history. 1.1 million people are living with HIV/AIDS in the U.S. and 100 more are diagnosed every 24 hours. Post a \xe2\x9d\xa4 with #LifeRide9 tagging @Kiehls and they will donate $30 to @amfAR to find a cure for #HIV. Help us spread the word by tagging 3 friends.'
995743757248159744,2018-05-13 19:13:06+00:00,b'Wishing a Happy Mother\xe2\x80\x99s Day to my Mom and Moms all across the world. Moms deserve so much more than just one day for all the work they do!'
951805349358592002,2018-01-12 13:17:33+00:00,b'@JohnFugelsang A gifted actor and wonderful human. #RIPTaylorNegron'
945381178273562630,2017-12-25 19:50:11+00:00,b'Merry Christmas everybody! Wishing you all a joyous holiday. \xf0\x9f\x8e\x84\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd'
937423981149347840,2017-12-03 20:51:08+00:00,b'Thank you to everyone wishing me a happy birthday! Without you nothing would be possible. \xf0\x9f\xa4\x97\xe2\x9d\xa4\xef\xb8\x8f'
937208129149956097,2017-12-03 06:33:25+00:00,b'@jakextaustin I love it! Thank you so much. You\xe2\x80\x99re amazing!'
930258033342599168,2017-11-14 02:16:13+00:00,b'@JakeBrownRadio @Gruen3PTSports Anytime man! Glad I can help \xf0\x9f\x98\x89\xf0\x9f\x91\x8c\xf0\x9f\x8f\xbd'
923002039956676608,2017-10-25 01:43:29+00:00,b'@JakeMyPrince happy birthday! \xe2\x9d\xa4\xef\xb8\x8f\xe2\x98\xba\xef\xb8\x8f\xf0\x9f\x8e\x82'
911410515766849536,2017-09-23 02:02:54+00:00,b'The lack of coverage of what is happening in Puerto Rico is concerning for many reasons.'
910512240356413440,2017-09-20 14:33:29+00:00,"b'Please pray with me for my family and the many residents of Puerto Rico. Roads are ruined, the power is gone and they need our support. \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x87\xb5\xf0\x9f\x87\xb7'"
908808469268107264,2017-09-15 21:43:18+00:00,b'RT @justjaredjr: .@JakeTAustin wrote @selenagomez the sweetest get-well note on Instagram.\n\nhttps://t.co/BkdzXDDDRd'
907929619512381440,2017-09-13 11:31:04+00:00,b'@mjlunaa Happy Birthday! \xf0\x9f\x8e\x8a\xf0\x9f\x98\x98\xf0\x9f\x92\x99'
907384068471484417,2017-09-11 23:23:14+00:00,b'#NeverForget https://t.co/3m3Dyp0lMr'
898555966588723200,2017-08-18 14:43:31+00:00,b'RT @VulkanMagazine: Obsessed with @JakeTAustin ? See our interview with the heartthrob here \n\nhttps://t.co/Hrx9XGxqkV\n\n#JakeTAustin #Wizard\xe2\x80\xa6'
898228614814105600,2017-08-17 17:02:44+00:00,b'Now is the time that we must come together and put an end to the senseless violence. Stay strong. Te amo mucho #Barcelona \xf0\x9f\x87\xaa\xf0\x9f\x87\xb8\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd'
888424384511315973,2017-07-21 15:44:14+00:00,b'RT @peopleschoice: Jake T. Austin is game for a #WizardsofWaverlyPlace revival! \xf0\x9f\x98\xb2 https://t.co/gw1S93mByt Would you watch??? cc: @selenagom\xe2\x80\xa6'
886328811058495488,2017-07-15 20:57:10+00:00,b'@MMelissaOchoa hey! Long time no talk. Hope all is well \xf0\x9f\x98\x8a'
886306789117046785,2017-07-15 19:29:39+00:00,"b'""Figure out who you are and do it on purpose."" - Dolly Parton'"
869306843453022208,2017-05-29 21:37:57+00:00,"b'Today is a day to honor, remember and cherish those who served and the brave ones still fighting for our country. #HappyMemorialDay \xf0\x9f\x87\xba\xf0\x9f\x87\xb8'"
866802765179256832,2017-05-22 23:47:38+00:00,"b'There are almost no words for how disturbing this is. I pray for the numerous victims, the survivors, and for the families involved. #ariana'"
864492494523961344,2017-05-16 14:47:26+00:00,b'RT @EmojiMovie: \xf0\x9f\x98\x92\xf0\x9f\x98\x80\xe2\x9c\x8b\xf0\x9f\x92\xa9. It\xe2\x80\x99s an adventure beyond words. Watch the new #EmojiMovie trailer now and see it in theaters July 28th! \xf0\x9f\x98\x84\xf0\x9f\x8e\xac https://t.\xe2\x80\xa6'
853697824671846400,2017-04-16 19:53:16+00:00,b'Happy Easter! Hope everyone has a blessed day. \xf0\x9f\x98\x8a\xf0\x9f\x99\x8f\xf0\x9f\x90\xb0\xf0\x9f\x90\xa3'
852189057656397824,2017-04-12 15:57:58+00:00,"b'RT @peopleschoice: #HotelForDogs Stars Jake T. Austin &amp; Johnny Simmons Joked About A Sequel, And Now We Need It To Happen: https://t.co/JL2\xe2\x80\xa6'"
850053885431435265,2017-04-06 18:33:34+00:00,"b'Don Rickles graced the world of comedy with his remarkable ability to make us all laugh and today we honor, thank, and miss him dearly #rip https://t.co/swOGTPKupc'"
844625251904491521,2017-03-22 19:02:07+00:00,"b""Let's stop for a moment today and #prayforlondon during this terrifying time. My heart goes out to everyone in the U.K. #LondonStrong \xf0\x9f\x87\xac\xf0\x9f\x87\xa7\xe2\x99\xa5\xef\xb8\x8f"""
843241484275138564,2017-03-18 23:23:31+00:00,b'What an amazing life lived. A talent like none other. Simply legendary. Truly timeless. Rip #ChuckBerry https://t.co/st3WFwYjSC'
832399360155648000,2017-02-17 01:20:47+00:00,"b""You guys, @selenagomez's new song is dope af \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbd It Ain't Me - Single by Kygo &amp; Selena Gomez https://t.co/fvnqiyvGCv"""
831647483755388929,2017-02-14 23:33:06+00:00,b'#HappyValentinesDay to every single one of you! \xf0\x9f\x98\x8d\xf0\x9f\x98\x98'
825077557322248192,2017-01-27 20:26:33+00:00,b'Please help end the fight against cancer and donate to the link below. https://t.co/cmSS23AO8M #CancerSucks'
822299067988451328,2017-01-20 04:25:50+00:00,"b'I worked with Miguel Ferrer in a new ""Justice League"" film and he was such an amazingly talented man and actor. He will be deeply missed.'"
821830668099420161,2017-01-18 21:24:34+00:00,"b'RT @SonyPictures: ICYMI - @SirPatStew, @MayaRudolph, @JENCOOLIDGE and @JakeTAustin join the cast of @EmojiMovie - join them in the secret \xf0\x9f\x8c\x8e\xe2\x80\xa6'"
821786707746029573,2017-01-18 18:29:53+00:00,"b""I'm so excited to finally announce that I will be in the @EmojiMovie with @JKCorden &amp; @nottjmiller in theaters this summer! \xf0\x9f\x98\x8e\xf0\x9f\x8e\xa5"""
821786052612472835,2017-01-18 18:27:17+00:00,"b""RT @SonyPictures: .@JenCoolidge and @JakeTAustin also join #EmojiMovie as Mary Meh (Gene's mom) and Alex, alongside @NotTJMiller, @ilazer,\xe2\x80\xa6"""
