twitter_id,date,tweet
1546304594099290114,2022-07-11 01:25:18+00:00,b'\xf0\x9f\x96\xa4 @CSiriano \n\xf0\x9f\x96\xa4 prestonmakeup https://t.co/8YOHDw8Y2f'
1546253420394385408,2022-07-10 22:01:58+00:00,b'#SundayInspiration \xf0\x9f\xa4\x8d https://t.co/J8XNFHqHQ2'
1546162975903518732,2022-07-10 16:02:34+00:00,b'i Luv it \xf0\x9f\x92\x83\xf0\x9f\x8f\xbc https://t.co/LPTsh8a6Nm'
1545830600329859075,2022-07-09 18:01:49+00:00,b'\xf0\x9f\x92\x96 https://t.co/of7kYuMfko'
1545814593196462082,2022-07-09 16:58:13+00:00,b'\xf0\x9f\x96\xa4 @CSiriano \n\xf0\x9f\x96\xa4 prestonmakeup https://t.co/iopHmgX908'
1545214501250891779,2022-07-08 01:13:40+00:00,b'Wow it\xe2\x80\x99s been 40 years u guys \xe2\x98\xba\xef\xb8\x8f. Thank u so much for all the LUV \xf0\x9f\x98\x98 \n\n#younglove #40YO https://t.co/msuq4siuSq'
1544735765355167750,2022-07-06 17:31:20+00:00,b'So good to see u @KimVFields \nLUV u \xf0\x9f\x98\x98\xf0\x9f\x98\x98\xf0\x9f\x98\x98 https://t.co/OD8TlAgir9'
1543775410462269440,2022-07-04 01:55:14+00:00,b'\xf0\x9f\x92\x8e\n\nMakeup: prestonmakeup \nHair: @LarryJarahSims \nCustom Wardrobe: @theblondsny\nFootwear: @LouboutinWorld \nCrystals: Preciosa https://t.co/EfGYz6zOsA'
1543749936814211072,2022-07-04 00:14:01+00:00,b'#SundayInspiration \xf0\x9f\xa4\x8d https://t.co/z77zNdNn0D'
1543679702157742081,2022-07-03 19:34:55+00:00,b'.@essencefest x @TheBlondsNY \xf0\x9f\x96\xa4 https://t.co/vbOGSB3FM7'
1543679020147122177,2022-07-03 19:32:13+00:00,b'\xf0\x9f\x98\x98 #ESSENCEFest https://t.co/MZI8bpj3G0'
1543551558805323777,2022-07-03 11:05:44+00:00,"b'What a fun night celebrating with u all at the #BeBold Dinner Party. Thank U to @CocaCola #IfNotForMyGirls, @ATT #DreamInBlack, @PROPELCenter for your contribution to my Rhythm Nation Scholarship Fund \xf0\x9f\x96\xa4 #EssenceFest https://t.co/8UmP5gC58w'"
1543333143343661057,2022-07-02 20:37:49+00:00,b'https://t.co/pH5jlgfGUr'
1543031790708953090,2022-07-02 00:40:21+00:00,b'So much fun w/ u guys. Thank u \xf0\x9f\x98\x98\n\n@essencefest see u tomorrow \xf0\x9f\x92\x96 https://t.co/pIepVINxly'
1543015631515164672,2022-07-01 23:36:09+00:00,b'Sending u so much LUV today sis. LUV U Jack!! \xf0\x9f\x98\x98\xf0\x9f\x98\x98\xf0\x9f\x98\x98 https://t.co/wm34jVQf5Z'
1542554810066534407,2022-06-30 17:05:00+00:00,b'Pre-show \xf0\x9f\xa4\x97 https://t.co/197zARkG7z'
1542307383225028608,2022-06-30 00:41:49+00:00,b'Rehearsals \xf0\x9f\x96\xa4Looking forward to seeing u guys at @essencefest \xf0\x9f\x98\x98 https://t.co/YXcd8DfJfD'
1542191257836986370,2022-06-29 17:00:23+00:00,b'Trying to properly stretch before these rehearsals \xf0\x9f\xa4\xb8\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\xa4\xa3 https://t.co/cgCugvxueV'
1541198318918897665,2022-06-26 23:14:47+00:00,b'#SundayInspiration \xf0\x9f\xa4\x8d https://t.co/XIML66vNt5'
1540766968281649153,2022-06-25 18:40:45+00:00,b'\xf0\x9f\xa4\x8d https://t.co/VcFcFYfHQR'
1539634481987993602,2022-06-22 15:40:40+00:00,b'6/23 &amp; 6/24 @MiLifetime and Lifetime BR \xf0\x9f\x98\x98\n\n#janetjacksondoc #LatinAmerica https://t.co/nZaPwu7D61'
1539346703760953344,2022-06-21 20:37:08+00:00,b'\xf0\x9f\x92\x96\xf0\x9f\x92\x96\xf0\x9f\x92\x96 #getintoityuh \n\nprestonmakeup \n@LarryJarahSims \n@DojaCat https://t.co/b31UG8UCoY'
1538910540424257536,2022-06-20 15:43:59+00:00,b'So happy that we are still there for each other after all these yrs. Here\xe2\x80\x99s to you on your special day. I LUV you \xf0\x9f\x98\x98\xf0\x9f\x98\x98 https://t.co/beWJL6AoTR'
1538575638877114368,2022-06-19 17:33:12+00:00,"b'Saw my bro\xe2\x80\x99s in London. It felt so good to have family time, and see them still commanding the stage, the audience and feeling all that LUV in return. Such a good show, I LUV you!!! \xf0\x9f\x92\x96\xf0\x9f\x92\x96\xf0\x9f\x92\x96\xf0\x9f\x98\x98\xf0\x9f\x98\x98\xf0\x9f\x98\x98 https://t.co/FVZBib3J3R'"
1537070351737401344,2022-06-15 13:51:43+00:00,"b'RT @Essence: New Cover Alert: The Enigmatic Janet Jackson: As she prepares to take the stage again, the music legends offers a tantalizing\xe2\x80\xa6'"
1537063383505195010,2022-06-15 13:24:02+00:00,b'\xf0\x9f\x96\xa4\n\nWriter: @GerrickKennedy \nPhotographer: @yutsai \nFashion: Georgia Medley\nHair: @LarryJarahSims \nMakeup: Preston Meneses\nProps: Jemima Hetherington \nVideographer/Editor: Giancarlo Decastro\n\n@Essence \n#ESSENCE #ESSENCEFEST https://t.co/kqx9Tmr0T1'
1536064406819414016,2022-06-12 19:14:27+00:00,b'#SundayInspiration \xf0\x9f\xa4\x8d https://t.co/NY3NL1KYUe'
1535808544003477510,2022-06-12 02:17:45+00:00,b'Saturdayz w/ Dean \xf0\x9f\x98\x8e\xf0\x9f\x92\x96 https://t.co/dgaUpWuDsN'
1534649534286020608,2022-06-08 21:32:16+00:00,b'My sis for LIFE!!!! I LUV you so Jack \xf0\x9f\x98\x98\xf0\x9f\x98\x98\xf0\x9f\x98\x98 @MissyElliott https://t.co/WVaU6QD2U9'
1533858773286133760,2022-06-06 17:10:03+00:00,b'i LUV you so incredibly much and miss you! Much LUV 2day \xf0\x9f\x98\x98\xf0\x9f\x98\x98\xf0\x9f\x98\x98 https://t.co/KJ6uJe8POC'
1531773136395444225,2022-05-31 23:02:29+00:00,b'Hoping u are enjoying your special day.  Sending u much LUV \xf0\x9f\x98\x98 https://t.co/y73WlHxern'
1531089477464211457,2022-05-30 01:45:52+00:00,b'Sending u so much LUV on your special day!\xc2\xa0\xc2\xa0I LUV you \xf0\x9f\x92\x96\xf0\x9f\x92\x95\xf0\x9f\x98\x98\xf0\x9f\x92\x96\xf0\x9f\x92\x95 https://t.co/IplURKirYn'
1530992945515593729,2022-05-29 19:22:17+00:00,"b'Hey u guys, sending u a ton of LUV and LIGHT today. Luv u \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x98\x98 #SpreadLuv #SundayInspiration \xf0\x9f\xa4\x8d https://t.co/hNLLwYKKE7'"
1529099769292922881,2022-05-24 13:59:28+00:00,b'23 years old here ! We go waaayy back before that! 56 now ?! Lol. Love u @JohnnyGill! Sending u so much Luv always \xf0\x9f\xa4\x8d\xf0\x9f\xa4\x97\xf0\x9f\x98\x98 https://t.co/FdMxhqnkXe'
1528515372797808640,2022-05-22 23:17:17+00:00,b'Sending u so much luv today @NaomiCampbell \xf0\x9f\x98\x98 https://t.co/VFKClzraab'
1528447501484929024,2022-05-22 18:47:36+00:00,b'#SundayInspiration \xf0\x9f\xa4\x8d https://t.co/YHmIqSHWT3'
1528223215797018624,2022-05-22 03:56:22+00:00,b'\xf0\x9f\x98\x8b\n\nDesigner: @ThomBrowne \nMakeup &amp; \xf0\x9f\x93\xb8: prestonmakeup \nHair: @LarryJarahSims https://t.co/zYXMCnSXQz'
1527833598623203332,2022-05-21 02:08:10+00:00,b'Congrats once again \xf0\x9f\x91\x91\xf0\x9f\x98\x98 https://t.co/BjN8XSAFzn'
1527335521235931137,2022-05-19 17:08:59+00:00,b'dress rehearsal w/ my boys \xf0\x9f\x95\xba\xf0\x9f\x8f\xbd\xf0\x9f\x92\x83\xf0\x9f\x8f\xbd https://t.co/5oYrWidg95'
1527334849513943040,2022-05-19 17:06:19+00:00,b'@BrunoMars \xe2\x9d\xa4\xef\xb8\x8f'
1526693171656380416,2022-05-17 22:36:31+00:00,b'I luv it \xf0\x9f\xa4\x97\xf0\x9f\x92\x83\xf0\x9f\x8f\xbd\xf0\x9f\x92\x99 https://t.co/9KbZbnV8M6'
1526343346544947201,2022-05-16 23:26:26+00:00,b'Thank u guys so much for all the luv and the birthday wishes! Luv U \xf0\x9f\x98\x98\n\nThank U \xf0\x9f\x92\x99\nDesigner: @ThomBrowne \nMakeup &amp; \xf0\x9f\x93\xb8: prestonmakeup\nHair: @LarryJarahSims \nLocation: NoMad @parkmgm https://t.co/7capDf6Ir7'
1525955712676941824,2022-05-15 21:46:07+00:00,b'.@silksonic is a must see! \xf0\x9f\x98\x98\xf0\x9f\x98\x98\xf0\x9f\x98\x98 https://t.co/rJdpB7C6MS'
1525932992648167424,2022-05-15 20:15:50+00:00,b'#SundayInspiration \xf0\x9f\xa4\x8d https://t.co/DEdaYNx3f2'
1524883562947829771,2022-05-12 22:45:47+00:00,b'Thank u @mtv \xf0\x9f\x98\x98 link in bio \xf0\x9f\x92\x99 https://t.co/K5fUqwnzne'
1524154315690201090,2022-05-10 22:28:00+00:00,b'\xf0\x9f\xa7\xa1\n\nWardrobe: @Kariswilde \nStylist: @LaurelTCanyon \nHat designer: @esenshel \nShoes: @nike\n\n\xf0\x9f\x93\xb8: @GettyImages/ Stephen Cohen https://t.co/gcse6dA8HN'
1523704350258102272,2022-05-09 16:40:00+00:00,b'\xf0\x9f\xa4\x97\xf0\x9f\xa4\x97\xf0\x9f\xa4\x97 https://t.co/G5WbzYGaSs'
1523686624269582338,2022-05-09 15:29:34+00:00,b'She is AWESOME!!! I LUV it \xf0\x9f\x92\x99\xf0\x9f\x92\x99\xf0\x9f\x92\x99  \n\nREPOST @tylerperry https://t.co/pOnGwrEHBA'
1523378007536246790,2022-05-08 19:03:14+00:00,b'\xf0\x9f\x92\x96\xf0\x9f\x92\x96\xf0\x9f\x92\x96 https://t.co/9wRz70jEv9'
1523161610977787908,2022-05-08 04:43:21+00:00,b'Thank u Louisville &amp; #85DegreeWest! I LUV U \xf0\x9f\x98\x98 https://t.co/LQuE6Omtqb'
1523135154944118785,2022-05-08 02:58:14+00:00,"b'Here we go,\nHere we go,\nHere we go now\xe2\x80\xa6 \xf0\x9f\x98\x98 https://t.co/WHqauFsrvF'"
1522939694882902018,2022-05-07 14:01:32+00:00,b'Ready for 2nite? \xf0\x9f\x92\x83\xf0\x9f\x8f\xbd https://t.co/PG8U0LWWIx'
1522568163002564609,2022-05-06 13:25:12+00:00,b'Quick little run through at @lynnfmlystadium \n\n#kentuckyderby\nLink in bio \xf0\x9f\x98\x98 https://t.co/RkHl15A6Ip'
1521954838430588929,2022-05-04 20:48:04+00:00,b'Sending luv to my big bro @JackieJackson5 today! Luv u so much \xf0\x9f\x92\x99\xf0\x9f\x92\x99 https://t.co/dkSHyt3aCK'
1520882779059331073,2022-05-01 21:48:05+00:00,b'#SundayInspiration \xf0\x9f\xa4\x8d @Petricejones https://t.co/QGhjNiO2xK'
1520593788246401024,2022-05-01 02:39:45+00:00,b'\xf0\x9f\x92\x84&amp; \xf0\x9f\x93\xb7 (IG: prestonmakeup) https://t.co/IDB0T9plxK'
1520124666941259778,2022-04-29 19:35:37+00:00,b'Link in bio \xf0\x9f\x98\x98 https://t.co/mMFpxKobJ8'
1519476752736731136,2022-04-28 00:41:03+00:00,b'In rehearsals for #85DegreeWest Derby Night on May 7th in Kentucky at @lynnfmlystadium! \xf0\x9f\x92\x83\xf0\x9f\x8f\xbd Can\xe2\x80\x99t wait to see u guys there! #Feedback \n\nTickets in link in bio and below \xf0\x9f\x98\x98https://t.co/glZhTIQHFQ https://t.co/L4YC6MLvjm'
1519004028092440576,2022-04-26 17:22:36+00:00,b'Too cute @rymojis!!! \xf0\x9f\xa5\xb0 https://t.co/mqkLVw3FxB'
1518320691669577729,2022-04-24 20:07:16+00:00,b'#SundayInspiration \xf0\x9f\xa4\x97\xf0\x9f\xa4\x8d https://t.co/Pk7ZtpGG0w'
1517623657908035584,2022-04-22 21:57:30+00:00,b'Having a little fun u guys \xf0\x9f\x98\x9d #pose\xf0\x9f\x92\x81\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\x98\x82\n\n#posechallenge\n@theestallion \n@YoGotti \n@LILUZIVERT \n\nhttps://t.co/NS9NMoWPrK'
1515761803778699265,2022-04-17 18:39:10+00:00,b'#SundayInspiration \xf0\x9f\xa4\x8d\xf0\x9f\x92\x9c\xf0\x9f\x92\x9b\xf0\x9f\x92\x99\xf0\x9f\x92\x96 https://t.co/K5G6l8Ncnj'
1515446583466541056,2022-04-16 21:46:35+00:00,b'This makes me \xf0\x9f\x98\x82\xf0\x9f\x98\x82 I luv it https://t.co/0TVZK3DU2i'
1515155352815165440,2022-04-16 02:29:20+00:00,b'#FridayMood \xf0\x9f\x92\x83\xf0\x9f\x8f\xbd https://t.co/XGBido78KJ'
1514326762557214725,2022-04-13 19:36:49+00:00,b'\xf0\x9f\x92\x84&amp; \xf0\x9f\x93\xb7: (IG: prestonmakeup) https://t.co/uos1l6Av6l'
1513216924313956353,2022-04-10 18:06:43+00:00,b'#SundayInspiration \xf0\x9f\xa4\x8d https://t.co/RiGSg3K7Tp'
1512511101484871681,2022-04-08 19:22:02+00:00,b'\xf0\x9f\x92\x84&amp; \xf0\x9f\x93\xb7 (IG: prestonmakeup) https://t.co/9vCpNRtxZ5'
1512214772716089344,2022-04-07 23:44:32+00:00,"b'Off to the races, day 1 \xe2\x98\x9d\xf0\x9f\x8f\xbd\xf0\x9f\x90\xb4\xf0\x9f\x92\x83\xf0\x9f\x8f\xbd\xf0\x9f\x92\x99 https://t.co/4iBw0FfIJm'"
1511527995214860301,2022-04-06 02:15:31+00:00,b'Luv this @yoolwxnder!! \xf0\x9f\x92\x9c\xf0\x9f\x92\x9c https://t.co/XfHxIN8mL8'
