twitter_id,date,tweet
1546579921220165632,2022-07-11 19:39:21+00:00,b'I know my purpose and I must say that ladies and gents I am equipped to waltz within every dream I own confidently. I am humbled and honored to finally be my own best friend. Ok \xe2\x9c\xa842\xe2\x9c\xa8 time to Rock \xe2\x80\x98n\xe2\x80\x99 Roll. \xf0\x9f\x92\xab\xe2\xad\x90\xef\xb8\x8f\xf0\x9f\x8e\xac\xf0\x9f\x8e\xad\xf0\x9f\x8e\xa4\xf0\x9f\x91\xa0\xf0\x9f\x91\x96\xf0\x9f\x93\xba\xf0\x9f\x93\x96\xf0\x9f\x93\x9a\xf0\x9f\x93\x9d\xf0\x9f\xa7\x8e\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\x92\x99\xf0\x9f\x92\x9b\xf0\x9f\x92\x9a\xf0\x9f\x92\x9c\xf0\x9f\x9a\x80'
1546579920221917184,2022-07-11 19:39:21+00:00,b'Everything in my life that has or hasn\xe2\x80\x99t happened yet makes turning 42 very exciting because I know what it takes personally to remain inside of DETERMINED PATIENCE. I know myself and I do love her very much.'
1546579918313492480,2022-07-11 19:39:21+00:00,"b'Oh lil Mrs 42 look at you leanin\xe2\x80\x99 into the moonbeams to recharge and radiate a purposeful glowing heart. I am very proud of my faith, resilience and strength over the last 4 decades. https://t.co/4jkxNA4LHl'"
1545637291237842944,2022-07-09 05:13:41+00:00,b'https://t.co/AXLvRboHaP'
1545637237383000064,2022-07-09 05:13:28+00:00,"b'Our family had the best 4th of July week on Lake Austin. We asked the kids where they wanted to go for their summer trip and out of everywhere, they chose Texas to be with their cousins. It was a sentimental and nostalgic blast of a week. Settled into summer feeling good. https://t.co/HTJTbnp4Zi'"
1545545401050140672,2022-07-08 23:08:33+00:00,b'https://t.co/vOOtkAYems'
1545545356879876098,2022-07-08 23:08:22+00:00,"b'On June 30th, my stud of a boy turned 9. This kid is great at everything, and I mean everything! From love to sports to school to manners to friendships and thoughtfulness, there\xe2\x80\x99s nothing he can\xe2\x80\x99t do or be. Apparently we gave him the right name because he truly Aces it all. https://t.co/obLYAD79Z6'"
1541841506893709312,2022-06-28 17:50:35+00:00,b'CAMP NORTH was magic! Thank you @KimKardashian for giving Maxwell the time of her life and takin\xe2\x80\x99 care of my little lady on her first \xe2\x80\x9ccamp sleep away\xe2\x80\x9d trip! I\xe2\x80\x99m comin\xe2\x80\x99 next time! \xf0\x9f\x92\x9a https://t.co/DS6PRbHWmb'
1541590553342656517,2022-06-28 01:13:23+00:00,b'So Birdie! All day everyday Go Go Go! #BIRDIEMAE https://t.co/m9EhxtzP7L'
1538920028682211328,2022-06-20 16:21:41+00:00,b'Father\xe2\x80\x99s Day Pool Day https://t.co/3Fmrgz9ZtC'
1538919973363384320,2022-06-20 16:21:28+00:00,b'Father\xe2\x80\x99s Day 2022 https://t.co/Xi1D8jFaJE'
1538919803133771777,2022-06-20 16:20:47+00:00,"b'The kids admire, appreciate, love and adore y\xe2\x80\x99all.\nThere is no greater gift in the world to our families.\nI value and honor the gift of Fatherhood #BLESSED'"
1538919799903985666,2022-06-20 16:20:46+00:00,"b'Just woke up feeling grateful for all the Dad heroes out there. Yesterday was a beautiful Father\xe2\x80\x99s Day celebrating my personal favorites.Each of you have created, molded, shaped, and supported us and that makes my heart burst and my smile very real.\nI love y\xe2\x80\x99all. https://t.co/Bz8KZUyAoJ'"
1536047705817903104,2022-06-12 18:08:06+00:00,"b'I have to say I got sentimental with our newest Bridal shoe collection launch. I ran upstairs to grab Eric\xe2\x80\x99s wedding shirt for a photo to reveal one of my faves in the capsule, the Jaeya. #SayYesWithJS \nhttps://t.co/dz0H7w94g5 https://t.co/T885xAYQBe'"
1535064000798797824,2022-06-10 00:59:12+00:00,b'Shop the capsule!\nhttps://t.co/92Gm38uxYq https://t.co/F23Mr6TKEq'
1535063841792733184,2022-06-10 00:58:34+00:00,b'Bridal Shoes are here! Thanks @theknot for capturing this special new collection! \n\nhttps://t.co/92Gm38uxYq https://t.co/qbrOHvGyr3'
1534935726579654659,2022-06-09 16:29:29+00:00,b'https://t.co/zygfelJbSK'
1534935654492164098,2022-06-09 16:29:12+00:00,b'https://t.co/VcEcUgxmxU'
1534935542005219329,2022-06-09 16:28:45+00:00,b'School\xe2\x80\x99s out for summer for #BIRDIEMAE \xe2\x98\x80\xef\xb8\x8f https://t.co/iwHeKVnUv2'
1534349353338404864,2022-06-08 01:39:27+00:00,b'Shades of blue #MAXIDREW https://t.co/x3u6QbuJJr'
1533594456645066752,2022-06-05 23:39:45+00:00,b'A Birdie smile to brighten your Sunday \xf0\x9f\x92\x9b #BIRDIEMAE https://t.co/SUXpKoDzGg'
1532221275619348482,2022-06-02 04:43:14+00:00,b'On the hottest day in LA she asked to get an umbrella \xf0\x9f\xa4\xa3 #BIRDIEMAE https://t.co/CCoxptZgt0'
1529209557788291072,2022-05-24 21:15:44+00:00,b'All I need is a jet ski \xf0\x9f\x8c\x8a \n\nShop my look: https://t.co/CMxz2DnMpG https://t.co/6FkXaKZVIR'
1529163825525686273,2022-05-24 18:14:01+00:00,"b'Shoes, shoes, shoes. Approval day. https://t.co/VDHEpdHxJP'"
1528905742224433153,2022-05-24 01:08:29+00:00,b'Pool Yogis https://t.co/xh2JjpXB2H'
1528430863347769346,2022-05-22 17:41:29+00:00,b'\xf0\x9f\x92\x8b https://t.co/MMO9JmZeUS'
1526709853699317767,2022-05-17 23:42:48+00:00,b'Peekaboo \n\nShop my look: https://t.co/tEzCC0vo25 https://t.co/aeYkZOWyiL'
1525125575504953346,2022-05-13 14:47:27+00:00,b'Denim Approval Meeting Attire \xf0\x9f\x91\x96\xf0\x9f\x91\x96\xf0\x9f\x91\x96 \n\nGrab my sunnies: https://t.co/aAztpNFade\nAnd shoes: https://t.co/SpQKAJaTIp https://t.co/sAMdhp5bn4'
1523815059159502848,2022-05-09 23:59:55+00:00,"b'You are my forever Protector who loves me entirely. You embody wisdom, grace, joy, resilience, determination, truth, excitement, power, understanding, support, fashion, sparkle, kindness, energy, strength, loyalty, prayer, humility, ambition, prayer, truth, and pure abundance!!!'"
1523815055770460161,2022-05-09 23:59:55+00:00,"b'Mommy, oh how I love you so\xe2\x80\xa6 I Am because YOU are. @TinaSimpson \n\n\xf0\x9f\x92\x9aEveryday is Mother\xe2\x80\x99s Day\xf0\x9f\x92\x9a https://t.co/GXeLaBxzdo'"
1522592585679790081,2022-05-06 15:02:15+00:00,b'Fun fact- I wore this Gucci skirt promoting the first season of Newleyweds at 22yrs old on Craig Killburn (@RachelZoe remember this?) #19YearsLater #HOARDER #CANCERIAN https://t.co/RBN1dkB4jq'
1521976267469471748,2022-05-04 22:13:13+00:00,"b'I am excited to partner with @walmart to launch the JS Jessica Simpson demi-fine jewelry collection! Each piece holds a unique story, embodies the nostalgia of a moment and I feel all the sparkles sharing these designs with you \xe2\x9c\xa8. #WalmartFashion https://t.co/6itLBkYiLO https://t.co/H6ewEDQ3uK'"
1521573032372076545,2022-05-03 19:30:55+00:00,"b'She is a leader without ego, a bleeding heart that loves deeply. She is drop dead gorgeous, funny, empathetic, spacial, loyal, artistic, compassionate, drama-free, timely, hopeful, understanding, creative, athletic, thought provoking, ahead of the curve, resilient, and prayerful.'"
1521573031314956294,2022-05-03 19:30:54+00:00,b'Maxwell knows what she wants and communicates her reasoning logically and emotionally in a way that can change most minds (including mine \xf0\x9f\x98\x9c). Maxi can transform anyones subconscious random judgements or biased opinions in less than 3 minutes. It blows my mind on the daily.'
1521573030497079296,2022-05-03 19:30:54+00:00,"b'She told everyone that she turned 5 and it filled my heart with so much gratitude for this beautiful and precious LOVER OF LIFE, God, her angels (yes, she is the soul that talks to angels and feels them everywhere), family, friends, animals, every creature, all things cozy.'"
1521573028072669193,2022-05-03 19:30:54+00:00,"b'How is my first born, best news of my life, and best friend already 10yrs old?!? We had a magical weekend following her lead of rotating friends and family. She begged God to not grow up and to wake up 5yrs old again. https://t.co/4B7Ip3lwDe'"
1520127904969068544,2022-04-29 19:48:29+00:00,b'Got glammed up with my ride or die last night. Ash and I each have 3 kiddos and danced like we were in our 20\xe2\x80\x99s again \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc So. Much. Fun\xe2\x80\xa6Sister Pride \xf0\x9f\x92\x9a\xf0\x9f\x92\x9a @ashleesimpson https://t.co/Rf4sxskgRg'
1519396837391843330,2022-04-27 19:23:29+00:00,b'Just hanging out on a bathroom counter with a gigantic leaf wearin\xe2\x80\x99 @JSCollection! The things us short girls do to look tall for spring \xf0\x9f\x98\x9c \n\nShop the look: https://t.co/wF8XhhdReS https://t.co/llyRzvsMz2'
1517851642930020354,2022-04-23 13:03:26+00:00,b'All green everything \xf0\x9f\x92\x9a https://t.co/JzoURXNL0k'
1513582830705692673,2022-04-11 18:20:42+00:00,b'Adios Cabo San Lucas \xe2\x98\x80\xef\xb8\x8f https://t.co/3q8vJsu0Lz'
1513580323493273602,2022-04-11 18:10:44+00:00,b'Johnson Family Spring Break 2022 https://t.co/hyqes42Aua'
1513580259815444484,2022-04-11 18:10:29+00:00,b'Johnson Family Spring Break 2022 https://t.co/QReSZ6TD75'
1512197684417155073,2022-04-07 22:36:37+00:00,"b'I have gained and lost 100lbs 3x so I never thought this moment could or would happen, but I\xe2\x80\x99m finally spring breakin\xe2\x80\x99 wearin\xe2\x80\x99 a BIKINI!!!!!!\nHard work \nDetermination \nSelf Love\n\nI enjoyed a good proud cry today \xf0\x9f\x92\xaa\xf0\x9f\x8f\xbc\xe2\x98\x80\xef\xb8\x8f\xf0\x9f\x92\x9b https://t.co/ab44UCD8TY'"
1511135974713139206,2022-04-05 00:17:46+00:00,b'The best @JSCollection pool shoes \n\nhttps://t.co/8U4IQOL0Nl https://t.co/e5uj8s2Mpo'
1511135826100563969,2022-04-05 00:17:11+00:00,b'Texi Cali https://t.co/mVrlyCJUiK'
1510659357708533764,2022-04-03 16:43:52+00:00,b'Our first ever Denim try-on event is here! https://t.co/eZw42ahAXh https://t.co/w66ysR02QV'
1510358723318976527,2022-04-02 20:49:15+00:00,"b'Rain, rain, go away. Come again another day. #BIRDIEMAE https://t.co/s6FgEOUGRa'"
1509251009817817095,2022-03-30 19:27:35+00:00,b'This is the first campaign @TinaSimpson and I have shot as the complete owners of the Jessica Simpson Collection and we wanted to share some of that serenity and confident power with everyone.'
1509251004021235727,2022-03-30 19:27:34+00:00,"b'My Spring 2022 @JSCollection campaign has arrived! Shot by one of my favs @adam_franzino, I wanted to share the vibrant, wild and free spirit of Spring. https://t.co/ypLuhLdySa'"
1506451277605130240,2022-03-23 02:02:27+00:00,b'This is 3! Thank you @tutudumonde for the fancy fun tutu fairytale celebration! Little Miss birthday Bird fell asleep snuggling her party tutu. https://t.co/059FCku9Yv'
1506438987203989508,2022-03-23 01:13:37+00:00,"b'I wish everyone of you could hang out with Birdie so you could belly laugh, listen to her stories because you cannot get a word in (you will be shushed), and feel the abundance of joy her spirit radiates. Not a soul loves life more than Birdie and I am blessed to be her mother! https://t.co/KoQa78WIsv'"
1506438858224898052,2022-03-23 01:13:06+00:00,"b'Birdie is everyone\xe2\x80\x99s favorite person, the magic she spreads feels like a bucket of glitter to anyone and everyone. The perfect day for the perfect Bird. Thank you to everyone that made her wishes come true before she even blew out her candles. https://t.co/biCO8rNGDp'"
1506438775009951748,2022-03-23 01:12:46+00:00,"b'Birdie\xe2\x80\x99s dream house party was tutu cute! I can\xe2\x80\x99t believe our girl is 3! Thank you @BalloonandPaper for mesmerizing all of us with stunning rainbow installations. @whambamevents thank you for creating the vision, talent and passion to working so hard to creating the perfect day https://t.co/c03XW6CQIB'"
1504592517727232008,2022-03-17 22:56:24+00:00,b'One of my favorite photos from the @jessicasimpsonstyle Spring 2022 campaign taken by @adam_franzino a couple weeks ago! These heels are sexy and sultry \xf0\x9f\x94\xa5! Shop them @Nordstrom\xc2\xa0@Dillards and https://t.co/CMxz2DneA8! \n\nhttps://t.co/OrVG5ISDvA https://t.co/cF8Npl4QFb'
1501980693777293324,2022-03-10 17:57:57+00:00,b'When you are a tutu obsessed toddler and nobody else at the park fits your dress code \xf0\x9f\xa4\xa3 #BIRDIEMAE https://t.co/66yldesdTy'
