twitter_id,date,tweet
1263141089357303809,2020-05-20 16:14:38+00:00,b'RT @bbcdoctorwho: Are you ready for this week\xe2\x80\x99s #StayingInTheTARDIS challenge? We asked @Joe_Sugg to set the theme! \xf0\x9f\x91\xbd #DoctorWho https://t.\xe2\x80\xa6'
1262650480871772160,2020-05-19 07:45:08+00:00,b'RT @IainDoesJokes: This is tonight. Raising money and awareness for a brilliant cause. During mental health week. @theCALMzone. Also I\xe2\x80\x99m go\xe2\x80\xa6'
1262345769690050561,2020-05-18 11:34:19+00:00,"b""RT @DawBell: \xe2\x9a\xa1\xef\xb8\x8f\xf0\x9f\x8f\x8e Don't miss the CALM x Nintendo Tournament taking place tomorrow between 7pm - 9pm BST on @Twitch \n\n@Joe_Sugg and @Tom_Gren\xe2\x80\xa6"""
1259952562691850240,2020-05-11 21:04:34+00:00,b'@MrDavidMassey I just miss you that\xe2\x80\x99s all \xf0\x9f\x98\x94'
1259897774558060546,2020-05-11 17:26:51+00:00,b'@MrDavidMassey https://t.co/QaOevXeV9R'
1258420131736289281,2020-05-07 15:35:14+00:00,b'Gunna give this one a go! What shall we make? \xf0\x9f\x91\x80 https://t.co/0LW5hxvzQ9'
1257265824504729600,2020-05-04 11:08:26+00:00,"b'RT @DawBell: .@Joe_Sugg on his grooming regimen, staying fit and keeping anxiety at bay / @BritishGQ \n\nhttps://t.co/RDKbv8B2ww'"
1257265587451019266,2020-05-04 11:07:29+00:00,b'RT @Caspar_Lee: We decided to ask some people to tell us what they\xe2\x80\x99re #LookingForward to... https://t.co/AvUIXzcr59'
1257265510053548032,2020-05-04 11:07:11+00:00,b'@IainDoesJokes GG\xe2\x80\x99s \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbc'
1256970291131056133,2020-05-03 15:34:05+00:00,b'@xplrsugg So cool \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc'
1256904945841909763,2020-05-03 11:14:25+00:00,b'Last night me and my cousin achieved something we\xe2\x80\x99ve wanted to do since we first played this game as kids.. we completed ToeJam &amp; Earl on the Sega Genesis! You can watch the whole stream here https://t.co/EGhjmxTmep  #toejamandearl #segaclassics'
1256902971746586625,2020-05-03 11:06:35+00:00,b'Well.. this is pretty cool! \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc Thanks @BritishGQ loved getting involved \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbc https://t.co/S65NRm8UHP'
1256667993075077121,2020-05-02 19:32:51+00:00,"b""RT @unrd: Detectives! Get ready to Play Unsolved. Here's what to do:\n1) Download unrd - https://t.co/T43sLdQydf\n2) Tap on Unsolved (the fir\xe2\x80\xa6"""
1255928528048185344,2020-04-30 18:34:29+00:00,b'MAKING THE DREAM BEACH HOME (In the sims 4) \n\nhttps://t.co/t2tviCZHJD https://t.co/wjuIP3WK39'
1255840735879999489,2020-04-30 12:45:38+00:00,b'@Calfreezy That was the napa beverage of recovery.'
1255839713518288903,2020-04-30 12:41:34+00:00,b'This is a GREAT idea! I smell a Doctor Who @inthepanfood special coming along @dbuzz6589 \xf0\x9f\x91\x80 https://t.co/LU02MkWlCM'
1255537363268354058,2020-04-29 16:40:08+00:00,b'NEW SIMS AT 6 \n\nhttps://t.co/z2O7U3u44S'
1255437716034125827,2020-04-29 10:04:11+00:00,b'GTA IS BACK! \n\nhttps://t.co/r9jav1k7np\n\nMorning surprise! https://t.co/YaYNuLZg1a'
1255239936648904708,2020-04-28 20:58:16+00:00,b'BBC 2 NOW to seee me on @BBCTwo #illgetthis https://t.co/V3oohS74YO'
1255239658415558662,2020-04-28 20:57:10+00:00,b'It\xe2\x80\x99s so accurate it\xe2\x80\x99s actually scary \xf0\x9f\x98\x82 https://t.co/JarvmyFrpr'
1255181092207898624,2020-04-28 17:04:27+00:00,b'NEW SIMS VID!\n\nhttps://t.co/EL3Pt0LEnt\n\nWE DID A BAD THING... https://t.co/iLG4ZoTDg4'
1255176375981477888,2020-04-28 16:45:42+00:00,b'New Sims ep coming at ya in 15 mins \n\nhttps://t.co/z2O7U3u44S'
1255158993414021120,2020-04-28 15:36:38+00:00,"b""RT @Finchelloverno1: So excited for the games and laughs with @Joe_Sugg on I'll Get This tonight!! You are going such incredible things Joe\xe2\x80\xa6"""
1254819183981989890,2020-04-27 17:06:21+00:00,b'NEW SIMS IS HERE! \n\nhttps://t.co/NauhVArg5z\n\nHoneymoon from hell... https://t.co/mbvrVpaHWz'
1254129242121666560,2020-04-25 19:24:46+00:00,b'SIMS EPISODE 11 IS HERE! \nhttps://t.co/bNd5vj7AQF\nTHE WORST WEDDING EVER ON SIMS 4 https://t.co/SmoZzaKrOT'
1253737144234934272,2020-04-24 17:26:43+00:00,b'NEW SIMS EPISODE IS HERE! \nhttps://t.co/rhYOCuCKg5 https://t.co/dQT2ey8laM'
1253390930423488513,2020-04-23 18:30:59+00:00,"b""RT @age_uk: It's great to see our ambassador, @Joe_Sugg, supporting The #BigNightIn - even if he is cutting off @dbuzz6589's incredible loc\xe2\x80\xa6"""
1253383571454205952,2020-04-23 18:01:44+00:00,"b'RT @emmafreud: If you have more than 2 followers, we would love them all (both?) to watchalong #TheBigNightIn with you.   On twitter or Ins\xe2\x80\xa6'"
1253369406190649345,2020-04-23 17:05:27+00:00,b'I feel like this video is me from the future trying to warn my past (Pre bake off) self how to use a peeler properly.. Guess I saw this a little too late.. Sorry future self. https://t.co/ZKGu9eaBaw'
1253368461763448838,2020-04-23 17:01:42+00:00,b'Episode 9 is out now! \nhttps://t.co/yoF1ZydfD5\nEnjoy! :) https://t.co/IMDn0fsE1T'
1252654976461082624,2020-04-21 17:46:34+00:00,b'NEW EPISODE IS HERE \n\nhttps://t.co/4o7Tr4r9O1 https://t.co/6yeb9wkfN8'
1252609760827969537,2020-04-21 14:46:54+00:00,b'RT @IainDoesJokes: I\xe2\x80\x99ll be streaming on twitch from around 4pm. Playing Warzone with my pal and yours @Joe_Sugg https://t.co/zyJ9V4ei6K'
1252290637388492801,2020-04-20 17:38:49+00:00,b'New Sims vid is up! \n\nhttps://t.co/HttcnmIhpX\n\nEnjoy! https://t.co/4YyYS4XluK'
1251549264368537600,2020-04-18 16:32:51+00:00,b'Your Daily dose of sims 4 content - https://t.co/GIXGn2vs3v  - Enjoy! and thanks for all the help and feedback in the comments :) https://t.co/CHrI0uqvtm'
1251221812794535939,2020-04-17 18:51:41+00:00,b'Sims is up! - https://t.co/DSCtU0WoJ6\nwatch it...go on.. https://t.co/pf2xn3N4Hk'
1250740396285706240,2020-04-16 10:58:42+00:00,b'@hughmc27 @GrantHinds @karlhandforth @Caspar_Lee \xf0\x9f\x98\x82 I was so happy with that'
1250710014303617025,2020-04-16 08:57:59+00:00,b'MY FIRST TWITCH STREAM IS HERE! Live now! https://t.co/BsyBFwBGWC with @Caspar_Lee @GrantHinds @karlhandforth'
1250467895848718336,2020-04-15 16:55:53+00:00,b'@dottysugg @dbuzz6589 That\xe2\x80\x99s awesome!!!!'
1248633633742696449,2020-04-10 15:27:11+00:00,b'@willne https://t.co/Wj1uhDCMCQ'
1248233865128394753,2020-04-09 12:58:39+00:00,b'Me sat out in the garden trying to convince myself I don\xe2\x80\x99t have hay fever so I can make the most of this weather like.. https://t.co/UH571hSmez'
1247100071625273345,2020-04-06 09:53:21+00:00,b'\xf0\x9f\x9a\xa8Tour reschedule announcement! Please read if this applies to you \xf0\x9f\x9a\xa8 https://t.co/g3YWcIqwRw'
1245755564723965952,2020-04-02 16:50:46+00:00,b'NEW VIDEO! \nhttps://t.co/Pasg4i01ma\n\nTHIS. GAME. IS. INCREDIBLE. https://t.co/i2Oi5wX6nd'
1245699574716661765,2020-04-02 13:08:17+00:00,b'NEW VIDEO \n\nhttps://t.co/vuwo2jWLGq https://t.co/KoHejS8x68'
1245426974547415045,2020-04-01 19:05:04+00:00,b'Last epsisode went up last night mate \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbc no more left https://t.co/8vIbEugBb1'
1245303487963021314,2020-04-01 10:54:22+00:00,b'Ol\xe2\x80\x99 @joshua_pieters needs help with his new video he\xe2\x80\x99s working on \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbc https://t.co/dXkUveaYOm'
1245093647487467524,2020-03-31 21:00:32+00:00,"b""Sorry for the delay but it's here!  \nhttps://t.co/7OFwidbKjT\n\nthe grand finale of the walking dead series! \nthe end of a flipping era! https://t.co/6rWCvtBcR7"""
1245091668858200069,2020-03-31 20:52:41+00:00,"b'RT @SU2CUK: Huge congratulations, @Joe_Sugg! \xf0\x9f\x91\x91\xe2\xad\x90\xef\xb8\x8f #GBBO #StandUpToCancer https://t.co/K3tEqq7kO7'"
1245080092663074817,2020-03-31 20:06:41+00:00,b'RT @chloeneillx: No one:\n\n@Joe_Sugg : \n\n#gbbo https://t.co/wAAT3JeXLj'
1245078017422110721,2020-03-31 19:58:26+00:00,"b'RT @gemgem41501576: A fondant vagina, lost oven door, smashed mixer and @Joe_Sugg fainting \xf0\x9f\x99\x88 .. officially best ever episode of #GBBO'"
1245077466915405825,2020-03-31 19:56:15+00:00,b'RT @steptfs: This  #GBBO is EXACTLY what we need today!! Funny as!! Thanks so much @MissAlexjones @JamesBlunt @Joe_Sugg @AlisonHammond \xf0\x9f\xa4\xa9 ht\xe2\x80\xa6'
1245068942126854147,2020-03-31 19:22:22+00:00,b'RT @Channel4: WHAT A COMEBACK  \xf0\x9f\x99\x8c @Joe_Sugg #GBBO for @SU2CUK #StandUpToCancer https://t.co/9ZZL6OhKgX'
1245068907381219330,2020-03-31 19:22:14+00:00,b'THE COMEBACK KID!'
1245068164410626049,2020-03-31 19:19:17+00:00,b'RT @SU2CUK: The Great Celebrity Bake Off for #StandUpToCancer is all about raising funds for vital research \xe2\x80\x93 so if you\xe2\x80\x99re enjoying the sho\xe2\x80\xa6'
1245066550232657920,2020-03-31 19:12:52+00:00,b'RT @beckyexcell: How to bake @Joe_Sugg\xe2\x80\x99s traybake:\n\n1) Preheat your oven to 200C.\n2) Cut your finger off.\n3) Pass out.\n4) Enjoy!\n\n#GBBO'
1245063566769762304,2020-03-31 19:01:01+00:00,"b'RT @Channel4: GOOD NEWS! It\xe2\x80\x99s time for #GBBO for @SU2CUK #StandUpToCancer. This week\xe2\x80\x99s bakers are @AlisonHammond, @JamesBlunt, @Joe_Sugg an\xe2\x80\xa6'"
1245056123557810177,2020-03-31 18:31:26+00:00,"b'RT @BritishBakeOff: Oh boy, the tent is in trouble tonight! Please go easy on our carpet, @Joe_Sugg, @AlisonHammond, @MissAlexjones and @Ja\xe2\x80\xa6'"
1245009463905521664,2020-03-31 15:26:02+00:00,b'Also the final EVER episode of the waking dead goes up today on my YouTube channel. It\xe2\x80\x99s over an hour long so I will try get it out before Bake off starts \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbc https://t.co/z2O7U3u44S'
1245006204444827653,2020-03-31 15:13:04+00:00,b'Tonight! 8PM channel 4! #GBBO @SU2CUK \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc https://t.co/ueux1JFWbH'
1244908096964767746,2020-03-31 08:43:14+00:00,"b""RT @PaulHollywood: Don't forget to tune in tonight for another @SU2CUK @BritishBakeOff this week with @JamesBlunt @AlisonHammond @Joe_Sugg\xe2\x80\xa6"""
1244297212693225472,2020-03-29 16:15:48+00:00,b'RT @Sidemen: #StayHome \n\nPlease RETWEET and SHARE this video to spread awareness.\n\n\xf0\x9f\x94\xb5 Coronavirus (COVID-19) Information: https://t.co/ESVro\xe2\x80\xa6'
1243605130265624576,2020-03-27 18:25:42+00:00,b'Really sad news to hear :( This wonderful show and all the people involved will always have a special place in my heart. https://t.co/AFaEbMGKgT'
1243604329883471875,2020-03-27 18:22:31+00:00,"b""NEW VLOG -  https://t.co/EvgZ800MYB\n\nWe're having Isolationship problems.. https://t.co/FEAIbNbU6Y"""
1243545459102224387,2020-03-27 14:28:36+00:00,b'Got a new vlog going up today at 6pm the first of many to keep as many of you entertained as possible whilst stuck inside. It\xe2\x80\x99s a bit different to my normal style for obvz reasons but I\xe2\x80\x99ve really enjoyed making it. \nhttps://t.co/ycExeORf7c'
1243491122976100353,2020-03-27 10:52:41+00:00,b'Me sat in my flat when I spot people still not doing social distancing outside.. https://t.co/UW7rodB34r'
1243268106874687499,2020-03-26 20:06:30+00:00,b'That was something special right there. #ThankYouNHS \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbc'
