twitter_id,date,tweet
1546629475466502144,2022-07-11 22:56:16+00:00,b'Silly walk off stage after tonight\xe2\x80\x99s show in Amsterdam. \n\nWonderful audience! https://t.co/lSlHuQbB2y'
1546605846712524807,2022-07-11 21:22:23+00:00,b'RT @guardian: Dazzling England demolish Norway 8-0 to seal Euro 2022 quarter-final spot https://t.co/wmBtOZvGN4'
1546605800159952898,2022-07-11 21:22:11+00:00,b'RT @RobSchneider: Why didn\xe2\x80\x99t we do this before?!'
1546605154832683009,2022-07-11 21:19:38+00:00,b'The great attraction of Herschel Walker is that he is so ignorant that not even Trump Republicans can feel patronised by him https://t.co/n2jBemwkq0'
1546604123130314752,2022-07-11 21:15:32+00:00,b'I like the sound of this https://t.co/o3u1H8KHVh'
1546603201021067264,2022-07-11 21:11:52+00:00,b'Away with the lot of them ! https://t.co/ve3GNBaxBa'
1546602627399651329,2022-07-11 21:09:35+00:00,b'England women are fantastic in both football and cricket\n\nWhat extraordinary teams !!\n\nWell done !'
1546391209903620097,2022-07-11 07:09:29+00:00,"b'I have found a short BBC piece last week about the meeting, but it omitted the most important - and alarming - point: that Foreign Office officials were excluded from the meeting\n\nHave the BBC now elaborated on this ?'"
1546389521830387715,2022-07-11 07:02:47+00:00,b'This is very good news !!\n\nThank you https://t.co/M3PtaZLSMW'
1546372296708956161,2022-07-11 05:54:20+00:00,"b""RT @DailyMirror: EXCLUSIVE: Chancellor Nadhim Zahawi's family property empire funded by mystery \xc2\xa330m loan\nhttps://t.co/yOoawNtUfE https://t\xe2\x80\xa6"""
1546372173186711553,2022-07-11 05:53:50+00:00,"b'Where can I find the BBC piece about this extraordinary meeting between Blowjob and ex-KGB officer Lebedev, from which all Foreign Office officials were carefully excluded ?'"
1546249462233927680,2022-07-10 21:46:14+00:00,"b'RT @BornFreeFDN: ""It\'s surely our responsibility to do everything within our power to create a planet that provides a home not just for us,\xe2\x80\xa6'"
1546244676985954307,2022-07-10 21:27:13+00:00,"b'How are the right-wing press going to handle this ?\n\nWill they try to keep it out of the papers, or will they try to re-frame this treachery as another triumph for our mini-Trump\n\nWhatever happened to the Fourth Estate ?\n\nAnswer: Off shore billionaires bought it https://t.co/VPfMkvVlPc'"
1546241783419600898,2022-07-10 21:15:43+00:00,"b""RT @ImWatson91: @jk_rowling Thank you. I've seen people claim they know where I live and work, with thinly veiled threats to my safety and\xe2\x80\xa6"""
1546241551617196032,2022-07-10 21:14:48+00:00,"b'RT @jk_rowling: Endless death and rape threats, threats of loss of livelihood, employers targeted, physical harassment, family address post\xe2\x80\xa6'"
1546240384438878216,2022-07-10 21:10:10+00:00,b'He should quit immediately\n\nBeyond disgraceful\n\nAs usual... https://t.co/36ixYet16u'
1546239790579859463,2022-07-10 21:07:48+00:00,b'RT @danielgoyal: The next Prime Minister will be decided by the same people who chose Johnson. \n\nLet that sink in. \n\nAnd then lower your ex\xe2\x80\xa6'
1546239709969539073,2022-07-10 21:07:29+00:00,"b""No wonder she's standing... https://t.co/kV6xIbO0F2"""
1546052246617587712,2022-07-10 08:42:34+00:00,"b""I notice Blowjob's appointees are furious at challenges to his position as leader\n\nI suspect this fierce outburst of loyalty is because they are such third-rate wankers that no other leader would ever give them a job\n\nLoyalty ?\n\nPull the other one..."""
1546050866758680576,2022-07-10 08:37:05+00:00,"b'So I ask the waitress "" Could I have some artificial sweetener ""\n\nFifteen minutes pass, as my coffee cools\n\nThe waitress reappears and asks\n\n"" Do you still need the artificial sweetener ? ""\n\nFinally, the standard response to any sort of question:\n\n"" I\'ll just double check that ""'"
1546049556311412738,2022-07-10 08:31:53+00:00,"b'Some hotel stories...\n\nI put the "" Do Not Disturb \' sign on the door \n\nI put my feet up \n\nKnock\n\nI open the door. The young manager points to the sign and says \' Sorry to bother you, but is this supposed to be out here ? \'\n\nToday, at breakfast, there is only sugar on the table...'"
1545989920061366274,2022-07-10 04:34:54+00:00,"b""Interesting how many people who are believers in 'Freedom' are also authoritarians\n\nDo they assume that the Freedom they treasure should include the freedom to be authoritarian ? https://t.co/XIXCV2VVm0"""
1545988781119086593,2022-07-10 04:30:23+00:00,b'I have suggested several times to the BBC that the person in charge of the Cricket Page should have some passing interest in cricket itself\n\nCould this revolutionary idea now be adopted ?'
1545988012697337856,2022-07-10 04:27:19+00:00,"b'Only for cricket fans...\n\nYesterday my beloved Somerset beat Derbyshire in the Vitality quarter finals. They scored the highest ever total in T20 cricket, and won by a record margin\n\nThere is no mention of this on the BBC Cricket site this morning...'"
1545731955106398209,2022-07-09 11:29:51+00:00,"b""Oh, I understand !\n\nPolitics is about either envy or greed\n\nTop class binary thinking there\n\nYou should go a long way\n\nAnd preferably, don't stop... https://t.co/3WpJujz8pN"""
1545731020162473984,2022-07-09 11:26:08+00:00,"b""So has every Tory administration\n\nBut not in such a completely corrupt way as Blowjob did\n\nRead Peter Oborne's 'The Assault on Truth' https://t.co/EYqfUF9Z83"""
1545730351561150466,2022-07-09 11:23:28+00:00,"b""Not wrong, just incomplete\n\nAnd 'Social Darwinism' has a specific meaning https://t.co/k6jVJ5u7fz"""
1545729925600399360,2022-07-09 11:21:47+00:00,b'RT @andredemz: @JohnCleese Not before selling the NHS to his American friends though'
1545729641989787649,2022-07-09 11:20:39+00:00,"b""RT @Paulinewalnut: @JohnCleese I think you're right except I don't think he will ebay leader. Too many weaknesses. I think it will be someo\xe2\x80\xa6"""
1545729314783641601,2022-07-09 11:19:21+00:00,"b""The greatest thing about democracy is that you can throw a government out\n\nThat's good enough to start with https://t.co/81iv8yboKX"""
1545728654830870528,2022-07-09 11:16:44+00:00,"b""If they're sufficiently unscrupulous and live in a system where money is the only thing that matters, yes https://t.co/iedJBH47zb"""
1545727701813714950,2022-07-09 11:12:57+00:00,"b""True, but it's still the best alternative https://t.co/MY6JrC8PuS"""
1545727539263537152,2022-07-09 11:12:18+00:00,"b""RT @GSpier: @JohnCleese I'm thinking that Torys under Steve Baker could take them into oblivion for at least a couple of decades\n\nhttps://t\xe2\x80\xa6"""
1545727394648133632,2022-07-09 11:11:43+00:00,"b""Check your facts\n\nAnd don't sound off if you can't be bothered"""
