twitter_id,date,tweet
1545785649210331137,2022-07-09 15:03:12+00:00,"b'@RooshWilliams @NaithanJones @CliffMeans @SportsLoungeDMO @TheVolumeSports @Money23Green I hope u get your wish my brother, in the meantime, enjoy your summer'"
1545453073438388224,2022-07-08 17:01:40+00:00,b'Tough https://t.co/bK2LqTWlwL'
1545424484315738112,2022-07-08 15:08:04+00:00,"b'@NaithanJones @CliffMeans @SportsLoungeDMO @TheVolumeSports @Money23Green It\xe2\x80\x99s not hoops anymore, it\xe2\x80\x99s a personality contest. Hoops too boring, they need more lol'"
1545423776786964486,2022-07-08 15:05:15+00:00,"b'@NaithanJones @CliffMeans @SportsLoungeDMO @TheVolumeSports @Money23Green I think they are just protecting their favorite players, people say I\xe2\x80\x99m better and they disagree. I get it..'"
1545422316665851904,2022-07-08 14:59:27+00:00,b'@NaithanJones @CliffMeans @SportsLoungeDMO @TheVolumeSports @Money23Green The nba is a marvel movie\xe2\x80\xa6'
1544772684973608960,2022-07-06 19:58:03+00:00,b'July 29th\xe2\x80\xa6Point Gods. @boardroom @Showtime https://t.co/LI6euV0aS2'
1544694360931205120,2022-07-06 14:46:49+00:00,"b'I see u cookin 7. First day on the job was a success, love the kicks @ChetHolmgren https://t.co/sQrgDpPCU0'"
1543649525419499520,2022-07-03 17:35:01+00:00,b'@NewJerseyJet @YankeesCole @NetsDaily Lol'
1543240562895073280,2022-07-02 14:29:56+00:00,b'@robinlundberg Keep dreaming robin lmao'
1543239051276197888,2022-07-02 14:23:56+00:00,b'@robinlundberg What u want addressed?'
1541897886413119488,2022-06-28 21:34:37+00:00,b'Shaquille is hilarious. You\xe2\x80\x99re a billionaire bro lol https://t.co/11Bq3EIY6i'
1541892593725743104,2022-06-28 21:13:35+00:00,b'Colin is hilarious lol https://t.co/sIpNaqvijr'
1540783595777691651,2022-06-25 19:46:50+00:00,"b'Awww, I\xe2\x80\x99m so proud of these men. https://t.co/0gPHJlt2hy'"
1540449026125856768,2022-06-24 21:37:22+00:00,"b'Aye for my hoopers, this shit still a mental rollercoaster. Enjoy https://t.co/dY2EqpDJ33'"
1540155892535988224,2022-06-24 02:12:34+00:00,b'It\xe2\x80\x99s a wings league\xe2\x80\xa6'
1540063843354701824,2022-06-23 20:06:47+00:00,b'Let\xe2\x80\x99s get it Arch https://t.co/bXtdPtjF6k'
1539709866595323905,2022-06-22 20:40:13+00:00,b'Can I take a victory lap or I gotta wait until I retire? @ColinCowherd https://t.co/eiaOmVB7O8'
1539650248544374786,2022-06-22 16:43:19+00:00,b'Yooo @Money23Green he talkin out of turn today https://t.co/EVRFldQKdH'
1539641583628234752,2022-06-22 16:08:53+00:00,b'I have my own podcast #newmedia lol https://t.co/Xlgp8RZRvO'
1539606224403976192,2022-06-22 13:48:23+00:00,b'If u don\xe2\x80\x99t go get a bucket in those today then I don\xe2\x80\x99t respect this post lol https://t.co/GNxA5nm8wp'
1539357969984397312,2022-06-21 21:21:54+00:00,"b""RT @boardroom: \xf0\x9f\x9a\xa8 Final week to enter \xf0\x9f\x9a\xa8\n\nWe're celebrating 15 seasons of @KDTrey5's Nike signature \xf0\x9f\x91\x9f with an exclusive giveaway!\n\nAhead of i\xe2\x80\xa6"""
1539265384007643136,2022-06-21 15:14:00+00:00,b'@ChrisCarlin Great teams feed off each other'
1539260102036758529,2022-06-21 14:53:01+00:00,b'@mccabe_kevin And I\xe2\x80\x99m just giving my opinion but I keep forgetting that\xe2\x80\x99s a crime.'
1539257472753475591,2022-06-21 14:42:34+00:00,b'@ChrisCarlin Explain what being an alpha means to you?'
1538998255530283008,2022-06-20 21:32:31+00:00,b'@LaFaarah Why are u tweeting me?'
1538997125907787776,2022-06-20 21:28:02+00:00,"b'All this shit is nasty, another  terrible analogy from a hatin old head that can\xe2\x80\x99t accept that we making more bread than them. It\xe2\x80\x99s just timing Chucky, don\xe2\x80\x99t hate the playa https://t.co/43BWSuijjV'"
1538990447799898112,2022-06-20 21:01:30+00:00,"b'@BarstoolBigCat @swishhousefit Finally, didn\xe2\x80\x99t take u serious with those other shoes on'"
1538892189542907905,2022-06-20 14:31:03+00:00,b'Shoot the next one. Your teammates gotta lock in on defense until the flurry is over and then they can get some shots up https://t.co/GZbMDnMcwu'
1537901217837244416,2022-06-17 20:53:17+00:00,b'Love will get u killed https://t.co/Bs6eWzloQp'
1537899502073282560,2022-06-17 20:46:28+00:00,"b'I been dead since July 4th 2016, but congrats to the dubs and my boy Steezy, a Fillmore legend, man been waitin his whole life for a parade on market st. https://t.co/LXtyvu7BwB'"
1537519702158626817,2022-06-16 19:37:17+00:00,b'@SkipBaylessShow @RealSkipBayless Sources say somebody is lyin. Stay tuned'
1536387370689380352,2022-06-13 16:37:48+00:00,b'RT @BrooklynNets: Every child deserves a beautiful blacktop to play on.\n \n\xf0\x9f\x99\x8f to our partners @tpl_org @nyliberty @KDTrey5\n \nCourt design by\xe2\x80\xa6'
1536220610291830784,2022-06-13 05:35:09+00:00,b'RT @SoloLevelingHP: @creolecane @RackRacer223 @KDTrey5 Why you on twitter? Why you responding to a man who dont even know you? The reason i\xe2\x80\xa6'
1536214409202216961,2022-06-13 05:10:31+00:00,b'I think whoever I pass to has to make u pay. Not the guy whos being double teamed https://t.co/9Zp9gxa6Ho'
1536210284531970048,2022-06-13 04:54:07+00:00,b'Lol Kobe was already a championship player man cut it out https://t.co/DNojdut0Fp'
1536207807761874944,2022-06-13 04:44:17+00:00,"b'Ima be real, bean would tell u the difference between him in 06 and him 09 was the addition of pau Gasol and having a chance to really chase a chip. https://t.co/7LJqttF41d'"
1536205643572424705,2022-06-13 04:35:41+00:00,b'These life experts kill me\xe2\x80\xa6. https://t.co/7KYIvgqSIu'
1536204423105347584,2022-06-13 04:30:50+00:00,"b'It\xe2\x80\x99s their own personal network, of course people are going to want to show off how smart and cool they are to their followers. It\xe2\x80\x99s the first time people will actually listen to them https://t.co/h6cxsarS9Y'"
1536202920957423618,2022-06-13 04:24:52+00:00,b'So what\xe2\x80\x99s my mindset and approach? https://t.co/nSVIaQu02o'
1536199328196222978,2022-06-13 04:10:35+00:00,"b'Eye still didn\xe2\x80\x99t think I struggle with anything as a basketball player lol I got packed and done the packing, it evens out to me.. https://t.co/X2na5Ytmya'"
1536195616706924545,2022-06-13 03:55:50+00:00,b'It\xe2\x80\x99s not odd that another hoops \xe2\x80\x9canalyst\xe2\x80\x9d is putting words in my mouth. https://t.co/FheNCfYacl'
1536194982012284930,2022-06-13 03:53:19+00:00,b'@bmoe_careful Stop what?'
1536194115573932033,2022-06-13 03:49:52+00:00,"b'Im kinda jaded with all this, I thought your play in the court dictates the narrative but I didn\xe2\x80\x99t realize that u have to sell your play to the media as well as your personality for a narrative to really hit https://t.co/E9nVymFrNm'"
1536191820220182528,2022-06-13 03:40:45+00:00,b'Thank ya for knowing ya shit https://t.co/tFLtHdH1Z6'
1536191381554614273,2022-06-13 03:39:01+00:00,b'Bingo https://t.co/t6W6f0F360'
1536190603305701376,2022-06-13 03:35:55+00:00,"b'I\xe2\x80\x99m an employee and one of the guys on the team. Some moments I\xe2\x80\x99m out in front, some moments I\xe2\x80\x99m not. The main message comes from the coach imo https://t.co/EqxQYrkhQq'"
1536190094477885440,2022-06-13 03:33:54+00:00,b'Good question. I think I need to get mic\xe2\x80\x99d up and get into character so I can shift the narrative https://t.co/btEVfT4reA'
1536188637456388096,2022-06-13 03:28:06+00:00,"b'I highly disagree with this take, I don\xe2\x80\x99t believe I struggle with anything basketball related \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f. https://t.co/rgUk4EZAPs'"
1536186062564773888,2022-06-13 03:17:52+00:00,b'Yea it\xe2\x80\x99s has a different definition for every player. https://t.co/eouqOlyLoH'
1536184172577816577,2022-06-13 03:10:22+00:00,"b'It\xe2\x80\x99s a lot of buzz words in basketball that confuse me, like leadership and Playmaking. Can I get a definition please?? https://t.co/sxk5y3gfq4'"
1534703035770761218,2022-06-09 01:04:51+00:00,b'@BenStinar @EskoN8tiveAK This is a slight to me.'
1534626839611973632,2022-06-08 20:02:05+00:00,b'@JohnMichaelsU Like sports talk radio'
1534527113788723201,2022-06-08 13:25:48+00:00,b'@sal_licata @Keith_McPherson @NetsKingdomAJ Sports talk radio makes me nauseous'
1534322938421329922,2022-06-07 23:54:29+00:00,b'Steve can\xe2\x80\x99t beat up on max Kellerman the boxing guy and the new baseball guy  \xe2\x80\x9cmad dog\xe2\x80\x9d or whatever his name is? I\xe2\x80\x99m locked in now https://t.co/06sVFRJv1s'
1534205156774092800,2022-06-07 16:06:28+00:00,"b""RT @boardroom: Boardroom is celebrating 15 seasons of @KDTrey5's Nike signature shoes with an exclusive giveaway!\n\nAhead of its 6/25 releas\xe2\x80\xa6"""
1532780234054848512,2022-06-03 17:44:20+00:00,b'I think it\xe2\x80\x99s both things. Trying to maintain what you have and also trying to find new ways to operate. Gotta have an open mind though https://t.co/0FYO4Dmb6q'
1532757302616260608,2022-06-03 16:13:12+00:00,"b'@_Talkin_NBA @Jumpshot8 My comments arent taking money off the table, to be honest I\xe2\x80\x99m just a little man screaming at the big corporation, what I say doesn\xe2\x80\x99t stop progress. Leave me be and focus on yourself'"
1532756791297077248,2022-06-03 16:11:10+00:00,"b'@Jumpshot8 I don\xe2\x80\x99t care about compliments u give me, I don\xe2\x80\x99t. It doesn\xe2\x80\x99t move me but saying Michael jordan ruined the game will FOR SURE get a reaction out of me. It\xe2\x80\x99s simple'"
1532740587366981634,2022-06-03 15:06:47+00:00,b'@Jumpshot8 Nah these media members are sensitive. As soon as an athlete disagrees with these outlandish hot takes y\xe2\x80\x99all take it as a personal shot at your character lol it\xe2\x80\x99s insane how y\xe2\x80\x99all can\xe2\x80\x99t take what y\xe2\x80\x99all dish out. But it\xe2\x80\x99s the athletes who lack mental toughness'
1532560161704857600,2022-06-03 03:09:50+00:00,b'High level of basketball being displayed gentlemen'
1532424731781017601,2022-06-02 18:11:41+00:00,b'https://t.co/KJbShVUZ6D https://t.co/9VcI7ScR03'
1532408735225614336,2022-06-02 17:08:07+00:00,"b'@jrobertmartinez @ChrisNunian48 You\xe2\x80\x99re upset and want to take up for your colleagues around the world, I get it. I hope your basketball watching experience gets better man'"
1532407830564614146,2022-06-02 17:04:32+00:00,"b'@_17kz_ I\xe2\x80\x99m immersed in the game, these guys steal swag and don\xe2\x80\x99t even credit y\xe2\x80\x99all. Must hurt deep down inside'"
1532407176261603330,2022-06-02 17:01:56+00:00,"b'@jrobertmartinez @ChrisNunian48 Just warning other basketball junkies bout the vultures. That\xe2\x80\x99s it Juan, consume basketball how u want. No need to let me get you riled up. Lol'"
1532404573037481989,2022-06-02 16:51:35+00:00,b'@jrobertmartinez @ChrisNunian48 What did it say Juan?'
1532400049300201479,2022-06-02 16:33:37+00:00,b'@jrobertmartinez Watch the games on mute and think for yourself. That always helps'
1532398633215090695,2022-06-02 16:27:59+00:00,b'@ReceiptsNba He\xe2\x80\x99s funny and a hall of fame football player and will be a hall of fame personality some day but Shannon\xe2\x80\x99s IQ for the game was built by nba twitter lol'
1532397316757282822,2022-06-02 16:22:45+00:00,"b'@DanAndros Lol I was confused for a second but yea that take was beyond insane, damaging to the sport of basketball'"
1532396076807774208,2022-06-02 16:17:49+00:00,b'@_thejsd Gang said this like bob myers or Brad stevens bouta give him a jersey. Aye respect'
1532395237087141889,2022-06-02 16:14:29+00:00,"b'My theory is that guys like steve, skip and Shannon have changed the game for the worse. Playas like Stephen and Michael can only push the game forward. https://t.co/0Oc9J2HqxS'"
1532056598121545728,2022-06-01 17:48:51+00:00,b'RIP Alimoe https://t.co/7J8vZ6zTsu'
1532052577604423682,2022-06-01 17:32:53+00:00,b'@DesignerDFish96 Another sheep. Believe anything they tell u'
