twitter_id,date,tweet
1542407097371230208,2022-06-30 07:18:03+00:00,b'@MikkiTran I miss 2PM too = ]  anyway I gotta run! I\xe2\x80\x99ll do another fantalk soon! Have a good one wherever you are!!'
1542406760673460225,2022-06-30 07:16:42+00:00,b'@bb_natthida \xe0\xb8\xad\xe0\xb8\xa2\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\x9a\xe0\xb8\xad\xe0\xb8\x81\xe0\xb8\x99\xe0\xb8\xb0\xe0\xb8\x84\xe0\xb8\xa3\xe0\xb8\xb1\xe0\xb8\x9a\xe0\xb8\xa7\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\x95\xe0\xb8\xad\xe0\xb8\x99\xe0\xb8\x99\xe0\xb8\xb5\xe0\xb9\x89\xe0\xb8\x81\xe0\xb9\x87\xe0\xb8\xa2\xe0\xb8\xb1\xe0\xb8\x87\xe0\xb9\x80\xe0\xb8\x94\xe0\xb9\x87\xe0\xb8\x81\xe0\xb8\xad\xe0\xb8\xa2\xe0\xb8\xb9\xe0\xb9\x88 555'
1542406413632557057,2022-06-30 07:15:20+00:00,b'@taoyong0624 \xe0\xb8\x88\xe0\xb8\xb1\xe0\xb8\x94\xe0\xb8\x94\xe0\xb8\xb5\xe0\xb8\xa1\xe0\xb8\xb1\xe0\xb9\x89\xe0\xb8\xa2?'
1542406260116844545,2022-06-30 07:14:43+00:00,b'@chaann_628 \xed\x8f\xb0 \xeb\x82\xb4\xeb\xa0\xa4\xeb\x86\x94!!!'
1542406166235746304,2022-06-30 07:14:21+00:00,b'@hottaecmadambae Yes i slow cooked crispy pork belly! Yum yum'
1542406048967200768,2022-06-30 07:13:53+00:00,b'@yurei Aw thank you! I\xe2\x80\x99m always up for anything!'
1542405719798194176,2022-06-30 07:12:34+00:00,b'@tonmystark \xf0\x9f\xa5\xb8'
1542405607822872577,2022-06-30 07:12:08+00:00,b'@hyenvv \xec\x9b\x85 \xec\x83\x9d\xea\xb0\x81\xed\x95\xb4\xeb\xb3\xbc\xea\xb2\x8c \xe3\x85\x8b'
1542405486989168640,2022-06-30 07:11:39+00:00,b'@bbbbwkp \xe0\xb8\xaa\xe0\xb8\xb9\xe0\xb9\x89\xe0\xb9\x86\xe0\xb8\x84\xe0\xb8\xb1\xe0\xb8\x9a!'
1542405320982822913,2022-06-30 07:10:59+00:00,b'@legallyvirulent Life wouldn\xe2\x80\x99t be fun if it was easy all the time! Keep your head up!'
1542405181413138432,2022-06-30 07:10:26+00:00,b'@nakokhun In your heart'
1542405165059571712,2022-06-30 07:10:22+00:00,b'@mxhle02 https://t.co/YyG30US088'
1542405014861533185,2022-06-30 07:09:46+00:00,b'@t_j_ik \xeb\xa7\xa8\xeb\x82\xa0 \xed\x97\xac\xec\x8a\xa4\xec\x9e\xa5\xec\x97\x90\xec\x84\x9c \xeb\xa7\x8c\xeb\x82\x98\xec\x9a\x94 \xe3\x85\x8b'
1542404951791771648,2022-06-30 07:09:31+00:00,b'@vivivik907 Let it rain or umbrella \xe3\x85\x8b\xe3\x85\x8b\xe3\x85\x8b\xe3\x85\x8b'
1542404797089054721,2022-06-30 07:08:54+00:00,b'@Twohot14 \xed\x95\xb4\xec\x95\xbc \xed\x95\xb4\xec\x9a\x94 \xe3\x85\x8b'
1542404739727753217,2022-06-30 07:08:41+00:00,b'@TaecUncool Aw thank you! Have a great day/night!'
1542404618986332161,2022-06-30 07:08:12+00:00,b'@rafsunshine223 \xec\x8f\xa8\xeb\x95\x80\xec\x9a\x94!'
1542404525629534210,2022-06-30 07:07:50+00:00,b'@Marvelous_Mint \xe0\xb8\x82\xe0\xb8\xad\xe0\xb8\x9a\xe0\xb8\x84\xe0\xb8\xb8\xe0\xb8\x93\xe0\xb8\x84\xe0\xb8\xa3\xe0\xb8\xb1\xe0\xb8\x9a!'
1542404463725793280,2022-06-30 07:07:35+00:00,b'@Alqomah0220 Yes and also Bali!'
1542404316551839744,2022-06-30 07:07:00+00:00,b'@ryeokdi Hmmm 17 by Pink Sweat$'
1542404141292875776,2022-06-30 07:06:18+00:00,b'@yui612532 \xe0\xb9\x84\xe0\xb8\x94\xe0\xb9\x89\xe0\xb9\x81\xe0\xb8\xa5\xe0\xb9\x89\xe0\xb8\xa7\xe0\xb8\x84\xe0\xb8\xa3\xe0\xb8\xb1\xe0\xb8\x9a \xe0\xb8\x81\xe0\xb9\x88\xe0\xb8\xad\xe0\xb8\x99\xe0\xb8\x81\xe0\xb8\xa5\xe0\xb8\xb1\xe0\xb8\x9a'
1542404056270127105,2022-06-30 07:05:58+00:00,b'@majory_0908 \xe5\xa5\xbd\xe4\xb9\x85\xe4\xb8\x8d\xe8\xa7\x81\xef\xbc\x81'
1542403867346087937,2022-06-30 07:05:13+00:00,b'@MyCottonBall \xe0\xb8\xab\xe0\xb8\xa1\xe0\xb8\xb2?\xe0\xb9\x81\xe0\xb8\xa1\xe0\xb8\xa7?\xe0\xb8\xa5\xe0\xb8\xb4\xe0\xb8\x87?'
1542403688744259584,2022-06-30 07:04:30+00:00,b'@it_thepeach617 Larb\xec\x9d\xb4 \xeb\xa7\x9b\xec\x9e\x88\xec\x97\x88\xec\x98\xa4\xec\x9a\x94!'
1542403576148164609,2022-06-30 07:04:03+00:00,b'@kneekeytea Just finished my workout!'
1542403494254374912,2022-06-30 07:03:44+00:00,b'@patamstagram Good good you?'
1542403343838244864,2022-06-30 07:03:08+00:00,b'FanTalk? 3.2.1 GO!'
1540494553249382400,2022-06-25 00:38:17+00:00,b'Thank you for all the birthday wishes!! I\xe2\x80\x99m so blessed to receive so much love from you all! And hope all those blessings go back to each and everyone of you! = ]'
1509863706053996548,2022-04-01 12:02:14+00:00,b'RT @proxie_official: PROXIE is Connected\n\n#PROXIEth\n#PROXIEisConnected\n#bROTHERSMUSIC https://t.co/2n9MeCv1Sv'
1509862831239626755,2022-04-01 11:58:45+00:00,b'@proxie_official \xe0\xb9\x83\xe0\xb8\x99\xe0\xb8\x97\xe0\xb8\xb5\xe0\xb9\x88\xe0\xb8\xaa\xe0\xb8\xb8\xe0\xb8\x94\xe0\xb8\x81\xe0\xb9\x87\xe0\xb8\xa1\xe0\xb8\xb2\xe0\xb9\x81\xe0\xb8\xa5\xe0\xb9\x89\xe0\xb8\xa7\xe0\xb8\x84\xe0\xb8\xa3\xe0\xb8\xb1\xe0\xb8\x9a!!! \xe0\xb9\x80\xe0\xb8\xad\xe0\xb8\xb2\xe0\xb9\x83\xe0\xb8\xab\xe0\xb9\x89\xe0\xb9\x80\xe0\xb8\x95\xe0\xb9\x87\xe0\xb8\xa1\xe0\xb8\x97\xe0\xb8\xb5\xe0\xb9\x88\xe0\xb9\x80\xe0\xb8\xa5\xe0\xb8\xa2\xe0\xb8\x99\xe0\xb8\xb0\xe0\xb8\x99\xe0\xb9\x89\xe0\xb8\xad\xe0\xb8\x87\xe0\xb9\x86!!'
1508059719562559492,2022-03-27 12:33:50+00:00,b'\xf0\x9f\x98\x8f https://t.co/ambIrJOcQH'
1508059490725380102,2022-03-27 12:32:55+00:00,b'\xf0\x9f\x98\x8f https://t.co/ePEGaSaq1d'
1500025238863904773,2022-03-05 08:27:40+00:00,b'\xf0\x9f\xa4\xad https://t.co/c64yBf7RV3'
1500024918846717957,2022-03-05 08:26:24+00:00,b'\xf0\x9f\xa4\x94 https://t.co/VsFnV7ig1f'
1496355710942199808,2022-02-23 05:26:17+00:00,b'\xe0\xb8\x82\xe0\xb8\xad\xe0\xb8\x9a\xe0\xb8\x84\xe0\xb8\xb8\xe0\xb8\x93\xe0\xb8\x97\xe0\xb8\xb8\xe0\xb8\x81\xe0\xb8\x84\xe0\xb8\x99\xe0\xb8\x97\xe0\xb8\xb5\xe0\xb9\x88\xe0\xb8\xa1\xe0\xb8\xb2\xe0\xb8\x94\xe0\xb8\xb9\xe0\xb8\xa3\xe0\xb8\xad\xe0\xb8\x9a\xe0\xb8\xaa\xe0\xb8\xb7\xe0\xb9\x88\xe0\xb8\xad\xe0\xb9\x80\xe0\xb8\xa1\xe0\xb8\xb7\xe0\xb9\x88\xe0\xb8\xad\xe0\xb8\xa7\xe0\xb8\xb2\xe0\xb8\x99\xe0\xb8\x99\xe0\xb8\xb0\xe0\xb8\x84\xe0\xb8\xa3\xe0\xb8\xb1\xe0\xb8\x9a \xe0\xb8\x88\xe0\xb8\xb0\xe0\xb9\x80\xe0\xb8\x82\xe0\xb9\x89\xe0\xb8\xb2\xe0\xb8\x97\xe0\xb8\xb8\xe0\xb8\x81\xe0\xb9\x82\xe0\xb8\xa3\xe0\xb8\x87\xe0\xb8\xa0\xe0\xb8\xb2\xe0\xb8\x9e\xe0\xb8\xa2\xe0\xb8\x99\xe0\xb8\x95\xe0\xb8\xa3\xe0\xb9\x8c\xe0\xb9\x81\xe0\xb8\xa5\xe0\xb9\x89\xe0\xb8\xa7\xe0\xb9\x83\xe0\xb8\x99\xe0\xb8\xa7\xe0\xb8\xb1\xe0\xb8\x99\xe0\xb8\x9e\xe0\xb8\xa3\xe0\xb8\xb8\xe0\xb9\x88\xe0\xb8\x87\xe0\xb8\x99\xe0\xb8\xb5\xe0\xb9\x89 \xe0\xb8\xad\xe0\xb8\xa2\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\xa5\xe0\xb8\xb7\xe0\xb8\xa1\xe0\xb9\x84\xe0\xb8\x9b\xe0\xb8\x94\xe0\xb8\xb9\xe0\xb8\x81\xe0\xb8\xb1\xe0\xb8\x99\xe0\xb8\x94\xe0\xb9\x89\xe0\xb8\xa7\xe0\xb8\xa2\xe0\xb8\x99\xe0\xb8\xb0\xe0\xb8\x84\xe0\xb8\xa3\xe0\xb8\xb1\xe0\xb8\x9a!\n\n#CRACKEDMOVIE #cracked\xe0\xb8\xa0\xe0\xb8\xb2\xe0\xb8\x9e\xe0\xb8\xab\xe0\xb8\xa7\xe0\xb8\xb2\xe0\xb8\x94 https://t.co/hPbEy1LibJ'
1495666849203507202,2022-02-21 07:48:59+00:00,b'Very soon.. https://t.co/72vuuLErOu'
