twitter_id,date,tweet
1545169753605414912,2022-07-07 22:15:51+00:00,b'I have perfected my beach packing list\xe2\x80\xa6 https://t.co/YXoPZ3pXDx https://t.co/EtFtmDmsq0'
1544410796272271361,2022-07-05 20:00:02+00:00,"b'New month, new collection\xe2\x80\xa6 https://t.co/GGCTkK3mai https://t.co/XpVCaNqxyl'"
1539971548789977089,2022-06-23 14:00:03+00:00,"b'Hello, summer accessories\xe2\x80\xa6 https://t.co/SyJAb0xayL https://t.co/3cPvyl7txm'"
1539246771691479041,2022-06-21 14:00:02+00:00,"b'Perfume styling, according to my editors\xe2\x80\xa6 https://t.co/VLYmYv959y https://t.co/s3JkaGIyaT'"
1537434828794109952,2022-06-16 14:00:01+00:00,b'Hot tip of the day\xe2\x80\xa6 https://t.co/r9qfwfrgXJ https://t.co/2OPx8hHONq'
1534898117119619072,2022-06-09 14:00:02+00:00,"b'Bold prints, you say? https://t.co/3ZBhslo6zY https://t.co/BiiMdysddW'"
1534173332433534977,2022-06-07 14:00:00+00:00,b'The Father\xe2\x80\x99s Day Gift Search begins now\xe2\x80\xa6 https://t.co/fwaLIqk3JV https://t.co/bYdimAQUdM'
1529099907952427015,2022-05-24 14:00:02+00:00,b'For all my beginner gardeners out there\xe2\x80\xa6 https://t.co/wK9R0GpT35 https://t.co/QWYCxTikEi'
1527287970591555584,2022-05-19 14:00:02+00:00,b'My summer Little Co. picks for boys\xe2\x80\xa6  https://t.co/q8S6PeMr87 https://t.co/mKugcbbnjv'
1526563196194107394,2022-05-17 14:00:02+00:00,b'Wow. Just wow\xe2\x80\xa6 https://t.co/XFBqxynBFm https://t.co/JZpyfLWozi'
1524751259298795524,2022-05-12 14:00:03+00:00,b'Outdoor wedding style tips galore\xe2\x80\xa6 https://t.co/9INkaDPMab https://t.co/DvzfEAfrrt'
1522272580345860097,2022-05-05 17:50:40+00:00,b'These recipes are so yummy\xe2\x80\xa6 https://t.co/jetfifIsqE https://t.co/o3aJd4DHL1'
1521232691328299009,2022-05-02 20:58:31+00:00,b'Say hello to the Little Co. Summer Collection and our brand new line of swimwear \xe2\x80\xa6 https://t.co/nHddw3drw1 https://t.co/5y5gcmAzFy'
