twitter_id,date,tweet
1546588927687069698,2022-07-11 20:15:09+00:00,b'This ain\xe2\x80\x99t her first time at the court rodeo\xe2\x80\xa6 https://t.co/aI91CT6xG2'
1546190446719901696,2022-07-10 17:51:43+00:00,"b'@fallonseilish Oh, yes.'"
1546189272365031430,2022-07-10 17:47:03+00:00,b'@gilliesl0ve Alternate line.'
1546188509890871298,2022-07-10 17:44:02+00:00,b'I was going for 60 year old funeral home director in West Palm Beach. Did I nail it? https://t.co/Vkxqtnqxwe'
1546188107061542912,2022-07-10 17:42:26+00:00,"b'Oh yay, my alt made it. https://t.co/4FU11eKveU'"
1545390680201220096,2022-07-08 12:53:44+00:00,"b'Fallon\xe2\x80\x99s most iconic outfits, go:'"
1545228461559742465,2022-07-08 02:09:08+00:00,"b'If you\xe2\x80\x99re looking for a unique form of torture: go out for ice cream with a group- don\xe2\x80\x99t get any ice cream- get into the car, DON\xe2\x80\x99T turn on the radio, then sit back &amp; enjoy the deafening, grotesque sounds of the others slurping and licking their ice cream the whole car ride home.'"
1545201670472310786,2022-07-08 00:22:41+00:00,b'\xf0\x9f\x92\x84 \xe2\x99\xa5\xef\xb8\x8f\xf0\x9f\x92\x85\xf0\x9f\x8f\xbb https://t.co/fYANR1IcL3'
1543992876660580353,2022-07-04 16:19:22+00:00,b'Ugh. https://t.co/wOduXJCcrR'
1543790894159216640,2022-07-04 02:56:46+00:00,b'Top left https://t.co/CoqppkwKLs'
1543325382459498496,2022-07-02 20:06:59+00:00,b'@zachsang Just one'
1543039049153355784,2022-07-02 01:09:12+00:00,b'@lizmcgillz NO'
1543035386297044993,2022-07-02 00:54:38+00:00,"b'Well, you know what they say: if you want something done right\xe2\x80\xa6 https://t.co/JF6C70IiJn'"
1542904069643190276,2022-07-01 16:12:50+00:00,b'RT @cw_dynasty: A new #Dynasty airs tonight at 9/8c. Stream free tomorrow only on The CW! https://t.co/hZg8wZVEAr'
1542685729322565632,2022-07-01 01:45:14+00:00,b'Love this one \xf0\x9f\x96\xa4 @IAmJohnAles https://t.co/FAjgWlvTvl'
1541923635199369217,2022-06-28 23:16:56+00:00,b'@fallonseilish @zachsang FIREWORKS'
1541923545202180096,2022-06-28 23:16:35+00:00,b'@gillzzgirl @zachsang It means fall is coming.'
1541923177802174465,2022-06-28 23:15:07+00:00,"b'@zachsang The heat, the pressure to be in the sun/ spend time outside, pools, BBQs, kids everywhere, thunderstorms, the inability to layer or wear warm clothes, getting invited/ having to go to the beach, bugs\xe2\x80\xa6'"
1541896280351428610,2022-06-28 21:28:14+00:00,"b'Oh, no, I get it. https://t.co/MGBfq8CcGQ'"
