twitter_id,date,tweet
1546518848106635264,2022-07-11 15:36:40+00:00,"b""I'm thrilled that some of the students from our @GirlsAlliance had the chance to attend the @WNBA All-Star game in my hometown! \xf0\x9f\x8f\x80\n\nThrough the @ObamaFoundation, Barack and I are making sure young people in Chicago have access to exciting opportunities like this. https://t.co/iPBGYqMr1o"""
1545394780439560194,2022-07-08 13:10:02+00:00,b'RT @BarackObama: I am shocked and saddened by the assassination of my friend and longtime partner Shinzo Abe in Japan. Former Prime Ministe\xe2\x80\xa6'
1545052529913839617,2022-07-07 14:30:03+00:00,"b""Many parents rely on schools to make sure their kids have access to consistent meals. During the summer that need doesn't go away. I'm thrilled the @ObamaFoundation is teaming up with Local Lunchbox and local chefs to give young people in Chicago free, healthy meals this summer. https://t.co/q1jsjLjoF0"""
1544079677349924864,2022-07-04 22:04:17+00:00,"b'We miss him already, but his spirit lives on in his family members, including my dear friend @ProfessorEA, and all who were lucky enough to be blessed by his presence.'"
1544079676204785665,2022-07-04 22:04:17+00:00,b'Cliff was an American original\xe2\x80\x94a civil rights trailblazer whose eyes were never shut to injustice but whose heart was always open. He was like a father to me and an inspiration to Barack. We admired the way he fought and learned from the way he led. https://t.co/klT0HLXL3a'
1544079674363592704,2022-07-04 22:04:16+00:00,"b'These words were recited by Elizabeth Alexander at Barack\xe2\x80\x99s inauguration in 2009\xe2\x80\x94but they also describe how her father, Cliff Alexander, lived. https://t.co/Dj22BLvuYP'"
1543958459808374786,2022-07-04 14:02:36+00:00,"b'Happy birthday, Malia \xe2\x80\x93 and Happy Fourth of July, everybody! 24 years ago, this day became extra special when your wonderful spirit arrived in this world. I\xe2\x80\x99m so proud of the beautiful, caring, and driven young woman you\xe2\x80\x99ve become. I love you so, so much! Love, your Mommy. \xe2\x9d\xa4\xef\xb8\x8f https://t.co/VLWbKrs51d'"
1543957560797106176,2022-07-04 13:59:02+00:00,"b""RT @BarackObama: Happy Fourth of July! \n\nAs we celebrate today, let's thank our armed forces and their families for their service to our co\xe2\x80\xa6"""
1540345715616006148,2022-06-24 14:46:51+00:00,"b""My thoughts on the Supreme Court's decision to overturn Roe v. Wade. https://t.co/9ALSbapHDY"""
1540167471252004864,2022-06-24 02:58:34+00:00,"b'To all those who have been on the frontlines of this issue\xe2\x80\x94calling their representatives, organizing their neighbors, raising awareness in their hometowns: thank you. There is a lot of work ahead, but this progress couldn\xe2\x80\x99t have been possible without your efforts.'"
1540167469821792256,2022-06-24 02:58:34+00:00,"b'The Bipartisan Safer Communities Act is a step in the right direction in protecting our children and communities. It demonstrates how much we can accomplish when we work together, even in the wake of today\xe2\x80\x99s disappointing Supreme Court ruling on\xc2\xa0guns.'"
