twitter_id,date,tweet
1546215011583926272,2022-07-10 19:29:20+00:00,b'Hello sunshine \xe2\x98\x80\xef\xb8\x8f\xf0\x9f\xa6\x8b\xf0\x9f\x95\x8a https://t.co/0H6sKkUNLD'
1539290453765509122,2022-06-21 16:53:37+00:00,b'Had such a lovely evening celebrating #snap &amp; @britishvogue \xe2\x9c\xa8 https://t.co/R3Py3ZAPSl'
1538247463685050378,2022-06-18 19:49:09+00:00,b'@luisaviaroma \xf0\x9f\xa5\xb0 https://t.co/4tPwblfL8p'
1537877023950966786,2022-06-17 19:17:09+00:00,b'@luisaviaroma \xf0\x9f\xa5\xb0 https://t.co/x6wtRVqYTY'
1537575449718423552,2022-06-16 23:18:48+00:00,"b""RT @KORAORGANICS: He's a 10, but he doesn't have a skincare regimen"""
1537492053080297473,2022-06-16 17:47:25+00:00,b'Just posted a photo https://t.co/RJo9BGmTog'
1536756109972713472,2022-06-14 17:03:02+00:00,b'Obsessed with our NEW @koraorganics Turmeric Glow Foaming Cleanser! \xf0\x9f\xa5\xb0 It throughly cleanses your skin and leaves it super clean and glowing \xf0\x9f\x8c\x88 \xe2\x9c\xa8\xf0\x9f\x92\x96 Shop NOW via the link in my bio \xf0\x9f\x99\x8c #MoreThanACleanser https://t.co/L1jXexCAko'
1536449426981543936,2022-06-13 20:44:23+00:00,b'\xf0\x9f\xa4\x8d@eterne\xf0\x9f\xa4\x8d https://t.co/sNwWHZn0X4'
1536109698969214982,2022-06-12 22:14:26+00:00,b'\xf0\x9f\xa4\x8d@eterne\xf0\x9f\xa4\x8d https://t.co/7oWnkXD5Dv'
1534623622412873740,2022-06-08 19:49:18+00:00,b'\xf0\x9f\xa4\x8d@eterne\xf0\x9f\xa4\x8d https://t.co/y5x1WcnwuL'
1532880555804708864,2022-06-04 00:22:58+00:00,b'\xf0\x9f\x90\xad\xf0\x9f\x8c\x88\xe2\x98\x80\xef\xb8\x8f https://t.co/2dwWHb9FoO'
1525207435291545601,2022-05-13 20:12:44+00:00,b'What an incredible show @nicolasghesquiere\xc2\xa0@louisvuitton \xf0\x9f\x98\x8d you\xe2\x80\x99re a\xc2\xa0genius and I adore you #lvcruise \xe2\x9c\xa8\xf0\x9f\x8c\x88\xf0\x9f\x8c\x8a @ Salk Institute https://t.co/gmPb6oRnZK'
1523864435521212420,2022-05-10 03:16:08+00:00,b'And say \xf0\x9f\xa5\xad\xf0\x9f\xa5\xad\xf0\x9f\xa5\xad @jhlounge https://t.co/WTpx7PW7HG'
1522712803781464065,2022-05-06 22:59:57+00:00,b'\xe2\x9c\xa8\xf0\x9f\x92\x95\xe2\x9c\xa8 https://t.co/cD26n0kMnB'
1521998253427810304,2022-05-04 23:40:35+00:00,b'\xf0\x9f\x96\xa4\xf0\x9f\x96\xa4\xf0\x9f\x96\xa4 https://t.co/W9Wn54RRpM'
1521998009076109312,2022-05-04 23:39:37+00:00,b'\xf0\x9f\x96\xa4\xf0\x9f\x96\xa4\xf0\x9f\x96\xa4 https://t.co/v92gxh6nrk'
1521616361004355592,2022-05-03 22:23:05+00:00,b'MET\xf0\x9f\x92\x95 https://t.co/QYwrCC3GTL'
1520814375413579777,2022-05-01 17:16:17+00:00,b'\xf0\x9f\x92\x95\xf0\x9f\x8c\xb8\xf0\x9f\x92\x95 https://t.co/ZFKUlvw3VQ'
1519500272866930689,2022-04-28 02:14:30+00:00,b'Spring has sprung! \xf0\x9f\x8c\xb8\xf0\x9f\x8c\xbb\xf0\x9f\x8c\xba So fun to see all my faves at my @amazon storefront in real life. You can shop them all in my link in bio \xf0\x9f\x92\x95\xf0\x9f\xa6\x8b\xf0\x9f\x8c\x88@amazoninfluencerprogram #amazon #founditonamazon https://t.co/kqVPUjSHcM'
1517580158919663616,2022-04-22 19:04:39+00:00,b'Just posted a photo https://t.co/mZgoi31C8z'
1516833248118296578,2022-04-20 17:36:42+00:00,b'Floating on cloud nine with a heart full of gratitude this Birthday \xe2\x98\x80\xef\xb8\x8f\xf0\x9f\xa7\x9c\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f \xf0\x9f\x8c\x8a \xf0\x9f\x8c\x88\xf0\x9f\x8e\x82\xf0\x9f\xa5\xb3\xf0\x9f\x92\x96 https://t.co/WZff2Y9hGj'
1516128303106699268,2022-04-18 18:55:30+00:00,b'Just posted a photo https://t.co/kC4ZlarIey'
1515423606381047812,2022-04-16 20:15:17+00:00,b'Something special is launching soon\xe2\x80\xa6 any guesses? (There\xe2\x80\x99s a hint hidden in the pic \xf0\x9f\x98\x89) https://t.co/2c458CKbJP'
1514843923818065920,2022-04-15 05:51:50+00:00,"b'Corduroy baby, Australian lady \xf0\x9f\x8e\xb6 Some of my favorite looks @myer \xf0\x9f\x90\xa8\xf0\x9f\xab\xb6\xf0\x9f\x91\x96 https://t.co/0pgwM4Na3J'"
1512160164077576212,2022-04-07 20:07:32+00:00,b'Let\xe2\x80\x99s ride \xf0\x9f\x9a\x97\xf0\x9f\x9a\x97\xf0\x9f\x9a\x97 @louisvuitton #lvcapucines https://t.co/2NH8v1H6Am'
1511785803336216578,2022-04-06 19:19:57+00:00,b'On the court with @louisvuitton \xf0\x9f\x8e\xbe\xf0\x9f\x8e\xbe\xf0\x9f\x8e\xbe  #LVCapucines https://t.co/aM5HUKtNRa'
1479248980739461122,2022-01-07 00:30:14+00:00,"b'Happy 11th Birthday to my little sunshine Flynn!\xc2\xa0\xe2\x98\x80\xef\xb8\x8f You have filled my heart with joy from the very moment you were born. I\xe2\x80\x99m so proud of how kind, creative and thoughtful you are. You inspire me every day \xf0\x9f\x8e\x82\xf0\x9f\x92\x96\xf0\x9f\x8c\x88 https://t.co/4ZGP4LeIhY'"
1476225070292869127,2021-12-29 16:14:18+00:00,b'Such an honor to be on the cover of @elleindia for their 25th Anniversary! Tap the \xf0\x9f\x94\x97 below to learn more \xe2\x9d\xa4\xef\xb8\x8f\n\nhttps://t.co/rHXXkyXOUV\n\n\xf0\x9f\x93\xb8:\xc2\xa0@veronicasams \n\xf0\x9f\x91\xa0:\xc2\xa0@highheelprncess \n\xf0\x9f\x92\x84: @ericka_verrett \xc2\xa0\n\xf0\x9f\x92\x87\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f:\xc2\xa0@nicolekonovaloff \n \xe2\x9c\x8f\xef\xb8\x8f:\xc2\xa0@divyagursahani \n\xf0\x9f\x93\x96: @kamna.malik @sanjana_suvarna https://t.co/muzvSuRx5m'
1474539377770446849,2021-12-25 00:35:57+00:00,b'Happy holidays! Sending love &amp; light\xe2\x9c\xa8\xf0\x9f\x92\x96\xe2\x9c\xa8 https://t.co/RidbQU5bUu'
1467621699172536322,2021-12-05 22:27:34+00:00,b'Happiest birthday to @gvaile \xf0\x9f\x8e\x82\xf0\x9f\x92\x96 \xf0\x9f\x8e\x86We all adore you! https://t.co/crqPeCdXMr'
1465001621188796421,2021-11-28 16:56:19+00:00,b'\xe2\x98\x80\xef\xb8\x8f Sunny Sunday \xe2\x98\x80\xef\xb8\x8f https://t.co/h7wpJMU7wQ'
1462803509317832711,2021-11-22 15:21:48+00:00,b'Come LIVE shop with me on https://t.co/ANoNJQwabB at 9am PT \xe2\x9c\xa8\xf0\x9f\x99\x8c\xe2\x9c\xa8Link below to join me and shop some of my favorite @amazon and @KORAORGANICS gifts\xf0\x9f\x8c\x88\xf0\x9f\x8e\x81\xf0\x9f\x92\x95\n\nhttps://t.co/nyVbww4nTv https://t.co/reS1MvPlmc'
1460786571825741825,2021-11-17 01:47:13+00:00,"b'I\xe2\x80\x99m so excited to announce @koraorganics is now available on @amazon! \xf0\x9f\xa5\xb0 To celebrate, I\xe2\x80\x99ve collaborated with @amazonthedrop to share my favorite outfits and holiday gifting must-haves live at 9am PT on November 22! Sign up via the link in my below\xe2\x9c\xa8\xf0\x9f\x8e\x81\xe2\x9c\xa8\n\nhttps://t.co/BMHtLl9RHU https://t.co/DQkpo6SHcF'"
1460080028922777600,2021-11-15 02:59:40+00:00,b'Such an honor to celebrate 10 years of @baby2baby. This incredible organization has provided over 190 million essential items to children in need. See below to learn more \xf0\x9f\x92\x96 \n\nhttps://t.co/P4BTTNqinh https://t.co/173jg2iNuW'
1458591077103898627,2021-11-11 00:23:06+00:00,"b'Don\xe2\x80\x99t mind me, just clearing my energy \xf0\x9f\xa7\x9a\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f https://t.co/9XF0d7Ayav'"
1457375717709123589,2021-11-07 15:53:42+00:00,b'It was all yellow\xe2\x9c\xa8\xf0\x9f\x92\x9b\xe2\x9c\xa8 https://t.co/6Zs8hMaE31'
1453801540548845568,2021-10-28 19:11:12+00:00,b'Spooky Season \xf0\x9f\x95\xb8\xf0\x9f\x91\xbb\xf0\x9f\x95\xb8 https://t.co/27rLMKKIVJ'
1452714498385592320,2021-10-25 19:11:41+00:00,b'Missing the sunshine \xe2\x98\x80\xef\xb8\x8f @cibellelevi https://t.co/WorCmKzKm6'
1445574302540042256,2021-10-06 02:19:05+00:00,b'Celebrated our darling Myles 2nd Birthday today.  He\xe2\x80\x99s our little angel who fills this world and our hearts with so much light and love. \xf0\x9f\xa5\xb0\xf0\x9f\x8c\x88\xf0\x9f\x8e\x82 https://t.co/VtL58o3ELD'
1444371501319274498,2021-10-02 18:39:35+00:00,b'Life is a gift \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x92\x96\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb Let\xe2\x80\x99s be grateful for every day https://t.co/Sc52RdXdcl'
1441492924982710273,2021-09-24 20:01:09+00:00,b'Today\xe2\x80\x99s set glam\xf0\x9f\x92\x8b https://t.co/PoMOgAeZk5'
1435277319426301952,2021-09-07 16:22:33+00:00,b'Introducing my newest gem \xf0\x9f\x92\x8e @KORAORGANICS refillable Berry Bright Vitamin C Eye Cream \xf0\x9f\x8d\x93\xf0\x9f\x8c\x88\xf0\x9f\xa5\xb0\n\nhttps://t.co/PwSQzZwIU4 https://t.co/D5ERWxoqcL'
1433852592895840257,2021-09-03 18:01:12+00:00,b'Something coming Berry soon\xf0\x9f\x8d\x93\xf0\x9f\x98\x89\xf0\x9f\x92\x96 @KORAORGANICS https://t.co/pdEvXjcSVc'
1425935733194252290,2021-08-12 21:42:26+00:00,b'Looking toward the weekend\xe2\x98\x80\xef\xb8\x8f\xf0\x9f\x8c\x88\xe2\x98\x80\xef\xb8\x8f https://t.co/Vik9dREqtq'
1425089180250648591,2021-08-10 13:38:32+00:00,b'RT @kourtneykardash: Watch me and @mirandakerr play truth or dare \nhttps://t.co/RtS17GqFgw'
1423378738524213249,2021-08-05 20:21:51+00:00,b'\xf0\x9f\x8c\x88\xf0\x9f\xa4\x8d\xf0\x9f\x90\xbb @eterne https://t.co/iZKVyOD4E7'
