twitter_id,date,tweet
1545205032336986118,2022-07-08 00:36:02+00:00,b'Want an update on my new puppy? Listen to the newest @RadioActiveDads episode now! https://t.co/9iuBDWBnDP https://t.co/hlOmCrPsje'
1545102851801862146,2022-07-07 17:50:01+00:00,"b""sitting down to record my podcast, any questions you'd like us to answer? email me radioactivedads@gmail.com"""
1541570809281425409,2022-06-27 23:54:56+00:00,b'We all know who made this happen https://t.co/7SCKgcF6p6'
1539354307069259777,2022-06-21 21:07:21+00:00,"b'People always ask me, \xe2\x80\x9cNathan what turns you on?\xe2\x80\x9d\n\nWater conservation, baby. #drought'"
1538187059508064257,2022-06-18 15:49:07+00:00,"b'Still conducting an internal investigation to find out who it was on my team that released these hideous LIES about me.\n\nRegardless, you should all go listen to this episode, this was a lot of fun! https://t.co/SA9sBMmzRw'"
1533166848824340480,2022-06-04 19:20:36+00:00,b'I practiced every day in the car on the way to work \xf0\x9f\x98\x82 https://t.co/vNyXavoWF3'
1532851836062904320,2022-06-03 22:28:51+00:00,"b""So there it is, folks!! Sorry for the cliffhanger, but you know how we love em \xf0\x9f\x99\x83 If we get a 3rd season, there are a LOT of questions to deal with!! See y'all on the other side \xf0\x9f\xa4\x9e\xf0\x9f\xa4\x9e\xf0\x9f\xa4\x9e"""
1532851107348615169,2022-06-03 22:25:57+00:00,"b""We shot a lot of versions of our reaction to Pearl's line, because even we have no idea what's gonna happen next. #iCarly https://t.co/IPsFK0W6CE"""
1532850746730745856,2022-06-03 22:24:31+00:00,b'OOP. No getting around that one. Someone finally tossed the Creddie grenade \xf0\x9f\x98\xb1 #iCarly'
1532850205481021440,2022-06-03 22:22:22+00:00,"b'Wearing those sparkly shoes and clomping up the stairs brought me right back to S1 of the original when I was forced to wear the giant platform shoes to make me tall enough to match the girls, because I hadn\'t ""sprouted"" yet. This was just the way more fabulous version. #iCarly'"
1532849961326350336,2022-06-03 22:21:24+00:00,"b""I would very much like to see Harper and Spencer's complete online dating profiles. #iCarly"""
1532849647047221249,2022-06-03 22:20:09+00:00,"b'Way too many great takes of Miranda ""buffering"". Just way too many. #iCarly'"
1532849277751263233,2022-06-03 22:18:41+00:00,"b'During rehearsal, I was dancing right behind the girls with my mask on for this whole conversation, and very nearly passed out because my cardio is oh so bad. #iCarly'"
1532848955704242176,2022-06-03 22:17:24+00:00,"b'On the other hand, I was so bad at leading the Conga Line that I threw everyone else off. My brain could not talk while staying in rhythm. #iCarly'"
1532848734391873537,2022-06-03 22:16:31+00:00,"b'I had to learn to do The Hustle for this episode, and every night before bed, my 4 year old and I would have a disco dance party in her room so I could practice. #iCarly https://t.co/3kriPoYFjn'"
1532848531702026241,2022-06-03 22:15:43+00:00,"b""Carly's cake-faced seething line to Mrs. Benson was one of the hardest fights of the season to not break character. It's hard to tell, but up close, the frosting was quivering on her face, and it was hilarious. I chewed a dent in my cheek from trying not to laugh #iCarly"""
1532847467254804480,2022-06-03 22:11:29+00:00,"b""I love how on the new show, grown-up Spencer's way of resolving interpersonal conflict consistently involves extremely intricate plans to flee the country. #iCarly"""
1532846970414370816,2022-06-03 22:09:31+00:00,b'I blew several takes on this scene because my mustache REFUSED to remain attached to my face. #iCarly'
1532846764444659713,2022-06-03 22:08:42+00:00,"b'There\'s a little background information for you on why Freddie was particularly terrified of Nora in ""iPsycho"" when she came into the basement with that Nixon mask \xf0\x9f\xa4\xa3 #iCarly https://t.co/Pt0axMB01l'"
1532846293973803008,2022-06-03 22:06:50+00:00,"b'Ngl, Jerry does fantastic Bowie cosplay. Our Makeup, Hair, and Costume teams did a phenomenal job with everyone on this episode, but I think Spencer takes the cake! #iCarly'"
1532845920206745600,2022-06-03 22:05:20+00:00,"b'This is probably the one thing Freddie and I disagree on. When Imagine Dragons comes up, SO DO I. #iCarly https://t.co/R7LpLAzOvp'"
1532845651762876417,2022-06-03 22:04:16+00:00,"b'I never personally came to a satisfying conclusion on what the heck happened with Pearl and those 400 poor wet birds... like how did that come about? What are you hiding, Pearl? #iCarly'"
1532844973686566914,2022-06-03 22:01:35+00:00,"b'This first scene of #iCarly, along with much of the episode, was actually filmed two weeks after our original wrap date, because someone on set got COVID and shut down production.\n\nI was that someone \xf0\x9f\x98\xac'"
1532844796926054400,2022-06-03 22:00:53+00:00,"b""Alright Season 2 finale of #iCarly, press play and LET'S GOOOOO!"""
1532837182242598912,2022-06-03 21:30:37+00:00,b'@SCHOUTOUT That was the only time. Promise. https://t.co/JxdIC11Hgq'
1532829149403832320,2022-06-03 20:58:42+00:00,"b'Whoooooo-eeee the reaction from the finale of #iCarly so far \xf0\x9f\x91\x80\xf0\x9f\x91\x80\xf0\x9f\x91\x80 join me, my castmates, and the fantastic writer of the episode for our Live Watch Party in one hour!!'"
1532827140437159936,2022-06-03 20:50:43+00:00,"b""Woohooo!!!! That was a close one, I though you weren't gonna get the two girls too \xf0\x9f\x98\x81 good eye!!! I'll be in touch to get your address! https://t.co/3mrdwbVWmI"""
1532515350016774144,2022-06-03 00:11:46+00:00,"b'I personally hid a little Easter egg in last week\xe2\x80\x99s episode of @iCarly, \xe2\x80\x9ciHit Something\xe2\x80\x9d. If you can spot it and explain it (so I know it wasn\xe2\x80\x99t a lucky guess), I will mail you a personalized and VERY outdated autographed headshot, just like the olden days! https://t.co/U5MD3A8xiG'"
1532122047853174785,2022-06-01 22:08:56+00:00,"b'Everybody say hi to Penny \xf0\x9f\xa5\xb0 Welcome home, girl. Stole my heart in 2 minutes flat. https://t.co/eAi5Lzp6kZ'"
1528773898870722560,2022-05-23 16:24:35+00:00,b'@BDavv https://t.co/U6qivI9DSr'
1528744133698781184,2022-05-23 14:26:18+00:00,b'Monday morning coffee-making thought:\n\nWhy isn\xe2\x80\x99t a microphone called a macrophone?'
1528495094260649984,2022-05-22 21:56:43+00:00,b'@Sumupid To be fair smelling like cucumber salad probably isn\xe2\x80\x99t the worst thing to smell like \xf0\x9f\x98\x8e'
