twitter_id,date,tweet
1400850044866105350,2021-06-04 16:20:51+00:00,b'Loose 15th Anniversary\nDigital Expanded Edition out now\nhttps://t.co/MCaLmuJNHj https://t.co/JpOrKV96KB'
1321528772143861765,2020-10-28 19:06:26+00:00,b'@chantalkreviaz No me without you \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6'
1321528441393631232,2020-10-28 19:05:07+00:00,b'@MTVNEWS Great interview w/ Track and Field !\xf0\x9f\x94\xa5\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f'
1321527668274352128,2020-10-28 19:02:03+00:00,b'I love you \xe2\x81\xa6@Timbaland\xe2\x81\xa9 https://t.co/2d5SOxDh9T'
1319696188057288706,2020-10-23 17:44:24+00:00,b'https://t.co/rqRYXJa1cB https://t.co/LfAgr6MIvb'
1319652273937649664,2020-10-23 14:49:54+00:00,b'#WhoaNelly Digital Expanded Edition \nOUT NOW! \nListen here - https://t.co/WqZjDvyn6l https://t.co/JvH5VWq2AF'
1319349098215067655,2020-10-22 18:45:11+00:00,"b'Whoa, Nelly! 20th Anniversary Digital Expanded Edition. Available for Pre-Save Now. \nhttps://t.co/rqRYXJa1cB https://t.co/9RT864n6V7'"
1318713119565258752,2020-10-21 00:38:02+00:00,"b'Whoa, Nelly! 20th Anniversary \nDigital Expanded Edition available this Friday 10.23\n\nPre-save now: https://t.co/F4jTaJyQyt https://t.co/uOmm4NaIUR'"
1318253481095036929,2020-10-19 18:11:36+00:00,"b'WOW! 20 years! How did this happen? So excited! Thanks for all the love over the years. Feeling so grateful, and looking forward to making more pop music in the future. Thanks! Gracias! Obrigada! And Much Love, Nelly \xe2\x9d\xa4\xef\xb8\x8f\nP.S. hope I\xe2\x80\x98ve grown up a bit since I filmed this clip\xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f https://t.co/rHeuoUZBXR'"
847851383923539970,2017-03-31 16:41:36+00:00,"b""RT @ricrdogonzalez: @nellyfurtado 'the ride' is BRILLIANT"""
847792174955626500,2017-03-31 12:46:20+00:00,"b'RT @antonywalker: ""It\'s been a long time coming, coming, coming"": @NellyFurtado- #TheRide.'"
811675543338745857,2016-12-21 20:51:44+00:00,"b'RT @ocesa_pop: #Lanzamientos 03/03/17: ""The Ride"" es el nombre del 6to \xc3\xa1lbum de @NellyFurtado con el que regresa a la escena musical. \xc2\xa1Ser\xc3\xa1\xe2\x80\xa6'"
559818076204462081,2015-01-26 21:00:04+00:00,"b'RT @ddlovato: Join me on the new @We_365 app &amp; help make the world more awesome. All it takes is 1 action, big or small, everyday! http://t\xe2\x80\xa6'"
455921208606097408,2014-04-15 04:11:01+00:00,b'RT @ddlovato: They tried to stop Malala from going to school. She still went.  WATCH &amp; RT http://t.co/I0kHVOew3w #WeAreSilent'
264372208003055618,2012-11-02 14:23:40+00:00,b'RT @arin_debnath: Watch @NellyFurtado in #WorldStage in @Vh1India really njoying.... :)'
254026346848735233,2012-10-05 01:12:55+00:00,"b'RT @Nellywebteam: Big hug Samuele @NfurtadoDaily hope all your wishes come true! #HBD xoxo""'"
248462862819934208,2012-09-19 16:45:37+00:00,"b""RT @Nellywebteam: @NellyFurtado with @PerezHilton at backstage of @WendyWilliams Show http://t.co/SU379loK Don't miss his new abs &amp;  ..."""
241720992634925056,2012-09-01 02:15:50+00:00,b'RT @MEDIASP1CE: Listening to new @NellyFurtado Parking Lot on the @915theBeat with @ElleDee915 on the 9oclock Showdown.Lovin it Vote for ...'
198071243772145666,2012-05-03 15:27:19+00:00,"b'RT @Nellywebteam: Bet ya never heard something like that, like that #bighoops'"
194877927081508864,2012-04-24 19:58:13+00:00,"b'RT @ocesa_pop: ""The Spirit Indestructible"" es el nuevo disco de @nellyfurtado y Big Hoops (Bigger The Better) su primer sencillo http:// ...'"
