twitter_id,date,tweet
1544785882791550977,2022-07-06 20:50:29+00:00,b'I am the cringe incarnate'
1544537633904242689,2022-07-06 04:24:02+00:00,b'Now every time I hear the word serendipitous I get all butterfly stomach-y'
1542236224881995776,2022-06-29 19:59:04+00:00,"b'RT @pandoramusic: Maybe... we absolutely love this track. Listen to @OfficialWillow\'s new banger ""&lt;maybe&gt; its my fault"" now on EMOTE: https\xe2\x80\xa6'"
1541959432006815744,2022-06-29 01:39:11+00:00,b'Who else LOVES to spend time alone'
1541958467715358720,2022-06-29 01:35:21+00:00,b'I am honestly just a human shaped problem lol'
1541940240557821953,2022-06-29 00:22:55+00:00,b'Not me romanticizing memories you\xe2\x80\x99ve most likely forgotten'
1540399942723706880,2022-06-24 18:22:20+00:00,b'RT @girlpool: Disturbing world'
1540399923539021825,2022-06-24 18:22:15+00:00,b'RT @acechhh: personally i think no supreme court justice deserves even a moments peace of privacy in the comfort of their own home or in pu\xe2\x80\xa6'
1540399757176188928,2022-06-24 18:21:36+00:00,b'The U.S government continues to fail us time and time again. I am speechless at the level of ignorance and political violence that the overturning of Roe v Wade signifies. The blatant unconsciousness of this country has persisted for too long. It\xe2\x80\x99s time for a revolution.'
1540067755025543168,2022-06-23 20:22:20+00:00,b'\xf0\x9f\x92\x99&lt;Maybe&gt; It\xe2\x80\x99s My Fault\xf0\x9f\x92\x99\n\xe2\x80\xbc\xef\xb8\x8fOUT TONIGHT AT MIDNIGHT PCT\xe2\x80\xbc\xef\xb8\x8f'
1540067558027497472,2022-06-23 20:21:33+00:00,b'https://t.co/sj7X9mlg2y'
1539486071783690240,2022-06-22 05:50:56+00:00,b'the monks seriously have life figured out man'
1539080784719405056,2022-06-21 03:00:28+00:00,b'Esperanza Spalding has been the soundtrack to most of my favorite experiences in life'
1539072881635622912,2022-06-21 02:29:04+00:00,b'4 days till shit gets WILD!!'
1537847336365223936,2022-06-17 17:19:11+00:00,b'https://t.co/RKohvcxamS'
1537517991062958081,2022-06-16 19:30:29+00:00,b'\xe2\x80\xbc\xef\xb8\x8fNEW MUSIC IS COMING ON THE 24th\xe2\x80\xbc\xef\xb8\x8fAGGGHHHH!!'
1537207115000950785,2022-06-15 22:55:10+00:00,b'!! Keep your third eyes peeled for a v v important announcement tomorrow !! \xf0\x9f\x98\x88\xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5'
1536467415231475712,2022-06-13 21:55:52+00:00,b'It\xe2\x80\x99s all in my mind &lt;\xe2\x80\xa2&gt; it\xe2\x80\x99s all in my mind https://t.co/iSMgwBSQBv'
1536467060158365696,2022-06-13 21:54:27+00:00,b'It\xe2\x80\x99s literally the best feeling when you\xe2\x80\x99re thinking about someone and they hit you up in that exact moment.'
1536085977030004737,2022-06-12 20:40:10+00:00,b'Comparison is the kiss of death'
1535762264715763712,2022-06-11 23:13:51+00:00,b'emotional suppression is SO REAL y\xe2\x80\x99all please try to save yourself \xf0\x9f\x98\xa9'
1535377691196633088,2022-06-10 21:45:42+00:00,b'cool shit coming soon \xf0\x9f\x98\x8e'
1535005847964688384,2022-06-09 21:08:07+00:00,b'I have SO MANY unwanted memories it\xe2\x80\x99s kind of ridiculous lol'
1534092779407785984,2022-06-07 08:39:55+00:00,b'If ur gonna be dumb you gotta be tough'
1534092569138941953,2022-06-07 08:39:05+00:00,b'We all walking around like life isn\xe2\x80\x99t fucking batshit'
1528794897188536320,2022-05-23 17:48:01+00:00,b'A grateful heart makes everything beautiful'
1527333499056795648,2022-05-19 17:00:57+00:00,b'Halloween jazz is the preferred genre'
1524484739029037057,2022-05-11 20:20:59+00:00,b'https://t.co/4uO9pWfsPV'
1523425889454751745,2022-05-08 22:13:30+00:00,b'RT @Metrocard_: Niggas that say willow smith dont make good music are really devoid of all emotion.'
1523425384930238464,2022-05-08 22:11:30+00:00,b'RT @yungblud: MEMORIES VIDEO OUT NOW  @OfficialWillow \xf0\x9f\x96\xa4\xf0\x9f\x96\xa4\xf0\x9f\x96\xa4 https://t.co/FG6Ghs5Dge https://t.co/ls3IDwEw1W'
1522437785893826560,2022-05-06 04:47:08+00:00,"b'If your love is conditional, it\xe2\x80\x99s also transactional.'"
1518650944539439104,2022-04-25 17:59:35+00:00,b'&lt;Thank You @YouTube&gt; LONDON https://t.co/pSZqctsQvk'
1518650455819055104,2022-04-25 17:57:38+00:00,b'&lt;Thank You @amazonmusic&gt; LONDON https://t.co/vOJZF3ciUX'
1518650287002558465,2022-04-25 17:56:58+00:00,b'&lt;Thank You @Spotify&gt; NYC + Toronto https://t.co/J1Ax9sd4OW'
1514828186940444674,2022-04-15 04:49:18+00:00,b'A very very percussive man indeed'
1513514181340844036,2022-04-11 13:47:55+00:00,b'RT @pinkpantheress2: \xe2\x80\x98Where you are\xe2\x80\x99 feat @OfficialWillow \n22/04 \xf0\x9f\x91\x80 https://t.co/ga41DCAOi1'
1510155005726060556,2022-04-02 07:19:45+00:00,b'Life is a series of reactions'
1510154766503997441,2022-04-02 07:18:48+00:00,b'The meaning of life is found in challenge'
1509946070075248641,2022-04-01 17:29:31+00:00,b'\xf0\x9f\x98\x88PURGE\xf0\x9f\x98\x88 IS &lt;OUT NOW&gt; ON ALL PLATFORMS https://t.co/c8VWNDd7XD'
1507834697467920386,2022-03-26 21:39:40+00:00,b'https://t.co/FI6qpVAbCf'
1507834609911836674,2022-03-26 21:39:19+00:00,b'https://t.co/1QhVV1V754'
