twitter_id,date,tweet
1545890308889747458,2022-07-09 21:59:05+00:00,"b'RT @QATARNG: \xd8\xaa\xd8\xa8\xd8\xab \xd9\x82\xd9\x86\xd8\xa7\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xac\xd8\xb2\xd9\x8a\xd8\xb1\xd8\xa9 \xd9\x82\xd8\xb1\xd9\x8a\xd8\xa8\xd8\xa7 \xd8\xad\xd9\x84\xd9\x82\xd8\xa9 \xd8\xac\xd8\xaf\xd9\x8a\xd8\xaf\xd8\xa9 \xd9\x85\xd9\x86 \xd8\xa8\xd8\xb1\xd9\x86\xd8\xa7\xd9\x85\xd8\xac ""\xd8\xa7\xd9\x84\xd8\xac\xd8\xa7\xd9\x86\xd8\xa8 \xd8\xa7\xd9\x84\xd8\xa2\xd8\xae\xd8\xb1"" \xd9\x88\xd8\xaa\xd8\xb3\xd8\xaa\xd8\xb6\xd9\x8a\xd9\x81 \xd9\x85\xd9\x82\xd8\xaf\xd9\x85\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xa8\xd8\xb1\xd9\x86\xd8\xa7\xd9\x85\xd8\xac \xd8\xb9\xd9\x84\xd8\xa7 \xd8\xa7\xd9\x84\xd9\x81\xd8\xa7\xd8\xb1\xd8\xb3 \xd9\x81\xd9\x8a \xd8\xa7\xd9\x84\xd8\xad\xd9\x84\xd9\x82\xd8\xa9 \xd8\xa7\xd9\x84\xd9\x85\xd8\xb1\xd8\xaa\xd9\x82\xd8\xa8\xd8\xa9 \xd8\xb3\xd8\xb9\xd8\xa7\xd8\xaf\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xb3\xd9\x8a\xd8\xaf \xd8\xb9\xd8\xa8\xe2\x80\xa6'"
1545855789658783744,2022-07-09 19:41:55+00:00,b'\xd8\xb9\xd9\x8a\xd8\xaf\xd9\x83\xd9\x85 \xd9\x85\xd8\xa8\xd8\xa7\xd8\xb1\xd9\x83 \xf0\x9f\xa4\x8d'
1545424205298253825,2022-07-08 15:06:57+00:00,"b'RT @4mii80: \xd9\x81\xd9\x8a \xd9\x8a\xd9\x88\xd9\x85 \xd8\xb9\xd8\xb1\xd9\x81\xd9\x87 \xd8\xb1\xd8\xaf\xd8\xaf \n\n""\xd8\xa7\xd9\x84\xd9\x84\xd9\x87\xd9\x85 \xd8\xa3\xd8\xa8\xd8\xb9\xd8\xaf \xd8\xb9\xd9\x86\xd9\x8a \xd9\x83\xd8\xab\xd8\xb1\xd9\x87 \xd8\xa7\xd9\x84\xd8\xaa\xd9\x81\xd9\x83\xd9\x8a\xd8\xb1 \xd9\x88\xd8\xa7\xd9\x84\xd9\x82\xd9\x84\xd9\x82\xd8\x8c \xd9\x88\xd8\xa7\xd8\xb1\xd8\xb2\xd9\x82\xd9\x86\xd9\x8a \xd8\xb1\xd8\xa7\xd8\xad\xd8\xa9 \xd8\xa7\xd9\x84\xd9\x82\xd9\x84\xd8\xa8 \xd9\x88\xd8\xa7\xd9\x84\xd8\xa8\xd8\xa7\xd9\x84\xd8\x8c \xd8\xb1\xd8\xa8\xd9\x8a \xd8\xad\xd9\x82\xd9\x82 \xd9\x84\xd9\x8a \xd9\x85\xd8\xa7 \xd8\xb5\xd8\xa8\xd8\xb1\xd8\xaa \xd9\x84\xd8\xa3\xd8\xac\xd9\x84\xd9\x87 \xd9\x88\xd8\xa7\xd8\xb1\xd8\xb2\xd9\x82\xd9\x86\xd9\x8a \xd8\xb3\xd8\xb9\xd8\xa7\xd8\xaf\xd9\x87 \xd9\x81\xd9\x8a \xd8\xa7\xd9\x84\xd8\xaf\xe2\x80\xa6'"
1544060950600376322,2022-07-04 20:49:52+00:00,b'@AJArabic \xd8\xb3\xd8\xa8\xd9\x8a\xd8\xb3 \xd8\xaa\xd9\x88\xd9\x86 \xd8\xb9\xd8\xa7\xd9\x84\xd9\x85 \xd8\xac\xd9\x85\xd9\x8a\xd9\x84 .. \xd8\xa7\xd8\xad\xd9\x84\xd9\x89 \xd8\xa7\xd9\x8a\xd8\xa7\xd9\x85 \xd9\x83\xd8\xa7\xd9\x86\xd8\xaa \xf0\x9f\xa5\xb9'
1542932614675402752,2022-07-01 18:06:16+00:00,b'\xd9\x85\xd8\xb4 \xd9\x81\xd8\xa7\xd9\x87\xd9\x85\xd8\xa9 \xd9\x82\xd8\xb5\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xaa\xd9\x86\xd8\xb8\xd9\x8a\xd8\xb1 \xd8\xb9\xd9\x84\xd9\x89 \xd8\xa7\xd9\x84\xd9\x85\xd8\xba\xd8\xaa\xd8\xb1\xd8\xa8 \xd9\x85\xd8\xa4\xd8\xae\xd8\xb1\xd8\xa7 \xd8\xb5\xd8\xa7\xd8\xb1 \xd9\x87\xd9\x88 \xd8\xa7\xd9\x84\xd9\x8a \xd8\xa8\xd8\xaf\xd9\x87 \xd9\x8a\xd9\x84\xd8\xae\xd8\xb5 \xd8\xa7\xd9\x84\xd9\x85\xd8\xa7\xd8\xa1 \xd9\x81\xd9\x8a \xd8\xa7\xd9\x84\xd8\xa8\xd9\x84\xd8\xaf \xd9\x88\xd9\x87\xd9\x88 \xd8\xa7\xd9\x84\xd9\x8a \xd9\x8a\xd8\xb7\xd9\x81\xd8\xb4 \xd8\xa7\xd9\x84\xd8\xb3\xd8\xa7\xd8\xa6\xd8\xad \xd8\xa7\xd9\x84\xd8\xa3\xd8\xac\xd9\x86\xd8\xa8\xd9\x8a \xd8\xa7\xd9\x84\xd9\x8a \xd9\x85\xd8\xb4 \xd9\x84\xd8\xa7\xd9\x82\xd9\x8a \xd8\xad\xd8\xac\xd8\xb2 \xd8\xb9\xd9\x84\xd9\x89 \xd8\xa7\xd9\x84\xd9\x85\xd9\x84\xd9\x83\xd9\x8a\xd8\xa9 \xd8\xa7\xd9\x84\xd9\x8a \xd8\xa7\xd8\xb5\xd9\x84\xd8\xa7 \xd8\xa7\xd8\xb3\xd8\xb9\xd8\xa7\xd8\xb1\xd9\x87\xd8\xa7 \xd9\x81\xd9\x84\xd9\x83\xd9\x8a\xd8\xa9 \xd9\x85\xd9\x82\xd8\xa7\xd8\xb1\xd9\x86\xd8\xa9 \xd8\xa8\xd9\x85\xd8\xb3\xd8\xaa\xd9\x88\xd9\x89 \xd8\xa7\xd9\x84\xd8\xae\xd8\xaf\xd9\x85\xd8\xa9 .. \xd9\x85\xd8\xb4 \xd9\x81\xd8\xa7\xd9\x87\xd9\x85\xd8\xa9 \xd9\x84\xd9\x88\xd9\x8a\xd9\x86 \xd8\xa8\xd8\xaf\xd9\x83\xd9\x85 \xd8\xaa\xd9\x88\xd8\xb5\xd9\x84\xd9\x88\xd8\xa7 \xd8\xa8\xd8\xa7\xd9\x84\xd8\xb2\xd8\xa8\xd8\xb7 \xd8\x9f! https://t.co/MdW8srUaCQ'
1542930803759480832,2022-07-01 17:59:04+00:00,b'\xd8\xad\xd8\xb3\xd8\xa8 \xd8\xa8\xd9\x8a\xd8\xa7\xd9\x86\xd8\xa7\xd8\xaa \xd8\xb5\xd8\xa7\xd8\xaf\xd8\xb1\xd8\xa9 \xd8\xb9\xd9\x86 \xd8\xa7\xd9\x84\xd8\xa8\xd9\x86\xd9\x83 \xd8\xa7\xd9\x84\xd9\x85\xd8\xb1\xd9\x83\xd8\xb2\xd9\x8a \xd8\xa7\xd9\x84\xd8\xa3\xd8\xb1\xd8\xaf\xd9\x86\xd9\x8a \xd9\x81\xd9\x8a \xd8\xa7\xd9\x84\xd8\xb1\xd8\xa8\xd8\xb9 \xd8\xa7\xd9\x84\xd8\xa7\xd9\x88\xd9\x84 \xd8\xa8\xd9\x84\xd8\xba \xd8\xa5\xd8\xac\xd9\x85\xd8\xa7\xd9\x84\xd9\x8a \xd8\xa7\xd9\x84\xd8\xad\xd9\x88\xd8\xa7\xd9\x84\xd8\xa7\xd8\xaa 599 \xd9\x85\xd9\x84\xd9\x8a\xd9\x88\xd9\x86 \xd8\xaf\xd9\x8a\xd9\x86\xd8\xa7\xd8\xb1 (844.5 \xd9\x85\xd9\x84\xd9\x8a\xd9\x88\xd9\x86 \xd8\xaf\xd9\x88\xd9\x84\xd8\xa7\xd8\xb1).\n\xd9\x88\xd8\xad\xd9\x88\xd8\xa7\xd9\x84\xd8\xa7\xd8\xaa \xd8\xa7\xd9\x84\xd8\xb9\xd8\xa7\xd9\x85\xd9\x84\xd9\x8a\xd9\x86 \xd9\x81\xd9\x8a \xd8\xa7\xd9\x84\xd8\xae\xd8\xa7\xd8\xb1\xd8\xac\xd8\x8c \xd8\xa5\xd8\xad\xd8\xaf\xd9\x89 \xd8\xa7\xd9\x84\xd9\x85\xd8\xb5\xd8\xa7\xd8\xaf\xd8\xb1 \xd8\xa7\xd9\x84\xd9\x85\xd9\x87\xd9\x85\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xaa\xd9\x8a \xd9\x8a\xd8\xaa\xd8\xba\xd8\xb0\xd9\x89 \xd8\xb9\xd9\x84\xd9\x8a\xd9\x87\xd8\xa7 \xd8\xa7\xd9\x84\xd8\xa7\xd8\xad\xd8\xaa\xd9\x8a\xd8\xa7\xd8\xb7\xd9\x8a \xd8\xa7\xd9\x84\xd8\xa3\xd8\xac\xd9\x86\xd8\xa8\xd9\x8a \xd9\x81\xd9\x8a \xd8\xa7\xd9\x84\xd8\xa3\xd8\xb1\xd8\xaf\xd9\x86\xd8\x8c \xd8\xa5\xd9\x84\xd9\x89 \xd8\xac\xd8\xa7\xd9\x86\xd8\xa8 \xd8\xa7\xd9\x84\xd8\xa7\xd8\xb3\xd8\xaa\xd8\xab\xd9\x85\xd8\xa7\xd8\xb1 \xd8\xa7\xd9\x84\xd8\xa3\xd8\xac\xd9\x86\xd8\xa8\xd9\x8a \xd8\xa7\xd9\x84\xd9\x85\xd8\xa8\xd8\xa7\xd8\xb4\xd8\xb1 \xd9\x88\xd8\xa7\xd9\x84\xd8\xaf\xd8\xae\xd9\x84 \xd8\xa7\xd9\x84\xd8\xb3\xd9\x8a\xd8\xa7\xd8\xad\xd9\x8a \xd9\x88\xd8\xa7\xd9\x84\xd8\xa5\xd9\x8a\xd8\xaf\xd8\xa7\xd8\xb9\xd8\xa7\xd8\xaa \xd8\xa8\xd8\xa7\xd9\x84\xd8\xaf\xd9\x88\xd9\x84\xd8\xa7\xd8\xb1!! https://t.co/HNVlXDEK96'
1542798294069514243,2022-07-01 09:12:31+00:00,b'@alzoubi_ahmed \xd9\x8a\xd8\xb9\xd9\x86\xd9\x8a \xd8\xaa\xd8\xad\xd9\x85\xd9\x85\xd9\x88\xd8\xa7 \xd9\x83\xd9\x84 \xd9\x8a\xd9\x88\xd9\x85 \xd8\xb3\xd8\xa8\xd8\xaa \xd8\xa8\xd8\xb3 \xd8\xaa\xd9\x8a\xd8\xac\xd9\x8a \xd9\x85\xd9\x8a\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xa8\xd9\x84\xd8\xaf\xd9\x8a\xd8\xa9 ..'
1542260716295577607,2022-06-29 21:36:23+00:00,b'RT @sardrsa: 3 \xd9\x88\xd9\x81\xd9\x8a\xd8\xa7\xd8\xaa \xd8\xa5\xd8\xab\xd8\xb1 \xd8\xad\xd8\xa7\xd8\xaf\xd8\xab \xd8\xb3\xd9\x82\xd9\x88\xd8\xb7 \xd8\xa8\xd8\xad\xd9\x81\xd8\xb1\xd8\xa9 \xd9\x81\xd9\x8a \xd8\xa7\xd9\x84\xd8\xb9\xd8\xa7\xd8\xb5\xd9\x85\xd8\xa9\xe2\x80\xa6.!! \n\n\xd9\x85\xd8\xa7 \xd8\xb2\xd8\xa7\xd9\x84\xd8\xaa \xd8\xa7\xd9\x84\xd8\xa7\xd8\xb1\xd9\x88\xd8\xa7\xd8\xad \xd8\xaa\xd9\x8f\xd8\xb2\xd9\x87\xd9\x82\xd9\x8f \xd8\xb9\xd8\xa8\xd8\xab\xd8\xa7\xd9\x8b \xd8\xa8\xd8\xb3\xd8\xa8\xd8\xa8 \xd8\xa7\xd9\x87\xd9\x85\xd8\xa7\xd9\x84 \xd9\x88\xd8\xaa\xd8\xb1\xd8\xa7\xd8\xae\xd9\x8a\xe2\x80\xa6\xd8\xa8\xd8\xa7\xd9\x84\xd8\xa3\xd9\x85\xd8\xb3 \xd9\x81\xd9\x8a \xd8\xa7\xd9\x84\xd8\xb9\xd9\x82\xd8\xa8\xd8\xa9\xe2\x80\xa6 \xd9\x88\xd8\xa7\xd9\x84\xd9\x8a\xd9\x88\xd9\x85 \xd9\x81\xd9\x8a \xd8\xa7\xd9\x84\xd8\xb9\xd8\xa7\xd8\xb5\xd9\x85\xe2\x80\xa6'
1542147604670287880,2022-06-29 14:06:55+00:00,b'@alzoubi_ahmed \xd8\xb7\xd9\x84\xd8\xb9\xd8\xaa \xd8\xa7\xd8\xae\xd8\xaa \xd9\x88\xd9\x84\xd8\xa7 \xd8\xa3\xd9\x85 \xd9\x88\xd9\x84\xd8\xa7 \xd8\xb2\xd9\x88\xd8\xac\xd8\xa9  \xd9\x88\xd9\x84\xd8\xa7 \xd8\xa8\xd9\x86\xd8\xaa \xd9\x85\xd8\xb9\xd8\xa7\xd9\x84\xd9\x8a\xd9\x87 \xd8\x9f'
1542139417317588994,2022-06-29 13:34:23+00:00,b'RT @AJArabic: \xd9\x85\xd9\x88\xd9\x86\xd8\xaf\xd9\x8a\xd8\xa7\xd9\x84 #\xd9\x82\xd8\xb7\xd8\xb1 2022 \xd9\x8a\xd8\xb4\xd9\x87\xd8\xaf \xd9\x85\xd8\xb4\xd8\xa7\xd8\xb1\xd9\x83\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xb9\xd9\x86\xd8\xb5\xd8\xb1 \xd8\xa7\xd9\x84\xd9\x86\xd8\xb3\xd8\xa7\xd8\xa6\xd9\x8a \xd9\x81\xd9\x8a \xd8\xaa\xd8\xad\xd9\x83\xd9\x8a\xd9\x85 \xd9\x88\xd8\xa5\xd8\xaf\xd8\xa7\xd8\xb1\xd8\xa9 \xd8\xa7\xd9\x84\xd9\x85\xd8\xa8\xd8\xa7\xd8\xb1\xd9\x8a\xd8\xa7\xd8\xaa \xd9\x84\xd8\xa3\xd9\x88\xd9\x84 \xd9\x85\xd8\xb1\xd8\xa9 \xd9\x81\xd9\x8a \xd8\xaa\xd8\xa7\xd8\xb1\xd9\x8a\xd8\xae \xd9\x83\xd8\xa3\xd8\xb3 \xd8\xa7\xd9\x84\xd8\xb9\xd8\xa7\xd9\x84\xd9\x85\n#\xd8\xa7\xd9\x84\xd8\xa3\xd8\xae\xd8\xa8\xd8\xa7\xd8\xb1 https://t.co/jfb\xe2\x80\xa6'
