twitter_id,date,tweet
1543356732621086720,2022-07-02 22:11:33+00:00,b'Sem palavras \n\n#flu120\n#fredeterno\n#susannebial98 https://t.co/66W7r1lRap'
1522228891737276417,2022-05-05 14:57:04+00:00,b'Acabou de publicar uma foto https://t.co/qeEJMVuYwQ'
1522227857895927808,2022-05-05 14:52:57+00:00,b'Acabou de publicar uma foto https://t.co/anZO6fV7AM'
1502067624846544903,2022-03-10 23:43:23+00:00,b'Acabou de publicar uma foto https://t.co/FHaKtcA5BY'
1484264384306331650,2022-01-20 20:39:40+00:00,b'Uma e \xc3\xbanica.\nZele por n\xc3\xb3s https://t.co/xmMuJlXWf4'
1458571714154147843,2021-11-10 23:06:10+00:00,"b'#Repost @conversacombial\n\xe3\x83\xbb\xe3\x83\xbb\xe3\x83\xbb\nOs dois j\xc3\xa1 foram a mesma coisa, at\xc3\xa9 que, do sabor, nasceu o saber. Sabia n\xc3\xa3o? Vem comigo! https://t.co/xYjVMDvuk5'"
1458542647887515652,2021-11-10 21:10:40+00:00,b'Acabou de publicar uma foto https://t.co/ooEJ1Movw9'
1458534448924958722,2021-11-10 20:38:05+00:00,b'Acabou de publicar uma foto https://t.co/rY1TMOYVJC'
1424396091395555340,2021-08-08 15:44:26+00:00,b'Em seus bra\xc3\xa7os https://t.co/vAVu02rERY'
1418650836264235013,2021-07-23 19:14:51+00:00,"b'#Repost @conversacombial \n\xe3\x83\xbb\xe3\x83\xbb\xe3\x83\xbb\nAproveite os #JogosOlimpicos e, se der saudade, maratone nossas conversas no @Globoplay e no #Podcast! https://t.co/7YtGxMroA6'"
1417496796516044810,2021-07-20 14:49:06+00:00,b'Acabou de publicar um v\xc3\xaddeo https://t.co/L9R39earT7'
1417255186532376576,2021-07-19 22:49:02+00:00,"b'#Repost @conversacombial \n\xe3\x83\xbb\xe3\x83\xbb\xe3\x83\xbb\nVai um spoiler do final do #ConversaComBial de segunda-feira, 19/7? Come\xc3\xa7amos a semana com  @jornaldoborisverdade! \xc3\x89 depois do Jornal da Globo. https://t.co/NmlU5ESoAu'"
1413655491155308545,2021-07-10 00:25:08+00:00,b'#tempestadeperfeita\n\nNas melhores casas do ramo. https://t.co/ckIpm49vul'
1411696883886604293,2021-07-04 14:42:19+00:00,b'#4thofjuly https://t.co/BsHKkmYZ6C'
1411141648097050625,2021-07-03 01:56:01+00:00,b'Acabou de publicar um v\xc3\xaddeo https://t.co/lw72miFY3I'
1410758256075575299,2021-07-02 00:32:33+00:00,"b'#Repost @conversacombial\n\xe3\x83\xbb\xe3\x83\xbb\xe3\x83\xbb\nO governador do Rio Grande do Sul, Eduardo Leite (PSDB) \xc3\xa9 o entrevistado do #ConversaComBial de quinta-feira, 1/7. \xc3\x89 depois do Jornal da Globo. https://t.co/hdQjro5S9R'"
1407777822786134017,2021-06-23 19:09:22+00:00,b'Acabou de publicar uma foto https://t.co/VXkjLtMVaq'
1405517898123157508,2021-06-17 13:29:14+00:00,b'Acabou de publicar um v\xc3\xaddeo https://t.co/AJxL5PcGtM'
1402771219800281092,2021-06-09 23:34:55+00:00,b'Acabou de publicar um v\xc3\xaddeo https://t.co/l8diaaYP38'
1401350019718868996,2021-06-06 01:27:35+00:00,b'Acabou de publicar um v\xc3\xaddeo https://t.co/cYbRGSyiSc'
1399506299981729793,2021-05-31 23:21:18+00:00,"b'#Repost @conversacombial \n\xe3\x83\xbb\xe3\x83\xbb\xe3\x83\xbb\nO #ConversaComBial come\xc3\xa7a a semana entrevistando @IsabelWilkerson, autora de ""Casta - As origens de nosso mal estar"" e vencedora do @pulitzerprizes. \xc3\x89 depois do Jornal da Globo. https://t.co/4kE3pEubyI'"
1398068884461297664,2021-05-28 00:09:31+00:00,b'Acabou de publicar um v\xc3\xaddeo https://t.co/O59Xg9jAZ7'
1398031813956804612,2021-05-27 21:42:13+00:00,b'Acabou de publicar um v\xc3\xaddeo https://t.co/0gOYj7To1Z'
1396953485648740352,2021-05-24 22:17:19+00:00,b'Acabou de publicar um v\xc3\xaddeo https://t.co/VM1Nix8X0W'
1396538685814890502,2021-05-23 18:49:03+00:00,b'#Repost @conversacombial \n\xe3\x83\xbb\xe3\x83\xbb\xe3\x83\xbb\nPaulo Mendes da Rocha (1928 - 2021) https://t.co/g3nwos9wSc'
1395151392428417025,2021-05-19 22:56:27+00:00,b'Acabou de publicar um v\xc3\xaddeo https://t.co/yK1vpdXDci'
1394814506581233667,2021-05-19 00:37:47+00:00,"b'#Repost @conversacombial \n\xe3\x83\xbb\xe3\x83\xbb\xe3\x83\xbb\nO #ConversaComBial desta ter\xc3\xa7a-feira, 18/5, recebe o ex-presidente da Rep\xc3\xbablica Fernando Henrique Cardoso e o documentarista Belisario Franca. \xc3\x89 depois do Jornal da Globo. https://t.co/lsTtgXt16T'"
1393043764583796737,2021-05-14 03:21:29+00:00,b'Acabou de publicar um v\xc3\xaddeo https://t.co/OOdIUxeUim'
1391882929211596800,2021-05-10 22:28:44+00:00,b'Acabou de publicar um v\xc3\xaddeo https://t.co/zPb1hFTJKg'
1390758410317012994,2021-05-07 20:00:18+00:00,"b'#Repost @conversacombial \n\xe3\x83\xbb\xe3\x83\xbb\xe3\x83\xbb\nO pedido dos conversadeiros \xc3\xa9 uma ordem! Nesta sexta-feira, 7/5, o #ConversaComBial recebe o comandante da nave @bbb, @TiagoLeifert. \xc3\x89 depois do Jornal da Globo. https://t.co/OTYmfFpzg5'"
1390081566840328194,2021-05-05 23:10:46+00:00,"b'#Repost @conversacombial\n\xe3\x83\xbb\xe3\x83\xbb\xe3\x83\xbb\nO #ConversaComBial reexibe a entrevista com Paulo Gustavo nesta quarta-feira, 5/5, depois do Jornal da Globo. https://t.co/7aH22aA7iA'"
1389947042336854020,2021-05-05 14:16:13+00:00,b'#Repost @conversacombial \n\xe3\x83\xbb\xe3\x83\xbb\xe3\x83\xbb\nPaulo Gustavo (1978 - 2021) https://t.co/6LiUoOhWJ0'
1388282277164199939,2021-05-01 00:01:02+00:00,b'#Repost @antonionegreiros16 \n\xe3\x83\xbb\xe3\x83\xbb\xe3\x83\xbb https://t.co/rDFLKo8bhi'
1387535804281409542,2021-04-28 22:34:49+00:00,b'Acabou de publicar um v\xc3\xaddeo https://t.co/uUmGMTw0Dw'
1385677166587699200,2021-04-23 19:29:15+00:00,"b'#Repost @conversacombial \n\xe3\x83\xbb\xe3\x83\xbb\xe3\x83\xbb\nE esse babado do T\xc3\xa9o Pereira? \xf0\x9f\x98\x82. \xc3\x89 isso a\xc3\xad, conversadeiros! Nessa sexta-feira, 23/4, o #ConversaComBial recebe o ator e diretor @PauloBetti. \xc3\x89 depois do Jornal da Globo. https://t.co/DEPjekB93S'"
1385352225606848522,2021-04-22 21:58:03+00:00,"b'#Repost @conversacombial\n\xe3\x83\xbb\xe3\x83\xbb\xe3\x83\xbb\nVoc\xc3\xaas tamb\xc3\xa9m cantam @bonjovi quando v\xc3\xa3o ao karaoke? \xf0\x9f\xa4\x94. Quinta-feira, 22/4, @pedrobial conversa com @jonbonjovi! \xc3\x89 depois do Jornal da Globo. https://t.co/AlJP8Ua5Wg'"
1385012097478762497,2021-04-21 23:26:30+00:00,b'Acabou de publicar um v\xc3\xaddeo https://t.co/9BjMa66J9l'
1384606414979538950,2021-04-20 20:34:28+00:00,b'Acabou de publicar um v\xc3\xaddeo https://t.co/s0QrSjeDCU'
1384552443002855428,2021-04-20 17:00:00+00:00,b'Acabou de publicar um v\xc3\xaddeo https://t.co/g2P8peBURR'
1384117494382686216,2021-04-19 12:11:40+00:00,b'Acabou de publicar uma foto https://t.co/d8jnFm71jt'
1383171220418400258,2021-04-16 21:31:31+00:00,"b'#Repost @conversacombial\n\xe3\x83\xbb\xe3\x83\xbb\xe3\x83\xbb\nOlha o esquema da @fatimabernardes para a grava\xc3\xa7\xc3\xa3o do #ConversaComBial \xf0\x9f\x98\x82. O papo imperd\xc3\xadvel \xc3\xa9 nesta sexta-feira, 16/4, depois do Jornal da Globo. https://t.co/BHBEPuONs9'"
1382436884232687622,2021-04-14 20:53:32+00:00,"b'@cinemadegramado Foi uma grande grande honra, nunca mais me desligo de Gramado!'"
1380669168320716801,2021-04-09 23:49:15+00:00,b'Acabou de publicar um v\xc3\xaddeo https://t.co/3lWzM0ROOw'
1380613565623713796,2021-04-09 20:08:19+00:00,b'#Repost @conversacombial \n\xe3\x83\xbb\xe3\x83\xbb\xe3\x83\xbb\nIsmael Ivo (1955 - 2021) https://t.co/6i2sVcddBe'
1380463170851123200,2021-04-09 10:10:42+00:00,b'Acabou de publicar uma foto https://t.co/ltb3NGuvTv'
1380461845564293121,2021-04-09 10:05:26+00:00,b'Acabou de publicar uma foto https://t.co/fIAyZ4v940'
1379592695312642048,2021-04-07 00:31:44+00:00,"b'#Repost @conversacombial\n\xe3\x83\xbb\xe3\x83\xbb\xe3\x83\xbb\nImagina a surpresa da m\xc3\xa3e de @OsGemeos na hora do parto? \xf0\x9f\x98\xb1. Logo mais, o #ConversaComBial recebe os artistas. \xc3\x89 ter\xc3\xa7a-feira, 6/4, depois do Jornal da Globo. https://t.co/l1UdJG2vFs'"
1379577867391152129,2021-04-06 23:32:49+00:00,b'Acabou de publicar um v\xc3\xaddeo https://t.co/24QrWRdwXc'
1379214343066243075,2021-04-05 23:28:18+00:00,b'Acabou de publicar um v\xc3\xaddeo https://t.co/hurJqweEEG'
1378788252379967488,2021-04-04 19:15:10+00:00,b'\xc3\x89 hoje! #Cazuza63 https://t.co/24S2WjbcHL'
1378450434575233028,2021-04-03 20:52:48+00:00,b'Voz imortal\n\nAgnaldo Tim\xc3\xb3teo (1936 -2021) https://t.co/737pk5huNQ'
1377019097179897857,2021-03-30 22:05:11+00:00,"b'#Repost @conversacombial\n\xe3\x83\xbb\xe3\x83\xbb\xe3\x83\xbb\nTina (@a.vida.de.tina) \xc3\xa9 a entrevistada do #ConversaComBial de ter\xc3\xa7a-feira, 30/3, que tamb\xc3\xa9m recebe suas criadoras, Isabela Mariotto e J\xc3\xbalia Burnier. \xc3\x89 depois do Jornal da Globo! https://t.co/WSGqwmEglM'"
1376998360540909569,2021-03-30 20:42:47+00:00,b'#Repost @conversacombial \n\xe3\x83\xbb\xe3\x83\xbb\xe3\x83\xbb\nContardo Calligaris (1948 - 2021) https://t.co/FTLBQ2BUmS'
1376504864822398978,2021-03-29 12:01:48+00:00,"b'@hojediadeflu Obrigado, irm\xc3\xa3os tricolores!'"
1375574713003573252,2021-03-26 22:25:43+00:00,"b'#Repost @conversacombial\n\xe3\x83\xbb\xe3\x83\xbb\xe3\x83\xbb\nQuem n\xc3\xa3o ama esse casal? Nesta sexta-feira, 26/3, @TomBrady faz uma participa\xc3\xa7\xc3\xa3o especial na conversa com @PedroBial e @Gisele. A #ConversaComBial \xc3\xa9 depois do Jornal da Globo! https://t.co/2oiLzr8Nnt'"
1375210970822234113,2021-03-25 22:20:20+00:00,"b'#Repost @conversacombial\n\xe3\x83\xbb\xe3\x83\xbb\xe3\x83\xbb\nNesta quinta-feira, 25/3, @PedroBial entrevista a pastora e deputada federal Flordelis. \xc3\x89 depois do Jornal da Globo. https://t.co/hyjTdup4ab'"
1374506755107942404,2021-03-23 23:42:02+00:00,b'Acabou de publicar um v\xc3\xaddeo https://t.co/yjT6sjQd4v'
