twitter_id,date,tweet
1546630760165249025,2022-07-11 23:01:22+00:00,"b""Samantha Ware, who accused Lea Michele of racist abuse, speaks out on her #Glee co-star's #FunnyGirl news -- DETAILS: \nhttps://t.co/LKjXDmNA5K"""
1546621691782172680,2022-07-11 22:25:20+00:00,"b""Johnny Depp's team fires back at Amber Heard's mistrial efforts, claiming she KNEW about the fake juror from the start and did nothing! DETAILS: https://t.co/8Y79hgXz8F"""
1546616458880249856,2022-07-11 22:04:33+00:00,b'RT @ThePerezHilton: My mom is the best! And I have A LOT to say about the new #Elvis movie here: https://t.co/UtQMXeLato'
1546602745960058880,2022-07-11 21:10:03+00:00,b'We did not see this coming!! #RKelly \nhttps://t.co/ld7Yt5EGFn'
1546594311663394816,2022-07-11 20:36:32+00:00,"b""The internet has THOUGHTS about Lea Michele's broadway return!! Are you down with the casting?? https://t.co/Tul5wOXSi2"""
1546586118270902273,2022-07-11 20:03:59+00:00,b'How absolutely terrifying!! https://t.co/gASw0jlRD1'
1546580045329829890,2022-07-11 19:39:51+00:00,"b""Pippa Middleton is a mom of 3 now!! Congrats to Kate Middleton's baby sis!\nhttps://t.co/XDSBBhrFvI"""
1546574849430106112,2022-07-11 19:19:12+00:00,"b'RT @acsonemusic: People are bored, no hobbies, were told to isolate for a few weeks and decided to make it their permanent lifestyle, spend\xe2\x80\xa6'"
1546571624031428610,2022-07-11 19:06:23+00:00,b'It was a mile high heist! #AmericanAirlines\nhttps://t.co/KJUMh7V9Hz'
1546567431564324864,2022-07-11 18:49:44+00:00,"b'RT @mozuzz: Real entertainment journalism was never a thing, if anything it used to be worse. The Shaderoom looks Saint like compared to Pe\xe2\x80\xa6'"
1546562836826046464,2022-07-11 18:31:28+00:00,b'Gift bags for one night stands!? #DerekJeter https://t.co/ad5z67J4Sq'
1546559103576682496,2022-07-11 18:16:38+00:00,b'RT @yvesbape: I hope Perez Hilton is dead and in hell'
1546557219151429634,2022-07-11 18:09:09+00:00,b'Spicy!! Kim Kardashian and Pete Davidson get NSFW in new trailer for #TheKardashians season 2 -- WATCH: https://t.co/6QWnR9sHTw'
1546555483292504064,2022-07-11 18:02:15+00:00,b'RT @ThePerezHilton: Does anybody else love looking at food videos? So yummy!!! https://t.co/H3zLHFdv1F'
1546552920107360262,2022-07-11 17:52:04+00:00,b'Even J.Lo struggles with mental health! She thought she was LOSING HER MIND! https://t.co/GT4Wx7qw5X'
1546550008236806144,2022-07-11 17:40:30+00:00,b'RT @swankness: Perez Hilton'
1546546596694966274,2022-07-11 17:26:56+00:00,b'Whoa! Jen Shah just surprised everyone and plead guilty! #RHOSLC \nhttps://t.co/EqpaulJaWo'
