twitter_id,date,tweet
1544405844078518276,2022-07-05 19:40:21+00:00,"b'In a time where this country feels so unsafe, our children unprotected by the people in power reversing any progress made for our freedom, equality and independence..I find a glimmer of hope in raising kind, empathetic, respectful boys. \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb \xe2\x9d\xa4\xef\xb8\x8f https://t.co/ihdSB9M0OU'"
1543971300041015297,2022-07-04 14:53:38+00:00,"b'Wishing everyone a happy, healthy and safe 4th of July.. sharing a little magic for those that need it \xf0\x9f\x8e\x87 .. #4thofjuly \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 https://t.co/vn244GhErU'"
1540559619017146368,2022-06-25 04:56:50+00:00,b'I cannot express how I feel about this surreal moment in the country I call home since birth. Guns have less restrictions than our bodies that the people in power are now controlling. My heart is broken and I am ashamed of this country. \xf0\x9f\x92\x94'
1538714924393693184,2022-06-20 02:46:40+00:00,"b'Happiest #fathersday \xe2\x9d\xa4\xef\xb8\x8f to my @rbermanus who waited 18 years with me to become a parent and became the best of the best to our boys. And to my role model, mentor and all around perfect human there is no better #girldad on earth and I am the luckiest that you are mine Dad \xe2\x9d\xa4\xef\xb8\x8f https://t.co/dxvw3Teq9u'"
1537312285143642112,2022-06-16 05:53:05+00:00,b'A special night out with my favorite dinner dates\xe2\x80\xa6#graduation \xf0\x9f\x91\xa8\xe2\x80\x8d\xf0\x9f\x8e\x93 #summertime https://t.co/sVNdyYi3ha'
1536767238610358272,2022-06-14 17:47:16+00:00,b'I swear I was smiling under this nervous face so happy to be out as a proud Ambassador for the incomparable @CoreResponse \xe2\x9e\xa1\xef\xb8\x8f I just never get better at feeling comfortable on a red carpet \xf0\x9f\x98\xb3\xf0\x9f\x99\x88 https://t.co/qNZhAS6LYr'
1534307300852252675,2022-06-07 22:52:21+00:00,b'Please listen to @McConaughey an #uvalde native and gun owner speaking in honor of those we lost in this horror that just didn\xe2\x80\x99t need to happen. #EndGunViolence https://t.co/jSPN7K036H'
1533558370052976640,2022-06-05 21:16:22+00:00,b'Sunday summer vibes all season long courtesy of @CURATEUR \xe2\x98\x80\xef\xb8\x8f https://t.co/KwOuVBgYho'
1532834069813178368,2022-06-03 21:18:15+00:00,"b'Today, join me and people across the country as we #WearOrange and demand an end to our gun violence crisis. \n\nText BOLD to 644-33 to tell your U.S. senators to take bold action on gun safety NOW!\n\nhttps://t.co/KJXidkIL4S'"
1532377252830228481,2022-06-02 15:03:01+00:00,"b'#TBT You and me, happy, young and free \xe2\x9d\xa4\xef\xb8\x8f @rbermanus #thisisus https://t.co/VMK5WBGheD'"
1529321198965796867,2022-05-25 04:39:21+00:00,b'I am choosing to use the words of @amandascgorman because I am left speechless. How many times can this happen before we change gun laws in this country??? These are OUR children. Please donate to @Everytown \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc https://t.co/neBJlE8kF5'
