twitter_id,date,tweet
989521455363878913,2018-04-26 15:07:54+00:00,b'Woowww terimakasih kreatifitas kalian kirim gambar untuk support @rapicturesid \nTrimakasih Pa\xe2\x80\xa6 https://t.co/RABRLjlkYF'
989501561704398848,2018-04-26 13:48:51+00:00,b'Terimakasih buat semua yang sudah memberikan apresiasi karya anak bangsa https://t.co/shQsZkx1XR\xe2\x80\xa6 https://t.co/qBaOIi6FTs'
989500188174696448,2018-04-26 13:43:23+00:00,b'DimsuMartabak 15 Juni LEBARAN 2018 !!!!! https://t.co/aTAE1xCFaC'
989495969212452865,2018-04-26 13:26:37+00:00,b'Mona @aytingnew92 pegawai sebuah restoran dimsum yang jatuh hati kepada penjual martabak bernama\xe2\x80\xa6 https://t.co/9zCiWwdTsI'
989471128228913152,2018-04-26 11:47:55+00:00,b'Trimakasih @roykiyoshi udah support @rapicturesid trimakasih untuk saran dan masukannya ....\xe2\x80\xa6 https://t.co/bP0o4rFqL0'
989438853810302976,2018-04-26 09:39:40+00:00,b'Tuhhhh Mas ekopatriosuper dan @ruben_onsu ajak nontom @rapicturesid mulai hari ini di Bioskop \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb https://t.co/URkLniarOz'
989436608389763073,2018-04-26 09:30:44+00:00,b'Trimakasih Pak @dhikacungkring \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb support @rapicturesid mulai hari ini di Bioskop \xf0\x9f\x91\x8d https://t.co/WL06e5dELj'
989427481592696832,2018-04-26 08:54:28+00:00,b'Yeayyyyy udh di uploadzzzz di youtubechannel arifmuhammaddd \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb https://t.co/F98bpGfp1K'
989422986397732865,2018-04-26 08:36:37+00:00,"b'@rapicturesid \n\xe2\x80\xa2\nDi cinema.21 @CGV_ID cinemaxxtheater dan bioskop bioskop lainnya ,Geser foto ke\xe2\x80\xa6 https://t.co/uFn1KkaYxf'"
989422085549195266,2018-04-26 08:33:02+00:00,b'Tenangin bagi hadiah lagiiii....\n\nYuk ikutan Tenangin Photo Contest\n\nCaranya gampang :\n1. Beli\xe2\x80\xa6 https://t.co/1tMlcNnHCw'
989410204667252737,2018-04-26 07:45:49+00:00,b'Siapa yang mau diCium Rafathar ???? https://t.co/6T02yd93T9'
989388216037003264,2018-04-26 06:18:27+00:00,b'Trimakasih support buat @rapicturesid \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbbHari ini tayang diseluruh bioskop di\xe2\x80\xa6 https://t.co/dDCeud2VqH'
