twitter_id,date,tweet
1546195889600995328,2022-07-10 18:13:21+00:00,b'Wimbledon is always such a treat \xf0\x9f\x8e\xbe \xf0\x9f\x8d\x93 \xf0\x9f\x92\x9a\xf0\x9f\x92\x9c\xf0\x9f\x92\x9a\xf0\x9f\x92\x9c\xf0\x9f\x8d\x93 https://t.co/Al0QC61c8r'
1543963855725989889,2022-07-04 14:24:03+00:00,b'Happy 4th from Turkey! @KayaPalazzo https://t.co/r3nQHGnSUA'
1543158230930657280,2022-07-02 09:02:47+00:00,b'My favourite movie! What an ensemble! https://t.co/w9Ix0Za2Gx'
1543111550340407298,2022-07-02 05:57:17+00:00,b'@chrissiefit @KayKayCannon Yep it\xe2\x80\x99s my all-time fave! \xe2\x9a\xbe\xef\xb8\x8f'
1542116128453005312,2022-06-29 12:01:50+00:00,"b'@Scarlettwolf860 Please report this where you saw it. It\xe2\x80\x99s obvious fraud and misleading post. Sadly there\xe2\x80\x99s nothing I can personally do to stop this, you just have to report it when you see it x'"
1540727445980069888,2022-06-25 16:03:43+00:00,"b'Iceland, Iceland baby \xf0\x9f\x87\xae\xf0\x9f\x87\xb8 https://t.co/uRjZULlxVz'"
1537839819715448837,2022-06-17 16:49:19+00:00,b'Sun\xe2\x80\x99s out\xe2\x80\xa6 https://t.co/uBfuhQYI4T'
1535916383577460738,2022-06-12 09:26:16+00:00,"b'@katedoak @smh @theage Thanks for your comments, it was a very hard situation but trying to handle it with grace \xf0\x9f\x92\x97'"
1531271664364822528,2022-05-30 13:49:49+00:00,b'Happy Memorial Day everyone and thanks to the Ganzi\xe2\x80\x99s for an epic long weekend in Florida! \xf0\x9f\x92\x97\xf0\x9f\x8c\x88\xf0\x9f\x92\x97\xf0\x9f\x8c\x88 https://t.co/v29VqzshqJ'
1530563024955879426,2022-05-28 14:53:56+00:00,b'Emerald City here we come! #WorldPoloPride #GanziGang https://t.co/fZA8qBnPwo'
1529192766651060224,2022-05-24 20:09:01+00:00,b'Number #1 movie again! Love you guys! \xf0\x9f\x98\x98 https://t.co/P7sPp2kb4O'
1528531772522123264,2022-05-23 00:22:27+00:00,b'Team Harry \xf0\x9f\x92\x97\xf0\x9f\x90\x8e\xf0\x9f\x92\x97 https://t.co/VxfubnfKD9'
1528180822024392704,2022-05-22 01:07:54+00:00,b'Enjoy these SENIOR YEAR bloopers! And make sure when you\xe2\x80\x99re watching on Netflix you see the extra bonus scene after the credits \xf0\x9f\x98\x9c https://t.co/8w5dVbSlq5'
1527694091076505600,2022-05-20 16:53:49+00:00,b'Strike a pose like your high school yearbook! SENIOR YEAR is out now on Netflix! Let it bring you some CHEER this weekend! https://t.co/BoxNqGVH0F'
1527062272727601152,2022-05-18 23:03:11+00:00,"b'RT @netflix: After watching Senior Year, I just wanted to say... https://t.co/JmRstWK5f0'"
1526954998302552065,2022-05-18 15:56:55+00:00,b'My issue of PEOPLE will be on newsstands nationwide on FRIDAY! @people \xf0\x9f\x92\x9a https://t.co/pLyZHS6Xsn'
1526643593699438592,2022-05-17 19:19:31+00:00,b'Who says you can\xe2\x80\x99t be crowned Prom Queen?! My dreams just came true with #SeniorYear becoming #1 on Netflix around the world! https://t.co/3M07goclAA'
1525922541545480192,2022-05-15 19:34:18+00:00,b'To celebrate SENIOR YEAR being number 1 on Netflix I just bought another @DegenToonz NFT. @sepsauce made me do it! \xf0\x9f\xa7\xa8 https://t.co/UZAJ3cTAWl'
1525869692660813824,2022-05-15 16:04:18+00:00,b'RT @NetflixLifee: #SeniorYear is the #1 movie on Netflix! Have you watched the hilarious new @RebelWilson movie? https://t.co/QcgVXo9SCC'
1525480347231608832,2022-05-14 14:17:11+00:00,b'You shut your face! SENIOR YEAR is already Number 1 \xf0\x9f\x8f\x86 on Netflix! \xf0\x9f\x8e\x89 https://t.co/2XRgnKzJGx'
1525479619872247810,2022-05-14 14:14:18+00:00,b'@captngimlet Give us a good rating \xf0\x9f\x98\x9c'
1525166937105235968,2022-05-13 17:31:48+00:00,b'SENIOR YEAR is out NOW worldwide on Netflix! \xf0\x9f\x92\x9a\xf0\x9f\x92\x9b\xf0\x9f\xa4\x8d\xf0\x9f\x92\x9a\xf0\x9f\x92\x9b\xf0\x9f\xa4\x8d https://t.co/z8VF9se0RK'
1525166558586150914,2022-05-13 17:30:18+00:00,b'RT @AliciaSilv: Get ready for high school\xe2\x80\xa6again. \xf0\x9f\x98\x9c So much fun filming this one with @RebelWilson! Senior Year is so so so funny. You gotta\xe2\x80\xa6'
1524929188364316673,2022-05-13 01:47:04+00:00,"b'RT @TheEllenShow: Thank you for this cheer, @RebelWilson?\xf0\x9f\x98\x8a https://t.co/kuPYGVMaE3'"
1524873146280468481,2022-05-12 22:04:23+00:00,"b'I\xe2\x80\x99m so excited, I just can\xe2\x80\x99t sleep! SENIOR YEAR comes out tomorrow worldwide on Netflix! Crazy!! https://t.co/4nTJRdXj7B'"
1524508616794857473,2022-05-11 21:55:52+00:00,b'Could not be prouder of team SENIOR YEAR \xf0\x9f\x92\x9a\xf0\x9f\x92\x9b\xf0\x9f\xa4\x8d\xf0\x9f\x92\x9a\xf0\x9f\x92\x9b\xf0\x9f\xa4\x8d https://t.co/qfyiak23wB'
1524294688273879041,2022-05-11 07:45:48+00:00,b'RT @EugenioDerbez: Catch me tonight with @JKCorden and @RebelWilson  on the @latelateshow.\n\n\xe2\x9c\x8c\xf0\x9f\x8f\xbb https://t.co/vLXW3emm7T'
1524026497090179075,2022-05-10 14:00:06+00:00,b'Ready? OKAY! https://t.co/OJmT6HAaTO'
1523669354620981249,2022-05-09 14:20:57+00:00,b'#SeniorYear comes out THIS WEEKEND on NETFLIX and it will bring so much cheer! https://t.co/ZBRQB5iBSx'
