twitter_id,date,tweet
1541562467486253056,2022-06-27 23:21:47+00:00,b'RT @FreeBetsDotCom: Prime Snood Samir Nasri dancing his way to a goal against Fulham \xf0\x9f\x95\xba\n\nAlways one of them players in the Prem where you fe\xe2\x80\xa6'
1541121970577833991,2022-06-26 18:11:25+00:00,"b'RT @City_Xtra: Happy 35th Birthday, @SamNasri19! \xf0\x9f\xa5\xb3\xf0\x9f\x92\x99\n\nhttps://t.co/7NJiS0DhmZ'"
1541121682273869825,2022-06-26 18:10:16+00:00,"b""RT @UEFAcom_fr: Ce but de @SamNasri19 en #UCL \xf0\x9f\x98\x8d \n\nHB \xc3\xa0 l'ancien international \xf0\x9f\x87\xab\xf0\x9f\x87\xb7, 3\xef\xb8\x8f\xe2\x83\xa35\xe2\x83\xa3 ans aujourd'hui \xf0\x9f\x8e\x82 \n\nNasri pour toi, c'est ____ \xf0\x9f\x92\xac ht\xe2\x80\xa6"""
1541121629832478720,2022-06-26 18:10:03+00:00,"b'RT @OMLaProvence: \xf0\x9f\x94\xb5\xf0\x9f\x8e\x82Joyeux anniversaire ""Petit Prince"" ! @SamNasri19 #Nasri #TeamOM \nhttps://t.co/N88zXZHgOL'"
1541121565957537792,2022-06-26 18:09:48+00:00,b'RT @OM_Officiel: \xf0\x9d\x97\x9d\xf0\x9d\x97\xbc\xf0\x9d\x98\x86\xf0\x9d\x97\xb2\xf0\x9d\x98\x82\xf0\x9d\x98\x85 \xf0\x9d\x97\xae\xf0\x9d\x97\xbb\xf0\x9d\x97\xbb\xf0\x9d\x97\xb6\xf0\x9d\x98\x83\xf0\x9d\x97\xb2\xf0\x9d\x97\xbf\xf0\x9d\x98\x80\xf0\x9d\x97\xae\xf0\x9d\x97\xb6\xf0\x9d\x97\xbf\xf0\x9d\x97\xb2 \xf0\x9d\x97\xae\xf0\x9d\x98\x82 \xf0\x9d\x97\xa3\xf0\x9d\x97\xb2\xf0\x9d\x98\x81\xf0\x9d\x97\xb6\xf0\x9d\x98\x81 \xf0\x9d\x97\xa3\xf0\x9d\x97\xbf\xf0\x9d\x97\xb6\xf0\x9d\x97\xbb\xf0\x9d\x97\xb0\xf0\x9d\x97\xb2 !\xf0\x9f\xa4\xb4\xf0\x9f\xa5\xb3\n\nNotre ancien num\xc3\xa9ro 2\xef\xb8\x8f\xe2\x83\xa32\xef\xb8\x8f\xe2\x83\xa3 \xf0\x9d\x98\x80\xf0\x9d\x97\xbc\xf0\x9d\x98\x82\xf0\x9d\x97\xb3\xf0\x9d\x97\xb3\xf0\x9d\x97\xb9\xf0\x9d\x97\xb2 aujourd\xe2\x80\x99hui sa \xf0\x9d\x9f\xaf\xf0\x9d\x9f\xb1 \xf0\x9d\x97\xb2\xcc\x80\xf0\x9d\x97\xba\xf0\x9d\x97\xb2 \xf0\x9d\x97\xaf\xf0\x9d\x97\xbc\xf0\x9d\x98\x82\xf0\x9d\x97\xb4\xf0\x9d\x97\xb6\xf0\x9d\x97\xb2 \xf0\x9f\x8e\x82\xf0\x9f\xa4\x8d\xf0\x9f\x92\x99\n\n@SamNasri19\xe2\x80\xa6'
1541121512542986241,2022-06-26 18:09:35+00:00,"b""RT @OM_Officiel: @SamNasri19 \xc3\xa0 l'OM, c'\xc3\xa9tait \xc3\xa7a \xf0\x9f\x91\x87 https://t.co/SZkprtlSlJ"""
1541121478418120707,2022-06-26 18:09:27+00:00,"b'RT @Vincent_1393: Joyeux anniversaire \xc3\xa0 @SamNasri19, \xc3\xa0 jamais notre petit prince. \xf0\x9f\x91\x91 https://t.co/VN7iApGpiS'"
1526264903442567168,2022-05-16 18:14:44+00:00,b'Svp arr\xc3\xaatez de sp\xc3\xa9culer par rapport a l\xe2\x80\x99anecdote et de sortir des noms comme sa au hasard sa ne rends service a personne et il n\xe2\x80\x99y avait ni Ribery ou Niang car je vois les noms sortir respectez leur vie de famille'
1525776483486146560,2022-05-15 09:53:55+00:00,"b'RT @CanalFootClub: ""On va les fracasser..."" \xf0\x9f\x98\xa4\xf0\x9f\x92\xa5\n\nComment les Cityzens ont-ils abord\xc3\xa9 la fin de saison cruciale dans la qu\xc3\xaate du sacre ? \xf0\x9f\x91\x91 @V\xe2\x80\xa6'"
1525776468437045248,2022-05-15 09:53:52+00:00,"b'RT @CanalFootClub: Le doc sera suivi dimanche du 2\xc3\xa8me \xc3\xa9pisode de \xc2\xab The Big Five \xc2\xbb avec au casting @dacourtolivier, @SamNasri19, @sinamapong\xe2\x80\xa6'"
