twitter_id,date,tweet
1546635139484192768,2022-07-11 23:18:47+00:00,b'https://t.co/3JpnFb7hHz'
1546624468965007360,2022-07-11 22:36:22+00:00,b'https://t.co/zXTH9wPl8J'
1546546545599942658,2022-07-11 17:26:44+00:00,b'https://t.co/x9VfaEchTJ'
1546523626907832322,2022-07-11 15:55:40+00:00,b'https://t.co/EvB2g4FmVT'
1546520282084646916,2022-07-11 15:42:22+00:00,b'https://t.co/CfBAqPYt2L'
1546514909990633472,2022-07-11 15:21:02+00:00,b'https://t.co/vuB4JSgSHe'
1546508451139960832,2022-07-11 14:55:22+00:00,b'https://t.co/EwWy5tfiaW'
1546315572396310528,2022-07-11 02:08:56+00:00,b'https://t.co/fDsi52DClN'
1545566903804084228,2022-07-09 00:33:59+00:00,b'Up'
1545557155138441216,2022-07-08 23:55:15+00:00,"b'Quem mora no Rio de Janeiro, perto da barra?'"
1545401823380619266,2022-07-08 13:38:01+00:00,b'https://t.co/DvSzysERqH'
1545398311452119047,2022-07-08 13:24:04+00:00,b'https://t.co/ezBTzduOFv'
1545395271437369344,2022-07-08 13:11:59+00:00,b'https://t.co/UT1EDZtZ7E'
1545392429720797184,2022-07-08 13:00:41+00:00,b'https://t.co/V24NfBFqxI'
1545270604290473985,2022-07-08 04:56:36+00:00,b'RT @raelepronto: Se \xc3\xa9 Loko cachoeira \xf0\x9f\x91\x8c\xf0\x9f\x8f\xbd moraine lake https://t.co/GGDoDdksQu'
1545208304531640321,2022-07-08 00:49:03+00:00,"b'RT @CuriosidadesPRL: No ano retrasado, nossa p\xc3\xa1gina de mais de 100 mil teve problemas com o Twitter. N\xc3\xa3o \xc3\xa9 f\xc3\xa1cil alcan\xc3\xa7ar esse n\xc3\xbamero de no\xe2\x80\xa6'"
1545094145588723713,2022-07-07 17:15:25+00:00,b'https://t.co/6QawurDc4Y'
1545050597497327616,2022-07-07 14:22:22+00:00,b'https://t.co/JAq5lF2wvd'
1545047974081748992,2022-07-07 14:11:57+00:00,b'https://t.co/K8CYv7axgd'
1545046381567496193,2022-07-07 14:05:37+00:00,b'https://t.co/7BrwYcaWKP'
1544657692727427075,2022-07-06 12:21:06+00:00,b'https://t.co/OcmHBLnSgA'
1544497277925982211,2022-07-06 01:43:41+00:00,b'RT @raelepronto: Partiu f\xc3\xa9rias !! Vou ali ca\xc3\xa7ar uma aurora boreal e j\xc3\xa1 volto \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbdat\xc3\xa9 #jasper \xf0\x9f\x98\x9c https://t.co/BlmKNWc20O'
1544487836166066176,2022-07-06 01:06:09+00:00,b'Quem mora no Rio de Janeiro?'
1544474743889448964,2022-07-06 00:14:08+00:00,b'@gabribuen N\xc3\xa3o quero'
1544406665616916481,2022-07-05 19:43:37+00:00,b'Algu\xc3\xa9m sabe resolver?'
1544404578552233990,2022-07-05 19:35:19+00:00,"b'Rapaziada meu Instagram n\xc3\xa3o est\xc3\xa1 carregando as minhas Dm, algu\xc3\xa9m sabe oq \xc3\xa9 isso? Tipo eu atualizo some tudo e eu n\xc3\xa3o consigo responder ngm'"
1544110326681149442,2022-07-05 00:06:04+00:00,b'https://t.co/6nIYkU1Px5'
1544083370321367040,2022-07-04 22:18:57+00:00,b'https://t.co/eUa9dKvLyF'
1544070666865057804,2022-07-04 21:28:29+00:00,b'https://t.co/InMZU1fXfU'
1544024008840122371,2022-07-04 18:23:04+00:00,b'https://t.co/RF3eZCXmgi'
1544010343722139653,2022-07-04 17:28:46+00:00,b'https://t.co/jBHO6fBGN8'
1543988515276455936,2022-07-04 16:02:02+00:00,b'https://t.co/VqhQkjMMRk'
1543987208365002752,2022-07-04 15:56:51+00:00,b'https://t.co/z6sNW42uQ4'
1543753349534711808,2022-07-04 00:27:34+00:00,b'E real \xf0\x9f\xa4\x91\xf0\x9f\xa4\x91 j\xc3\xa1 ganhei 230 reais em 20 minutos'
1543745488054358021,2022-07-03 23:56:20+00:00,"b'Esse \xc3\xa9 o novo foguetinho que todos est\xc3\xa3o ganhando muito dinheiro: https://t.co/iWskwW0C1p (fa\xc3\xa7a cadastro, dep\xc3\xb3sito 20 reais e ganhe dinheiro no foguetinho \xf0\x9f\x9a\x80\xf0\x9f\xa4\x91) https://t.co/g3Z4Aq7lCs'"
1543744154278236163,2022-07-03 23:51:02+00:00,b'Quer ganhar dinheiro com o novo foguetinho? Aten\xc3\xa7\xc3\xa3o no pr\xc3\xb3ximo Tweet'
1543665647548252160,2022-07-03 18:39:04+00:00,b'https://t.co/Ib21QtIDRF'
1543596301811695616,2022-07-03 14:03:31+00:00,b'tenho ciumes pq eu gosto de vc'
1543386268435943425,2022-07-03 00:08:55+00:00,b'https://t.co/PEFPUio5wN'
1543278177589399552,2022-07-02 16:59:24+00:00,b'https://t.co/61UkIdl1fN'
1543068688835903488,2022-07-02 03:06:58+00:00,"b'RT @jeyleonardo: Nunca implore para que uma pessoa escolha voc\xc3\xaa. Se ela sente que pode encontrar algu\xc3\xa9m melhor em outro lugar, ent\xc3\xa3o deixe\xe2\x80\xa6'"
1542880841201770496,2022-07-01 14:40:32+00:00,b'https://t.co/5HSEqeZxMm'
1542874712761581570,2022-07-01 14:16:11+00:00,b'https://t.co/aJX4WuIoiv'
1542873903147716608,2022-07-01 14:12:58+00:00,b'https://t.co/C4Adzn97Dn'
1542850457785303043,2022-07-01 12:39:48+00:00,b'1\xc2\xba de julho! \nQue seja um m\xc3\xaas de coisas boas. \xe2\x9c\xa8\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc'
1542686534205427717,2022-07-01 01:48:26+00:00,b'https://t.co/BhbmDs6TBp'
1542673951930867714,2022-07-01 00:58:26+00:00,b'https://t.co/OzndSsMjFV'
1542664391702810626,2022-07-01 00:20:26+00:00,"b'RT @jeyleonardo: \xc3\x80s vezes, eu fico distante de tudo, me isolo, n\xc3\xa3o converso com ningu\xc3\xa9m. E isso n\xc3\xa3o \xc3\xa9 nada pessoal, \xc3\xa9 que eu gosto de tirar\xe2\x80\xa6'"
1542655669148553218,2022-06-30 23:45:47+00:00,b'https://t.co/IJEX07rS45'
1542638920009146368,2022-06-30 22:39:14+00:00,b'RT @cervejacolorado: Marque aqui aquele seu amigo que sempre marca de ir pra um rol\xc3\xaa mas NUNCA VAI. #bebacommodera\xc3\xa7\xc3\xa3o'
1542569689620127746,2022-06-30 18:04:08+00:00,b'https://t.co/pisJiCuTPy'
1542541903962537984,2022-06-30 16:13:43+00:00,b'https://t.co/Kq1y3qVGGk'
1542541692900937733,2022-06-30 16:12:53+00:00,b'RT @raelepronto: Salve Vizinhos ! Vila Mariana/Klabin se algu\xc3\xa9m avistar uma gata nessa pegada por a\xc3\xad manda um direct p\xc3\xa1 Noix \xf0\x9f\x91\x8a\xf0\x9f\x8f\xbe ela atende\xe2\x80\xa6'
1542527181234081793,2022-06-30 15:15:13+00:00,b'https://t.co/klrrXIdqKL'
1542522100333760520,2022-06-30 14:55:02+00:00,b'https://t.co/kQmL4GfdgQ'
1542511272104583174,2022-06-30 14:12:00+00:00,b'https://t.co/ugw8n8EcBr'
