twitter_id,date,tweet
1541965854459326465,2022-06-29 02:04:42+00:00,"b""Tonight may have been one of my favorites! \xf0\x9f\xa4\xa9 Had me laughing, crying, dancing, nervous! Can't wait for the live shows with u guys @heidiklum @SimonCowell  @terrycrews @howiemandel  \xf0\x9f\x99\x8a\xf0\x9f\x99\x8a #agt"""
1541965072435556353,2022-06-29 02:01:36+00:00,"b'Brilliant, creative, goofy!! SEE YOU SOON! \xf0\x9f\x8d\x93 #AGT https://t.co/GLBrHHbQPn'"
1541964111906365440,2022-06-29 01:57:47+00:00,b'THAT WAS INCREDIBLE!!\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 #AGT'
1541964017106751489,2022-06-29 01:57:24+00:00,b'How do I get a belt like that?? #agt https://t.co/qZes4B7AXq'
1541961812777742336,2022-06-29 01:48:39+00:00,b'Just when i thought it couldnt get better @merissaria starts singing like Siri \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 #agt'
1541959715873140741,2022-06-29 01:40:19+00:00,b'never seen @SimonCowell laugh so much\xf0\x9f\xa4\xa3 #agt'
1541959357830537217,2022-06-29 01:38:53+00:00,b'Spectacular!! \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f #AGT https://t.co/wRs94ZvrNK'
1541958753582325760,2022-06-29 01:36:29+00:00,b'RT @suchankovic: @SofiaVergara @JackpotParty I already did \xf0\x9f\x98\x82 it\xe2\x80\x99s catchy game \xf0\x9f\x98\x82'
1541958393329377280,2022-06-29 01:35:03+00:00,b'Now you know what I do in between auditions at #AGT \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 join @JackpotParty for a chance to come to Hollywood! \xf0\x9f\xa4\xa9 https://t.co/zW0npDLqip'
1541956892301283328,2022-06-29 01:29:05+00:00,"b""RT @heidiklum: .@lilymeolamusic I can't wait for the world to fall in love with you like I have \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\xa6\x8b #AGT #GoldenBuzzer  https://t.co/4jH3Ua\xe2\x80\xa6"""
1541956702131478528,2022-06-29 01:28:20+00:00,b'TEARS!!!\xf0\x9f\xa5\xb9 Felicidades @lilymeolamusic @heidiklum \xf0\x9f\xa4\xa9\xf0\x9f\xa4\xa9\xf0\x9f\xa4\xa9\xf0\x9f\xa4\xa9\xf0\x9f\xa4\xa9\xf0\x9f\xa4\xa9 #agt'
1541955927590305792,2022-06-29 01:25:15+00:00,b'you are a star! \xf0\x9f\xa4\xa9your lyrics and voice give me chills! \xf0\x9f\xa4\xa9@lilymeolamusic #agt'
1541955493471461377,2022-06-29 01:23:32+00:00,b'beautiful soul \xf0\x9f\xa6\x8b we are rooting for u already! #agt @lilymeolamusic'
1541952757904470016,2022-06-29 01:12:40+00:00,b'tonight is so full of surprises... i did not see that coming \xf0\x9f\xa4\xa3 and i did not expect to like it so much #agt'
