twitter_id,date,tweet
1546586363415314432,2022-07-11 20:04:57+00:00,b'RT @UnderratedGolf: Just a couple Warriors rocking with the Underrated Golf Tour in Lake Tahoe!\n\nCan\xe2\x80\x99t wait to see all our players at our n\xe2\x80\xa6'
1546584627883569152,2022-07-11 19:58:04+00:00,"b'Pumped to feature @haroldgreen\'s ""Black Oak"" in our @literati book club... even more honored to host Green + @MatthewACherry for a special Ask the Author convo on powerful Black men pushing society forward. These men deserve all the \xf0\x9f\x92\x90!! #stayunderrated https://t.co/pv16Lswxnf'"
1545548597961183233,2022-07-08 23:21:15+00:00,"b'Shining bright in Lake Tahoe on Day 1. Look good, feel good, play good! https://t.co/h1rqdpsvah'"
1545198694441488384,2022-07-08 00:10:51+00:00,b'Long Drive Contest \xf0\x9f\x98\xa4\xf0\x9f\x92\xa3 Gotta love Tahoe!! #ItsOver https://t.co/K2scirO6tj'
1545114170789482496,2022-07-07 18:34:59+00:00,b'Young fella asked how many push ups for the \xe2\x9c\x92\xef\xb8\x8f\xf0\x9f\x98\x82 #30 @ACChampionship https://t.co/nQfh0kkvDw'
1544354175626010627,2022-07-05 16:15:02+00:00,b'RT @underrated: All-new Season.\nAll-new Locations.\n\nDon\xe2\x80\x99t miss your chance to Make Them Believe on the 2022 Underrated Basketball Tour Powe\xe2\x80\xa6'
1544353532643385345,2022-07-05 16:12:29+00:00,"b'That time of year!! @underrated #SZN4 is here. ALL new cities to Make Them Believe\xe2\x80\xa6 Atlanta, Vegas, Seattle and Philly \xe2\x9c\x88\xef\xb8\x8f\xf0\x9f\x93\x8d But you know we had to keep the championship in the Bay. Sounds familiar?! Ha! Registration now open \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbd https://t.co/MXJ6DAlZ6H https://t.co/TGe9cuHv3K'"
1543611739907899392,2022-07-03 15:04:52+00:00,"b'RT @BerniceKing: I am very concerned about #BrittneyGriner and her holistic well being. \n\nI urge U.S. government officials, including our S\xe2\x80\xa6'"
1543370022185119744,2022-07-02 23:04:22+00:00,b'@CoCoVandey @Riske4rewards \xf0\x9f\x98\xb4\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd'
1543368518149623808,2022-07-02 22:58:23+00:00,b'Billboard status w/ these amazing student athletes!! New episode of my @snapchat show Level Up out now \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbd https://t.co/HiQRj3d0a4 https://t.co/0NCAVJE3Cm'
1543038681115607040,2022-07-02 01:07:44+00:00,"b'RT @UnderratedGolf: ""This is a different experience.""\n\nOur @WillLoweryGolf breaks down why the Underrated Golf Tour is nothing our golfers\xe2\x80\xa6'"
1543002658042044416,2022-07-01 22:44:35+00:00,"b'RT @ShoePalace: The exclusive Shoe Palace x @StephenCurry30 ""Night. Night."" tee and hoodie are available now!\nhttps://t.co/lAg9sARpHR https\xe2\x80\xa6'"
