twitter_id,date,tweet
1545242393837850629,2022-07-08 03:04:30+00:00,b'RT @Dan_Fogelman: Well look at Us! #ThisIsUs'
1545169269427769345,2022-07-07 22:13:56+00:00,"b'Though we\xe2\x80\x99ll miss seeing you on tour, we will be donating the net proceeds from all of the merch items we had hoped to bring your way to @Everytown. Tees and posters are now available on my store. https://t.co/wKSXfHpasO\n \nTo learn more about Everytown, visit their website. https://t.co/zYTeCAzVft'"
1544715572037832704,2022-07-06 16:11:06+00:00,"b'RT @JimLaPorta: The Highland Park parade shooting suspect planned the attack for weeks, purchased his weapons legally and disguised himself\xe2\x80\xa6'"
1544715470170832904,2022-07-06 16:10:42+00:00,b'RT @kerrywashington: The cycle continues. It\xe2\x80\x99s going to continue until we see real CHANGE and ACTION for stricter gun laws. https://t.co/jw\xe2\x80\xa6'
1544715008482746368,2022-07-06 16:08:52+00:00,"b'Love love love chatting with you always, @lanikaps. https://t.co/3RLAuMKboL'"
1541433005134299138,2022-06-27 14:47:21+00:00,"b'Congrats, @Dan_Fogelman !!!! #thisisus https://t.co/wMcWYIFumb'"
1541218281461321730,2022-06-27 00:34:07+00:00,"b'Our show at @theryman was made even more special by having you there, @ChrissyMetz. I love you so much\xe2\x80\xa6. Now I can\xe2\x80\x99t wait to see you crush it on tour!!! Xoxoxo https://t.co/K1jXgoi8xY'"
1539663379039563778,2022-06-22 17:35:29+00:00,b'Having such an incredible time on tour! Just a couple tickets left xx\n\nPC: @niredonahue\n\nhttps://t.co/o74ZdVCHv4 https://t.co/o79iBtXrr2'
1537495059376922624,2022-06-16 17:59:22+00:00,b'Had so much fun filming a couple of new versions of \xe2\x80\x9cFour Moons\xe2\x80\x9d &amp; \xe2\x80\x9cHeartlands\xe2\x80\x9d with @Vevo a few weeks ago. You can watch them now here: https://t.co/686Q5cxnop https://t.co/7RFcZm3l6T'
1536783269655552001,2022-06-14 18:50:58+00:00,b'Having so much fun on the In Real Life Tour and can\xe2\x80\x99t wait to see you in DC tonight :) Tickets for the full tour are available at https://t.co/o74ZdVCHv4 https://t.co/iOdrXpokge'
1536725971222552577,2022-06-14 15:03:17+00:00,"b'RT @Variety: Mandy Moore breaks down Rebecca\'s goodbye scene with Ken Olin on #ThisIsUs: ""It makes me emotional to think about \xe2\x80\x94 to tell he\xe2\x80\xa6'"
1536422517077708800,2022-06-13 18:57:28+00:00,"b'Thanks for coming, friend!!! \xe2\x9d\xa4\xef\xb8\x8f https://t.co/PsqW8QAZ7n'"
1532795114031939584,2022-06-03 18:43:27+00:00,b'This beautiful poster designed by brothersdesignco will be available at our shows throughout the tour until we run out :) Get your tickets now ! https://t.co/o74ZdVCHv4 https://t.co/O67Q8hALEi'
1532440067758624768,2022-06-02 19:12:38+00:00,"b'Yep, it\xe2\x80\x99s finally happening. What we hoped for 2 years ago is becoming a reality in 8 days. We are so excited to see ya out there! https://t.co/o74ZdVCHv4 https://t.co/hSyaCAL6EM'"
1529917252023119872,2022-05-26 20:07:52+00:00,b'Talking my new album #InRealLife Check out my conversation with @BrookeReese on The Chart Show on @AppleMusic. Listen here: https://t.co/Weeyhop4lk https://t.co/iIWOVNPjgi'
1529912605124358144,2022-05-26 19:49:24+00:00,b'I\xe2\x80\x99ve partnered with @SweetRelief to help raise money for Music\xe2\x80\x99s Mental Health Fund! Enter for your chance to meet me in LA and catch my show at The Fonda Theatre on July 22nd. https://t.co/k2pVuvUSoo https://t.co/4LeXRq1kOe'
1529498789819523072,2022-05-25 16:25:02+00:00,b'RT @SpotifyUSA: .@TheMandyMoore gives us a window into her world with her new album #InRealLife \xe2\x99\xa5\xef\xb8\x8f https://t.co/etHXAAQGpo https://t.co/tKB\xe2\x80\xa6'
1529325187300069376,2022-05-25 04:55:12+00:00,b'RT @Dan_Fogelman: Okay. \n\nPencils down now.  \n\nI will miss all of this very much. It\xe2\x80\x99s been an absolute pleasure. #ThisIsUs https://t.co/AE\xe2\x80\xa6'
1529325165879799809,2022-05-25 04:55:07+00:00,"b'RT @kenolin1: I\xe2\x80\x99m so proud of @NBCThisisUs.\nWhat the world needs now, and always, is love.\nLots and lots of it.\nWe tried to put a little bi\xe2\x80\xa6'"
1529284484838961153,2022-05-25 02:13:28+00:00,"b'As we close out the final chapter, let me leave you with this\xe2\x80\xa6\xe2\x80\x9dTake the risks. Make the big moves, even if they\xe2\x80\x99re small moves. Forge ahead with your lives in any and every direction that moves you. I\xe2\x80\x99m asking you to be fearless.\xe2\x80\x9d - Rebecca Pearson #ThisIsUs https://t.co/hlQ43UqR8F'"
1529187759159578624,2022-05-24 19:49:07+00:00,b'RT @Dan_Fogelman: A little note to those who watched.  #ThisIsUs https://t.co/r0GOwXK6pw'
1529175756592455681,2022-05-24 19:01:25+00:00,"b'What better way to celebrate tonight\xe2\x80\x99s series finale of #ThisIsUs, then to take a walk down memory lane\xe2\x80\xa6\xf0\x9f\xa5\xb9 https://t.co/levC04yNZS'"
1529079976368058368,2022-05-24 12:40:49+00:00,"b'@cadlymack You\xe2\x80\x99re very kind, friend. \xf0\x9f\x92\x93'"
1528803849275707392,2022-05-23 18:23:36+00:00,"b'Thanks for all the love and kind words about our show over 6 seasons, @TVLine. https://t.co/L93zfS5HPg'"
1526989762707435522,2022-05-18 18:15:04+00:00,b'Setlist ideas anyone? In Real Life Tour tickets are available at https://t.co/XrQZ10oNoG https://t.co/21QAyyQp1e'
1526989082852659200,2022-05-18 18:12:22+00:00,"b'\xe2\x80\xa6and with that, we swing into our final episode of #ThisIsUs. The series finale, Tuesday 5/24.\xf0\x9f\x98\xad\xf0\x9f\x92\x94 https://t.co/nhq6UfQtLk'"
1526799762749415424,2022-05-18 05:40:04+00:00,"b'@SiddKhoslaMusic @NBCThisisUs @Dan_Fogelman You and your work are absolute magic, my friend.'"
1526793923007459329,2022-05-18 05:16:52+00:00,"b'RT @Dan_Fogelman: As a wise doctor once said:\n\n\xe2\x80\x9cYou\xe2\x80\x99re as tough as they come, Rebecca Pearson. And you, my dear, have earned a rest.\xe2\x80\x9d https\xe2\x80\xa6'"
1526791391011295232,2022-05-18 05:06:48+00:00,b'RT @Dan_Fogelman: The last time \xe2\x81\xa6@TheMandyMoore\xe2\x81\xa9 wore age makeup. #ThisIsUs https://t.co/f7HoEMVdRa'
