twitter_id,date,tweet
1545209005223600128,2022-07-08 00:51:50+00:00,b'Angelina\xe2\x80\x99s nose looks exactly the same #JSFamilyVacation'
1545198071537176579,2022-07-08 00:08:23+00:00,b'It never gets easier telling my mom I\xe2\x80\x99m a stripper #JSFamilyVacation'
1540137359051821057,2022-06-24 00:58:55+00:00,b'The best way to get over someone is to get under someone else #JSFamilyVacation'
1540136081324212225,2022-06-24 00:53:50+00:00,b'MSG let\xe2\x80\x99s go !!!! Pauly killed that shit !!! #JSFamilyVacation'
1540131666156572672,2022-06-24 00:36:18+00:00,b'Yes Angelina . Usually your sister is your family #JSFamilyVacation'
1540130188943659015,2022-06-24 00:30:25+00:00,b'The parties at my aunts house were lit #JSFamilyVacation'
1540128786729009153,2022-06-24 00:24:51+00:00,b'I know y\xe2\x80\x99all feel bad but spend 20 mins with uncle Nino and you would understand #JSFamilyVacation'
1540127862916878338,2022-06-24 00:21:11+00:00,b'Laurens runs a tight ship . She gonna flip ! #JSFamilyVacation'
1540125999286964226,2022-06-24 00:13:47+00:00,b'The founding guidos painting belongs in the Louvre #JSFamilyVacation'
1540125486977892358,2022-06-24 00:11:44+00:00,b'Nicole can chug a bottle of Tito\xe2\x80\x99s in one sip but can\xe2\x80\x99t take a ginger shot #JSFamilyVacation'
1540123960137891841,2022-06-24 00:05:40+00:00,b'Lmao #VinnyInTheCity is lit. I\xe2\x80\x99m so Samantha #JSFamilyVacation'
1527334680810250241,2022-05-19 17:05:39+00:00,b'Agreed. New season of #JSFamilyVacation coming soon! #WeAreJerseyShore https://t.co/WRX5XAY8f5'
1522947861222240257,2022-05-07 14:33:59+00:00,b'@nadisobreezy U smart'
1512525229389582337,2022-04-08 20:18:10+00:00,b'@Vee4Vinn That\xe2\x80\x99s a fake page'
1508290110374129664,2022-03-28 03:49:19+00:00,b'We\xe2\x80\x99re living in a South Park episode'
1507154259086770186,2022-03-25 00:35:51+00:00,b'Mike doesn\xe2\x80\x99t train legs !!!! #JSFamilyVacation'
1507151520218767362,2022-03-25 00:24:58+00:00,b'No more notes!!! #JSFamilyVacation'
1507084842646716441,2022-03-24 20:00:01+00:00,b'SEASON FINALE OF #JSFamilyVacation TONIGHT !!!! https://t.co/HsQe06fKaR'
1507082209676578840,2022-03-24 19:49:33+00:00,b'https://t.co/oJjZOAbRTL'
1504617622670782484,2022-03-18 00:36:10+00:00,b'I had to get back in shape after this episode \xf0\x9f\x98\xac #JSfamilyvacation https://t.co/G60f00g5AE'
1504615033229410306,2022-03-18 00:25:52+00:00,b'I was full blown vacation eat everything mode here #JSfamilyVacation'
1504614380591230980,2022-03-18 00:23:17+00:00,b'When I think about u I touch my self #JSFamilyvacation https://t.co/sCLxIv4jX3'
1504610469276921880,2022-03-18 00:07:44+00:00,b'I love looking into Pauly\xe2\x80\x99s eyes #JSFamilyVacation'
1502366430280310784,2022-03-11 19:30:44+00:00,b'It\xe2\x80\x99s my opening weekend at @Chippendales . Catch me in vegas March 11- April 10th on the weekends \xf0\x9f\x98\x8e \xf0\x9f\x95\xba\xf0\x9f\x8f\xbb https://t.co/k1Lv2OQCAO'
1502102193976983554,2022-03-11 02:00:45+00:00,"b'It\xe2\x80\x99s a simple formula . Slut each other out, then watch Disney plus #JSFamilyVacation'"
1502100596886622208,2022-03-11 01:54:24+00:00,b'Left right side to side #JSFamilyVacation'
1502098268943044608,2022-03-11 01:45:09+00:00,b'RT @lupitarubio_: They are beating the beat up! \xf0\x9f\x94\xa5@VINNYGUADAGNINO #JSFamilyVacation https://t.co/ue4iSiKToY'
1502097353389473797,2022-03-11 01:41:31+00:00,b'Tsuunnaaamiiiiii \xf0\x9f\x8c\x8a #JSFamilyvacation'
1502096552025722884,2022-03-11 01:38:20+00:00,b'This boat has a boat #JSFamilyVacation'
1502094464323493893,2022-03-11 01:30:02+00:00,b'Yayyyy #JSFamilyVacation https://t.co/Y55kocPjs1'
1501260506719342593,2022-03-08 18:16:11+00:00,b'Never https://t.co/MkyVdAPX2T'
1500865134939410438,2022-03-07 16:05:07+00:00,b'@amberrrx93 @ItsTheSituation So why hate ?'
1500559355938103300,2022-03-06 19:50:04+00:00,b'@amberrrx93 @ItsTheSituation Sarcasm'
1499559753202163713,2022-03-04 01:38:00+00:00,b'One day #JSFamilyVacation https://t.co/y2drJWxUHG'
1499559536004411413,2022-03-04 01:37:08+00:00,b'Not my best impression .  work at all was put on the spot . #JSFamilyVacation'
1499557002913230852,2022-03-04 01:27:04+00:00,b'You know who needs another party . Mike \xe2\x80\xa6 def not me #JSFamilyVacation'
1499556175091838995,2022-03-04 01:23:47+00:00,b'Split on the diiiiick daddy! #JSFamilyVacation'
1499553552045383683,2022-03-04 01:13:21+00:00,b'Craziest prank ever done to me. And I had my own prank show  #Jsfamilyvacation'
1499552857766473739,2022-03-04 01:10:36+00:00,b'Hahaha #JSFamilyVacation https://t.co/zTCjkn4iJH'
1496246792358436868,2022-02-22 22:13:28+00:00,b'Ayyeee \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb #VinnyJumps https://t.co/C4apK0usiv'
1495892252245344261,2022-02-21 22:44:39+00:00,b'@PapaMaradona @ESPNRingside @FloydMayweather I have a long way ? Have u seen my page ? He has a long way'
1495873883387346954,2022-02-21 21:31:40+00:00,b'@ESPNRingside @FloydMayweather Post mine next ! @ Vinnyjumps on IG'
1495550183735767040,2022-02-21 00:05:24+00:00,b'@nadisobreezy @roonie742 Well this one is real'
1495504323761090562,2022-02-20 21:03:10+00:00,b'@nadisobreezy So you\xe2\x80\x99re the only sane one'
1495153992292352006,2022-02-19 21:51:05+00:00,b'@aylaaaa11 @Chippendales @DJPaulyD No she isn\xe2\x80\x99t. I start Chippendales march 11'
1494492540778827779,2022-02-18 02:02:42+00:00,b'Me after Laurens snapped at me #JSFamilyVacation https://t.co/scZPt67vVe'
1494490855423586311,2022-02-18 01:56:00+00:00,b'We have another cast member  . Mikes mosquito bite #JSFamilyVacation'
1494490276102033410,2022-02-18 01:53:42+00:00,b'Dad jokes * https://t.co/kSoxla9EWl'
1494488619847143426,2022-02-18 01:47:07+00:00,b'When all else failed I was just gonna tackle her https://t.co/o7tmkEcOGh'
1494488505338277919,2022-02-18 01:46:40+00:00,b'Me while everyone is crying about love and unity #JSFamilyVacation https://t.co/vdUeE5UFQN'
1494486861825421312,2022-02-18 01:40:08+00:00,b'Jenni love you !!!! #JSFamilyVacation https://t.co/g5q5oFth3S'
1494486036902076417,2022-02-18 01:36:52+00:00,b'Distracting Jenni with Botox would def work #JSFamilyVacation'
1494484057329127425,2022-02-18 01:29:00+00:00,b'Almost went to Cuba ! #JSFamilyVacation'
1494482819594305539,2022-02-18 01:24:04+00:00,b'@Chops43637229 It\xe2\x80\x99s quite a bit more. Google is a few years behind'
1494481237242699776,2022-02-18 01:17:47+00:00,b'I don\xe2\x80\x99t fly private that\xe2\x80\x99s rich ppl shit #JSFamilyVacation'
1494478790243897348,2022-02-18 01:08:04+00:00,b'PJ from hell #JSFamilyVacation'
1494440062259449858,2022-02-17 22:34:10+00:00,b'New @JerseyShore tonight and we arrive in international waters! (Sort of) #JSFamilyVacation https://t.co/GFc9w12lZq'
1493033399338024967,2022-02-14 01:24:36+00:00,b'Damn no Tupac hologram #SuperBowl'
1493031634752446466,2022-02-14 01:17:35+00:00,b'Mary singing no more drama directly to Kanye #SuperBowl'
1493018420652265473,2022-02-14 00:25:05+00:00,b'Sopranos commercial \xf0\x9f\x94\xa5 #SuperBowl'
1492165970571501578,2022-02-11 15:57:45+00:00,b'I just asked Alexa what year it was'
1491951341236887555,2022-02-11 01:44:53+00:00,b'@planbriuncut That\xe2\x80\x99s a catfish of me'
1491949376700309512,2022-02-11 01:37:05+00:00,b'Are pigs flying or not #JSFamilyVacation'
1491945004952170498,2022-02-11 01:19:42+00:00,b'Anyone have the address to that rub and tug? \xf0\x9f\xa4\x94 #JSFamilyVacation'
1491942481616855040,2022-02-11 01:09:41+00:00,b'I like the chuuch song #JSFamilyVacation'
1491942287890341915,2022-02-11 01:08:55+00:00,b'We\xe2\x80\x99re going to hell #JSFamilyVacation'
1491941858548850691,2022-02-11 01:07:12+00:00,b'There\xe2\x80\x99s a whole ass choir in mikes back yard #JSFamilyVacation'
1491941225901002752,2022-02-11 01:04:41+00:00,b'Uncle Nino the priest!? Holy shit ! #JSFamilyVacation'
1491940775118180352,2022-02-11 01:02:54+00:00,b'I hope the doves don\xe2\x80\x99t hit traffic on the way to Toms River #JSFamilyVacation'
1491884318066720769,2022-02-10 21:18:33+00:00,b'New #JSFamilyVacation TONIGHT ! 8pm on @MTV https://t.co/AjlHgHmx9h'
1490868243112022020,2022-02-08 02:01:02+00:00,"b'The #tinderswindler has girls taking out mortgages for him , and I can\xe2\x80\x99t even get a text back .'"
1489416402679349249,2022-02-04 01:51:57+00:00,b'All this yorkie is saying is give me a treat #JSFamilyVacation'
1489414550738898950,2022-02-04 01:44:35+00:00,b'Lmao u can\xe2\x80\x99t tell Deena her health is off #JSFamilyVacation'
1489414167874482177,2022-02-04 01:43:04+00:00,b'Are the singing Vinny is a chuuch? #JSFamilyVacation'
1489410969843417089,2022-02-04 01:30:21+00:00,b'Welp #JSFamilyVacation https://t.co/mS7iX8J3hX'
