twitter_id,date,tweet
1546613362305503232,2022-07-11 21:52:14+00:00,b'@vSLiDdCQDCze8k5 \xd8\xa3\xd8\xaa\xd8\xb4\xd8\xb1\xd9\x81 \xd8\xa8\xd8\xa7\xd9\x84\xd8\xaa\xd9\x88\xd8\xa7\xd8\xb5\xd9\x84 \xd9\x85\xd8\xb9\xd9\x87\xd8\xa7'
1546611474239463425,2022-07-11 21:44:44+00:00,b'@ashraaf_alsaad \xd8\xad\xd9\x81\xd8\xb8\xd9\x83 \xd8\xa7\xd9\x84\xd9\x84\xd9\x87 \xd9\x88\xd8\xa3\xd8\xb3\xd8\xb9\xd8\xaf\xd9\x83'
1546346348353671168,2022-07-11 04:11:13+00:00,b'@LASTtri9 \xf0\x9f\x99\x8f\xf0\x9f\x8c\xb9\xf0\x9f\x99\x8f'
1546223959976382466,2022-07-10 20:04:54+00:00,b'\xd8\xa7\xd9\x84\xd8\xb4\xd9\x83\xd8\xb1 \xd9\x84\xd9\x83\xd9\x85 \xd8\xb9\xd9\x84\xd9\x89 \xd9\x85\xd8\xa7 \xd8\xaa\xd9\x82\xd8\xaf\xd9\x85\xd9\x88\xd9\x86\xd9\x87 https://t.co/5vwchMeFw6'
1546206302208155651,2022-07-10 18:54:44+00:00,b'@i_Tiger10 \xd8\xa7\xd9\x84\xd9\x84\xd9\x87 \xd9\x8a\xd8\xad\xd9\x81\xd8\xb8\xd9\x83 \xd9\x88\xd9\x8a\xd8\xb3\xd8\xb9\xd8\xaf\xd9\x83 \xd9\x88\xd9\x8a\xd9\x88\xd9\x81\xd9\x82\xd9\x83 \xd8\xa7\xd9\x86\xd8\xa7 \xd9\x85\xd9\x86 \xd8\xa7\xd9\x82\xd8\xb1\xd8\xb1 \xd9\x85\xd8\xa7 \xd8\xa3\xd8\xba\xd8\xb1\xd8\xaf \xd8\xa8\xd9\x87 \xd9\x81\xd9\x8a \xd8\xad\xd8\xb3\xd8\xa7\xd8\xa8\xd9\x8a \xd9\x88\xd9\x85\xd8\xa7 \xd9\x87\xd9\x88 \xd8\xa7\xd9\x84\xd8\xa3\xd9\x85\xd8\xb1 \xd8\xa7\xd9\x84\xd8\xb0\xd9\x8a \xd9\x8a\xd8\xb3\xd8\xaa\xd8\xaf\xd8\xb9\xd9\x8a \xd8\xb9\xd9\x88\xd8\xaf\xd8\xaa\xd9\x8a \xd8\xa8\xd8\xb9\xd8\xaf \xd8\xaa\xd9\x88\xd9\x82\xd9\x81 \xd9\x87\xd8\xb0\xd8\xa7 \xd8\xa8\xd8\xb9\xd8\xaf \xd8\xa7\xd8\xb0\xd9\x86\xd9\x83'
1546201914030825473,2022-07-10 18:37:18+00:00,b'@muntaharamahi \xd8\xa7\xd9\x84\xd9\x84\xd9\x87 \xd9\x8a\xd8\xad\xd9\x81\xd8\xb8\xd9\x83 \xd9\x88\xd9\x8a\xd8\xb3\xd8\xb9\xd8\xaf\xd9\x83'
1546193051747500033,2022-07-10 18:02:05+00:00,b'@i_Tiger10 \xd9\x88\xd9\x87\xd9\x84 \xd8\xb9\xd9\x86\xd8\xaf\xd9\x83 \xd8\xb4\xd9\x83 \xd8\xa3\xd9\x86\xd9\x86\xd9\x8a \xd9\x85\xd9\x86 \xd8\xa3\xd8\xb4\xd8\xaf \xd8\xa7\xd9\x84\xd9\x86\xd8\xa7\xd8\xb3 \xd8\xb3\xd8\xb9\xd8\xa7\xd8\xaf\xd8\xa9 \xd8\xa8\xd8\xb0\xd9\x84\xd9\x83 .. \xd9\x83\xd9\x84 \xd9\x85\xd8\xa7 \xd9\x81\xd9\x8a \xd8\xa7\xd9\x84\xd8\xa3\xd9\x85\xd8\xb1 \xd8\xa3\xd9\x86\xd9\x86\xd9\x8a \xd9\x83\xd9\x86\xd8\xaa \xd9\x85\xd8\xaa\xd9\x88\xd9\x82\xd9\x81 \xd8\xb9\xd9\x86 \xd8\xa7\xd9\x84\xd8\xaa\xd8\xba\xd8\xb1\xd9\x8a\xd8\xaf \xd9\x88\xd9\x82\xd8\xaa\xd9\x87\xd8\xa7 \xd9\x88\xd8\xa3\xd8\xb9\xd9\x84\xd9\x86\xd8\xaa \xd9\x87\xd8\xb0\xd8\xa7 \xd9\x88\xd9\x82\xd9\x84\xd8\xaa \xd8\xb3\xd8\xa3\xd8\xb9\xd9\x88\xd8\xaf \xd8\xa8\xd8\xb9\xd8\xaf \xd8\xa7\xd9\x84\xd8\xb9\xd9\x8a\xd8\xaf'
1546189591723532289,2022-07-10 17:48:20+00:00,b'@turkialfawzan \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f'
1546182172377235458,2022-07-10 17:18:51+00:00,b'@DeghaitherF \xd8\xa7\xd9\x84\xd9\x84\xd9\x87 \xd9\x8a\xd8\xad\xd9\x81\xd8\xb8\xd9\x83 \xd9\x88\xd9\x8a\xd8\xb3\xd8\xb9\xd8\xaf\xd9\x83'
1546178995137437697,2022-07-10 17:06:13+00:00,b'\xd9\x8a\xd9\x82\xd8\xaf\xd9\x85 \xd8\xa7\xd9\x84\xd8\xa3\xd8\xae \xd8\xa7\xd9\x84\xd9\x83\xd8\xb1\xd9\x8a\xd9\x85 \xd8\xa7\xd9\x84\xd8\xa3\xd9\x85\xd9\x8a\xd8\xb1 \xd9\x81\xd9\x8a\xd8\xb5\xd9\x84 \xd8\xa8\xd9\x86 \xd8\xa8\xd9\x86\xd8\xaf\xd8\xb1 \xd8\xa8\xd9\x86 \xd8\xb3\xd9\x84\xd8\xb7\xd8\xa7\xd9\x86 \xd8\xac\xd9\x87\xd9\x88\xd8\xaf\xd9\x8b\xd8\xa7 \xd9\x85\xd9\x85\xd9\x8a\xd8\xb2\xd8\xa9 \xd9\x81\xd9\x8a \xd8\xa7\xd9\x84\xd8\xa7\xd8\xaa\xd8\xad\xd8\xa7\xd8\xaf \xd8\xa7\xd9\x84\xd8\xb3\xd8\xb9\xd9\x88\xd8\xaf\xd9\x8a \xd9\x84\xd9\x84\xd8\xb1\xd9\x8a\xd8\xa7\xd8\xb6\xd8\xa7\xd8\xaa \xd8\xa7\xd9\x84\xd8\xa5\xd9\x84\xd9\x83\xd8\xaa\xd8\xb1\xd9\x88\xd9\x86\xd9\x8a\xd8\xa9\xd8\x8c \xd9\x88\xd8\xa3\xd8\xaa\xd9\x88\xd9\x82\xd8\xb9 \xd9\x85\xd9\x88\xd8\xb3\xd9\x85\xd9\x8b\xd8\xa7 \xd9\x85\xd8\xb4\xd9\x88\xd9\x82\xd9\x8b\xd8\xa7 \xd9\x84\xd9\x84\xd9\x85\xd9\x87\xd8\xaa\xd9\x85\xd9\x8a\xd9\x86 \xd8\xa8\xd8\xa7\xd9\x84\xd8\xb1\xd9\x8a\xd8\xa7\xd8\xb6\xd8\xa7\xd8\xaa \xd9\x88\xd8\xa7\xd9\x84\xd8\xa3\xd9\x84\xd8\xb9\xd8\xa7\xd8\xa8 \xd8\xa7\xd9\x84\xd8\xa5\xd9\x84\xd9\x83\xd8\xaa\xd8\xb1\xd9\x88\xd9\x86\xd9\x8a\xd8\xa9. \n\n#\xd9\x85\xd9\x88\xd8\xb3\xd9\x85_\xd8\xa7\xd9\x84\xd8\xac\xd9\x8a\xd9\x85\xd8\xb1\xd8\xb2\nhttps://t.co/tdQPJC8Smp https://t.co/IMTTT7j6jV'
1546151017393405956,2022-07-10 15:15:03+00:00,b'@tariqalhomayed \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f'
1546149727393177600,2022-07-10 15:09:55+00:00,b'@Abdulkhaleq_UAE \xd8\xad\xd9\x81\xd8\xb8\xd9\x83 \xd8\xa7\xd9\x84\xd9\x84\xd9\x87 \xd9\x88\xd8\xa3\xd8\xb3\xd8\xb9\xd8\xaf\xd9\x83 \xd9\x88\xd8\xb1\xd9\x81\xd8\xb9 \xd9\x82\xd8\xaf\xd8\xb1\xd9\x83 \xd9\x81\xd9\x8a \xd8\xa7\xd9\x84\xd8\xaf\xd8\xa7\xd8\xb1\xd9\x8a\xd9\x86'
1546148898942713857,2022-07-10 15:06:38+00:00,b'@KhalafAlHabtoor @POTUS \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xe2\x9d\xa4\xef\xb8\x8f'
1546039788683366400,2022-07-10 07:53:04+00:00,b'RT @abdulrahman: https://t.co/g3zelRYHkv'
1546039760149512193,2022-07-10 07:52:57+00:00,b'https://t.co/g3zelRYHkv'
