twitter_id,date,tweet
1406485885424594947,2021-06-20 05:35:40+00:00,b'Halo semua. Semoga suka lagu #Ghosting dari Vierratale ya. Oh ya kalau blh jgn kaitkan lagu ini sama cerita di medsos soal percintaan salah satu anak tokoh negara dengan mantannya ya. Inspirasinya bukan dari situ huhu. Saya respect sekali dengan keluarga beliau : )'
1325660561258934272,2020-11-09 04:44:42+00:00,b'Selamat siang. Semoga berkah untuk semua. Amin \xf0\x9f\x99\x8f'
1272098821871267840,2020-06-14 09:29:28+00:00,"b'RT @ananghijau: Thanx @apriliokevin @_widikidiw_  keren .. sudah mau nyanyiin lagu kita ... @ margahayu raya,bandung https://t.co/NcZX1ZCcAd'"
1265701608110743552,2020-05-27 17:49:13+00:00,b'@addiems Bismillah selalu bangga dengan ayah \xf0\x9f\x99\x8f'
1118864694498869248,2019-04-18 13:11:45+00:00,b'RT @addiems: Terus terang aku kagum pada cara PSI menyikapi ketidakberhasilan mereka dalam Pemilu 2019 ini. \n\nPernyataan mereka yang meneri\xe2\x80\xa6'
262376707229614080,2012-10-28 02:14:16+00:00,b'RT @_aycen_: RT @apriliokevin: Good morning asian people!'
245211481279442945,2012-09-10 17:25:47+00:00,"b""RT @iichasimarmata: RT @apriliokevin: Who's still awake? ; ) #needahug"""
243031398615756800,2012-09-04 17:02:55+00:00,b'RT @kekeeys: @apriliokevin pas! lagi dengerin lagu vierra-rasa ini nih.kak kevin kpn kebali anyway?'
241768328249626626,2012-09-01 05:23:55+00:00,b'RT @ay_cen: @apriliokevin \xe2\x99\xa1'
241199061816991745,2012-08-30 15:41:52+00:00,b'RT @aullyna: @apriliokevin malem kakkk kevin \xe2\x99\xa5\xe2\x99\xa5\xe2\x99\xa5 semoga makin hari makin cakep trus dan ga sombong ya amien \xe2\x98\xba'
239726739792732160,2012-08-26 14:11:23+00:00,"b'RT @ay_cen: Putri dr manaa iniii (\xca\x83\xe2\x8c\xa3\xc6\xaa) ""@apriliokevin: Cantik bgt ni \xe2\x80\x9c@Danitavinafojae: Peeking. :p http://t.co/ZE3md9JV\xe2\x80\x9d""'"
