twitter_id,date,tweet
1546622358198288388,2022-07-11 22:27:59+00:00,b'@TLxxTL \xd8\xaf\xd9\x88\xd9\x83.. \xd8\xb4\xd8\xb1\xd8\xa8 \xd9\x81\xd9\x86\xd8\xa7\xd8\xac\xd9\x84\xd9\x83\xd9\x85 https://t.co/JOsGfBupVa'
1546619787241037824,2022-07-11 22:17:46+00:00,b'RT @AlArabiya_spt: \xd8\xae\xd9\x88\xd8\xa7\xd9\x86 \xd9\x83\xd8\xa7\xd8\xb3\xd8\xaa\xd8\xb1\xd9\x88\xd8\x8c \xd8\xb5\xd8\xad\xd8\xa7\xd9\x81\xd9\x8a \xd9\x81\xd9\x8a \xd9\x85\xd8\xa7\xd8\xb1\xd9\x83\xd8\xa7 \xd8\xa7\xd9\x84\xd8\xa5\xd8\xb3\xd8\xa8\xd8\xa7\xd9\x86\xd9\x8a\xd8\xa9\xd8\x8c \xd9\x84\xd9\x80 #\xd8\xa7\xd9\x84\xd8\xb9\xd8\xb1\xd8\xa8\xd9\x8a\xd8\xa9: \xd9\x86\xd9\x87\xd8\xac #\xd8\xa8\xd9\x8a\xd8\xb1\xd9\x8a\xd8\xb2 \xd8\xaa\xd8\xba\xd9\x8a\xd8\xb1 \xd9\x81\xd9\x8a \xd8\xb3\xd9\x88\xd9\x82 \xd8\xa7\xd9\x84\xd8\xa7\xd9\x86\xd8\xaa\xd9\x82\xd8\xa7\xd9\x84\xd8\xa7\xd8\xaa \xd9\x88\xd8\xa3\xd8\xb5\xd8\xa8\xd8\xad \xd9\x8a\xd8\xb1\xd9\x83\xd8\xb2 \xd8\xb9\xd9\x84\xd9\x89 \xd8\xa7\xd9\x84\xd8\xb4\xd8\xa8\xd8\xa7\xd9\x86\xd8\x8c \xd9\x88\xd8\xaa\xd8\xa7\xd8\xb1\xd9\x8a\xd8\xae #\xd8\xb1\xd9\x8a\xd8\xa7\xe2\x80\xa6'
1546616012681904128,2022-07-11 22:02:46+00:00,b'\xd8\xad\xd9\x88\xd8\xa7\xd8\xb1 \xd9\x8a\xd8\xb3\xd8\xaa\xd8\xad\xd9\x82 \xd8\xa7\xd9\x84\xd9\x82\xd8\xb1\xd8\xa7\xd8\xa1\xd8\xa9.. https://t.co/apHaxgTmiJ'
1546615903449763841,2022-07-11 22:02:20+00:00,b'RT @ariyadhiah: \xf0\x9f\x8e\x99\xef\xb8\x8f \xd8\xa7\xd9\x84\xd8\xb1\xd9\x88\xd9\x85\xd8\xa7\xd9\x86\xd9\x8a \xd9\x83\xd9\x88\xd8\xb2\xd9\x85\xd9\x8a\xd9\x86 \xd9\x83\xd9\x88\xd9\x86\xd8\xaa\xd8\xb1\xd8\xa7 \xd9\x8a\xd8\xb1\xd9\x88\xd9\x8a \xd8\xaa\xd9\x81\xd8\xa7\xd8\xb5\xd9\x8a\xd9\x84 \xd8\xaa\xd8\xac\xd8\xb1\xd8\xa8\xd8\xa9 \xd8\xaa\xd8\xaf\xd8\xb1\xd9\x8a\xd8\xa8 #\xd8\xa7\xd9\x84\xd8\xa7\xd8\xaa\xd8\xad\xd8\xa7\xd8\xaf \xd9\x81\xd9\x8a \xd8\xad\xd9\x88\xd8\xa7\xd8\xb1 \xd9\x85\xd9\x88\xd8\xb3\xd8\xb9 \xd9\x85\xd8\xb9 \xc2\xab\xd8\xa7\xd9\x84\xd8\xb1\xd9\x8a\xd8\xa7\xd8\xb6\xd9\x8a\xd8\xa9\xc2\xbb:\n\n\xe2\x80\xa2 \xd8\xa3\xd8\xae\xd8\xb0\xd9\x88\xd8\xa7 \xd9\x84\xd8\xa7\xd8\xb9\xd8\xa8\xd9\x8a\xd9\x86\xd8\xa7 \xd9\x88\xd9\x87\xd8\xb2\xd9\x85\xd9\x88\xd9\x86\xd8\xa7 \xd8\xa8\xd9\x87\xd9\x85\nhttps:/\xe2\x80\xa6'
1546613648759701506,2022-07-11 21:53:23+00:00,b'RT @ariyadhiah: \xd8\xa3\xd9\x88\xd8\xb3\xd8\xa8\xd9\x8a\xd9\x86\xd8\xa7.. \xd9\x83\xd8\xa7\xd8\xb3\xd8\xb1 \xd8\xb1\xd9\x82\xd9\x85 \xd9\x81\xd8\xa7\xd9\x84\xd8\xaf\xd9\x8a\xd8\xb1\xd8\xa7\xd9\x85\xd8\xa7 \xd9\x8a\xd8\xad\xd9\x85\xd9\x8a \xd8\xb9\xd8\xb1\xd9\x8a\xd9\x86 \xd8\xa7\xd9\x84\xd9\x86\xd8\xb5\xd8\xb1\nhttps://t.co/tGFZOF6EKI'
1546613444677455874,2022-07-11 21:52:34+00:00,b'@77Danver @ariyadhiah \xd9\x87\xd8\xb0\xd8\xa7 \xd9\x85\xd9\x84\xd8\xae\xd8\xb5. \xd8\xa7\xd9\x84\xd8\xad\xd9\x88\xd8\xa7\xd8\xb1 \xd9\x83\xd8\xa7\xd9\x85\xd9\x84 \xd8\xa8\xd8\xb9\xd8\xaf \xd9\x82\xd9\x84\xd9\x8a\xd9\x84'
1546608285507272704,2022-07-11 21:32:04+00:00,b'@77Danver @ariyadhiah \xd9\x88\xd9\x8a\xd9\x86 \xd9\x82\xd8\xb1\xd9\x8a\xd8\xaa\xd9\x87. \xd9\x84\xd8\xb3\xd9\x89 \xd9\x85\xd8\xa7 \xd9\x86\xd8\xb2\xd9\x84 \xd8\xa8\xd8\xad\xd8\xb3\xd8\xa7\xd8\xa8 \xd8\xa7\xd9\x84\xd8\xac\xd8\xb1\xd9\x8a\xd8\xaf\xd8\xa9'
1546606143769907205,2022-07-11 21:23:33+00:00,b'@77Danver @ariyadhiah \xd8\xa7\xd9\x82\xd8\xb1\xd8\xa3 \xd8\xa7\xd9\x84\xd8\xad\xd9\x88\xd8\xa7\xd8\xb1. \xd9\x88\xd8\xaa\xd8\xb9\xd8\xb1\xd9\x81'
1546605259816112128,2022-07-11 21:20:03+00:00,b'RT @ariyadhiah: \xd9\x85\xd9\x86 \xd9\x87\xd9\x88 \xd8\xaf\xd9\x88\xd8\xac\xd9\x84\xd8\xa7\xd8\xb3 \xd9\x81\xd8\xb1\xd9\x8a\xd8\xaf\xd8\xb1\xd9\x8a\xd9\x83 \xd8\xad\xd8\xa7\xd8\xb1\xd8\xb3 \xd9\x85\xd8\xb1\xd9\x85\xd9\x89 \xd8\xa7\xd9\x84\xd8\xae\xd9\x84\xd9\x8a\xd8\xac \xd8\xa7\xd9\x84\xd8\xac\xd8\xaf\xd9\x8a\xd8\xaf\xd8\x9f \nhttps://t.co/VWXXQ38LLG'
1546605237254897664,2022-07-11 21:19:57+00:00,b'\xd9\x83\xd9\x88\xd8\xb2\xd9\x85\xd9\x8a\xd9\x86 \xd9\x83\xd9\x88\xd9\x86\xd8\xaa\xd8\xb1\xd8\xa7.. \xd9\x81\xd9\x8a \xd8\xad\xd9\x88\xd8\xa7\xd8\xb1 \xd9\x85\xd9\x88\xd8\xb3\xd8\xb9 \xd9\x84\xd9\x80 @ariyadhiah https://t.co/AYcVXjl2De'
