twitter_id,date,tweet
1372610929473376258,2021-03-18 18:08:42+00:00,b'#NewProfilePic https://t.co/AThIfNDtoY'
1286480376131510272,2020-07-24 01:56:37+00:00,b'Available on all digital platforms https://t.co/lQE6ej5my5'
1286354679270694914,2020-07-23 17:37:09+00:00,b'BCL - 12 TAHUN TERINDAH\nnow available on all digital streaming platform! @deezer @langitmusik @spotify @spotifyasia @applemusic @jooxid @youtubemusic\n\n#BCL12tahunterindah\n#BCLmelangkahlagi https://t.co/T5eNdrr4EM'
1284757440026664960,2020-07-19 07:50:17+00:00,"b'BASH Music Company presents\nBCL ""12 TAHUN TERINDAH""\n\nMusic: Ifa Fachir\nLyrics: Bunga Citra Lestari\nProduced by Ifa Fachir &amp; Bunga Citra Lestari\n\n#BCL12tahunterindah\n#BCLmelangkahlagi https://t.co/pc6rWTTyRJ'"
1284711554332557313,2020-07-19 04:47:57+00:00,b'#NewProfilePic https://t.co/qX2nS6NzQV'
1225254863912624128,2020-02-06 03:08:18+00:00,b'NUCA X BCL - A THOUSAND YEARS - SPEKTA SHOW TOP 5 - Indonesian Idol 2020 https://t.co/FDtqJ4K37e via @YouTube'
1180586823803781125,2019-10-05 20:53:27+00:00,b'RT @kolonigigs_: Dari @BatikMusicFest selanjutnya ada penampilan @bclsinclair yang cakep banget malam ini pake baju batik \xf0\x9f\x98\x80 https://t.co/ZI\xe2\x80\xa6'
1165537701744926721,2019-08-25 08:13:37+00:00,b'https://t.co/uKLroxFkdA'
1164974303604985856,2019-08-23 18:54:52+00:00,"b'RCTI 30 : ANNIVERSARY CELEBRATION \xe2\x80\x93 BCL ""Dance Tonight"" [23 Agustus 2019] https://t.co/LszElvYkLa via @YouTube'"
1131251930250878977,2019-05-22 17:34:12+00:00,"b'RT @gen1031fm: Dan pastinya jawara minggu ini @bclsinclair - ""MEMILIH DIA"" udah bisa kamu dengerin sekarang di Ganas 1 #GanasWaniPooll http\xe2\x80\xa6'"
