twitter_id,date,tweet
1537231211977879552,2022-06-16 00:30:55+00:00,b'Over 700 hand stitches went into tailoring and crafting my dress. A huge thank you to the @Versace team for making me a real-life princess \xf0\x9f\x91\x97\xf0\x9f\x91\xb8\xf0\x9f\x8f\xbc !!! https://t.co/zZYXNwERxX'
1535429912995192835,2022-06-11 01:13:12+00:00,b'Thank you also to Stephanie Gottlieb and @CTilburyMakeup for my jewelry and makeup !!! I think we all fell on the dance floor at least 2 times \xf0\x9f\x98\x82 !!! I mean come on \xe2\x80\xa6 we were all VOGUING !!! Sam I LOVE YOU !!!'
1535429616550268928,2022-06-11 01:12:02+00:00,b'Thank you Donatella @Versace for designing my dress \xe2\x80\xa6 I felt so beautiful \xf0\x9f\x98\x8a https://t.co/xW6Mjmz98A'
1535429262173425664,2022-06-11 01:10:37+00:00,b'... @DrewBarrymore my girl crush and @selenagomez who btw is way prettier in person if that\xe2\x80\x99s possible ... both came !!! I was speechless \xe2\x80\xa6 I kissed @Madonna again \xf0\x9f\x98\x89\xf0\x9f\x98\x89\xf0\x9f\x98\x89 and we danced \xf0\x9f\x92\x83\xf0\x9f\x8f\xbc into the night with @ParisHilton ... https://t.co/O95QYWBEej'
1535429259350745089,2022-06-11 01:10:36+00:00,b'The crew who created our home into literally a dream castle were fantastic !!! The ceremony was a dream and the party was even better \xf0\x9f\x8e\x89 !!! So many incredible people came to our wedding and I\xe2\x80\x99m still in shock \xf0\x9f\x98\xb1 !!!'
1535429257614217219,2022-06-11 01:10:36+00:00,b'Wow !!! Holy holy crap !!! WE DID IT !!! WE GOT MARRIED \xf0\x9f\x91\xb0\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f !!! Gggggeeeeezzzzz !!! It was the most spectacular day !!! I was so nervous all morning but then at 2:00 pm it really hit me \xe2\x80\xa6 WE\xe2\x80\x99RE GETTING MARRIED \xf0\x9f\x92\x8d !!! I had a panic attack and then got it together \xf0\x9f\x99\x84\xf0\x9f\x99\x84 \xf0\x9f\x99\x84 https://t.co/8seTzexgFx'
1535403483318194176,2022-06-10 23:28:11+00:00,b'06-09-2022 \xf0\x9f\x95\x8a\xf0\x9f\x92\x8d\n\n\xf0\x9f\x91\x97: @Versace \n\xf0\x9f\x92\x84: @CTilburyMakeup \n\xf0\x9f\x92\x8d: Stephanie Gottlieb https://t.co/8NtsBRcOPy'
1482451802016595968,2022-01-15 20:37:06+00:00,b'https://t.co/y22JZP4oI0'
1482077703259914240,2022-01-14 19:50:34+00:00,b'https://t.co/ck3xs31V2j'
1481782071353741312,2022-01-14 00:15:50+00:00,b'Pssss my fianc\xc3\xa9 got my medicine ... I survived !!!!'
1481768613413490690,2022-01-13 23:22:22+00:00,b'https://t.co/OsgqrMf6zw'
1481768609684738048,2022-01-13 23:22:21+00:00,b'https://t.co/yZBEysen4O'
1460782926459719683,2021-11-17 01:32:44+00:00,b'I might as well do a hint of my thoughts here before I go and set things square on @Oprah \xf0\x9f\xa4\x94\xf0\x9f\x98\x9c\xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f !!!!! https://t.co/Gf3ckusc5S'
1459294347506028546,2021-11-12 22:57:39+00:00,b'Good God I love my fans so much it\xe2\x80\x99s crazy \xf0\x9f\xa5\xba\xe2\x9d\xa4\xef\xb8\x8f !!! I think I\xe2\x80\x99m gonna cry the rest of the day !!!! Best day ever \xe2\x80\xa6 praise the Lord \xe2\x80\xa6 can I get an Amen \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc\xe2\x98\x80\xef\xb8\x8f\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc ???? #FreedBritney \n\n\xf0\x9f\x8e\xa5: @AbbyShalawylo https://t.co/yk1vO3H02L'
1445152005874348037,2021-10-04 22:21:02+00:00,b'I feel your hearts and you feel mine \xe2\x80\xa6 that much I know is true \xf0\x9f\x92\x9e !!!!!'
1445152001814269966,2021-10-04 22:21:01+00:00,b'#FreeBritney movement \xe2\x80\xa6 I have no words \xe2\x80\xa6 because of you guys and your constant resilience in freeing me from my conservatorship \xe2\x80\xa6 my life is now in that direction !!!!! I cried last night for two hours cause my fans are the best and I know it \xe2\x80\xa6 https://t.co/7OpsOKoHNc'
1445145154826866692,2021-10-04 21:53:49+00:00,b'Getting back on my feet after my trip to French Polynesia \xf0\x9f\x87\xb5\xf0\x9f\x87\xab !!!! Such a cool place \xe2\x98\x80\xef\xb8\x8f\xf0\x9f\x8c\x8a\xf0\x9f\x8f\x96\xf0\x9f\x91\x99 !!! https://t.co/qU92oXeMwd'
1437896257129750528,2021-09-14 21:49:17+00:00,b'Don\xe2\x80\x99t worry folks \xe2\x80\xa6 just taking a little break from social media to celebrate my engagement \xf0\x9f\x92\x8d\xf0\x9f\x98\x89 !!!!  I\xe2\x80\x99ll be back soon \xf0\x9f\x92\x8b\xf0\x9f\x8c\xb9\xe2\x9c\xa8'
1415467116581380100,2021-07-15 00:23:53+00:00,b'Pssss this is me celebrating by horseback riding and doing cartwheels today \xf0\x9f\xa4\xb8\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\xa4\xb7\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\x90\x8e !!!! #FreeBritney'
1415467114505195521,2021-07-15 00:23:52+00:00,"b'Coming along, folks ... coming along \xf0\x9f\x96\x95\xf0\x9f\x8f\xbb!!!!! New with real representation today ... I feel GRATITUDE and BLESSED !!!! Thank you to my fans who are supporting me ... You have no idea what it means to me be supported by such awesome fans !!!! God bless you all !!!!! https://t.co/27yexZ5O8J'"
1391883876360929281,2021-05-10 22:32:30+00:00,b'Bringing it back to the 2000s when everything was simpler before social media !!!! Should I bring these outfits back \xf0\x9f\x98\x9c\xf0\x9f\x92\x81\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\x91\x97\xf0\x9f\x93\xb8 ???? PS I copied Reese Witherspoon \xf0\x9f\x98\x89\xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\x99\x8a !!!! https://t.co/PUOTFJmfcg'
1387200154982256642,2021-04-28 00:21:04+00:00,"b""We all have our own ways to work on our bodies and I respect that cause we all should ... I just hope I don't see an In-N-Out Burger any time soon \xf0\x9f\x8d\x94\xf0\x9f\x8d\x94\xf0\x9f\x8d\x94\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 !!!!"""
1387200154034266116,2021-04-28 00:21:04+00:00,"b""like last night when I ate a container of peanuts \xf0\x9f\xa5\x9c\xf0\x9f\xa5\x9c\xf0\x9f\xa5\x9c\xf0\x9f\x8f\x83\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\x8f\x83\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\x8f\x83\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f !!!! And then it hit me ... I might look better but I felt too vulnerable in my skin being this small !!!! I didn't like it so I started boxing so now I feel stronger too \xf0\x9f\xa5\x8a\xf0\x9f\xa5\x8a\xf0\x9f\xa5\x8a !!!!"""
1387200152054624257,2021-04-28 00:21:03+00:00,"b""In the past two weeks I've said that's it ... I have got to get in shape considering my boyfriend's body is hotter than hot \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 !!!! I was like SHIT where the hell am I supposed to start \xf0\x9f\x98\x82\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xad ... so I run a lot and try to eat clean and be mindful with my food unless I cheat https://t.co/c1paXPpEuO"""
1384313005706399744,2021-04-20 01:08:34+00:00,b'I found my lace and leather catsuit this time .... I\xe2\x80\x99ve never worn it out anywhere cause well \xe2\x80\xa6. where could I wear it but it\xe2\x80\x99s fun to hang out in \xf0\x9f\x98\x82\xf0\x9f\xa4\xad\xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f ???? Like I said before \xe2\x80\xa6. I\xe2\x80\x99m bored !!!! Here\xe2\x80\x99s to fashion \xf0\x9f\x91\x97\xf0\x9f\x91\x99\xe2\x9c\xa8 !!!! https://t.co/HY2HALLYlq'
1382380950839980036,2021-04-14 17:11:16+00:00,b'I\xe2\x80\x99ve missed going to the movies a lot this past year \xe2\x80\xa6 so I\xe2\x80\x99m SO excited to finally see @HitmanBodyguard on June 16th \xf0\x9f\x8e\xa5\xf0\x9f\x8d\xbf\xf0\x9f\xa4\xa9!!!! Hit it one more time @VancityReynolds  @salmahayek @SamuelLJackson \xf0\x9f\x99\x8a\xf0\x9f\x98\x9c\xf0\x9f\xa5\x8a !!!!\nhttps://t.co/TtolloiRQO https://t.co/OEuSlCTSMd'
1380653919152525313,2021-04-09 22:48:40+00:00,b'Maybe we should have a rematch \xf0\x9f\x99\x8a\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbc\xf0\x9f\xa5\x8a ... I mean things have changed since 6 years ago \xf0\x9f\x92\x8b \xf0\x9f\x92\x8b\xf0\x9f\x92\x8b!!!!! PS I wish I was as strong as you and happy birthday \xf0\x9f\x8e\x8a !!!!'
