twitter_id,date,tweet
1546289927113084928,2022-07-11 00:27:01+00:00,"b'Find your pose \xf0\x9f\xa4\xb8\xf0\x9f\x8f\xbc get uncomfortable. See where your resistance is and live there for a moment. @brookeburkebody @ Malibu, California https://t.co/4U7YEiAaeO'"
1545492268982976517,2022-07-08 19:37:25+00:00,"b'Baby! \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f@ @thisisneriah @ Malibu, California https://t.co/Q5gOWyAooX'"
1545076373626277890,2022-07-07 16:04:48+00:00,b'Just posted a photo https://t.co/TMU0n5PmYu'
1544473591277752321,2022-07-06 00:09:33+00:00,b'It\xe2\x80\x99s the big little things https://t.co/VHhCL62Ebk'
1544358575274967053,2022-07-05 16:32:31+00:00,b'Just posted a photo https://t.co/5yz6XmW2jy'
1542930374648635392,2022-07-01 17:57:22+00:00,"b'What do your holiday weekend yummies look like? @ Malibu, California https://t.co/uHSPJ6zG3a'"
1541914614883127300,2022-06-28 22:41:06+00:00,"b'That\xe2\x80\x99s a wrap @foreverbrandsinc #longevity summer 2022\xe2\x80\xbc\xef\xb8\x8f coming this August #superfood @ Los Angeles, California https://t.co/V5RI5Z6DwA'"
1541767195772026880,2022-06-28 12:55:18+00:00,b'Deep conversations with this one. Working today with my daughters &amp;  holding them close. I\xe2\x80\x99m lifting up all women today. https://t.co/VsZrrhNAco'
1541143300698247173,2022-06-26 19:36:10+00:00,"b'Summer swag drops Monday\xe2\x80\xbc\xef\xb8\x8f @brookeburkebody &amp; soul. Get yours, limited stock. Check my IG store \xf0\x9f\xa7\xa2 @ Los Angeles, California https://t.co/9sWP7Eg9CD'"
1541140929465044993,2022-06-26 19:26:45+00:00,b'Wellness Wednesdays: https://t.co/v9HkVJgYQx. Meet me in Malibu for a #BrokkeburkeBody experience'
1538678704275984384,2022-06-20 00:22:45+00:00,"b'Come celebrate summer solstice with us in Malibu. Book your ticket! Breathwork, soundbath, DJ, dinner + a whole lotta self-love. https://t.co/4HfFJnQfF9'"
1537615425751482368,2022-06-17 01:57:39+00:00,b'You\xe2\x80\x99re invited. Meet me Friday am for a digital sweat sesh! Join the BB Body community &amp; let\xe2\x80\x99s work out. Semi-private body sculpting class! https://t.co/dXdBRgEAV5 sign up \xf0\x9f\x92\xa5 https://t.co/Ldx6MHejj6'
1537614768478879744,2022-06-17 01:55:02+00:00,"b'WELLNESS WEDNESDAYS Tickets, Multiple Dates | Eventbrite. Join me for an immersive wellness experience! #BrookeBurkeBODY https://t.co/mRGtFuF6zb'"
1537523970290946055,2022-06-16 19:54:14+00:00,"b'Just posted a photo @ Malibu, California https://t.co/PWKYZk71xa'"
