twitter_id,date,tweet
1534595493120073728,2022-06-08 17:57:31+00:00,b'omw to a museum https://t.co/P3p6jPcFog'
1533871797954924550,2022-06-06 18:01:49+00:00,b'bench warmer https://t.co/9XXOu4opOn'
1497444029859962892,2022-02-26 05:30:52+00:00,b'Happy Friday'
1493376550070198273,2022-02-15 00:08:09+00:00,b'Valentine\xe2\x80\x99s Day \xf0\x9f\xa4\x8d'
1491880638923751446,2022-02-10 21:03:56+00:00,b'I need another nft project'
1491863461411708929,2022-02-10 19:55:41+00:00,b'This trailer for @AffynOfficial looking absolutely INSANE\xe2\x80\xa6 this metaverse is taking over \xe2\x98\x84\xef\xb8\x8f I can\xe2\x80\x99t wait \xf0\x9f\xa5\xb2 @LucazLee u killed it \nhttps://t.co/FceuyQw3bx'
1491690070234910720,2022-02-10 08:26:41+00:00,b'Wordle 236 3/6\n\n\xf0\x9f\x9f\xa9\xe2\xac\x9c\xe2\xac\x9c\xe2\xac\x9c\xf0\x9f\x9f\xa8\n\xf0\x9f\x9f\xa9\xf0\x9f\x9f\xa9\xf0\x9f\x9f\xa8\xe2\xac\x9c\xe2\xac\x9c\n\xf0\x9f\x9f\xa9\xf0\x9f\x9f\xa9\xf0\x9f\x9f\xa9\xf0\x9f\x9f\xa9\xf0\x9f\x9f\xa9'
1491495833757306882,2022-02-09 19:34:52+00:00,b'Where\xe2\x80\x99s the most beautiful place on earth?'
1491494456993861632,2022-02-09 19:29:23+00:00,b'Hey @LucazLee \xf0\x9f\x91\x8b\xf0\x9f\x8f\xbd we are meeting in Singapore and then going into the metaverse \xf0\x9f\x9a\x80\xf0\x9f\x9a\x80'
1491487209249128448,2022-02-09 19:00:35+00:00,b'I need to travel to Singapore'
1491483969816199170,2022-02-09 18:47:43+00:00,"b'I\xe2\x80\x99ve found my favorite Metaverse thus far,  @AffynOfficial \xf0\x9f\x94\xa5 this is the future. Can\xe2\x80\x99t wait to buy land \xf0\x9f\x8f\x94'"
1490935529789341698,2022-02-08 06:28:25+00:00,b'I need some more @Marvel cards \xf0\x9f\x98\xae\xe2\x80\x8d\xf0\x9f\x92\xa8'
1489810142983979009,2022-02-05 03:56:32+00:00,b'Friday let\xe2\x80\x99s gooooo'
1489420255357071360,2022-02-04 02:07:15+00:00,"b'Staking 12 @CoolMonkes \xf0\x9f\x94\xa5 LFG!!! Bought a ton of $CMB as well, keep supporting that LP'"
1489295944940097537,2022-02-03 17:53:17+00:00,b'Gooood morning \xe2\x98\x80\xef\xb8\x8f'
1489091136186556422,2022-02-03 04:19:27+00:00,b'First time staking nfts wish me luck \xf0\x9f\xa4\x9e\xf0\x9f\x8f\xbd'
1489073993059426313,2022-02-03 03:11:20+00:00,b'I need to learn how to cook'
1489056393340473344,2022-02-03 02:01:24+00:00,b'So hungry rn'
1489054823521525760,2022-02-03 01:55:09+00:00,"b'Bought more @CoolMonkes \xf0\x9f\x91\x81\xf0\x9f\x91\x84\xf0\x9f\x91\x81 staking about to be crazy, especially w the game coming up \xf0\x9f\x94\xa5 https://t.co/9jsparJIPj'"
1489029174924697603,2022-02-03 00:13:14+00:00,"b'Got burnt chicken as a #VDay gift one year. Bit hard to swallow. Luckily, @Verizon made it into this #NFT, by @ChibiLabs. Share your bad \xf0\x9f\x8e\x81 with #MakeItUltra + #Sweepstakes for a chance at your own NFT. #VerizonPartner No pur. nec. 18+. Ends 2.6. Rules: https://t.co/3nSAWGuO3e https://t.co/MZQECPzX6c'"
1488734617746444290,2022-02-02 04:42:46+00:00,"b'Started collecting @Marvel cards, these boys about to pop next \xf0\x9f\xa4\xaa #Marvel #pmg #holygrails #marvelcards #marvelstudios #marvelpmgs https://t.co/ahlXe5Q4mx'"
1488668981732937728,2022-02-02 00:21:58+00:00,b'I\xe2\x80\x99m buying a mutant ape \xf0\x9f\xa6\x8d'
1488564663822344196,2022-02-01 17:27:26+00:00,b'Good Morning \xf0\x9f\x98\x8a'
1488242053762871298,2022-01-31 20:05:30+00:00,b'Had to get two more @GirliesNFT \xf0\x9f\x94\xa5\xf0\x9f\x91\x80 https://t.co/vjbwe91dgS'
1487625258995650564,2022-01-30 03:14:35+00:00,b'@StakeSzn \xf0\x9f\x91\x81\xf0\x9f\x91\x84\xf0\x9f\x91\x81  \xf0\x9f\xa4\xb3\xf0\x9f\x90\xb5 100%'
1487620820885143552,2022-01-30 02:56:57+00:00,b'I need some more ETH\xe2\x80\xa6.'
1487545569870446592,2022-01-29 21:57:55+00:00,"b'\xf0\x9f\x91\x80 @GirliesNFT boutta pop, got some last night with @AaronCarpenter we up already , art is sick'"
1487532892339138560,2022-01-29 21:07:33+00:00,b'Thanks for having us https://t.co/dBB41hbE7m'
1486126869749456901,2022-01-26 00:00:31+00:00,b'@officialalim Yesss plssss'
1486114988460675074,2022-01-25 23:13:18+00:00,b'My 2nd one just joined the gang @CoolMonkes #NewNFTProfilePic NFT by CoolMonkesDeployer https://t.co/5ctDto8NJO'
1486113356725383168,2022-01-25 23:06:49+00:00,b'Can someone send me some upcoming nft projects ?'
