twitter_id,date,tweet
1544143210892496896,2022-07-05 02:16:44+00:00,b'@BZeimens Well did ya Ever Have One Of Those Days.Have LARYNGITIS\xf0\x9f\x98\xb1. I Need to Talk\xf0\x9f\x92\x8b'
1544141626410299392,2022-07-05 02:10:27+00:00,"b'@fairyboymari IM ALWAYS WARNING, BUT I SEE AHEAD.MEANT U 2 USE IT AS TIME 4 FAM. &amp; FRNDS.UNWIND.WORSE THAN WE KNOW IS COMING.MUST ORGANIZE AGAINST dt &amp; \xe2\x98\xa0\xef\xb8\x8f GOP,I SEE A BAD MOON\xe2\x80\x99S RISIN.\nSTATES CAN THROW OUT UR VOTE,PUT IN CANDIDATE OF THEIR CHOICE,THEY\xe2\x80\x99LL WIN &amp; THERES\n\xe2\x80\x9dNO\xe2\x80\x9dCOURT OF APPEALS'"
1544099400682680320,2022-07-04 23:22:39+00:00,"b'HAPPY 4th \xf0\x9f\x90\xa5\xf0\x9f\x90\xa3,Hope You Are Going 2 Parties With Friends,Or Hang\xe2\x80\x99n With\nFamily \xf0\x9f\x8c\xad\xf0\x9f\x8d\x94\xf0\x9f\x8c\xbd,\xf0\x9f\xa5\xa7,\xf0\x9f\x8d\xab\xf0\x9f\x8d\xaa\xf0\x9f\xa7\x81\xf0\x9f\x8d\xa9Drinking Dr.Pepper.\nHope You See\xf0\x9f\xa7\xa8.OR CELEBRATE BEING 2GETHER OR ALONE\nJUST\xe2\x9d\xa4\xef\xb8\x8fIng DAY OFF\xe2\x80\xbc\xef\xb8\x8fHAVE BEST DAY EVER \xf0\x9f\x92\x8b\n\n1776 IS NOT AS IRRELEVANT AS YOU MAY THINK\n\nMANY \n\xf0\x9f\x92\x8b\xf0\x9f\x92\x8b\xf0\x9f\x92\x8b\xf0\x9f\x92\x8b\nMe https://t.co/O4UrFtTQSZ'"
1543601619928985605,2022-07-03 14:24:39+00:00,b'@travertones What Do You Hear in Your Head'
1543097301698154496,2022-07-02 05:00:40+00:00,b'@Savi_314 \xf0\x9f\xa7\xb8'
1543097079794262016,2022-07-02 04:59:47+00:00,b'@CannyGina @BetsyNevil3 @GrubbyCuddles What Happened \xf0\x9f\xab\xa3'
1543068148974231552,2022-07-02 03:04:50+00:00,"b'@rwinans JUST WAIT\xe2\x80\xa6..ABBOTT HASNT EVEN GOTTEN STARTED.HE\xe2\x80\x99LL OUT trump,trump,2 BECOME PRES'"
1543023605453189120,2022-07-02 00:07:50+00:00,b'@RogerBlair2 I \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x8e\x82\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8fTHIS\xf0\x9f\xa5\xb2'
1543023046163701760,2022-07-02 00:05:36+00:00,b'@DebbieBlohm12 LOVE MINIONS \xf0\x9f\x91\xbb'
1542966921376583680,2022-07-01 20:22:35+00:00,"b'\xe2\x80\x9cINVOLUNTARY RELOCATION\xe2\x80\x9d\nWILL NOW REPLACE \n         \xe2\x80\x9cSLAVERY\xe2\x80\x9d\n&amp; TAUGHT IN TEXAS\n\nNEW FLORIDA \n\xe2\x80\x9cDONT SAY GAY\xe2\x80\x9dLAW\n\nPLEASE\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbe ,YOU GUYS\xe2\x80\xa6LISTEN\xe2\x80\xa6THIS IS ONLY THE BEGINNING OF THE RADICAL REPUBLICAN ONSLAUGHT'"
