twitter_id,date,tweet
1546590508755009536,2022-07-11 20:21:26+00:00,"b'&amp; seeing my brothers; who were formerly incarcerated, be there in the building. Hearing their songs. Supreme Artists. Supreme Light. https://t.co/hvhKAVd9qU'"
1546585397810999296,2022-07-11 20:01:07+00:00,b'I must say the weekend\xe2\x80\x99s highlights\xe2\x80\x99 were Stevie Wonder showing up (I started rapping better when I saw him and made sure I didn\xe2\x80\x99t sing haha!) https://t.co/YT6VijxJal'
1546580176007376896,2022-07-11 19:40:22+00:00,b'It was a wonderful weekend. I loved getting to perform at the Starlight Bowl with my band and the Stardust Orchestra. S/O to Double G for conducting and my whole team for being in excellence. https://t.co/5yDMzwX02t'
1545448633050419206,2022-07-08 16:44:01+00:00,"b'Love hearing all your beautiful voices!\n\nSee you tomorrow, Los Angeles! Tickets available at https://t.co/83w4Wk6QoF https://t.co/qeGo4Lw8nL'"
1545149446886854656,2022-07-07 20:55:10+00:00,"b""Los Angeles! I\xe2\x80\x99ll be performing this Saturday, July 9th at the Starlight Bowl accompanied by the Double G's Stardust Symphony. \n\nTickets are available now at\xc2\xa0https://t.co/83w4Wk6QoF https://t.co/1wIiwhv519"""
1544775199773507584,2022-07-06 20:08:02+00:00,b'I Used to Love H.E.R \n\nShop now: https://t.co/Hnwz1AN92E https://t.co/5aezqDNSq8'
1544093194274557953,2022-07-04 22:58:00+00:00,b'The people of San Diego came through! Thank you for all the love \xe2\x9d\xa4\xef\xb8\x8f https://t.co/McCSUKZEJL'
1543913793184473094,2022-07-04 11:05:07+00:00,b'Happy Birthday @AshakaGivens  . You are always my family and you forever blessed me with creative inspiration and some of the greatest looks  ever and best times.  Love You!    \xe2\x80\x9cIn Outfits by Ashaka Givens \xe2\x80\x9c https://t.co/OVfBbIGnRW'
1543375852678684673,2022-07-02 23:27:32+00:00,b'Pre-show from Chicago. Love to the whole team and the legend Harry B. \n\nTickets available at https://t.co/83w4Wk6QoF https://t.co/eAx9DFdX46'
1537850499575291905,2022-06-17 17:31:45+00:00,"b'Toledo!  Unfortunately, the concert for tonight is cancelled due to travel delays.  Go to https://t.co/Hb1mwpsqT7 for cancellation and ticket refund details. https://t.co/NtugXO8r4w'"
