twitter_id,date,tweet
1546550781188268033,2022-07-11 17:43:34+00:00,b'Fiiiiiight weeeeek! \n\n@BrianTcity vs @panteraufc is LIVE and FREE SATURDAY on @ABCNetwork at 2pm ET! #UFCLongIsland https://t.co/5FKpPyu3hH'
1545974806457135105,2022-07-10 03:34:51+00:00,b'Dos Anjos vs Fiziev is LIVE and FREE NEXT on @espn! #UFCVegas58 https://t.co/vkSgUYVIDk'
1545966854446821380,2022-07-10 03:03:15+00:00,b'Borralho vs Petrosyan is LIVE and FREE NEXT on @espn! #UFCVegas58 https://t.co/VDRUqY0kqb'
1545958555341074432,2022-07-10 02:30:16+00:00,b'Silva vs Nurmagomedov is LIVE and FREE NEXT on @espn! #UFCVegas58 https://t.co/FbZ5XUMCeW'
1545951655396397056,2022-07-10 02:02:51+00:00,b'Vanderaa vs Sherman is LIVE and FREE NEXT on @espn! #UFCVegas58 https://t.co/Z92BbKAXlk'
1545943768544600064,2022-07-10 01:31:31+00:00,b'Zahabi vs Turcios is LIVE and FREE NEXT on @espn! #UFCVegas58 https://t.co/GeMlmWHLvi'
1545937558583922689,2022-07-10 01:06:50+00:00,b'Dos Anjos has arrived to the APEX! #UFCVegas58 https://t.co/RyiXaeKQvv'
1545936111393943553,2022-07-10 01:01:05+00:00,b'Fiziev has arrived to the APEX! #UFCVegas58 https://t.co/xYiYqE2YVN'
1545935846133710849,2022-07-10 01:00:02+00:00,b'#UFCVegas58 is NOW LIVE and FREE on @espn! Johnson vs Mullarkey is coming up https://t.co/QqSAP4KRO3'
1545927049511981057,2022-07-10 00:25:05+00:00,b'Brundage vs Gore is LIVE and FREE NEXT on @espn! #UFCVegas58 https://t.co/dLLMJ7EDAT'
1545917838526779394,2022-07-09 23:48:29+00:00,b'Shevchenko vs Casey is LIVE and FREE NEXT on @espn! #UFCVegas58 https://t.co/wmogRbHSGi'
1545911995903328256,2022-07-09 23:25:16+00:00,b'Onama vs Armfield is LIVE and FREE NEXT on @espn! #UFCVegas58 https://t.co/1NtixApb7m'
1545905326997716992,2022-07-09 22:58:46+00:00,b'Nzechukwu vs Roberson is LIVE and FREE NEXT on @espn! #UFCVegas58 https://t.co/b2OxKpR8tl'
1545890538519502849,2022-07-09 22:00:00+00:00,b'#UFCVegas58 prelims are NOW LIVE and FREE on @espn and @ESPNPlus! Lawrence vs Kakhramonov is up first https://t.co/XWs40TTp1x'
1545871633587392513,2022-07-09 20:44:53+00:00,b'Who u got: @RdosAnjosMMA or @RafaelFiziev? #UFCVegas58 is LIVE and FREE TONIGHT on @espn https://t.co/ynuz4AVMJn'
1545478197491314689,2022-07-08 18:41:30+00:00,b'DOS ANJOS vs FIZIEV! #UFCVegas58 is LIVE and FREE TOMORROW on @espn! https://t.co/v80HfXblEu'
