twitter_id,date,tweet
1546623479558025216,2022-07-11 22:32:27+00:00,b'@newsthyme Wish someone in Congress would submit a Quixotic bill forcing Fox to tell the truth or have a scrolling fact check sidebar.'
1546618669634965504,2022-07-11 22:13:20+00:00,b'@LastworldAgain Agree.'
1546618349555109888,2022-07-11 22:12:03+00:00,"b'@HerschelWalker But you are very not-smart, not-truthful and a loose cannon (in not a good way).'"
1546617089816813568,2022-07-11 22:07:03+00:00,"b""F**k these lying knuckleheads.\n(2020 featured the most wrecked economy since the Great Depression. Didn't have to be that way, but Trump/Kushner muffed Covid.) https://t.co/cL6WcBK3ze"""
1546546346777145345,2022-07-11 17:25:57+00:00,b'@warddhuyvetter Technically known as skidmarks.'
1546546152639631360,2022-07-11 17:25:10+00:00,"b'@laurenboebert @DonaldJTrumpJr @EricTrump @TiffanyATrump @IvankaTrump OMG. You oblivious, disingenuous GED 3-timer.'"
1546545092965437440,2022-07-11 17:20:58+00:00,"b""Hoping the MRI (kidney stone) can't tell my underwear is on day three. Wife goes out of town &amp; so do my hygiene standards."""
1546318369653080064,2022-07-11 02:20:03+00:00,"b'@JamesMc59721759 I think that with much training, you can raise your scores on IQ tests by 20 to 30 points.'"
1546245056658436096,2022-07-10 21:28:44+00:00,"b""@queerdolly @mgb5000 I don't think it's funny."""
1546221377375465472,2022-07-10 19:54:38+00:00,b'@SenRonJohnson https://t.co/FJGEwXfSOU'
1546221170474622976,2022-07-10 19:53:49+00:00,b'@SenRonJohnson https://t.co/PEJTn11lF3'
1546220894837547008,2022-07-10 19:52:43+00:00,b'@SenRonJohnson https://t.co/dUzFEz3kFI'
1546220686473306112,2022-07-10 19:51:53+00:00,b'@SenRonJohnson https://t.co/Y3ZZktGw0k'
1546220542889324544,2022-07-10 19:51:19+00:00,b'@SenRonJohnson https://t.co/nU9uMaQNvk'
1546090253575864320,2022-07-10 11:13:36+00:00,"b""@LStories3 I'm really fine with Manhattan-style chowder. It's just 4 a.m. and I'm loopy."""
1546087196079185922,2022-07-10 11:01:27+00:00,"b""Please join me in getting Lady Chowderlady's Lover banned in schools and libraries across America. Innocent children shouldn't be forced to learn the disgusting details of Manhattan-style chowder."""
1545948774781968384,2022-07-10 01:51:24+00:00,"b""Trump is definitely gonna stiff the arena and the rally's service providers. https://t.co/GzmvHRWQfG"""
1545948121238163456,2022-07-10 01:48:49+00:00,b'@Acyn Very Commander.'
1545921907395964928,2022-07-10 00:04:39+00:00,b'@ElleSandes Agree.'
1545916808267304961,2022-07-09 23:44:23+00:00,b'@BoCoClerk @bouldercounty Thank you!'
1545881347461300224,2022-07-09 21:23:28+00:00,"b'@RealGabbyHayes It was kind of ridiculous. Found out who it was years later, and I liked her too. However, it saved her from me inflicting my complete cluelessness on her.'"
1545880741191356416,2022-07-09 21:21:04+00:00,"b'@hhanger1958 (Me too, if I eat too many carbs. (Trump gave me IBS.))'"
1545879565603467265,2022-07-09 21:16:24+00:00,"b'The Fettermans seem fun! We need more fun people in politics.\nFun politicians -\nTeddy Roosevelt\nLBJ (showed reporters his gall bladder surgery scar, picked up his beagle by the ears)\nAl Franken\nLincoln (generally mournful, but a skilled jokester) https://t.co/NwrAQYL6n4 https://t.co/VWAAJ5EEWi'"
1545876963176329216,2022-07-09 21:06:03+00:00,b'@RealGabbyHayes My mom told me she found out from another mom a girl had a crush on me. Refused to divulge who it was.'
1545876609634168832,2022-07-09 21:04:39+00:00,"b""To be fair, 99-year-old Kissinger's farts have reached Giuliani level. Is a visit really worth having to replace the Oval Office couch? https://t.co/BhBF9srpyI"""
1545875762875576320,2022-07-09 21:01:17+00:00,b'https://t.co/XInm6BfGiL'
1545875286691962885,2022-07-09 20:59:23+00:00,b'@harrygod For sure.'
1545874297368891392,2022-07-09 20:55:28+00:00,b'@RealGabbyHayes Pretty much. I liked girls I thought I had a shot with. (I was generally mistaken.)'
1545873936977498114,2022-07-09 20:54:02+00:00,"b""@carp68 @RealGabbyHayes Loved TV as a kid but always felt it could be better - hadn't learned the idea of hate-watching.\nStill mad over the 100s of hours I squandered on Gilligan's Island and Life with Lucy repeats."""
1545872132621475840,2022-07-09 20:46:51+00:00,"b""@GennadySimanovs Is the portal big enough? Don't want to lose toes or an ear trying to fit through."""
1545871894796066816,2022-07-09 20:45:55+00:00,"b""The new Captain America should definitely be Anthony Mackie, but the new Captain HamErica should be Schaumberg, Illinois's Erica Lawson, who really enjoys pork products. https://t.co/PpoxrhrrIZ"""
1545871042341572608,2022-07-09 20:42:32+00:00,b'@RealGabbyHayes My first TV crush was Patty Duke.'
1545870492854206465,2022-07-09 20:40:21+00:00,"b'@RealGabbyHayes I probably did too. As a kid, I liked shows with attractive people because according to my child psychiatrist, I was trying to win the love of my distant, handsome dad and his hot wife. (I lived with my mom &amp; stepdad.)'"
1545869509424074753,2022-07-09 20:36:26+00:00,"b""Hot new dimensions we're hoping CERN opened a portal to:\n- Cthulhu's Realm, but he did the math, figured out evil doesn't pay, now just makes sequels to Edge of Tomorrow\n- Everyone looks like they're on a CW show\n- Meat grows on trees - it's not murder\nhttps://t.co/ZQcdznU1M0"""
1545865940583059456,2022-07-09 20:22:15+00:00,b'https://t.co/2bHxyzCQIs'
1545865859750473728,2022-07-09 20:21:56+00:00,b'Most males on Fox News resemble thumbs.\nhttps://t.co/8ygl5O1rm5'
1545865370027769857,2022-07-09 20:19:59+00:00,"b'@RealGabbyHayes Of the three-show rotation that McMillan and Wife was part of, McMillan was the only one I looked forward to (though my respect for McCloud increased after I met a lady pornographer who had a shrine to Dennis Weaver in her studio).'"
1545864389491769345,2022-07-09 20:16:05+00:00,b'@RonnyJacksonTX You continue to demonstrate the principle that 1/3 of the people in any profession are sub-par.'
1545860778133037056,2022-07-09 20:01:44+00:00,b'RT @mgb5000: MAGAts are screaming #stoptheshot.\n\nDarwin laughs as they rage for their own extinction. https://t.co/QxtdGIvHSD'
1545815584834654209,2022-07-09 17:02:09+00:00,b'@JoeRobinEnjoyer Yep.'
1545815020491091968,2022-07-09 16:59:55+00:00,"b'In 2021, the US had 4,522,100% more gun deaths than Japan, but Japan had vastly more Godzilla deaths and tentacle porn injuries.'"
1545754012665856000,2022-07-09 12:57:29+00:00,"b""@AP Most everyone else hates him, so there's that."""
1545672704623120384,2022-07-09 07:34:24+00:00,"b""It's not just that the conservative SCOTUS justices are fascists and liars. They also have second-rate minds."""
1545672268943986689,2022-07-09 07:32:40+00:00,"b'@thehill Have to figure Kavanaugh, in the privacy of his marital bedroom, grabs his belly with both hands and jiggles it up and down (and then scratches his balls).'"
1545645022514593792,2022-07-09 05:44:24+00:00,"b""Surprisingly great movie - #SeniorYear starring Rebel Wilson.*\n\n*Especially if you have a kidney stone and you're relieving only about 2/3rds of the pain because you don't want to get addicted to codeine (and like Rebel's character, you went back to HS though way too old). https://t.co/hepkxzMS2B"""
1545644139865206785,2022-07-09 05:40:54+00:00,b'@Acyn Liar.'
1545643999234428928,2022-07-09 05:40:20+00:00,b'@ElizabethDynan @HMcdoolittle Plus my wife made fruit cake with whiskey and it was boozy and awesome.'
1545643785589116928,2022-07-09 05:39:29+00:00,b'@ElizabethDynan @HMcdoolittle (Makes it sound extra fancy.)'
1545619219311562754,2022-07-09 04:01:52+00:00,"b""@KarenAScofield Very sad.\nGot that impression about the family.\nThere are 250 million adult Americans, and even if only 1/2 of 1% are jerks, that's still more than a million."""
1545614555941707779,2022-07-09 03:43:20+00:00,"b""@ElizabethDynan @HMcdoolittle I just made up a likely-sounding dessert (and one I'd enjoy - chocolate raspberry is my favorite)."""
1545614281399365634,2022-07-09 03:42:15+00:00,b'@KarenAScofield True.'
1545591918750380032,2022-07-09 02:13:23+00:00,"b""@HMcdoolittle He'll leave it up to the states."""
1545590965523529728,2022-07-09 02:09:36+00:00,b'@Orangespan The Federalist will pick up the tab.'
1545575154272460800,2022-07-09 01:06:46+00:00,b'@ScientistMel A Busy Box. (You might not be old enough to remember those.)'
1545574950584496128,2022-07-09 01:05:58+00:00,b'@jboyle8863 I looked up the definition. https://t.co/exCXbHLZVe'
1545573804801372161,2022-07-09 01:01:25+00:00,b'Never not a POS.\nhttps://t.co/LUTStqJBhC'
1545573247759945728,2022-07-09 00:59:12+00:00,b'@spockosbrain @tomtomorrow Nice! (And tragic.)'
1545572694787104769,2022-07-09 00:57:00+00:00,"b'@_Yayger Nope. We all thought it would be, based on the flu of 1919. But maybe that flu was really the flu of 1919-1924.'"
