twitter_id,date,tweet
1546544025628336128,2022-07-11 17:16:43+00:00,"b""@NerdAppropriate This is the problem, five year old here. Can't tell what's what haha"""
1546543687345180672,2022-07-11 17:15:23+00:00,b'@anklh_s Oh I got that already! Just finished Antibiotics!'
1546542843061161984,2022-07-11 17:12:01+00:00,"b'I hate to ask another Covid question, but I recovered a week ago, but still so sleepy in the morning and insomniac at night. Anyone else experience this? Is this Covid or something else?'"
1546501701095415809,2022-07-11 14:28:32+00:00,b'@drivinslideways &lt;3'
1546141985970368512,2022-07-10 14:39:10+00:00,"b""RT @GrecianGirly: The Roman 'Vettweiss-Froitzheim Dice Tower'. Dated to the 4th century CE. Intended to be used in dice games to produce a\xe2\x80\xa6"""
1546141513322639360,2022-07-10 14:37:17+00:00,b'@hankgreen Thisssss'
1545941762128035841,2022-07-10 01:23:32+00:00,"b'If you\xe2\x80\x99d like to hear my Covid story in excruciating detail, also my \xe2\x80\x9cnot knowing how to drive an electric car\xe2\x80\x9d story, listen to this weeks Felicitations podcast! https://t.co/UKj30UK2aU'"
1545922603381977088,2022-07-10 00:07:25+00:00,b'@SeamusBlackley @nickjfrost He\xe2\x80\x99s pretty great'
1545797174046298112,2022-07-09 15:49:00+00:00,"b'I got to follow up with allll the spoilers on Vol. 2 with the @Stranger_Things cast, check in it out here! @NetflixGeeked https://t.co/WYAC8wOvEI'"
1545452603839897606,2022-07-08 16:59:48+00:00,b'Can we talk about this article on Roblox and how safe it is for kids? TRIGGER WARNING: tons of disturbing info. https://t.co/ytpJyCAzlL'
1545234149480361986,2022-07-08 02:31:44+00:00,b'@heyassbutt94 Stay weird. Or embrace your weird &lt;3'
1545228130071089152,2022-07-08 02:07:49+00:00,"b""@BillyM2k It's literally my favorite thing about traveling. public transit lol"""
1545227780404625408,2022-07-08 02:06:26+00:00,b'@LilyPichu congrats!!!!'
1545042437051011072,2022-07-07 13:49:57+00:00,b'OO heavy breathing\xe2\x80\xa6.so heavy\xe2\x80\xa6. https://t.co/PIuakk78R3'
1544830436492226560,2022-07-06 23:47:32+00:00,b'@dpanabaker CONGRATS!!!!!!!'
1544393968611258369,2022-07-05 18:53:10+00:00,b'@hankgreen :( I\xe2\x80\x99m so sorry'
1544345546810241024,2022-07-05 15:40:45+00:00,b'@BrooseMiller Lolz ohhh that\xe2\x80\x99s the reason'
1544345239271272449,2022-07-05 15:39:32+00:00,"b'Shoutout to all the summer Covid parents out there, my home and I see you! https://t.co/idHv27NOje'"
1544342091236458497,2022-07-05 15:27:01+00:00,b'Anyone else develop a severe sinus infection after Covid? Antibiotics are working on it now but this is 3 weeks of sickness now no jooooke.'
1544332876744777735,2022-07-05 14:50:24+00:00,b'This thread is fascinating and horrible. https://t.co/CH20xXJfHq'
1544015107331465222,2022-07-04 17:47:42+00:00,b'@lbartsch Wowwwwwwwww'
1544014498675101696,2022-07-04 17:45:17+00:00,b'RT @Hannahrosemay_: An apple AirTag was put on me to track my location Saturday night. I\xe2\x80\x99m sharing what happened to me so you know what to\xe2\x80\xa6'
