twitter_id,date,tweet
1545857149472870401,2022-07-09 19:47:19+00:00,b'@rienne777 @stuckingsroom you all keep me young \n\n     - Lorde Gayson'
1545787676892078081,2022-07-09 15:11:16+00:00,b'@stuckingsroom here he GAYYSSS!!!'
1545738501978632193,2022-07-09 11:55:51+00:00,b'thank you London &amp; Manchester for the most dreamy start of the tour \xf0\x9f\x87\xac\xf0\x9f\x87\xa7 i\xe2\x80\x99ll be back before you know it x \n\nPC : @megwalesharding https://t.co/6MfTI817v7'
1545336996037402627,2022-07-08 09:20:25+00:00,b'London tonight \xf0\x9f\x87\xac\xf0\x9f\x87\xa7\xf0\x9f\xa4\x8d https://t.co/HnB3mxFUzY'
1545167740125663232,2022-07-07 22:07:51+00:00,b'@Abby__Nicholls \xf0\x9f\xa5\xb9\xf0\x9f\xa4\x8d\xe2\x9c\xa8\xf0\x9f\x92\x95'
1544768238575296518,2022-07-06 19:40:23+00:00,"b'@soph_mull_13 @DeafInstitute tomorrow at the Deaf Institute, hope to see you there!'"
1544736478130933760,2022-07-06 17:34:10+00:00,b'@JohnnyP62936617 i just got into town (\xe2\x80\x98: \ni am so excited!!!!'
1544364341075447808,2022-07-05 16:55:26+00:00,b'seee you sooon Europe \xe2\x9c\xa8 https://t.co/DrBAasBzGC'
1542647733290516481,2022-06-30 23:14:15+00:00,b'@okayhailey yesssss Hailey (((( \xe2\x80\x98:'
1542647687572586498,2022-06-30 23:14:04+00:00,b'@laoccaitlin see you at the troubadour \xf0\x9f\xa5\xb3\xe2\x9c\xa8\xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5'
1542647616323952641,2022-06-30 23:13:47+00:00,"b'@KaleaLyn been a crazy 2 years, but we\xe2\x80\x99re back \xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5\xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5\xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5'"
1542647463680647170,2022-06-30 23:13:11+00:00,b'@CasseroleBitch_ or u could just like\xe2\x80\xa6. do it \xf0\x9f\x92\x85\xf0\x9f\x8f\xbb'
1542555333029158913,2022-06-30 17:07:05+00:00,b'@cartiercardi yes they are \xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5'
