twitter_id,date,tweet
1532052280052162561,2022-06-01 17:31:42+00:00,b'RT @realmadrid: Comunicado Oficial: @isco_alarcon.\n#RealMadrid'
1532052081359601667,2022-06-01 17:30:55+00:00,b'RT @realmadrid: \xf0\x9f\x8f\x86 @isco_alarcon \xf0\x9f\x8f\x86 https://t.co/U6NCUMT3lI'
1532052011243524097,2022-06-01 17:30:38+00:00,b'RT @realmadridfra: \xf0\x9f\x8f\x86 @isco_alarcon \xf0\x9f\x8f\x86 https://t.co/AqC7YLiLco'
1531217304754835456,2022-05-30 10:13:48+00:00,b'Acaba de publicar una foto https://t.co/asI1aR4mav'
1524700403769692161,2022-05-12 10:37:58+00:00,b'@DesmarqueCuatro Que dardo malitos! Carletto no tiene culpa de nada'
1517191982346559490,2022-04-21 17:22:11+00:00,b'@juankauti Gracias amigo mio! Un abrazo fuerte\xf0\x9f\x92\x99\xf0\x9f\xa4\x8d'
1513994390485745666,2022-04-12 21:36:06+00:00,b'@realmadriden Vamoooooooos\xf0\x9f\x92\xaa\xf0\x9f\x92\xaa\xf0\x9f\x92\xaa\xf0\x9f\xa4\x8d\xf0\x9f\xa4\x8d'
1513945547027226630,2022-04-12 18:22:00+00:00,"b'@TorontoBlancos7 @theMadridZone @defcentral Isco no es, ya que no estoy convocado y no he asistido a la charla t\xc3\xa9cnica, a mandar hate a otro lado! TRISTES\xf0\x9f\x98\x82'"
1511405543272943620,2022-04-05 18:08:56+00:00,b'@KukuRM Todos no podemos ser un gal\xc3\xa1ctico durante tanto tiempo como tu\xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
1511085677571678215,2022-04-04 20:57:54+00:00,b'Y lo que me queda por bailar\xf0\x9f\x92\xaa\xf0\x9f\x92\xaa https://t.co/cdY1jcYXVs'
1511084184827219973,2022-04-04 20:51:58+00:00,b'Que me quiten lo \xe2\x80\x98bailao\xe2\x80\x99 amigo\xf0\x9f\x98\x9c\xf0\x9f\x98\x9c espero que estes bien! Un abrazo @kiketortosa19 https://t.co/fs3tEfgMVK'
1500524609745076227,2022-03-06 17:32:00+00:00,b'RT @realmadrid: \xe2\x98\x84\xef\xb8\x8f @isco_alarcon \xe2\x98\x84\xef\xb8\x8f\n\xf0\x9f\x93\x8d #RMCity https://t.co/UkUDurKlme'
1500524505827053571,2022-03-06 17:31:35+00:00,b'RT @realmadriden: \xe2\x98\x84\xef\xb8\x8f @isco_alarcon \xe2\x98\x84\xef\xb8\x8f\n\xf0\x9f\x93\x8d #RMCity https://t.co/o24JKnBBdL'
1496872206990815236,2022-02-24 15:38:39+00:00,b'Tengo muchas cositas todavia\xf0\x9f\x98\x9c\xf0\x9f\x98\x82 https://t.co/8mlZRQdJYU'
1485190523208052743,2022-01-23 09:59:48+00:00,b'D.E.P LEYENDA! Una vida entera dedicada al club\xf0\x9f\x92\x99\xf0\x9f\x92\x99 https://t.co/rOWWovvlFF'
1417546633936572417,2021-07-20 18:07:08+00:00,b'@juankauti Espero que sean muchos m\xc3\xa1s amigo mio\xf0\x9f\x92\x99\xf0\x9f\x92\x99'
1415373956115218435,2021-07-14 18:13:42+00:00,b'@MalagaCF \xf0\x9f\x92\x99'
1289493300299218944,2020-08-01 09:28:55+00:00,b'@SaraSalamo \xf0\x9f\x98\xb4\xf0\x9f\x98\xb4\xf0\x9f\x98\xb4'
1286612763708661760,2020-07-24 10:42:41+00:00,"b'2021 tiene pinta de ser mejor a\xc3\xb1o que su predecesor. O al menos eso esperamos. O al menos lo ser\xc3\xa1 en nuestra casa, donde daremos la bienvenida a un nuevo miembro \xf0\x9f\x92\x99\xf0\x9f\x91\xb6\xf0\x9f\x8f\xbc #babyiscoming https://t.co/zKdBGfmfld'"
1268252267502809088,2020-06-03 18:44:38+00:00,b'Hace 3 a\xc3\xb1os que nos coronamos en cardiff\xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x812\xef\xb8\x8f\xe2\x83\xa32\xef\xb8\x8f\xe2\x83\xa3\xf0\x9f\x8f\x86\xf0\x9f\x8f\x86\xf0\x9f\x8f\x86 https://t.co/zGFFvFhRMT'
1266028885910491138,2020-05-28 15:29:42+00:00,b'Acaba de publicar una foto https://t.co/e67RVDx9tU'
1252546850319630337,2020-04-21 10:36:54+00:00,b'RT @Alvaro_varito: Felicidades @isco_alarcon \xf0\x9f\x8e\xa9 https://t.co/3BNz7KuPg4'
1252546811774095360,2020-04-21 10:36:45+00:00,b'RT @SeFutbol: \xf0\x9f\xa5\xb3 \xc2\xa1Feliz cumplea\xc3\xb1os a @isco_alarcon! El internacional del @realmadrid y campe\xc3\xb3n de Europa Sub-21 con nuestra camiseta cumple\xe2\x80\xa6'
1252546785068843009,2020-04-21 10:36:39+00:00,"b'RT @SaraSalamo: Dec\xc3\xada Abraham Lincoln, que lo que importa no es cuantos a\xc3\xb1os acumulas en la vida sino cuanta vida se ha acumulado en esos a\xe2\x80\xa6'"
1251104638884962304,2020-04-17 11:06:04+00:00,"b'\xc2\xa1Hace tres d\xc3\xadas nos llegaba la mejor de las noticias. El primer pedido de nuestra campa\xc3\xb1a #Descor\xc3\xb3nate est\xc3\xa1 ya en el #Hospital12deOctubre de Madrid!\nY hoy, para celebrarlo, nos llega esta foto de nuestros h\xc3\xa9roes\xe2\x80\xa6 https://t.co/vjaHCxZlvf'"
1243610685667512328,2020-03-27 18:47:47+00:00,b'@MadridSports_ @gamersfy Gracias\xf0\x9f\x92\xaa\xf0\x9f\x92\xaa\xf0\x9f\x92\xaa'
1242873613587529728,2020-03-25 17:58:55+00:00,b'Tenemos BUENAS y NUEVAS noticias en descoronate https://t.co/QpriN6OT1b'
1242165039957782528,2020-03-23 19:03:18+00:00,b'https://t.co/HeuF42pPNs @gofundme'
1167202772497895425,2019-08-29 22:30:01+00:00,"b'Como padre no puedo ni imaginar por lo que est\xc3\xa1is pasando,no existe consuelo para esto, un abrazo enorme y mucha fuerza para @LUISENRIQUE21 y toda su familia!'"
1164863235000012803,2019-08-23 11:33:31+00:00,b'Con ganas de Bernab\xc3\xa9u!2\xef\xb8\x8f\xe2\x83\xa32\xef\xb8\x8f\xe2\x83\xa3\xe2\x9a\xbd\xef\xb8\x8f https://t.co/1V9UcNIKSz'
1164642639758745606,2019-08-22 20:56:57+00:00,b'Qu\xc3\xa9 triste ver el amazonas as\xc3\xad \xf0\x9f\x98\x9e\xf0\x9f\x98\x9e https://t.co/LE20lo6608'
1162004577211707393,2019-08-15 14:14:14+00:00,b'2 d\xc3\xadas para laliga!2\xef\xb8\x8f\xe2\x83\xa32\xef\xb8\x8f\xe2\x83\xa3\xe2\x9a\xbd\xef\xb8\x8f https://t.co/re8sk5unjV'
1161590860779098114,2019-08-14 10:50:17+00:00,"b'Hoy quiero dar difusi\xc3\xb3n a esta asociaci\xc3\xb3n malague\xc3\xb1a que realiza una labor muy bonita ayudando a ni\xc3\xb1os con diversidad funcional y otros colectivos, a trav\xc3\xa9s de la terapia asistida con perros. Ellos necesitan la\xe2\x80\xa6 https://t.co/zXzQv2vCOV'"
1160864329274552321,2019-08-12 10:43:18+00:00,b'Finalizada la pretemporada! Toca prepara el inicio de laliga!2\xef\xb8\x8f\xe2\x83\xa32\xef\xb8\x8f\xe2\x83\xa3 https://t.co/ksrXwQCFsc'
1153850400153448449,2019-07-24 02:12:27+00:00,b'Buena reacci\xc3\xb3n del equipo! Gracias por todo el apoyo!\xf0\x9f\x92\xaa\xf0\x9f\x92\xaa2\xef\xb8\x8f\xe2\x83\xa32\xef\xb8\x8f\xe2\x83\xa3 https://t.co/AD3eQMlphW'
1139802708645298177,2019-06-15 07:51:56+00:00,b'RT @UEFAUnder21: \xe2\x8f\xaa Isco #OTD in 2013! \xf0\x9f\x98\xb1\xf0\x9f\x98\xb1\xf0\x9f\x98\xb1\n\n#U21EURO | @SeFutbol | @isco_alarcon https://t.co/O7yK1lk7Wt'
1138480835127128065,2019-06-11 16:19:17+00:00,b'Gran partido y gran victoria!\xf0\x9f\x87\xaa\xf0\x9f\x87\xb8\xf0\x9f\x87\xaa\xf0\x9f\x87\xb8 https://t.co/HsRX8tBUmo'
1132561003466678274,2019-05-26 08:15:59+00:00,"b""RT @SURDeporte: SURon+ | Hoy en nuestra plantilla hist\xc3\xb3rica del @MalagaCF,\n@isco_alarcon, 'el duende de Arroyo de la Miel' https://t.co/Fsk\xe2\x80\xa6"""
1130905603243745281,2019-05-21 18:38:01+00:00,b'RT @fifaworldcup_es: \xc2\xa13 d\xc3\xadas para \xf0\x9f\x8f\x86\xf0\x9f\x87\xb5\xf0\x9f\x87\xb1 Polonia 2019!\n\n\xf0\x9f\xa7\x99\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f Un artista impredecible\n\nCuando la magia de \xf0\x9f\x87\xaa\xf0\x9f\x87\xb8\xf0\x9f\xa7\x99\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f @isco_alarcon dio un paso al f\xe2\x80\xa6'
1129363937462444034,2019-05-17 12:31:59+00:00,b'Muy feliz de volver a la selecci\xc3\xb3n \xf0\x9f\x87\xaa\xf0\x9f\x87\xb8 \xf0\x9f\x98\x812\xef\xb8\x8f\xe2\x83\xa32\xef\xb8\x8f\xe2\x83\xa3 https://t.co/H2flV62NmA'
1120086576187490306,2019-04-21 22:07:04+00:00,b'RT @LigadeCampeones: \xc2\xa1Hoy cumple a\xc3\xb1os @isco_alarcon! \xc2\xa1Felicidades! \xf0\x9f\x8e\x89\xf0\x9f\x8e\x81\xf0\x9f\x8e\x8a\xf0\x9f\x8e\x88\n\nTodo un 4 veces campe\xc3\xb3n de la #UCL \xf0\x9f\x8f\x86\xf0\x9f\x8f\x86\xf0\x9f\x8f\x86\xf0\x9f\x8f\x86 https://t.co/FDuG7DeCH8'
1118856382302834688,2019-04-18 12:38:43+00:00,"b'Amigo y querido por todos,gracias por tantos a\xc3\xb1os de madridismo!!!grand\xc3\xadsima persona\n\nD.E.P \xf0\x9f\x92\x99 https://t.co/zsBTZjdF1r'"
1115960481376808960,2019-04-10 12:51:26+00:00,b'Habl\xc3\xa9 con mis amigos de otro acerca de algunos buenos momentos del inicio de mi carrera. \xc2\xbfQuer\xc3\xa9is saber cu\xc3\xa1les? \xc3\x9anete ahora y podr\xc3\xa1s descubrirlos en exclusiva en la App.\xe2\x80\xa6 https://t.co/wSZny7lEOl'
1113799568762843136,2019-04-04 13:44:45+00:00,"b'Sin ustedes, esta ser\xc3\xada una historia completamente distinta. \xc3\x89chale un vistazo a mi episodio de \xe2\x80\x9cMi otro lado\xe2\x80\x9d, exclusivo en otro. #OurOtherClub https://t.co/etX8wlulv7'"
1111697033348501504,2019-03-29 18:30:01+00:00,b'Me reun\xc3\xad con otro para hablar sobre el camino recorrido hasta el d\xc3\xada de hoy. Desc\xc3\xa1rgate la App de otro para mirar el cap\xc3\xadtulo completo ahora. #OurOtherClub https://t.co/FMkeSH9GIC'
1109066605181485057,2019-03-22 12:17:38+00:00,b'Trabaja siempre para mejorar. Desc\xc3\xa1rgate la App y mira mi nuevo episodio de la serie ORIGINS en otro. #OurOtherClub\nhttps://t.co/2nyNgLdiMI https://t.co/boHWb6MK1B'
1107342486706503680,2019-03-17 18:06:36+00:00,"b'INSTAGRAM\n\nLa app de otro est\xc3\xa1 aqu\xc3\xad \xe2\x80\x93 \xc2\xa1Desc\xc3\xa1rgala ahora, \xc3\xbanete a nuestro otro club y mira contenido exclusivo, participa por premios \xc3\xbanicos e interact\xc3\xbaa conmigo como nunca lo\xe2\x80\xa6 https://t.co/Fuw1jzmVf3'"
1106514755752091648,2019-03-15 11:17:30+00:00,b'Lucha por tu oportunidad.22#DareToCreate https://t.co/8431y9Ht1x'
1106117854577987584,2019-03-14 09:00:21+00:00,"b'Te dir\xc3\xa1n que el f\xc3\xbatbol es impredecible. Que el \xc3\xa9xito est\xc3\xa1 m\xc3\xa1s all\xc3\xa1 de tu control. Esta es mi oportunidad, y la voy a aprovechar junto a adidasfootball https://t.co/MsKdzqh2k4'"
1100494419940265985,2019-02-26 20:34:50+00:00,b'Ni en space jam\xf0\x9f\x92\xaa\xf0\x9f\x92\xaa\xf0\x9f\x8f\x80\xe2\x9a\xbd\xef\xb8\x8f https://t.co/p33lKNhnXt'
1100175812203069440,2019-02-25 23:28:48+00:00,b'No te piques community manager solo era una broma\xf0\x9f\x98\x9c sois muy grandes! Me voy a dormir que ma\xc3\xb1ana entreno duro\xf0\x9f\x92\xaa\xf0\x9f\x92\xaa https://t.co/oOK2STV202'
1100172766278533120,2019-02-25 23:16:42+00:00,"b'Jajajajaj despu\xc3\xa9s de dos temporadas es el primer chiste bueno que escucho, tiene mucho m\xc3\xa9rito para ser un programa de \xe2\x80\x9c humor\xe2\x80\x9d\xf0\x9f\x98\x9c\xf0\x9f\x98\x9c https://t.co/M8bq5yc6Kq'"
1097500881984110592,2019-02-18 14:19:35+00:00,"b'@SaraSalamo @FranCoescribe En primera, en primera\xf0\x9f\x98\x9c'"
1096388141253124097,2019-02-15 12:37:57+00:00,b'\xc2\xa1Me un\xc3\xad con otro para regalar una camiseta autografiada! Descubre como participar: https://t.co/FENx0IK4De  otro #OurOtherClub https://t.co/oKlrFEEMCc'
1093545621473148928,2019-02-07 16:22:47+00:00,"b'Totalmente de acuerdo con De la Red,pero cuando no gozas de las misma oportunidades que tus compa\xc3\xb1eros la cosa cambia... a\xc3\xban as\xc3\xad sigo trabajando y luchando mucho a la espera de ellas! Hala madrid!!\xf0\x9f\x92\x99'"
1092724125649522688,2019-02-05 09:58:28+00:00,"b'Sin duda una gran persona, es una broma nuestra, en un video de 3 segundos no lo entender\xc3\xa9is! Abrazo se\xc3\xb1ores!\xf0\x9f\x98\xac https://t.co/OVUUJhPJHC'"
1083338620625453057,2019-01-10 12:23:49+00:00,"b'Parenting, Pets &amp; Pranks. Follow the link in bio to see my other side otro #OurOtherClub https://t.co/So3gJLSRKx https://t.co/zudnZKdabd'"
1077927278963843072,2018-12-26 14:01:04+00:00,b'herosportfragancias  felices fiestas!!\xf0\x9f\x8e\x84\xf0\x9f\x8e\x81 https://t.co/BNJXXOkQ2W'
1077555036320907265,2018-12-25 13:21:55+00:00,b'La navidad en el Teide es guay!\xf0\x9f\x92\x99\xf0\x9f\x98\x81 https://t.co/OQtZqMuxW6'
1076786138688512001,2018-12-23 10:26:35+00:00,b'Campeones\xf0\x9f\x8f\x86\xf0\x9f\x8f\x86\xf0\x9f\x8f\x86\xf0\x9f\x8f\x86 https://t.co/Zbe9MhkBwo'
1076170053178060800,2018-12-21 17:38:29+00:00,b'\xf0\x9f\x98\x8d\xe2\x9a\xbd\xef\xb8\x8f2\xef\xb8\x8f\xe2\x83\xa32\xef\xb8\x8f\xe2\x83\xa3 https://t.co/uNt6t2BWxX'
1075805689505820675,2018-12-20 17:30:38+00:00,b'@cancorodriguez Gracias amigo\xf0\x9f\x92\x99\xe2\x9a\xbd\xef\xb8\x8f'
1075782475597664256,2018-12-20 15:58:23+00:00,b'@S_Sanchez_21 Que jovencitos eramos... bueno eras yo lo sigo siendo\xf0\x9f\x98\x9cabrazo'
1072556203341963264,2018-12-11 18:18:20+00:00,b'Ma\xc3\xb1ana partido2\xef\xb8\x8f\xe2\x83\xa32\xef\xb8\x8f\xe2\x83\xa3 https://t.co/p5t4ySMcZX'
1071036498726805505,2018-12-07 13:39:34+00:00,b'2\xef\xb8\x8f\xe2\x83\xa32\xef\xb8\x8f\xe2\x83\xa3\xe2\x9a\xbd\xef\xb8\x8f\xf0\x9f\x98\x8a https://t.co/LNeJKL1hxr'
1069712255535722498,2018-12-03 21:57:30+00:00,"b'Enhorabuena amigo! Te lo mereces, muy feliz por ti!\xf0\x9f\x98\x98\xf0\x9f\x98\x98\xf0\x9f\x98\x98 https://t.co/R516D2Mw7Q'"
1069579520653619200,2018-12-03 13:10:04+00:00,"b'Descubre nuestro otro lado, \xc3\x9anete a #OurOtherClub @OTRO. #OTROisHere https://t.co/E57W5g2hKR\n\nSee Our Other Side, Join #OurOtherClub @OTRO. #OTROisHere https://t.co/E57W5g2hKR https://t.co/Hyh417IXTt'"
1069502801120804864,2018-12-03 08:05:12+00:00,b'Bienvenidos a @OTRO . # OTROisHere    https://t.co/uWJAhOyFes https://t.co/xtAlThkleD'
1069216858887327744,2018-12-02 13:08:58+00:00,b'Deseando compartir esto con vosotros...otro #OTROisComing https://t.co/fTODe8hvdt https://t.co/MzYoCKxuFU'
1068502704522022912,2018-11-30 13:51:11+00:00,b'El poder de una sonrisa\xf0\x9f\x98\x812\xef\xb8\x8f\xe2\x83\xa32\xef\xb8\x8f\xe2\x83\xa3 https://t.co/SKH6wDqgyQ'
1065235679649689600,2018-11-21 13:29:11+00:00,b'Mi fragancia favorita 2\xef\xb8\x8f\xe2\x83\xa32\xef\xb8\x8f\xe2\x83\xa3\xe2\x9a\xbd\xef\xb8\x8f herosportfragancias https://t.co/aaKy1GqigS'
1064494988560670721,2018-11-19 12:25:57+00:00,b'2\xef\xb8\x8f\xe2\x83\xa32\xef\xb8\x8f\xe2\x83\xa3\xc2\xa9\xef\xb8\x8f\xf0\x9f\x87\xaa\xf0\x9f\x87\xb8orgullo!! https://t.co/20ICVz6olc'
1058421130501865473,2018-11-02 18:10:36+00:00,"b'Es incre\xc3\xadble, se puede subir una foto sin haberla hecho en este precioso momento\xf0\x9f\xa4\xab\xf0\x9f\xa4\xab\xf0\x9f\x98\x9c https://t.co/hqmdlrwhAo'"
1049985741726646272,2018-10-10 11:31:23+00:00,b'2\xef\xb8\x8f\xe2\x83\xa32\xef\xb8\x8f\xe2\x83\xa3\xe2\x9a\xbd\xef\xb8\x8f\xf0\x9f\x98\x81 https://t.co/gVHMdJYuPF'
1049387964013383680,2018-10-08 19:56:01+00:00,"b'RT @SeFutbol: \xf0\x9f\xa4\xa9\xc2\xa1\xc2\xa1ORGULLOSOS DE VOSOTROS!!\n\n@SergioRamos e @isco_alarcon, candidatos al #ballondor \n\n\xf0\x9f\x94\x97 https://t.co/JI73zcPKoq https://t.co/\xe2\x80\xa6'"
1049272824035139584,2018-10-08 12:18:30+00:00,b'\xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x81 https://t.co/kfPQ6PDmoo'
1049255682866860034,2018-10-08 11:10:23+00:00,b'Buenos recuerdos\xe2\x9d\xa4\xef\xb8\x8f https://t.co/ZWvTQcbvE7'
1048660072140865536,2018-10-06 19:43:39+00:00,b'Confianza absoluta en mi equipo! #HalaMadrid'
1047478120092250112,2018-10-03 13:26:59+00:00,"b'Hoy me han quitado los puntos, con muchas ganas de volver a jugar!2\xef\xb8\x8f\xe2\x83\xa32\xef\xb8\x8f\xe2\x83\xa3 https://t.co/99BMJMnU0g'"
1045965815995138050,2018-09-29 09:17:38+00:00,b'Que suerte!\xf0\x9f\x91\x8d https://t.co/hbqYRUsyAl'
1045409032838815744,2018-09-27 20:25:10+00:00,b'20 a\xc3\xb1os m\xc3\xa1s y otro pu\xc3\xb1ao de amigos\xf0\x9f\x98\xac\xe2\x9a\xbd\xef\xb8\x8f https://t.co/er4hGDHSih'
1044612499612618752,2018-09-25 15:40:02+00:00,b'https://t.co/NSEjkQOrjK'
