twitter_id,date,tweet
1541185758576492545,2022-06-26 22:24:53+00:00,b'Kendrick'
1539249131775991809,2022-06-21 14:09:25+00:00,b'RT @PortfolioCarmel: \xe2\x80\x94 Celebrating the Summer Solstice \xe2\x80\x94\n\n      Paul Klee https://t.co/cleT2qnrvb'
1538337320566407169,2022-06-19 01:46:12+00:00,b'@FightClubTesla_ The best'
1538333902573649920,2022-06-19 01:32:37+00:00,b'https://t.co/o4K0EDRpV3'
1537877635715346432,2022-06-17 19:19:35+00:00,b'RT @espn: .@warriors \xf0\x9f\xa4\x9d @kendricklamar https://t.co/qdsAPZp7mY'
1537624416116416514,2022-06-17 02:33:23+00:00,b'steph'
1537546515597733890,2022-06-16 21:23:50+00:00,b'nah https://t.co/RTHLWYjY0L'
1537533726959276033,2022-06-16 20:33:01+00:00,b'@yaqui @ConorSvensson get a room?'
1537533436621209605,2022-06-16 20:31:51+00:00,b'@rolandlisf \xf0\x9f\x91\x8b\xf0\x9f\x8f\xbd'
1537533000090632198,2022-06-16 20:30:07+00:00,b'@tigerbeat @mslopatto @nycsouthpaw we did do that. start of it is in product today'
1537531135827361793,2022-06-16 20:22:43+00:00,b'@liron @pmarca @tylercowen words'
1536726665358983170,2022-06-14 15:06:02+00:00,b'\xe2\x9a\xa1\xef\xb8\x8f https://t.co/1utMFCpkkz'
1536096116235587584,2022-06-12 21:20:28+00:00,b'@decryptmedia @solana damn i\xe2\x80\x99ll never get the spelling of sqlana right'
1536082362366304256,2022-06-12 20:25:48+00:00,b'@tuneloslos Here you go:\n\njack'
1536004607628955649,2022-06-12 15:16:50+00:00,"b""@CarrascosaCris_ @NaveenGRao *contribution. choice around ID impacts a lot, including the internet's reliance on the ad model."""
1535936446716166144,2022-06-12 10:45:59+00:00,"b'RT @brockm: I get the criticism that we announced web5 before releasing web5. But the thing is, when we launched TBD, this is how we promis\xe2\x80\xa6'"
1535645967759843334,2022-06-11 15:31:44+00:00,b'@nick_slaney good point'
1535640005548417024,2022-06-11 15:08:02+00:00,b'@davewiner @jeffjarvis @bluesky bluesky team is doing a lot of work. Have to go deeper into their discord though to see for now...'
1535638604877385730,2022-06-11 15:02:28+00:00,"b'@jeffjarvis @bluesky Bluesky could be built on top of web5, specifically helps solve the identity pieces. \n\nTwitter Inc could also use as foundation. And give people a whole lot more power.'"
1535636345065979904,2022-06-11 14:53:30+00:00,b'@NeerajKA \xe2\x9c\xa8'
1535416490836598788,2022-06-11 00:19:52+00:00,b'@SnoopDogg \xf0\x9f\x92\xaf'
