twitter_id,date,tweet
1546558831173386240,2022-07-11 18:15:33+00:00,"b'Qu\xc3\xa9 bonito proyecto \xe2\x9d\xa4\xef\xb8\x8f Gracias Vicente por habernos dado la bendici\xc3\xb3n y por contarnos de viva voz tu extraordinaria historia \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x99\x87\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f El maravilloso trabajo y esfuerzo de @CaracolTV de 2 a\xc3\xb1os por fin materializado\xe2\x80\xa6 #ElReyVicenteFern\xc3\xa1ndez muy pronto, en las noches. @CaracolTvIntl \xf0\x9f\x8c\x9f https://t.co/7ofN3UzVK5'"
1545532868700639234,2022-07-08 22:18:45+00:00,b'RT @ATVPlusNews: #Schmigadoon! #HCATVAwards nominations:\n\nBest Streaming Series \xe2\x80\x93 Comedy\n\n#KeeganMichaelKey \xe2\x80\x93 Actor \xe2\x80\x93 Comedy\n\nSupporting Ac\xe2\x80\xa6'
1543683967571832832,2022-07-03 19:51:52+00:00,b'Not the result we wanted pero cantamos en las buenas y en las malas \xf0\x9f\x96\xa4\xf0\x9f\x92\x9b @LAFC @LAFC3252 @lafclarry @LAFCrich #LAFC #lafc3252 #barrioangelino @elchivamayor101 \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbd\xf0\x9f\x98\x8e https://t.co/mn6PG0umTQ'
1543683099250364417,2022-07-03 19:48:25+00:00,b'RT @StreamPantaya: Nuestra vida no ser\xc3\xada igual sin un poco del drama de los #C\xc3\xa1ncer \xf0\x9f\xa5\xba\xf0\x9f\xa5\xb9\n\nPor eso en #StreamPantaya los celebramos \xf0\x9f\x8e\x89\xf0\x9f\x8e\x8a\n\n#Horos\xe2\x80\xa6'
1543381095810338816,2022-07-02 23:48:22+00:00,"b'@lilifran21 @PinolElOriginal Voto por voto, casilla por casilla!'"
1541493300183519232,2022-06-27 18:46:56+00:00,"b'TE GUSTAN LAS MOTOS? VE ESTE DOCUMENTAL!\nMatt, eres un hombre renacentista. Aunque LO ES, la @ridecurtiss no s\xc3\xb3lo es \xe2\x80\x9cla moto m\xc3\xa1s cool\xe2\x80\x9d, su artesan\xc3\xada y dise\xc3\xb1o es inigualable\xe2\x80\xa6 Qu\xc3\xa9 m\xc3\xa1quina tan bonita \xf0\x9f\x96\xa4 BRAVO querido amigo \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x8f\x8d\xf0\x9f\x94\x8b\n\xe2\x80\x9cThe Opposite Of Death\xe2\x80\x9d\nhttps://t.co/kTgvxq16Ml https://t.co/jxyw1ef0Ud'"
1541492655435026433,2022-06-27 18:44:23+00:00,"b'YOU LIKE MOTORCYCLES? WATCH THIS FILM!\nMatt, you\xe2\x80\x99re a renaissance man. To call the @ridecurtiss \xe2\x80\x9cthe coolest bike\xe2\x80\x9d will be a disservice to its pure artful and innovative design... What a beautiful machine \xf0\x9f\x96\xa4 BRAVO my friend! \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x8f\x8d\xf0\x9f\x94\x8b \xe2\x80\x9cThe Opposite Of Death\xe2\x80\x9d\nhttps://t.co/kTgvxq16Ml https://t.co/hRxkXWMn3H'"
1540814218001252352,2022-06-25 21:48:31+00:00,b'@GarethBale11 @LAFC @LAFC3252 Welcome brother man! \xf0\x9f\x96\xa4\xf0\x9f\x92\x9b #lafc #lafc3252 #barrioangelino @LAFC @LAFC3252 \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbd\xf0\x9f\x98\x8e'
1540814009976426496,2022-06-25 21:47:41+00:00,"b'RT @GarethBale11: See you soon, Los Angeles. \xf0\x9f\x91\x8a @LAFC @LAFC3252 https://t.co/GVP8WVWLPe'"
1540766414885179392,2022-06-25 18:38:34+00:00,b'Bienvenido! / Welcome! @GarethBale11 @LAFC @lafc3252 #lafc #barrioangelino \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbd\xf0\x9f\x98\x8e\xf0\x9f\x96\xa4\xf0\x9f\x92\x9b @lafclarry @lafcrich https://t.co/3eO3POoZRx'
